Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Schouwburg het Park;Stembureau Oosterkerk Hoorn;Stembureau Showband Hoorn;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Wijkcentrum De Zaagtand;Stembureau Praethuys 't Slot;Stembureau Stadhuis;Stembureau Wijkcentrum De Huesmolen;Stembureau Westfries Archief;Stembureau West-Friese Hockeyclub Hoorn;Stembureau Sportcafe - De Opgang;"Stembureau Stichting Cultureel Centrum Zwaag ""De Plataan""";Stembureau MFA De Kreek;Stembureau S.V. Westfriezen;Stembureau Sporthal Lingeweg (Adoshal);Stembureau Sint Michaëlskerk Blokker;Stembureau Wijkcentrum Kersenboogerd;Stembureau Scoutinggroep Martin Luther King;Stembureau Sporthal Charlotte van Pallandthof;Stembureau Basisschool Dynamis;Stembureau Basisschool Het Spectrum;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporhal Charlotte van Pallandthof;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporthal Charlotte van Pallandthof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;104;105;108;113;117;120;204;205;208;213;217;220
Postcode;;;;;1621 LE;1621 X;1621 GK;1622 ES;1624 NN;1624 VW;1623 JD;1625 HV;1625 HZ;1625 NT;1689 VR;1689 NT;1689 GM;1689 XD;1689 EJ;1628 AW;1695 AH;1628 LZ;1620 GB;1628 ZJ;1628 TR;1628 XH;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ
;;15;Bakker, N.C.M.;12;1;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0
;;16;Kemner, F.M.;35;0;1;2;0;1;2;0;2;3;0;5;2;2;3;0;0;4;0;0;1;0;0;2;0;0;1;0;0;0;1;2;1;0;0
;;17;Kok, M.K.;11;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;18;de Glas, F.J.;15;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;3;3;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
;;19;van der Oord, M.T.;6;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;Broers, C.M.;16;0;0;2;0;2;0;2;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;1
;;21;Wybenga, H.A.A.;11;2;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0
;;22;Deen, D.;16;4;0;1;2;0;0;0;1;2;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Knibbe, P.J.W.;4;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Granini, D.L.M.;21;0;0;0;2;0;0;0;1;1;1;1;3;0;1;0;0;0;1;0;0;3;0;1;0;0;0;0;2;1;2;0;0;1;0
;;25;Eiting, W.;10;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1
;;26;Jeurissen, R.;21;3;3;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;0;0;0;2;0;1;0;0;0;1;1;0;0;0;0
;;27;Mol, X.A.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;Sanders, M.V.A.;20;2;1;3;1;0;1;0;0;3;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1
;;29;Mol, R.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Blaak, K.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;31;Wijnen, O.P.;9;0;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
;;32;Vleerlaag, M.A.;14;0;2;0;0;1;1;1;0;1;0;0;1;0;3;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;33;Jilink, S.;27;1;3;3;2;1;0;0;0;0;0;0;0;1;1;0;0;1;3;0;0;1;0;0;0;0;3;2;0;0;0;0;3;2;0
;;34;Tjeertes, F.;9;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Ettema, M.E.;5;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;36;Deen, M.J.M.;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Bakker, H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Manshanden, P.N.M.;10;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;39;Hakhoff, W.M.;20;1;0;0;0;1;2;0;1;2;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;2;1;0;2;0;0
;;40;Tillema, I.;30;0;1;0;0;0;0;1;1;6;0;3;4;2;2;0;0;0;0;0;0;0;1;0;0;3;3;1;0;0;0;2;0;0;0
;;41;Kusters, P.D.;16;1;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0
;;42;Bashara, S.R.;60;1;3;0;3;3;3;3;2;7;2;2;2;0;1;0;4;1;7;1;5;0;0;0;1;0;0;0;1;0;1;3;0;2;2
5;CDA;;;2680;37;88;40;57;51;82;43;112;108;36;52;77;180;249;159;44;138;101;13;39;118;90;25;30;75;117;100;25;26;39;101;105;83;40
;;1;Bennis, T.L.M.;1223;19;35;14;30;22;47;24;52;49;23;22;36;61;90;63;20;78;47;8;15;53;31;10;18;39;42;67;13;16;23;46;45;52;13
;;2;Brandhoff, R.J.C.;381;5;7;2;4;5;1;3;18;16;3;5;8;82;27;65;4;12;3;0;1;4;8;2;3;4;40;2;0;0;2;12;29;2;2
;;3;Hoefman, P.E.J.;115;1;0;0;0;0;1;0;1;2;0;1;2;3;61;4;2;1;2;0;0;3;3;8;0;0;4;0;1;0;0;8;4;3;0
;;4;Dekker, D.A.J.;329;7;9;10;8;12;12;4;14;24;4;12;12;9;34;6;3;24;9;2;9;16;14;0;4;10;9;4;4;4;3;7;5;13;12
;;5;Koster, M.P.;33;0;0;0;2;0;5;0;2;2;0;2;1;1;1;0;0;0;1;0;1;2;1;0;0;1;0;3;0;1;0;3;2;1;1
;;6;Smit, A.S.;122;0;10;5;6;3;3;0;7;1;2;3;3;4;13;1;5;5;9;1;3;4;10;0;1;5;3;2;0;1;1;7;1;2;1
;;7;van der Laan, P.P.J.;54;0;1;1;1;0;1;1;0;1;0;0;1;7;5;5;2;0;0;0;0;4;0;0;1;1;7;2;0;0;1;1;11;0;0
;;8;van Gorkum, G.H.J.P.;22;0;3;0;0;0;1;0;2;0;0;0;1;0;0;0;0;5;0;0;0;1;0;0;0;0;0;3;0;0;0;0;3;3;0
;;9;de Boer-van Berkum, I.C.S.M.;158;2;11;4;4;6;4;6;8;7;1;3;4;3;7;2;4;3;18;2;5;15;6;1;2;4;2;4;4;1;2;6;0;4;3
;;10;Dragt, H.;12;0;2;0;1;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0
;;11;Dekker, L.C.M.;29;0;1;0;0;0;0;0;0;0;0;2;3;0;2;0;0;0;1;0;4;5;4;1;0;1;0;2;0;1;0;1;0;0;1
;;12;Laan, B.E.J.;18;0;1;0;0;0;1;1;0;2;0;0;0;4;0;3;0;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
;;13;Baas, J.P.C.;13;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;0;3;0;0;0;0;1;1;0;0;0
;;14;Lakeman, A.C.J.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;15;Schipper, J.J.;25;3;1;1;0;0;2;0;3;0;0;0;0;0;0;0;2;0;1;0;0;1;2;1;0;5;0;1;0;0;0;2;0;0;0
;;16;van Berkum-Schouten, M.J.S.;33;0;2;0;0;1;2;0;1;1;0;0;1;1;1;3;1;4;1;0;0;1;2;0;0;1;2;1;1;0;2;1;2;1;0
;;17;Koorn, B.N.;7;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4
;;18;van Langen, J.A.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;3;0;0;0;2;0;0;0
;;19;Spil, C.A.;10;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0
;;20;Schakel, P.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0
;;21;van Gorkum-Jeurissen, C.;6;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;van Westen, J.C.M.;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Monkau, M.W.;5;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;24;Beerepoot, T.M.;15;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;2;0;0;0;0;0;0;1;0;1;1;0;0;1;1;2;0;1
;;25;Buis, J.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
;;26;Gunst-de Boer, J.;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Talma, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;;28;Grooteman, L.F.J.;9;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
;;29;Bakker, G.H.;8;0;2;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Vriend, J.J.;12;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;1;0;0
6;Partij van de Arbeid (P.v.d.A.);;;2145;70;142;72;126;45;84;44;76;139;30;62;96;46;82;19;50;47;144;24;24;101;49;48;54;85;19;45;14;80;63;86;19;40;20
;;1;Gortzak, I.A.;1356;37;76;44;79;30;51;29;50;99;24;41;56;26;52;9;33;29;87;12;9;76;26;30;36;58;10;28;8;54;41;61;11;27;17
;;2;Wegner, A.;74;3;9;2;11;3;2;1;3;6;0;2;1;3;1;0;1;1;6;1;2;0;1;4;0;4;0;1;1;1;1;3;0;0;0
;;3;Klinkenberg, E.F.;256;5;23;5;7;4;11;2;9;10;3;6;19;6;19;6;4;7;17;2;2;17;4;4;7;11;4;6;2;6;10;9;2;6;1
;;4;Nassiri, Y.;146;12;16;7;9;0;6;6;5;9;0;5;5;2;4;0;2;2;11;2;3;4;11;4;1;5;0;1;0;6;3;5;0;0;0
;;5;Achterberg, A.;15;0;2;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;6;Hagen, W.R.;12;0;0;0;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;1;0;0;0
;;7;Penning, J.D.;57;2;2;4;3;1;7;0;2;2;1;0;1;2;2;0;3;1;2;4;1;0;3;2;1;1;0;3;1;1;1;2;1;1;0
;;8;Bruin, D.;23;2;0;0;0;0;0;0;0;0;0;0;5;0;3;0;2;0;3;0;1;1;1;2;0;0;3;0;0;0;0;0;0;0;0
;;9;Kollen, J.;22;2;0;4;0;1;0;1;0;1;0;3;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;2;1;1;1;0;1;0
;;10;Schuitemaker, M.;22;2;0;4;1;0;0;0;0;1;0;0;0;1;1;4;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Beuker, A.;8;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Bruijns, P.J.;14;0;0;0;0;1;0;1;1;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;2;0
;;13;Schaper, J.T.J.;23;1;3;1;3;0;1;2;0;3;2;0;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0
;;14;Wagemaker, E.P.;21;1;4;0;2;2;0;2;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;2;1;0;0
;;15;Zomerdijk, S.;17;0;1;0;0;1;3;0;3;1;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;2;0;0;1;0;0
;;16;Ursem, P.J.J.M.;17;1;0;0;5;0;0;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0
;;17;de Heus, A.A.;28;2;0;0;3;1;1;0;0;1;0;0;1;0;0;0;0;3;3;0;0;1;0;0;0;0;1;2;0;2;2;0;3;1;1
;;18;van de Wijdeven, A.A.G.M.;6;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Hira Sing, R.A.;28;0;1;1;0;0;0;0;0;0;0;2;5;0;0;0;1;1;3;0;5;0;0;0;3;2;0;1;0;0;0;1;0;1;1
7;D66;;;2177;80;166;78;79;59;91;47;110;113;38;53;68;44;130;28;18;75;111;14;42;121;67;39;53;66;25;53;29;45;55;98;16;33;33
;;1;Heijne, N.S.L.;672;26;47;24;18;19;21;21;45;31;13;10;14;18;42;9;7;23;39;4;15;30;22;10;18;19;11;19;9;6;17;34;7;15;9
;;2;Bruijne, S.;843;35;95;34;29;25;34;16;26;45;9;30;29;16;48;9;7;26;28;6;15;52;25;15;28;20;6;22;7;18;23;30;8;11;16
;;3;de Vries, W.J.;59;2;3;2;1;5;1;2;3;2;3;0;0;1;2;0;1;5;5;0;3;3;3;0;2;2;0;1;4;0;2;0;0;1;0
;;4;Broerse, E.;168;2;5;10;9;6;14;4;10;7;4;1;5;3;6;3;0;6;15;1;3;13;5;5;0;9;0;5;1;7;2;4;1;2;0
;;5;Rood, A.C.A.;42;4;4;1;6;0;2;0;2;2;1;1;0;0;1;1;0;0;1;1;0;1;0;2;1;2;0;0;0;3;3;2;0;0;1
;;6;Bakker, N.D.C.;40;2;1;0;0;0;9;0;3;5;0;0;3;1;6;0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;1;2;0;0;2
;;7;Çakirtaş, S.;118;3;2;3;7;2;3;1;7;2;3;8;10;0;7;0;1;7;9;2;3;9;9;0;2;3;3;2;1;1;2;4;0;0;2
;;8;Klaren, O.J.A.;33;2;2;0;1;1;0;0;2;1;1;0;0;0;3;0;0;0;2;0;1;2;0;3;0;0;0;0;2;4;0;5;0;0;1
;;9;Chaban, S.;81;0;1;1;6;1;5;0;6;9;3;2;2;1;0;0;1;2;10;0;0;5;0;3;0;4;0;0;0;6;2;9;0;0;2
;;10;Wittebrood, M.;12;0;0;0;0;0;0;0;0;2;0;1;2;1;3;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Nauta, N.J.;11;2;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
;;12;Renckens, J.N.A.H.;16;0;4;1;1;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;0
;;13;van Kleef, B.W.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;14;Bruijne, R.G.;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Helling, A.;76;1;2;1;0;0;1;2;6;6;0;0;3;2;11;6;0;1;0;0;1;5;2;0;1;4;4;3;3;0;2;7;0;2;0
8;Sociaal Hoorn;;;1835;29;71;27;85;33;78;55;110;166;30;64;124;35;75;15;46;44;104;32;36;82;62;18;19;63;12;33;17;67;18;84;31;48;22
;;1;van der Veer, J.;547;5;12;9;38;1;21;13;33;55;9;20;43;13;14;5;21;13;34;5;8;26;13;3;4;21;5;14;6;21;4;26;13;14;5
;;2;al Mobayed, K.;639;11;26;8;25;18;21;20;35;56;19;25;35;10;27;5;16;19;32;15;11;25;18;11;12;26;5;9;2;26;6;22;14;21;8
;;3;de Rooij, R.M.W.;94;4;13;6;3;2;5;6;3;5;0;4;2;1;2;1;0;0;3;5;2;4;1;0;0;2;0;2;0;4;1;9;0;1;3
;;4;Smit, A.P.F.;30;2;1;0;1;1;0;0;1;6;0;1;3;1;1;0;1;0;2;1;1;1;0;0;0;0;1;0;0;2;1;2;0;0;0
;;5;Stuifbergen, J.C.F.;48;1;4;2;1;0;5;3;2;0;0;0;2;0;3;0;1;0;3;0;4;1;7;1;0;0;0;0;5;0;0;1;0;2;0
;;6;Delcour, L.M.;179;5;5;0;5;4;7;4;13;20;1;8;8;5;4;2;2;4;16;3;5;12;15;1;2;2;1;2;2;1;2;7;2;6;3
;;7;Luiken, H.C.;41;0;4;0;1;5;6;1;5;3;1;2;1;0;2;0;0;0;0;1;0;2;0;0;1;2;0;1;0;1;2;0;0;0;0
;;8;van Drunen, M.D.;38;0;0;1;2;0;0;4;2;2;0;2;5;1;3;0;1;0;0;2;0;0;0;0;0;3;0;2;0;0;1;4;0;2;1
;;9;El Hannouti, M.;57;0;2;0;6;0;1;1;5;2;0;0;10;0;8;0;1;1;3;0;2;3;2;0;0;1;0;0;0;3;0;5;0;0;1
;;10;de Bock, L.;17;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;5;0;0;0;0;0
;;11;Kooijman, J.G.;41;0;0;0;0;0;0;1;9;5;0;0;13;0;3;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0
;;12;Stuifbergen, C.L.F.;18;0;0;0;0;0;4;0;0;2;0;1;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0
;;13;de Vries, D.J.;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;1;0;3;0;0;0;1;0;0;0
;;14;Coevert, M.A.;13;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;2;0;0;3;0;0;0;1;0;0;0;1;1;0;0;0;0
;;15;Snoey Kiewit, L.W.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Hoogewerf, P.;10;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;3;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Sijm, H.T.;31;0;4;0;2;2;4;1;0;4;0;0;1;1;1;0;0;1;1;0;3;0;0;0;0;3;0;0;1;0;0;2;0;0;0
;;18;Krijgsman, W.J.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;in 't Veld, R.A.G.;12;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1
9;Hoorn Lokaal;;;3079;78;175;88;131;87;147;133;128;186;43;79;239;80;200;38;51;100;139;32;62;160;119;34;49;86;26;24;29;49;67;89;33;56;42
;;1;Assendelft, R.;1559;41;124;56;72;50;93;78;69;100;28;29;75;40;91;24;22;42;53;19;38;80;62;15;27;46;7;15;10;20;38;35;16;28;16
;;2;Halsema, J.M.;68;3;2;0;1;1;0;3;5;4;0;0;2;1;4;1;2;5;8;0;3;8;2;0;0;1;1;0;2;2;0;4;0;3;0
;;3;Schaap, P.C.G.;120;6;8;4;5;2;4;5;3;4;0;2;3;3;2;2;2;2;7;2;4;4;31;4;0;2;1;0;0;1;0;3;2;1;1
;;4;Visser, J.;739;17;24;14;33;21;37;24;33;56;8;29;42;20;64;5;10;31;54;5;11;40;0;8;14;18;8;0;13;18;17;30;7;12;16
;;5;van Rooij, F.;153;0;1;2;1;4;1;1;4;4;0;4;94;4;12;0;1;0;2;0;0;1;0;0;0;3;4;0;0;0;1;4;4;1;0
;;6;Assendelft, K.R.;68;0;2;5;0;4;3;4;2;1;2;2;1;2;8;0;1;1;1;0;2;6;6;1;2;4;0;0;0;1;5;2;0;0;0
;;7;Schoof, P.J.;57;2;4;1;3;0;2;1;2;3;1;1;8;1;3;1;2;0;3;2;0;4;2;0;1;3;2;2;0;0;0;2;0;1;0
;;8;Coenradie, P.;70;0;1;3;3;0;1;3;1;3;1;6;4;1;3;1;2;6;1;1;1;5;6;1;2;5;0;1;2;1;1;3;0;1;0
;;9;Braunschweiger, R.H.;41;3;1;0;0;0;1;1;2;2;1;2;1;0;2;0;2;7;0;0;0;4;4;0;1;0;1;0;0;0;0;2;1;3;0
;;10;Foppen, M.;75;3;2;1;2;1;5;8;2;2;0;3;3;3;2;1;0;4;2;3;0;4;6;1;0;0;2;3;1;1;2;0;2;3;3
;;11;de Greeuw, P.J.;43;2;3;1;9;0;0;2;1;2;0;0;1;2;1;1;1;0;2;0;2;0;0;2;0;1;0;2;0;3;0;0;0;1;4
;;12;van der Meij, J.M.;86;1;3;1;2;4;0;3;4;5;2;1;5;3;8;2;6;2;6;0;1;4;0;2;2;3;0;1;1;2;3;4;1;2;2
10;De Realistische Partij (DRP);;;961;26;52;25;47;20;38;42;53;65;9;53;77;27;49;8;23;28;48;13;14;46;16;12;15;25;6;4;8;11;25;41;11;11;13
;;1;Jas, M.;363;6;29;11;19;7;12;12;19;23;3;18;28;13;22;4;13;16;22;2;13;17;5;6;5;5;0;1;3;2;7;8;2;6;4
;;2;van Dijk, M.;91;8;2;0;6;1;5;1;3;8;0;5;5;2;6;0;2;1;5;0;0;4;3;2;0;2;5;0;3;3;3;4;0;1;1
;;3;van der Kooij, A.;126;2;1;3;4;2;4;8;7;12;1;14;17;3;2;1;4;2;6;2;0;0;0;1;3;5;1;0;1;2;4;9;3;1;1
;;4;van der Kooij, J.;37;0;3;1;0;0;0;3;4;3;0;1;2;0;0;0;0;0;2;0;0;3;0;0;3;3;0;0;0;0;0;5;1;0;3
;;5;Laan, C.A.N.;47;3;1;3;6;0;5;3;1;3;3;4;5;0;2;0;0;0;1;2;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0
;;6;de Vries, J.;21;0;0;0;1;0;0;0;5;0;0;6;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
;;7;van Kleef, M.;72;1;2;3;2;7;2;2;5;3;0;1;2;5;3;0;1;3;6;2;0;7;2;3;0;2;0;0;1;0;0;3;2;0;2
;;8;van Hout, N.S.;32;0;1;0;3;0;1;3;1;3;0;0;2;1;1;0;0;1;0;2;0;5;0;0;0;0;0;2;0;0;4;2;0;0;0
;;9;Föller, S.B.;19;0;0;0;0;0;1;0;1;0;0;0;7;2;2;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0
;;10;Otten, M.;9;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
;;11;van Dijk, L.S.;28;0;0;1;2;0;1;0;2;3;0;0;0;0;3;1;0;0;0;2;0;1;1;0;1;0;0;0;0;1;6;2;1;0;0
;;12;Nannings, C.E.;29;1;4;3;0;2;2;2;0;1;1;1;4;0;3;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Lang, J.;12;1;0;0;1;0;3;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;14;Bron, F.D.;11;1;0;0;0;0;1;0;0;3;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Blokdijk, J.;39;3;8;0;2;0;0;6;3;1;0;0;0;0;0;0;0;0;2;0;1;1;2;0;0;7;0;0;0;0;0;2;1;0;0
;;16;de Assis Filho, J.M.;14;0;0;0;0;0;0;0;1;0;1;3;1;0;1;0;2;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Verdonk, D.;11;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;1;0
11;ChristenUnie;;;680;11;9;4;23;7;17;7;42;51;13;27;39;12;34;6;21;17;76;7;10;33;28;9;12;45;3;10;8;21;6;21;16;16;19
;;1;Maas, C.L.;342;6;5;1;12;2;9;4;17;25;4;9;17;10;16;5;12;14;34;4;8;14;14;8;3;23;2;5;5;6;5;10;11;13;9
;;2;Kooyman van Guldener, J.J.;25;0;0;0;1;0;0;0;2;3;0;2;2;0;0;0;0;0;2;0;0;0;3;0;2;4;0;2;0;1;0;1;0;0;0
;;3;Ritsema-de Jonker, C.G.;55;1;1;2;0;1;3;0;6;8;0;3;2;0;2;0;5;0;5;2;0;1;0;0;2;3;0;1;0;1;0;3;0;2;1
;;4;Mir Haghgouyan, S.K.;32;0;0;0;1;1;0;0;1;3;6;2;5;0;1;0;0;0;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;;5;Maria, I.S.;24;0;2;0;0;0;1;1;0;2;1;4;2;2;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0
;;6;van der Heijden, J.B.;14;0;0;0;1;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;1;1
