Verkiezing;;Gemeenteraad Haarlem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Stadhuis;Philharmonie;Zijlpoort;Stadsbibliotheek;Rosenstock Huessy Huis;Basisschool De Kring;Oud-Katholieke Kerk H.H. Anna en Maria;Activiteitencentrum Het Zaeltje van Rosehaghe;Speeltuin Klarenhof;Badhuis Leidseplein;Trefpunt 't Trionk;Pelgrimkerk;Tent Theemsplein;Tent Christiaan Huygensplein;Wijkcentrum Het Broederhuis;Wijkcentrum Oosterkerk;Tent Van Zeggelenplein;Gymzaal De Viersprong;Reinaldahuis;Tent Mohammed Hattastraat;Activiteitencentrum & Regiokantoor DOCK;Tent Zomervaart;Speeltuinvereniging Kindervreugd;Buurtcentrum de Hamelink;Waarderpolder;Eerste Christelijke Lyceum (ECL);OBS Bos en Vaart;Provincie Noord-Holland;Verpleeghuis Zuiderhout;Tent Spaar en Hout;HART Haarlem;Buurtcentrum De Tulp;Fonteinkerk;Koningkerk;Willem van Oranjeschool;Speeltuinvereniging Elba;Basisschool De Cirkel;Vrije school Kennemerland;De Goede Herderkerk;Wijkcentrum De Horizon;Tent Santpoorterstraat;Basisschool Ter Cleeff (Gymzaal);Haarlemse Korfbal Club;Ontmoetingscentrum De Schakel;Tent Elzenplein;Backstop;Gymzaal Liduinaschool;Tent Herman Heijermansplein;Schoterhof;Scouting Menno Simonsz;Speeltuin D.V.S.;Scouting Brigitta;Gymzaal De Dolfijn;Johan Limpershof;Stg. Wijkgebouw Hof van Eden;RK Basisschool Sint Bavo;Dienstgebouw Oude Kerk;Novacollege Zijlweg;Fablo Tennishal;Tent Duinroosplantsoen;Tent Beneluxplein;Tent Rozemarijn KDC;Wijkcentrum de Wereld;Speeltuin De Eenhoorn;Tent CBR;Wijkcentrum De Ringvaart;Tent Floris van Adrichemlaan;Basisschool Al Ikhlaas;VMG Haarlem;Da Vinci, Centrum van Ontmoeting;RK basisschool De Brandaris;De Molenburg;Stadsbibliotheek Schalkwijk;Basischool De Wadden;Tent NS Station;Publiekshal Raakspoort;Patronaat;Frans Hals Museum;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;110;116;121;128;134;140;163;166;175;176;210;216;221;228;234;240;263;266;275;276
Postcode;;;;;2011 RD;2011 HH;2011 GR;2011 XP;2011 CV;2011 KZ;2013 AV;2013 DR;2013 PH;2013 PW;2014 VS;2014 KB;;;2032 TC;2032 WC;2032 KA;;2033 TA;;2033 TM;;2033 NH;2033 LG;2031 CR;2012 KN;2012 HK;2012 HR;2012 PK;2012 CG;2012 CH;2012 XZ;2021 HM;2021 CS;2021 CG;2021 AD;2022 BL;2022 VA;2024 EC;2022 DM;;2023 EW;2023 KW;2023 VN;;2024 BT;2042 TL;;2024 HT;2024 CR;2025 BP;2025 RE;2025 NA;2025 EJ;2026 AW;2026 SJ;2063 KB;2015 CK;2015 CS;;;2034 CA;2034 SB;2034 CV;;2035 VD;;2037 EA;2037 TK;2037 RR;2036 NE;2036 EN;2036 AM;2036 NK;;2011 VB;2013 DN;2011 ES;2013 PW;2032 WC;2033 TM;2012 HR;2021 CS;2022 DM;2034 SB;2035 VD;;2011 VB;2013 PW;2032 WC;2033 TM;2012 HR;2021 CS;2022 DM;2034 SB;2035 VD;;2011 VB
;opgeroepenen;;;127065;1000;1556;1638;1460;1757;1477;1437;1000;1847;1586;1388;1115;1607;1000;1993;1778;1925;1248;1179;1310;1052;1141;1548;1126;1202;1601;1869;1000;1177;1122;1002;1440;1886;1187;1905;1853;1561;1028;1794;1965;1800;1931;1126;1810;1395;1000;2100;1000;1035;1594;1818;1596;1919;1646;1778;1863;1000;1848;1866;1000;1999;1756;1544;1674;1000;1671;1381;1439;1721;1998;1723;1685;1137;1380;1000;1000;1000;1072;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
;geldige stempas;;;60596;1395;639;307;759;817;618;646;530;512;775;875;1101;953;582;871;441;974;304;557;707;302;506;387;524;123;708;798;626;702;474;534;561;784;388;258;900;878;756;896;665;1831;800;694;1208;457;510;1174;279;744;378;1029;774;673;614;905;1007;243;575;1302;509;723;901;443;276;494;342;602;340;239;1022;742;909;374;292;1280;614;452;457;341;337;129;453;403;278;356;286;394;463;437;416;212;568;507;384;476;354;847;614
;geldig volmachtbewijs;;;6512;123;60;30;87;84;87;52;64;68;99;81;0;95;57;117;48;116;44;63;0;33;68;44;52;10;96;144;84;104;0;61;54;98;46;31;94;173;87;128;85;238;108;87;142;47;54;150;24;71;46;108;72;69;66;123;113;25;74;0;60;83;129;47;25;80;73;137;57;61;0;92;117;32;27;89;55;52;35;0;0;16;52;35;29;28;51;41;47;0;37;23;61;48;55;55;88;62;49
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;67108;1518;699;337;846;901;705;698;594;580;874;956;1101;1048;639;988;489;1090;348;620;707;335;574;431;576;133;804;942;710;806;474;595;615;882;434;289;994;1051;843;1024;750;2069;908;781;1350;504;564;1324;303;815;424;1137;846;742;680;1028;1120;268;649;1302;569;806;1030;490;301;574;415;739;397;300;1022;834;1026;406;319;1369;669;504;492;341;337;145;505;438;307;384;337;435;510;437;453;235;629;555;439;531;442;909;663
;geldige stembiljetten;;;66773;1508;697;332;840;895;700;696;591;575;870;955;1094;1045;638;989;491;1081;346;617;705;335;573;426;575;132;801;938;709;804;473;593;614;879;435;288;990;1048;841;1019;749;2055;907;781;1343;501;564;1318;299;812;421;1137;842;739;674;1025;1113;267;644;1297;567;802;1017;489;297;572;410;737;396;300;1013;824;1022;399;315;1355;664;502;490;340;335;143;502;438;303;379;336;432;507;433;451;231;626;551;436;529;439;906;659
;blanco stembiljetten;;;156;2;2;1;3;2;4;1;1;3;1;0;3;1;1;0;2;3;2;1;0;0;0;3;1;0;3;1;0;0;0;0;0;2;0;1;2;3;2;2;0;7;0;0;4;3;0;1;3;1;3;0;1;3;4;1;3;0;2;2;1;0;9;0;1;0;0;1;0;0;3;6;2;3;2;7;2;2;0;1;2;0;3;0;3;3;1;3;3;2;0;2;1;0;1;1;0;0;0
;ongeldige stembiljetten;;;190;6;0;4;2;4;0;1;2;2;2;1;3;2;0;3;1;6;0;2;2;0;1;1;0;1;0;3;1;2;1;4;1;1;0;0;2;0;0;3;1;7;1;0;3;0;0;4;1;2;0;0;3;0;1;2;5;1;3;3;1;5;4;1;3;2;5;5;1;0;6;4;1;4;2;10;3;0;2;0;0;2;1;0;1;2;0;0;0;2;2;2;1;4;2;1;3;3;4
