Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;35;36;40;41;42;43;44;45;47;48;49;50;51;52;55;58;59;61;62;63;64;65;71;72;73;74;75;101;102;103;104;105;106;107;108;109;110;111;112;113;114;201;202;203;204;205;206;207;208;209;210;211;212;213;214;301;302
Postcode;;;;;1811 JD;1811 JP;1811 EK;1811 LM;1814 GR;1813 AA;1813 AA;1813 BH;1813 KN;1813 VZ;1815 DA;1814 HA;1815 CB;1815 HA;1815 LW;1816 GD;1816 EP;1816 LZ;1816 LG;1817 BA;1817 HJ;1821 AP;1822 RP;1822 RP;1823 DD;1823 EV;1823 EV;1825 DP;1824 DW;1824 EX;1825 KB;1824 XV;1825 AT;1825 PV;1825 PV;1826 DN;1826 DN;1826 GP;1826 GP;1827 CX;1827 LB;1827 PG;1827 KX;1829 CZ;1829 CZ;1822 AA;1831 CR;1831 BX;1636 XD;1841 GN;1842 GT;1843 JR;1846 LG;1483 HA;1483 VR;1484 EC;1486 MG;1536 AL;1811 JD;1813 AA;1813 BH;1815 CB;1816 GD;1822 RP;1823 EV;1824 EX;1826 DN;1827 LB;1827 KX;1831 CR;1636 XD;1484 EC;1811 JD;1813 AA;1813 BH;1815 CB;1816 GD;1822 RP;1823 EV;1824 EX;1826 DN;1827 LB;1827 KX;1831 CR;1636 XD;1484 EC;1829 AC;1814 DE
;opgeroepenen;;;89278;1805;1595;1782;1515;1997;1853;2056;1988;2083;1794;1641;1642;1792;1641;1238;1896;1775;1587;1720;1156;2029;1712;1829;1602;1408;1443;1374;1644;1924;1937;1486;1893;1412;1298;1496;1401;1346;1512;1376;1308;1903;1608;1849;1498;1502;1437;1924;1504;1030;1548;568;666;812;1293;1568;1311;833;438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;42207;1114;469;662;373;985;288;699;624;365;402;641;600;839;626;481;865;310;283;709;178;1083;518;473;496;571;518;476;609;635;680;496;834;377;234;238;509;493;305;300;258;990;516;554;451;469;487;445;487;373;748;263;331;404;568;733;411;376;224;600;443;339;268;515;290;517;320;560;444;228;187;131;199;885;538;406;410;634;391;745;393;680;527;330;242;141;309;60;29
;geldig volmachtbewijs;;;4144;97;43;56;34;127;29;71;83;86;17;68;58;62;61;40;91;33;26;66;9;115;43;47;69;75;67;50;61;69;64;57;65;36;19;20;43;44;22;31;32;102;47;45;44;47;82;44;51;51;73;19;29;43;73;91;49;49;29;51;56;40;20;42;19;47;26;41;37;11;15;13;14;69;52;47;26;41;27;69;48;56;46;16;21;9;30;1;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;46351;1211;512;718;407;1112;317;770;707;451;419;709;658;901;687;521;956;343;309;775;187;1198;561;520;565;646;585;526;670;704;744;553;899;413;253;258;552;537;327;331;290;1092;563;599;495;516;569;489;538;424;821;282;360;447;641;824;460;425;253;651;499;379;288;557;309;564;346;601;481;239;202;144;213;954;590;453;436;675;418;814;441;736;573;346;263;150;339;61;29
;geldige stembiljetten;;;46135;1205;512;711;407;1110;316;767;702;444;417;705;657;898;685;520;953;343;306;772;186;1196;560;520;565;644;580;524;668;699;740;549;890;409;253;252;545;533;324;330;290;1079;561;596;495;514;568;486;536;422;818;282;356;445;637;821;460;424;252;651;499;377;281;557;307;564;344;600;476;239;202;144;212;950;588;449;435;672;417;813;437;728;571;345;263;150;337;60;28
;blanco stembiljetten;;;123;5;0;7;0;3;1;2;2;2;2;1;1;2;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;2;2;2;3;3;0;4;5;2;3;0;0;8;2;2;0;2;1;2;0;1;2;0;2;1;1;2;1;1;1;0;0;0;5;0;2;0;1;0;4;0;0;0;1;2;2;1;0;3;1;0;1;3;1;1;0;0;0;1;1
;ongeldige stembiljetten;;;94;1;0;0;0;1;0;1;3;5;0;3;0;1;1;0;3;0;2;3;0;1;0;0;0;1;4;1;0;3;2;2;6;1;0;2;2;2;0;1;0;6;0;1;0;0;0;1;2;0;1;0;2;1;3;0;0;0;0;1;0;2;2;0;0;0;1;1;1;0;0;0;0;2;0;3;1;0;0;1;3;4;1;0;0;0;2;0;0
