Verkiezing;;Gemeenteraad Aalsmeer 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalsmeer;;;;;;;;;;;;;;;;;;;;;
Nummer;;0358;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum 't Baken;NH Wijkcentrum 't Anker;Buurthuis Hornmeer;Clubgebouw VZOD;R.K. Antoniusschool;Raadhuis Aalsmeer;Proosdijhal;Buurthuis 't Middelpunt;Sporthal De Bloemhof 1;Wellantcollege MBO Aalsmeer;Bibliotheek;Atletiek Vereniging Aalsmeer;Sporthal De Bloemhof 2;Raadhuis Aalsmeer maandag;Proosdijhal maandag;Raadhuis Aalsmeer dinsdag;Proosdijhal dinsdag;Dorpshuis Kudelstaart 't Podium;Parochiehuis
Gebiednummer;;;;;4;6;8;11;14;15;17;18;19;20;22;23;25;28;29;30;31;35;36
Postcode;;;;;1431 JA;1432 AV;1431 WC;1433 HM;1433 WB;1431 EH;1433 KA;1432 GB;1432 GH;1431 JV;1431 BD;1431 HW;1432 GH;1431 EH;1433 KA;1431 EH;1433 KA;1433 GH;1431 SG
;aangetroffen stembiljetten;;;12812;663;691;1161;667;770;1103;865;1231;729;236;651;253;561;593;375;792;462;436;573
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3054;184;179;290;170;201;247;211;270;141;63;151;47;98;103;71;199;135;125;169
;;1;Kabout, L.B.;953;45;54;90;76;84;78;70;66;31;14;35;5;25;35;27;82;39;42;55
;;2;Van der Meer, T.;739;44;51;69;22;33;65;44;78;45;22;50;16;40;24;6;43;19;26;42
;;3;Van Willegen, D.;332;33;34;39;6;4;25;8;58;14;6;19;5;9;20;7;17;11;4;13
;;4;Winkels, G.J.H.;37;3;4;4;0;1;5;1;2;0;3;3;1;2;1;0;6;0;0;1
;;5;Van Diemen-Kreeft, M.;153;10;9;15;4;15;15;9;4;13;3;9;2;2;4;2;8;6;7;16
;;6;Buskermolen, M.P.;202;4;2;3;34;35;6;29;3;2;0;5;0;3;3;11;2;28;30;2
;;7;Van den Nouland, P.F.;163;8;3;13;8;15;11;34;12;3;3;4;1;1;1;12;7;17;7;3
;;8;Harte-Fokker, A.M.;114;8;8;16;0;2;13;7;9;4;1;6;2;3;2;1;14;3;4;11
;;9;Van der Meijden, C.M.J.;26;0;0;2;1;5;2;1;2;3;0;1;4;1;0;0;0;0;1;3
;;10;Van Soelen, P.H.J.M.;34;1;2;2;7;4;2;2;2;1;0;0;2;1;1;1;1;2;1;2
;;11;Adema, B.P.;97;15;6;14;5;2;3;5;4;5;1;7;7;0;0;2;7;4;1;9
;;12;Van Vliet, J.A.G.;48;9;2;1;1;0;6;0;1;2;4;4;1;1;7;0;5;4;0;0
;;13;Heijenk, M.C.;26;2;3;6;0;0;1;0;0;0;1;0;0;3;3;1;1;0;1;4
;;14;Peters, M.;19;1;0;1;2;0;4;0;0;0;3;3;0;0;1;0;1;1;0;2
;;15;Ganzeboom, R.H.H.;18;0;0;0;0;0;1;0;8;5;0;1;1;1;0;0;1;0;0;0
;;16;Harte, A.G.N.;21;1;0;7;1;0;3;0;2;1;1;0;0;0;1;0;3;0;0;1
;;17;Van Berlo-van Keer, A.A.J.;7;0;0;0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;1;0
;;18;Leicher, C.A.F.;18;0;0;0;0;0;0;0;7;8;0;0;0;3;0;0;0;0;0;0
;;19;Van Berlo, M.A.J.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;20;Brinkman, B.;5;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;21;Van der Boon-Hulsbos, C.A.;23;0;0;5;1;0;5;1;0;1;1;2;0;1;0;0;1;0;0;5
;;22;Dreschler, J.M.;17;0;1;3;1;0;2;0;4;3;0;1;0;0;0;1;0;1;0;0
2;VVD;;;2754;121;174;198;128;150;339;148;211;173;39;176;63;155;154;57;188;72;75;133
;;1;van der Zwaag, D.G;1095;47;67;87;51;51;111;53;101;82;14;51;24;78;61;26;74;29;30;58
;;2;Vleghaar, M.;489;20;35;27;15;21;52;19;44;37;7;39;10;39;40;9;29;15;11;20
;;3;Bouwmeester, J.G.E.;134;1;2;9;20;30;3;21;3;2;0;3;1;2;3;9;6;10;7;2
;;4;Mijwaart, E.S.I.;88;4;3;14;5;4;10;1;9;6;4;5;4;4;6;1;5;0;2;1
;;5;Abbenhues, E.P.;21;2;3;2;0;0;2;1;3;1;0;0;0;3;1;2;0;0;0;1
;;6;de Vries, J.;424;29;23;38;11;12;93;13;19;11;4;46;12;10;20;2;41;5;6;29
