Verkiezing;;Gemeenteraad Zaanstad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaanstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gymzaal Wibautstraat, INGANG SPARRESTRAAT;Stembureau Handboogschutters Czaar Peter;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau Zaans Natuur en Milieu Centrum;Stembureau ICBS de Windroos, INGANG PINASSTRAAT 4;Stembureau Gymzaal Blaise Pascal College;Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN 174;Stembureau Gymzaal Noorderven;Stembureau De Paaskerk;Stembureau CBS Tamarinde,INGANG J.C. VAN WESSEMSTR;Stembureau Wijkcentrum Dirk Prins;Stembureau Buurthuis de Kolk;Stembureau Sporthal de Struijck, INGANG PROF.STRUIJCKENSTRAAT;Stembureau De Noorderkerk;Stembureau Basisschool Kogerveld;Stembureau Gymzaal Veldbloemenweg;Stembureau Buurtcentrum de Bovenkruier;Stembureau Sporthal de Tref;"Stembureau Speeltuinvereniging ""Het Havenkwartier""";Stembureau Het Zaantheater;Stembureau Het Tolhuys aan de Zaan;Stembureau Atletiekvereniging Zaanland;Stembureau Zaan Hotel;Stembureau Buurtcentrum De Zeskanter;Stembureau Gymzaal Meverstraat;Stembureau De Volleyhal;Stembureau Brandweerkazerne Houtveldweg;Stembureau Stadhuis van Zaanstad;Stembureau Best Western Zaan Inn;Stembureau Cultureel Centrum Bullekerk;Stembureau Buurthuis De Doorbraak;Stembureau Kerk van de Nazarener;Stembureau Buurthuis Het BrandtWeer;Stembureau Buurtcentrum De Vuister;Stembureau Basisschool de Golfbreker;Stembureau Apostolisch Genootschap;Stembureau Gymzaal Fortuinweg;Stembureau ZFC Orkest & Muziekschool;Stembureau Gymzaal Goudastraat;Stembureau Buurtcentrum De Lorzie;Stembureau Gymzaal Anemoonstraat;Stembureau Vereniging de Bloesem, complex de Amandelbloesem;"Stembureau Dorpshuis ""De Noorddam""";Stembureau De Wormerveerse Vermaning;Stembureau St. Petrusparochie, INGANG KERK;Stembureau Dependance basisschool de Hoeksteen;Stembureau Gymzaal Braillestraat;Stembureau De Durghorstplantsoen;Stembureau Gymzaal Jupiterstraat 139 Evenaar;Stembureau Odd Fellow Huis;Stembureau Basisschool de Hoeksteen;Stembureau Buurtcentrum de Pelikaan;Stembureau Kantine vv Assendelft;Stembureau Brandweerkazerne Assendelft;Stembureau Tennisvereniging Overdan;Stembureau Buurtcentrum A3;Stembureau Gymzaal de Springplank;Stembureau BUKO;Stembureau BUKO;Stembureau JongerenHUB Noord;Stembureau Gymzaal Kreekrijklaan 2;Stembureau Gymzaal Beemdgras;Stembureau Het Sociale Winkeltje;"Stembureau Dorpshuis ""De Kwaker""";Stembureau Wijksteunpunt Lambert Melisz;Stembureau Gymzaal Torenstraat, INGANG KERKBUURT 21;Stembureau Evean Oostergouw, HOOFDINGANG;Stembureau Evean Het Erasmushuis;Stembureau Zorgcentrum Mennistenerf;Stembureau Hervormd Centrum Pennemes, HOOFDINGANG;Stembureau Zorgcentrum Nieuw Groenland;Stembureau Zorgcentrum Saenden;Stembureau Evean Westerwatering, HOOFDINGANG;Stembureau Evean Parkzicht;Stembureau Evean Guisveld;Stembureau Evean Acht Staten;Stembureau Evean Rosariumhorst;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau De Noorderkerk;Stembureau De Noorderkerk;Stembureau Buurtcentrum de Bovenkruier;Stembureau Buurtcentrum de Bovenkruier;Stembureau Stadhuis van Zaanstad;Stembureau Stadhuis van Zaanstad;Stembureau Buurtcentrum De Vuister;Stembureau Buurtcentrum De Vuister;Stembureau Apostolisch Genootschap;Stembureau Apostolisch Genootschap;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum A3;Stembureau Buurtcentrum A3;Stembureau Het Sociale Winkeltje;Stembureau Het Sociale Winkeltje;Stembureau Wijksteunpunt Lambert Melisz;Stembureau Wijksteunpunt Lambert Melisz
;;3;Rienstra, T.J.;478;0;0;0;0;2;0;8;18;4;1;2;8;0;2;3;1;3;3;6;5;5;0;5;3;2;10;5;12;6;7;9;0;16;11;10;3;6;23;3;2;2;0;3;3;1;3;8;1;4;7;2;0;0;3;5;11;0;4;2;3;5;2;8;9;36;59;19;0;0;0;0;0;0;0;1;0;0;0;0;1;4;1;2;1;2;2;3;7;2;6;0;3;2;4;1;4;4;3;6;15
;;4;Blaževska, J.;300;0;1;0;0;1;0;1;1;0;0;0;2;0;0;1;0;1;0;3;1;3;0;0;0;1;4;1;1;3;4;1;0;2;0;3;1;0;5;0;0;1;0;0;1;1;32;44;17;8;36;22;6;11;1;0;2;0;1;3;2;2;1;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;24;23;0;1;1;4;0;3
;;5;van Nieuwamerongen-Oosterkamp, A.T.;607;4;6;3;3;12;10;10;21;14;9;4;5;14;8;10;3;4;13;18;15;15;11;11;7;16;55;28;19;17;24;17;1;10;4;15;6;9;11;1;1;2;0;1;1;1;0;4;1;1;4;1;1;1;0;9;4;0;1;2;1;3;3;3;2;2;2;3;0;0;0;1;0;0;0;0;0;0;0;1;7;2;5;4;7;4;14;12;14;1;0;2;3;1;1;0;0;5;4;1;1
;;6;Davelaar, C.J.;185;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;1;0;1;4;1;1;0;1;2;0;0;1;0;0;2;0;0;1;1;0;1;11;16;12;4;5;5;4;25;12;16;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;3;0;0;0;1;0;0;4;1;9;11;0;0
;;7;Rietdijk, M.M.;67;2;0;1;0;1;2;2;7;3;0;0;2;1;1;1;1;1;0;2;0;3;0;2;1;0;0;3;2;4;1;2;0;1;1;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Weerden, A.J.;37;2;0;0;0;2;1;0;1;0;0;1;1;3;2;0;0;0;0;1;0;0;0;1;1;1;2;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;1
;;9;Ranzijn, H.F.A.;218;1;2;1;0;1;0;3;10;4;1;6;9;4;1;4;0;1;4;10;0;1;4;2;0;7;5;3;2;2;1;6;1;7;2;4;0;2;2;1;2;0;1;0;0;1;3;1;0;0;0;0;2;1;1;10;6;3;4;5;5;12;1;5;13;2;5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;4;1;1;2;1;0;0;1;0;1;0;1;1;0;0;1;1;3;0;0
;;10;Ram, G.J.;148;0;1;1;0;0;0;2;0;1;1;2;3;0;0;0;2;0;2;1;1;0;2;4;0;1;0;1;3;2;1;1;0;3;1;2;1;0;3;1;2;0;0;1;3;0;6;19;4;2;15;3;2;2;2;0;2;1;3;4;2;5;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8;5;2;0;1;1;1;1
;;11;Isselt, R.C.;48;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;2;2;0;0;3;3;2;0;1;0;0;3;0;0;0;0;1;1;0;0;1;0;0;2;1;1;0;3;0;2;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;2;0;0
;;12;de Boer, M.;94;0;1;0;0;0;0;1;2;2;1;2;1;1;0;1;1;1;2;0;0;0;3;0;0;0;3;1;1;2;1;0;0;5;2;0;0;1;1;2;5;8;1;3;4;2;0;0;0;0;0;1;1;0;1;2;2;0;1;0;0;5;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;3;2;3;0;1;0;0;0;2;0;0
;;13;Egberts, H.J.;36;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;0;0;0;1;1;3;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;1;0;0;0;0;0;2;0;0;0;0;0;0
;;14;Schouten-Burger, J.;107;0;0;0;0;0;3;1;1;1;4;2;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;1;2;0;0;0;0;3;0;1;0;3;2;0;0;0;0;0;0;2;12;11;3;1;12;1;1;6;0;1;1;0;1;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;2;13;0;0;0;1;0;0
;;15;ter Wisscha, J.;29;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Veenis-Kaak, E.A.;105;0;0;1;0;0;0;0;1;0;0;0;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;2;2;4;0;4;4;2;0;2;0;0;2;0;0;2;0;0;2;0;0;2;3;3;1;1;0;2;0;0;0;1;1;13;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;3;0;1;0;2;0;0;1;0;3;7
;;17;Hilarius-Noé, M.A.;62;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;5;12;6;0;0;0;0;2;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;2;7;3;2;0;0;0;0;0;0;1;0;0;0
;;18;Straat, D.D.;73;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;1;2;1;2;4;3;1;0;0;0;1;1;4;2;1;0;4;2;3;0;3;3;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;2;0;0;2;0;2;1;0
2;Partij voor Ouderen en Veiligheid;;;8038;74;119;18;23;54;67;82;128;60;73;76;118;114;75;68;43;75;107;160;108;78;43;59;17;113;120;82;153;104;98;120;42;155;106;232;57;87;155;90;84;197;38;97;31;31;179;203;100;152;138;74;66;101;71;168;107;51;83;67;64;106;35;31;106;72;96;18;0;3;22;9;5;0;27;12;0;4;2;32;39;49;68;81;128;59;93;94;165;37;51;150;151;121;150;33;87;77;101;23;46
;;1;van der Laan, H.;4382;34;61;13;15;24;37;40;71;34;40;38;59;69;44;40;25;32;56;86;29;30;27;31;6;56;58;41;68;48;51;54;26;92;74;149;31;45;102;59;59;135;30;72;21;22;83;89;37;78;65;37;31;54;30;87;57;30;40;28;34;44;13;11;60;49;59;14;0;3;15;8;3;0;14;8;0;3;0;14;21;19;40;45;82;28;40;64;113;30;27;113;98;54;79;20;43;41;46;14;33
;;2;Brekelmans, T.;279;5;4;0;0;5;2;4;1;2;2;8;5;6;1;7;0;4;3;5;2;0;1;0;0;4;1;1;7;2;1;3;4;12;4;13;4;2;4;4;1;11;1;3;2;1;0;2;0;2;2;0;1;2;2;6;2;1;4;3;5;3;0;1;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;3;6;2;1;4;1;1;5;5;3;1;17;11;8;0;1;5;5;4;1;2
;;3;Keijser, J.C.;560;10;10;1;1;8;12;14;15;6;9;10;12;13;7;4;8;12;5;20;47;22;5;6;1;14;15;15;26;19;11;18;1;5;6;11;4;4;4;1;0;1;1;1;1;1;1;2;0;1;2;0;0;0;0;3;0;1;0;3;2;0;0;1;1;3;3;0;0;0;2;1;0;0;8;1;0;1;0;10;6;7;7;3;10;10;24;7;6;1;3;0;1;1;0;0;2;3;2;2;2
;;4;van der Velden, P.J.;224;2;12;1;4;0;0;1;6;4;2;5;5;6;3;3;2;4;9;7;0;1;0;3;1;12;10;5;13;3;7;5;0;4;2;10;1;2;1;1;0;2;0;0;0;0;3;1;7;0;1;0;3;1;0;1;0;3;0;1;0;2;0;1;2;1;2;1;0;0;1;0;0;0;2;0;0;0;0;1;3;0;5;4;1;1;3;4;4;0;0;0;2;0;0;3;1;0;0;0;0
;;5;Keijser, N.J.;161;1;5;0;1;1;2;3;4;1;4;2;8;2;2;1;1;1;8;2;9;4;0;6;0;1;4;1;4;8;3;1;2;1;3;3;0;2;1;0;3;2;0;0;5;0;0;4;1;1;0;0;0;0;1;2;0;1;1;2;0;0;2;0;0;3;1;0;0;0;2;0;0;0;1;0;0;0;0;1;1;1;2;1;1;3;5;0;5;0;1;2;0;0;1;0;1;1;0;0;1
;;6;Lassooij, A.C.;910;13;18;2;2;7;9;16;15;10;10;9;19;14;8;10;3;12;14;29;16;9;7;8;9;18;20;8;20;13;14;25;7;22;13;22;13;18;29;16;9;19;4;4;0;3;13;16;3;5;7;2;2;4;5;10;6;5;8;6;4;11;3;3;11;7;13;3;0;0;2;0;2;0;0;0;0;0;0;4;4;9;6;20;17;13;12;10;22;2;10;7;18;10;10;0;2;3;9;5;0
;;7;Folla, A.;146;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;2;0;5;1;0;0;1;0;4;0;0;11;14;8;10;12;10;7;13;1;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;13;13;0;0;0;0;0;0
;;8;Drenth, L.;45;0;1;0;0;1;0;0;1;0;0;0;2;0;1;2;0;2;1;1;0;1;0;1;0;0;4;2;1;1;4;2;0;1;0;2;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;1;0
;;9;Brekelmans, J.J.;321;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;2;0;0;25;44;29;7;18;13;14;24;9;8;20;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;3;0;0;0;6;23;22;25;0;2
;;10;Saba, N.M.;126;0;0;0;0;2;0;0;0;0;1;2;0;0;3;1;2;1;0;0;0;3;0;2;0;2;3;0;4;4;2;2;1;3;2;5;1;4;4;1;5;11;1;4;0;0;2;2;1;0;1;0;1;2;0;2;3;1;2;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;2;1;1;2;2;9;0;3;0;0;0;1;0;0
;;11;Oene, C.;161;3;0;0;0;1;1;0;4;0;0;1;0;0;1;0;1;2;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;4;0;2;0;1;1;0;0;2;0;2;0;0;11;12;10;13;21;3;2;5;1;2;0;0;2;1;0;5;2;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;3;0;2;0;2;3;14;0;1;0;4;0;2
;;12;Ketzer, F.;97;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;2;2;0;5;0;0;1;0;8;16;8;6;4;4;0;5;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;9;5;0;2;0;1;0;0
;;13;Teeling, M.M.;72;1;2;1;0;1;1;1;3;0;2;0;1;0;2;0;0;2;3;1;1;3;1;0;0;3;1;0;4;2;2;3;0;4;0;4;0;0;1;2;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;2;0;2;0;0;0;0;1;0;0;0;1;0;0;0
;;14;Folla, D.;39;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;1;0;2;1;1;0;1;0;0;2;1;0;5;3;1;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;0;0;0;0;0
;;15;Dekker, M.;109;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2;0;0;0;4;1;0;1;2;0;1;0;2;0;0;1;0;1;1;0;2;0;0;5;8;3;8;6;3;3;4;3;3;0;0;1;2;2;2;2;0;1;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;0;1;0;0;1;0;4;5;0;1;1;0;2;0;2
;;16;de Wal, K.A.;70;3;2;0;0;2;0;0;5;1;1;0;5;1;2;0;0;1;5;1;2;5;1;0;0;1;0;1;0;0;0;0;0;1;1;3;0;1;0;1;1;0;0;4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;4;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;1
;;17;de Lange, A.M.;336;0;1;0;0;2;1;1;2;1;0;1;0;1;0;0;0;2;1;4;0;0;0;0;0;0;3;3;1;0;0;2;0;2;1;1;3;0;3;1;3;5;1;0;1;3;37;34;21;21;13;12;15;7;3;6;9;0;7;3;2;10;1;3;8;4;5;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;2;0;0;0;0;0;1;2;4;16;20;2;4;1;7;0;1
3;Partij van de Arbeid (P.v.d.A.);;;6979;98;91;45;90;81;122;74;162;108;67;59;69;125;72;101;27;93;81;140;73;100;72;96;29;68;127;73;121;167;106;147;47;147;103;174;45;110;157;97;64;118;23;42;28;43;112;73;53;52;105;53;36;86;47;100;66;32;57;62;56;106;46;44;98;63;79;25;2;4;6;6;7;3;4;7;2;5;5;54;57;55;73;62;65;80;110;66;122;41;56;57;84;73;94;29;56;48;57;11;45
;;1;Tuijn, R.C.;3077;32;36;13;21;19;47;27;66;31;34;28;34;51;31;36;13;37;37;63;29;33;34;53;12;27;55;30;58;47;35;51;22;60;47;79;16;40;76;45;28;58;9;24;18;17;48;43;19;37;59;31;20;49;28;45;29;19;34;27;32;31;18;20;37;36;31;7;0;4;5;6;3;2;4;3;1;5;4;13;4;20;32;40;39;33;45;39;75;24;25;31;47;48;52;14;21;24;21;5;29
;;2;Köseoglu, E.;1475;21;24;14;33;27;32;18;42;26;7;9;15;21;13;23;3;31;9;15;16;25;10;23;5;11;30;16;22;45;22;38;6;32;17;27;8;20;36;16;19;18;5;6;3;12;26;10;8;7;20;5;5;12;9;29;15;6;7;21;7;42;13;12;30;10;12;6;0;0;0;0;1;0;0;2;1;0;0;20;28;9;17;3;5;21;29;9;21;4;8;14;14;9;13;6;18;10;19;1;10
;;3;Pietersma, T.;187;1;0;1;1;13;3;4;3;4;2;2;3;4;4;2;0;1;4;6;1;1;6;2;2;0;4;3;2;11;3;4;3;8;5;5;1;3;2;1;2;5;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;3;3;0;0;0;0;0;0;0;0;1;0;0;0;3;2;3;5;2;0;2;2;0;2;0;1;2;2;2;3;1;0;2;2;3;0
;;4;Kara, K.;421;3;13;5;15;9;17;4;19;10;3;2;7;12;7;8;0;4;5;4;2;8;5;4;2;19;5;3;15;23;12;11;3;12;9;6;2;4;9;7;2;2;0;1;2;2;2;0;3;0;0;2;1;2;0;3;1;0;2;3;0;6;5;0;4;0;3;2;1;0;0;0;0;0;0;0;0;0;1;6;9;5;2;5;7;1;7;3;5;0;4;1;2;2;2;0;0;0;1;0;1
;;5;Rijken, G.T.;351;3;5;0;0;2;4;5;5;4;2;3;4;7;4;6;2;3;5;20;6;3;2;5;0;3;7;3;7;11;4;15;2;11;8;12;9;13;7;15;1;8;1;0;0;4;1;1;2;1;1;6;2;1;2;2;0;3;3;3;1;5;3;3;3;3;5;5;0;0;0;0;0;1;0;0;0;0;0;3;1;4;3;3;5;4;5;5;6;2;2;0;2;1;2;0;0;1;2;0;2
;;6;Visser, M.;569;5;5;5;5;5;9;3;11;7;9;12;2;15;7;15;5;7;14;17;6;14;6;4;4;6;13;8;11;12;20;11;2;12;7;26;2;11;15;2;6;14;1;4;2;3;4;1;6;1;3;0;4;8;2;7;4;0;4;3;1;5;2;1;8;8;11;3;1;0;0;0;3;0;0;0;0;0;0;6;5;6;6;4;4;7;8;5;5;10;5;5;8;0;4;3;1;4;1;0;2
;;7;Stokebrand, H.;40;2;1;0;0;1;0;6;0;1;1;0;0;2;0;0;1;0;0;1;0;2;2;1;0;0;0;0;1;0;0;1;0;2;1;3;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;Brommet, J.E.;135;2;2;2;1;3;2;2;1;0;2;0;0;0;1;1;3;1;1;1;2;4;2;0;0;1;1;6;4;6;3;6;3;3;2;3;2;6;3;1;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;1;2;0;0;1;1;1;2;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;1;4;2;1;0;4;0;1;2;3;2;6;1;1;0;0
;;9;Eijzinga, W.G.;70;17;0;0;0;0;1;0;2;2;2;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;1;0;2;2;3;3;0;2;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;3;1;2;0;0;0;0;0;0;0;0;1;2;0;0
;;10;van Duivenvoorde, H.C.P.;124;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;3;1;1;0;1;3;2;1;1;0;0;7;5;3;2;1;2;0;1;5;7;13;0;4;0;6;4;1;3;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;4;0;0;2;6;4;4;1;0
;;11;Vroom, J.R.;96;7;2;1;6;0;3;0;3;9;0;2;0;0;0;2;0;1;0;5;3;0;0;2;1;0;3;2;0;1;2;2;0;0;0;2;0;4;3;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;1;1;1;0;0;0;2;2;0;0;2;0;0;0;1;0;0
;;12;Klemann, V.A.M.;100;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;14;9;10;4;12;6;3;6;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;11;0;0;0;0;0;0
;;13;Spiekstra, R.;43;1;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;3;0;0;0;1;1;0;3;1;0;0;0;3;2;1;3;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;4;0;1;0;0
;;14;Damman, M.;43;0;0;0;0;0;0;1;1;0;1;0;0;4;0;0;0;0;2;3;0;2;3;1;0;0;1;1;0;0;0;0;2;1;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
;;15;Mutluer, S.;248;4;3;3;8;2;4;3;8;10;3;0;2;8;4;7;0;6;4;3;7;4;2;1;2;1;6;1;1;9;4;8;2;5;4;5;2;6;2;4;2;4;0;1;1;2;2;3;0;0;3;0;0;4;1;1;0;2;0;1;5;4;0;0;4;1;3;0;0;0;1;0;0;0;0;1;0;0;0;2;2;1;3;2;1;9;5;2;4;0;0;2;3;1;2;1;0;1;1;1;1
4;ROSA;;;5142;33;57;13;20;44;35;43;53;35;51;85;50;65;45;54;10;88;56;90;46;105;67;88;30;31;42;33;104;120;42;153;31;153;130;214;60;123;73;35;79;102;13;41;29;58;185;79;66;56;49;36;33;84;36;60;63;16;59;22;24;48;13;11;48;73;85;35;1;1;0;0;2;0;1;6;1;0;0;17;16;33;40;45;48;55;90;92;113;40;36;50;99;53;67;10;28;18;26;17;27
;;1;Groothuismink, N.J.;2642;15;24;5;9;16;16;23;23;22;15;34;21;27;20;30;6;60;36;49;19;53;29;30;11;14;22;18;51;55;27;73;16;66;54;119;30;64;41;17;37;39;5;26;17;20;125;55;38;34;36;27;22;53;22;21;21;5;38;11;13;30;9;3;21;35;43;13;1;0;0;0;1;0;0;4;1;0;0;7;9;13;18;22;27;30;43;49;64;23;22;24;44;40;48;6;19;11;13;6;18
