Verkiezing;;Gemeenteraad Zaanstad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaanstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gymzaal Wibautstraat, INGANG SPARRESTRAAT;Stembureau Handboogschutters Czaar Peter;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau Zaans Natuur en Milieu Centrum;Stembureau ICBS de Windroos, INGANG PINASSTRAAT 4;Stembureau Gymzaal Blaise Pascal College;Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN 174;Stembureau Gymzaal Noorderven;Stembureau De Paaskerk;Stembureau CBS Tamarinde,INGANG J.C. VAN WESSEMSTR;Stembureau Wijkcentrum Dirk Prins;Stembureau Buurthuis de Kolk;Stembureau Sporthal de Struijck, INGANG PROF.STRUIJCKENSTRAAT;Stembureau De Noorderkerk;Stembureau Basisschool Kogerveld;Stembureau Gymzaal Veldbloemenweg;Stembureau Buurtcentrum de Bovenkruier;Stembureau Sporthal de Tref;"Stembureau Speeltuinvereniging ""Het Havenkwartier""";Stembureau Het Zaantheater;Stembureau Het Tolhuys aan de Zaan;Stembureau Atletiekvereniging Zaanland;Stembureau Zaan Hotel;Stembureau Buurtcentrum De Zeskanter;Stembureau Gymzaal Meverstraat;Stembureau De Volleyhal;Stembureau Brandweerkazerne Houtveldweg;Stembureau Stadhuis van Zaanstad;Stembureau Best Western Zaan Inn;Stembureau Cultureel Centrum Bullekerk;Stembureau Buurthuis De Doorbraak;Stembureau Kerk van de Nazarener;Stembureau Buurthuis Het BrandtWeer;Stembureau Buurtcentrum De Vuister;Stembureau Basisschool de Golfbreker;Stembureau Apostolisch Genootschap;Stembureau Gymzaal Fortuinweg;Stembureau ZFC Orkest & Muziekschool;Stembureau Gymzaal Goudastraat;Stembureau Buurtcentrum De Lorzie;Stembureau Gymzaal Anemoonstraat;Stembureau Vereniging de Bloesem, complex de Amandelbloesem;"Stembureau Dorpshuis ""De Noorddam""";Stembureau De Wormerveerse Vermaning;Stembureau St. Petrusparochie, INGANG KERK;Stembureau Dependance basisschool de Hoeksteen;Stembureau Gymzaal Braillestraat;Stembureau De Durghorstplantsoen;Stembureau Gymzaal Jupiterstraat 139 Evenaar;Stembureau Odd Fellow Huis;Stembureau Basisschool de Hoeksteen;Stembureau Buurtcentrum de Pelikaan;Stembureau Kantine vv Assendelft;Stembureau Brandweerkazerne Assendelft;Stembureau Tennisvereniging Overdan;Stembureau Buurtcentrum A3;Stembureau Gymzaal de Springplank;Stembureau BUKO;Stembureau BUKO;Stembureau JongerenHUB Noord;Stembureau Gymzaal Kreekrijklaan 2;Stembureau Gymzaal Beemdgras;Stembureau Het Sociale Winkeltje;"Stembureau Dorpshuis ""De Kwaker""";Stembureau Wijksteunpunt Lambert Melisz;Stembureau Gymzaal Torenstraat, INGANG KERKBUURT 21;Stembureau Evean Oostergouw, HOOFDINGANG;Stembureau Evean Het Erasmushuis;Stembureau Zorgcentrum Mennistenerf;Stembureau Hervormd Centrum Pennemes, HOOFDINGANG;Stembureau Zorgcentrum Nieuw Groenland;Stembureau Zorgcentrum Saenden;Stembureau Evean Westerwatering, HOOFDINGANG;Stembureau Evean Parkzicht;Stembureau Evean Guisveld;Stembureau Evean Acht Staten;Stembureau Evean Rosariumhorst;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau De Noorderkerk;Stembureau De Noorderkerk;Stembureau Buurtcentrum de Bovenkruier;Stembureau Buurtcentrum de Bovenkruier;Stembureau Stadhuis van Zaanstad;Stembureau Stadhuis van Zaanstad;Stembureau Buurtcentrum De Vuister;Stembureau Buurtcentrum De Vuister;Stembureau Apostolisch Genootschap;Stembureau Apostolisch Genootschap;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum A3;Stembureau Buurtcentrum A3;Stembureau Het Sociale Winkeltje;Stembureau Het Sociale Winkeltje;Stembureau Wijksteunpunt Lambert Melisz;Stembureau Wijksteunpunt Lambert Melisz
;aangetroffen stembiljetten;;;55668;609;777;281;438;622;714;573;1025;602;509;502;638;708;502;656;230;664;666;1042;681;799;456;592;251;519;875;541;933;1162;697;1074;310;1106;914;1704;462;822;1183;549;614;1087;227;482;296;338;1105;1136;528;520;869;459;318;661;615;989;822;338;542;570;405;966;357;414;971;727;777;269;20;20;52;44;48;10;50;47;8;20;18;241;407;343;460;350;520;512;766;608;996;270;351;525;686;583;755;228;419;409;630;171;311
;meer stembiljetten dan toegelaten kiezers;;;16;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0
;minder stembiljetten dan toegelaten kiezers;;;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;28;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;6154;22;46;14;8;35;42;64;123;70;29;35;61;62;37;52;16;41;97;111;76;75;53;55;25;53;130;76;92;103;84;92;9;130;83;167;72;88;151;50;71;82;20;25;59;44;126;198;64;39;140;64;28;59;106;115;122;28;72;102;62;192;72;97;169;102;135;47;2;1;0;1;5;2;1;3;0;1;1;16;24;22;30;31;44;61;73;50;82;30;43;35;55;60;99;24;36;68;113;21;51
;;1;Onclin, S.;2978;12;30;7;5;13;18;31;56;35;11;15;27;34;18;24;7;24;57;60;43;38;25;26;11;23;42;30;36;45;38;48;2;64;46;88;48;50;83;34;56;55;14;16;40;34;66;93;32;23;58;29;14;29;58;40;62;9;29;42;26;75;31;41;69;35;43;17;2;1;0;0;4;1;0;2;0;1;1;12;12;9;15;19;29;36;40;23;34;18;28;26;42;18;42;9;17;28;42;9;18
;;2;Lopes, F.A.;582;1;2;0;0;2;4;3;4;4;0;0;2;3;1;6;0;3;10;8;3;2;1;1;2;2;7;0;8;13;2;4;4;5;3;16;1;8;7;5;2;3;1;1;4;1;2;4;5;0;2;0;1;4;25;26;18;7;23;31;15;49;20;18;42;4;7;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;4;3;2;4;5;1;8;1;0;3;1;2;6;7;10;16;38;0;5
