Verkiezing;;Gemeenteraad Ouder-Amstel 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Ouder-Amstel;;;;;;;;;;;;;
Nummer;;0437;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis -1403;Gemeentehuis - 1503;Gemeentehuis;Sporthal Bindelwijk;Jan Hekmanschool;Sportvereniging sv Ouderkerk;Dorpshuis - 1403;Dorpshuis - 1503;Dorpshuis;De Kleine Kerk;vv CTO '70
;;29;Krijnen, P;2;0;0;0;0;0;0;0;0;1;1;0
;;30;de Koning, F.P.;8;0;1;1;0;1;0;1;3;1;0;0
3;D66;;;1057;46;89;184;159;190;108;14;34;105;84;44
;;1;van den Brink-van Agtmaal, W.M.M.;546;29;61;99;90;115;63;8;8;28;30;15
;;2;Ledegang-de Ruiter, M.L.;111;5;7;30;25;13;19;0;1;6;4;1
;;3;van Dijk, R.;28;2;2;7;2;7;3;0;0;1;4;0
;;4;van Rooy, A.;146;1;1;2;2;2;1;3;20;54;36;24
;;5;van Woerkom, C.S.;24;0;0;1;1;0;1;2;1;10;5;3
;;6;Hatenboer, M.;4;0;0;0;0;0;0;0;0;0;3;1
;;7;Berndsen, D.W.M.;65;5;5;18;10;16;8;0;0;3;0;0
;;8;de Jonge, W.J.;29;0;2;6;12;9;0;0;0;0;0;0
;;9;Houppermans, H.P.J.;19;0;1;6;0;11;1;0;0;0;0;0
;;10;de Haan, H.E.;5;0;0;0;0;2;0;0;0;1;2;0
;;11;Jansma, I.M.;21;1;1;1;4;5;5;1;3;0;0;0
;;12;Lankester, R.J.G.;10;0;0;1;5;1;2;0;1;0;0;0
;;13;Jonkers, C.M.M.;5;0;0;1;0;2;0;0;0;2;0;0
;;14;Mahler, R.;24;2;5;10;2;5;0;0;0;0;0;0
;;15;van Keep, S.E.M.;20;1;4;2;6;2;5;0;0;0;0;0
4;GROENLINKS;;;986;33;72;136;117;81;83;39;57;154;154;60
;;1;Soppe, F.A.;467;15;24;57;43;21;29;28;34;93;87;36
;;2;Meesters, A.M.;196;15;29;39;43;31;29;1;1;4;3;1
;;3;de Groot, M.;52;2;4;6;11;18;3;1;1;3;2;1
;;4;Pool, R.A.;68;0;3;5;1;2;4;0;10;15;21;7
;;5;Neve, L.V.;9;0;0;0;0;0;0;1;1;3;1;3
;;6;van Ruitenbeek, E.;10;0;0;4;2;0;3;0;0;1;0;0
;;7;Gringhuis, J.;3;0;0;0;1;0;0;1;0;1;0;0
;;8;Nijman, A.J.N.;8;0;0;0;0;0;0;0;1;1;5;1
;;9;Čače, J.;64;1;6;12;10;6;6;3;1;10;6;3
;;10;de Winter, M.;17;0;5;5;4;0;2;1;0;0;0;0
;;11;de Maa, J.J.;24;0;0;1;0;1;2;1;3;3;12;1
;;12;Kreća, L.;51;0;0;6;1;2;2;0;4;18;12;6
;;13;Boomgaars, A.A.M.;17;0;1;1;1;0;3;2;1;2;5;1
5;Natuurlijk Belang;;;1107;51;97;165;144;137;103;31;73;147;103;56
;;1;Bos, J.E.;301;16;20;34;27;31;26;15;15;55;45;17
;;2;Lotterman-Smit, R.;365;21;38;87;77;66;42;1;4;14;7;8
;;3;van Muijden, R.;33;1;3;2;2;1;0;1;7;8;6;2
;;4;Verheul, P.C.M.;153;11;16;31;23;32;26;0;9;2;2;1
;;5;Scheers, M.J.F.;34;0;0;2;0;0;0;4;4;11;5;8
;;6;Klaassen, G.H.;28;1;0;1;2;0;1;1;1;8;9;4
;;7;Blom, J.W.;124;1;12;1;9;5;6;8;25;35;19;3
;;8;Sternheim, L.C.;13;0;2;0;0;0;0;0;1;6;1;3
;;9;Box, R.;3;0;0;0;0;0;0;0;0;2;0;1
;;10;Goudsmit, E.;16;0;1;0;2;0;0;0;6;1;6;0
