Verkiezing;;Gemeenteraad Gooise Meren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gooise Meren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Naarden;Stembureau Wijkcentrum De Plataan;Stembureau Gymzaal Keizer Otto;Stembureau Naarderheem;Stembureau Godelindeschool;Stembureau Wooncentrum Ravelijn;Stembureau Kinderopvang Smallsteps Ridderzaal;Stembureau Witte Kerk;Stembureau Comeniusschool;Stembureau Gemeentehuis Gooise Meren;Stembureau Vrije Evangelische Gemeente, ing. Oud Bussummerweg;Stembureau Gymzaal Huizerweg;Stembureau Wijkcentrum Achter de Linde;Stembureau Apostolisch Genootschap;Stembureau Zorgcentrum Patria;Stembureau Gymzaal Kwartellaan;Stembureau Trefpunt;Stembureau Breeduit;Stembureau Gymzaal dr. Schaepmanlaan;Stembureau GGD Gooi en Vechtstreek;Stembureau Wijkcentrum Spieghelwijck;Stembureau Koningin Emmaschool;Stembureau Spieghelkerk;Stembureau Evangelische Lutherse Kerk;Stembureau Parochie De Sloep Mariakerk;Stembureau Gymzaal Bremstraat;Stembureau Vrije Evangelische Gemeente (ing. F. van Eedenweg);Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Gymzaal P.C. Hooftschool;Stembureau Ontmoetingscentrum De Steeg;Stembureau Wijkcentrum De Rijver;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver
Gebiednummer;;;;;101;102;103;104;105;106;107;108;109;201;202;203;204;205;206;207;209;210;211;212;213;214;215;216;217;218;219;220;301;302;303;304;401;501;502;503;504;505;506;507;601;602;603;604;605;606;607
Postcode;;;;;1411 EA;1411 TT;1411 BJ;1411 HB;1412 HD;1412 AX;1412 CN;1411 EL;1412 BW;1404 EP;1401 GC;1401 GH;1402 WP;1402 TC;1402 HM;1403 BE;1402 CC;1403 NH;1402 BT;1404 GZ;1406 RG;1405 BM;1405 HM;1404 BJ;1404 EX;1402 BD;1401 GC;1406 PW;1398 AN;1398 XG;1399 GS;1399 HH;;1411 EA;1411 EL;1404 EP;1402 CC;1406 PW;1398 AN;1399 HH;1411 EA;1411 EL;1404 EP;1402 CC;1406 PW;1398 AN;1399 HH
;opgeroepenen;;;44730;1371;1643;1452;1338;1249;1018;1443;1569;1352;778;1405;1125;1012;1573;1131;1439;2748;1711;1712;1671;1371;1225;1241;958;1448;1470;1243;1352;1655;1636;1154;1237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;22980;703;740;447;683;771;548;672;428;562;834;519;561;314;587;239;551;1059;592;481;464;335;665;643;400;257;633;447;618;587;630;60;609;90;271;309;542;535;431;186;154;385;297;626;637;379;264;235
;geldig volmachtbewijs;;;3334;74;81;52;110;166;70;70;54;70;91;78;63;38;64;25;67;112;58;57;55;26;133;119;55;24;85;84;96;87;111;445;74;3;33;36;52;42;44;11;12;31;27;79;50;55;35;30
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;26314;777;821;499;793;937;618;742;482;632;925;597;624;352;651;264;618;1171;650;538;519;361;798;762;455;281;718;531;714;674;741;505;683;93;304;345;594;577;475;197;166;416;324;705;687;434;299;265
;geldige stembiljetten;;;26191;771;814;497;791;935;618;738;480;628;915;596;619;351;650;264;616;1162;640;534;516;358;794;759;454;279;718;531;712;665;736;503;682;93;303;344;590;576;474;197;165;416;324;704;683;433;299;264
;blanco stembiljetten;;;61;1;2;1;1;0;0;0;1;3;6;0;3;1;1;0;2;7;4;2;3;1;2;1;1;1;1;0;0;2;0;2;1;0;0;0;2;0;1;0;1;0;2;2;2;1;0;0
;ongeldige stembiljetten;;;65;5;5;1;1;2;0;4;1;1;4;1;2;0;0;0;0;1;6;2;0;2;2;2;0;1;0;0;2;7;5;0;0;0;1;1;2;1;0;0;0;0;0;0;2;0;0;1
;aangetroffen stembiljetten;;;26317;777;821;499;793;937;618;742;482;632;925;597;624;352;651;264;618;1170;650;538;519;361;798;762;455;281;719;531;714;674;741;505;683;93;304;345;594;577;475;197;166;416;326;706;687;434;299;265
