Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis (16-03-2022);Mozarthof School (16-03-2022);Openbare Bibliotheek (16-03-2022);Gooizicht (16-03-2022);Liv inn voorheen De Boomberg (16-03-2022);Parochiehuis, St. Annagebouw (16-03-2022);Parochie Emmaus-Paulus (16-03-2022);Wijkcentrum 'De Koepel' (16-03-2022);De Wijde Blik (16-03-2022);Jongerencentrum De Keet (16-03-2022);Grote Kerk (16-03-2022);Elckerlycschool (16-03-2022);Bavinckschool (16-03-2022);Violenschool (16-03-2022);Intern. school (vh Rembr.sch.) (16-03-2022);Hilversumse Schoolvereniging (16-03-2022);Van Hasseltschool (16-03-2022);Bethlehemkerk (16-03-2022);Gooise Atletiek Club (16-03-2022);Muziekvereniging Beatrix (16-03-2022);Goudenregenschool (16-03-2022);Woond.centr. 'De Egelantier' (16-03-2022);Diependaalse Kerk (16-03-2022);Lorentzschool van 't Hoffplein (16-03-2022);Wijkcentrum Lopes Dias (16-03-2022);Station Hilversum (achterzijde) (16-03-2022);Noorder Begraafplaats (16-03-2022);Pinetum Blijdenstein (16-03-2022);Sterrenschool Hilversum (16-03-2022);Scouting clubhuis 'De Orion' (16-03-2022);Wijkcentrum De Geus (16-03-2022);De Morgenster Kerk (16-03-2022);Jongerencentrum De Mix (16-03-2022);Lorentzschool (16-03-2022);Wijkcentrum 'St.Joseph' (16-03-2022);Wilgetoren (16-03-2022);Evangelische Omroep (16-03-2022);Jan van Rijckenborghschool (16-03-2022);Sporthal De Meent (16-03-2022);’t Luye Gat (16-03-2022);Station Hilversum (voorzijde) (16-03-2022);GBS De Wegwijzer (16-03-2022);Comenius College (16-03-2022);Raadhuis (vervroegd 14-03-22);Grote Kerk (vervroegd 14-03-22);Bethlehemkerk (vervroegd 14-03-22);Diependaalse Kerk (vervroegd 14-03-22);Pinetum Blijdenstein (vervroegd 14-03-22);De Morgenster Kerk (vervroegd 14-03-22);Wijkcentrum 'St.Joseph' (vervroegd 14-03-22);Evangelische Omroep (vervroegd 14-03-22);’t Luye Gat (vervroegd 14-03-22);Station Hilversum (voorzijde) (vervroegd 14-03-22);Raadhuis (vervroegd 15-03-22);Grote Kerk (vervroegd 15-03-22);Bethlehemkerk (vervroegd 15-03-22);Diependaalse Kerk (vervroegd 15-03-22);Pinetum Blijdenstein ( vervroegd 15-03-22);De Morgenster Kerk (vervroegd 15-03-22);Wijkcentrum 'St.Joseph' (vervroegd 15-03-22);Evangelische Omroep (vervroegd 15-03-22);’t Luye Gat (vervroegd 15-03-22);Station Hilversum (voorzijde) (vervroegd 15-03-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;101;111;118;123;128;132;135;137;140;141;201;211;218;223;228;232;235;237;240;241
Postcode;;;;;1217 JE;1217 CM;1217 EH;1217 SH;1217 SV;1211 NE;1216 RN;1216 JC;1216 LD;1216 NH;1211 BV;1215 EG;1214 JS;1214 CJ;1213 BH;1213 BM;1215 PR;1215 JV;1213 NZ;1215 JA;1214 NC;1214 EH;1214 KE;1223 EG;1222 VE;;1222 NL;1217 PJ;1222 TJ;1223 AJ;1221 BV;1223 DA;1221 EM;1223 HN;1223 LD;1223 JK;1213 AC;1222 SX;1218 CB;1218 CR;1211 EX;1217 GS;1217 GH;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX
;;8;van Grieken, R.H.;177;14;0;8;10;3;2;3;0;0;0;0;0;1;1;10;13;2;3;2;2;7;11;32;0;3;0;1;9;0;0;0;0;0;0;0;1;5;1;0;0;5;0;1;2;0;1;0;1;0;0;5;0;1;1;4;2;5;4;0;0;1;0;0
;;9;Proos, R.J.;176;7;0;0;0;3;8;1;5;0;0;5;1;11;4;5;2;0;10;4;0;2;3;1;0;6;11;4;2;1;3;4;6;1;14;5;1;3;2;3;0;4;1;1;8;1;1;0;0;2;1;1;0;2;3;1;1;2;0;3;2;2;1;1
;;10;Jaarsma, H.R.;19;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;2;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0
;;11;van Nistelrooij, J.T.M.;39;1;0;0;0;0;0;0;0;0;0;0;0;1;10;0;1;0;1;0;3;3;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;2;0;0;0;1;0;0;5;0;1;1;0;0;0;0;0;0
;;12;den Boer, M.J.;15;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2
;;13;Zijlstra, G.J.R.;39;0;2;1;1;1;0;1;0;0;0;2;0;17;1;0;5;0;0;1;0;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Coppes, P.P.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;15;Booijink, I.;8;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Hal, W.C.W.;113;7;1;4;2;1;8;1;0;0;0;2;5;1;7;3;0;1;3;3;3;3;2;1;0;1;1;3;0;3;0;2;7;1;3;4;4;1;0;0;0;5;1;1;1;1;2;1;0;0;0;1;0;0;3;1;0;0;0;4;1;0;0;3
;;17;Markus, J.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;18;Simons-Jongens, P.M.;39;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;3;0;0;0;0;0;6;0;0;1;0;0;1;1;0;0;2;1;4;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;2;0;1
;;19;Groen, P.P.;17;1;0;0;0;0;3;0;1;1;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
