Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis (16-03-2022);Mozarthof School (16-03-2022);Openbare Bibliotheek (16-03-2022);Gooizicht (16-03-2022);Liv inn voorheen De Boomberg (16-03-2022);Parochiehuis, St. Annagebouw (16-03-2022);Parochie Emmaus-Paulus (16-03-2022);Wijkcentrum 'De Koepel' (16-03-2022);De Wijde Blik (16-03-2022);Jongerencentrum De Keet (16-03-2022);Grote Kerk (16-03-2022);Elckerlycschool (16-03-2022);Bavinckschool (16-03-2022);Violenschool (16-03-2022);Intern. school (vh Rembr.sch.) (16-03-2022);Hilversumse Schoolvereniging (16-03-2022);Van Hasseltschool (16-03-2022);Bethlehemkerk (16-03-2022);Gooise Atletiek Club (16-03-2022);Muziekvereniging Beatrix (16-03-2022);Goudenregenschool (16-03-2022);Woond.centr. 'De Egelantier' (16-03-2022);Diependaalse Kerk (16-03-2022);Lorentzschool van 't Hoffplein (16-03-2022);Wijkcentrum Lopes Dias (16-03-2022);Station Hilversum (achterzijde) (16-03-2022);Noorder Begraafplaats (16-03-2022);Pinetum Blijdenstein (16-03-2022);Sterrenschool Hilversum (16-03-2022);Scouting clubhuis 'De Orion' (16-03-2022);Wijkcentrum De Geus (16-03-2022);De Morgenster Kerk (16-03-2022);Jongerencentrum De Mix (16-03-2022);Lorentzschool (16-03-2022);Wijkcentrum 'St.Joseph' (16-03-2022);Wilgetoren (16-03-2022);Evangelische Omroep (16-03-2022);Jan van Rijckenborghschool (16-03-2022);Sporthal De Meent (16-03-2022);’t Luye Gat (16-03-2022);Station Hilversum (voorzijde) (16-03-2022);GBS De Wegwijzer (16-03-2022);Comenius College (16-03-2022);Raadhuis (vervroegd 14-03-22);Grote Kerk (vervroegd 14-03-22);Bethlehemkerk (vervroegd 14-03-22);Diependaalse Kerk (vervroegd 14-03-22);Pinetum Blijdenstein (vervroegd 14-03-22);De Morgenster Kerk (vervroegd 14-03-22);Wijkcentrum 'St.Joseph' (vervroegd 14-03-22);Evangelische Omroep (vervroegd 14-03-22);’t Luye Gat (vervroegd 14-03-22);Station Hilversum (voorzijde) (vervroegd 14-03-22);Raadhuis (vervroegd 15-03-22);Grote Kerk (vervroegd 15-03-22);Bethlehemkerk (vervroegd 15-03-22);Diependaalse Kerk (vervroegd 15-03-22);Pinetum Blijdenstein ( vervroegd 15-03-22);De Morgenster Kerk (vervroegd 15-03-22);Wijkcentrum 'St.Joseph' (vervroegd 15-03-22);Evangelische Omroep (vervroegd 15-03-22);’t Luye Gat (vervroegd 15-03-22);Station Hilversum (voorzijde) (vervroegd 15-03-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;101;111;118;123;128;132;135;137;140;141;201;211;218;223;228;232;235;237;240;241
Postcode;;;;;1217 JE;1217 CM;1217 EH;1217 SH;1217 SV;1211 NE;1216 RN;1216 JC;1216 LD;1216 NH;1211 BV;1215 EG;1214 JS;1214 CJ;1213 BH;1213 BM;1215 PR;1215 JV;1213 NZ;1215 JA;1214 NC;1214 EH;1214 KE;1223 EG;1222 VE;;1222 NL;1217 PJ;1222 TJ;1223 AJ;1221 BV;1223 DA;1221 EM;1223 HN;1223 LD;1223 JK;1213 AC;1222 SX;1218 CB;1218 CR;1211 EX;1217 GS;1217 GH;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX
;;20;Snijders, B.J.B;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;21;van Vliet, M.I.;23;2;0;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;2;0;1;2;0;0;0;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;22;Verfaillie, S.C.J.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;ter Wee, S.N.;8;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Groesz, M.D.;21;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
;;25;Steensma, E.A.M.;27;1;1;0;0;0;2;1;1;0;0;0;0;2;3;0;3;0;1;0;0;2;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;26;Alderse Baas, R.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0
;;27;Zoontjens, J.D.C.A.;17;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;2;0;0;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van der Veen, M.L.;15;1;0;0;0;0;2;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;29;van Oosten, M.F.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schuurmans, C.R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0
;;31;Feenstra, N.;20;3;0;0;0;0;0;1;2;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;32;van de Kerke, V.C.;37;4;2;2;3;3;0;0;0;0;0;1;3;5;0;1;1;0;6;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;33;Koets, M.H.;20;0;0;0;1;0;0;1;0;0;0;1;1;2;2;0;0;0;0;0;0;2;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;34;Bouma, R.;7;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;35;Kroesen, W.M.A.;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Klarenbeek, T.F.J.;5;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van der Wel, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Want, E.G.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1
;;39;den Daas, A.A.S.;70;1;1;0;2;0;0;1;3;0;0;0;2;2;0;3;2;1;2;1;7;3;2;9;0;1;2;1;0;0;1;0;0;2;2;1;0;1;0;0;0;2;0;0;1;0;0;3;0;0;0;2;0;0;0;2;1;2;0;1;0;1;1;1
;;40;Jaeger, M.W.;23;4;0;1;2;0;0;1;2;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;2;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;VVD;;;4927;302;301;136;76;64;77;121;137;36;22;54;142;135;58;137;150;39;150;70;49;126;119;197;13;49;45;89;60;45;67;37;132;46;86;69;44;91;41;96;40;68;22;76;67;21;80;70;49;54;16;27;23;32;103;44;105;108;45;57;20;32;27;33
;;1;Scheepers, A.R.C.;2458;144;131;66;39;23;44;74;84;14;18;25;67;66;35;62;58;22;81;26;23;66;59;87;8;26;24;39;28;22;38;13;73;30;37;34;25;46;13;66;26;33;8;24;30;12;49;39;25;30;10;12;14;18;34;28;64;56;28;25;15;15;14;13
;;2;Fennema, H.H.;317;36;14;8;6;5;4;4;6;2;0;5;5;8;3;7;16;0;7;3;3;5;14;19;0;0;3;5;5;2;3;1;7;3;4;1;0;2;3;5;4;5;5;5;11;3;3;7;0;5;0;3;1;1;16;0;5;6;1;3;0;6;0;3
;;3;van de Linde, H.M.G.J.;538;27;15;17;7;9;8;16;15;4;1;2;24;17;11;13;18;4;10;9;8;21;15;28;4;9;5;11;7;3;8;6;13;3;19;6;6;7;6;7;4;9;3;3;5;3;12;4;1;6;3;3;4;4;8;5;12;10;1;7;1;4;0;7
;;4;Westerneng, T.R.;114;3;7;2;1;1;1;0;1;0;0;0;3;1;0;4;17;0;3;1;2;4;8;12;0;1;0;3;1;0;1;1;1;2;2;0;1;6;1;1;0;0;0;3;1;0;1;2;1;2;0;1;0;1;0;1;0;5;1;1;0;0;1;1
;;5;Zeeuw van der Laan, E.M.;398;27;48;9;3;2;8;6;11;4;0;2;16;10;0;16;8;1;13;5;5;11;7;11;0;5;4;9;6;5;4;2;11;1;12;7;4;5;9;7;2;2;1;7;0;0;3;2;10;3;0;2;0;3;12;3;4;6;4;10;1;0;4;5
;;6;Reijmerink, F.W.;89;10;0;3;0;2;0;0;2;0;0;5;0;3;0;7;8;1;3;0;1;2;2;0;0;0;0;0;2;1;3;0;3;1;0;0;0;4;0;1;0;1;0;5;1;0;1;1;2;1;0;0;0;1;3;1;1;1;2;0;0;1;2;1
;;7;Ekelmans, G.J.;38;1;1;0;0;1;0;3;1;0;0;1;1;4;0;0;0;0;6;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;0;0;3;1;0;0;0;0;0;1;0;0;2;0;2;0;0;1;0;0
;;8;Binsbergen, H.;99;11;3;4;10;6;0;2;3;0;0;1;2;3;1;4;4;0;2;0;0;1;1;3;0;2;2;0;3;1;2;0;1;0;0;0;1;2;5;2;1;1;0;3;1;0;1;0;1;0;0;1;0;1;4;0;1;0;1;0;0;1;0;0
;;9;Muskee, T.;24;3;1;0;0;0;1;0;1;0;0;0;1;1;0;0;2;0;0;0;0;1;0;1;0;3;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1
;;10;Sarihan, M.;66;2;0;1;0;3;2;1;0;0;0;0;1;2;2;1;0;2;1;0;1;0;0;1;1;1;1;0;0;0;0;4;9;1;6;3;0;0;1;1;0;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;1;1;0;6;2;0;0;0
;;11;de Haas, M.M.;27;0;0;0;0;0;0;2;0;2;1;1;2;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
;;12;Joosten, A.G.;26;0;6;3;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1
;;13;Spronk-Van der Plas, J.M.;166;10;7;5;3;2;3;7;4;0;0;4;4;6;3;8;3;2;5;2;0;1;2;10;0;1;1;4;1;0;2;3;5;1;0;2;1;7;1;4;0;4;2;1;4;0;0;3;3;1;0;2;0;2;5;0;2;8;1;2;0;1;1;0
;;14;Vogel, M.F.;81;5;24;4;0;0;0;0;1;0;0;1;1;3;0;0;2;0;1;1;1;1;0;0;0;1;1;2;1;0;0;0;2;1;1;4;0;3;0;0;0;0;0;5;1;1;0;0;2;1;0;0;0;0;5;0;0;3;2;0;0;0;0;0
;;15;Tulner, S.A.F.;18;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;van Osch, M.M.;32;2;0;1;1;0;1;0;0;0;0;0;4;3;0;2;0;0;1;1;0;0;3;0;0;0;0;0;0;1;2;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0
;;17;Gianfreda-Warringa, S.S.;83;6;12;4;2;0;0;3;0;3;2;1;4;1;2;2;2;2;3;1;1;2;1;4;0;0;1;2;1;2;0;0;0;0;0;1;0;2;0;1;2;0;1;6;0;2;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0
;;18;Philipsen, A.J.M.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Leenheer, E.H.;14;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
;;20;Vorstman, N.O.F.;15;2;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;21;Hiemstra, J.A.;37;1;0;0;1;4;1;0;0;0;0;4;0;1;0;0;1;2;2;4;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;2;0;0;0;2;0;0;0;0;0;1;0;0
;;22;van der Schoot, P.;32;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;3;0;0;10;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;2;0;1;0;1;0;0
;;23;Bakker, A.D.;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;ten Broek, C.H.J.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Destrée, H.E.N.;15;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
;;26;van den Broek, C.;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;27;Bouman-Van de Ruit, T.H.;20;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;4;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;28;Roovers, H.K.;8;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Warringa, G.M.;12;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;30;Jooren-Van der Boor, L.E.C.;5;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Fluitman, A.A.G.;53;3;14;2;0;1;0;0;1;2;0;0;0;2;0;0;5;1;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;2;0
;;32;Voorink, F.G.J.;37;2;0;2;0;0;0;1;2;1;0;0;2;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;2;0;2;0;2;0;1;0;0;0;0;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;1;3;2;1;0;1;0;0;0;0
;;33;Verkuijlen, R.;18;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;34;van Gilse, J.P.H.M.;50;1;6;1;1;2;2;1;2;0;0;1;1;0;0;0;2;0;1;0;1;2;2;1;0;0;0;4;0;1;0;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;3;2;0;0;0;0;3;0
4;GROENLINKS;;;4062;157;30;55;30;61;92;72;84;25;12;56;99;121;112;82;56;50;132;16;70;138;80;50;18;130;119;100;32;64;90;78;153;37;160;92;55;105;33;75;28;145;9;30;32;11;59;35;12;63;28;30;19;34;58;38;85;58;12;85;26;48;21;75
;;1;Remmers, M.H.A.;2431;91;18;35;19;33;48;53;53;9;10;24;55;77;64;47;31;30;81;13;42;96;42;39;14;76;60;65;21;44;54;42;90;22;89;45;30;60;24;50;15;81;7;17;20;6;44;21;11;43;17;14;14;19;33;25;59;38;10;47;15;26;18;35
;;2;Hexspoor, S.J.;181;3;3;0;1;3;2;0;3;2;1;3;2;4;3;4;2;1;4;0;6;7;4;0;0;4;6;3;0;6;11;5;15;1;8;7;1;3;0;0;1;3;1;2;1;0;1;3;0;7;3;4;0;1;2;2;8;0;0;4;3;5;0;2
;;3;van Waarden, J.A.;92;2;2;3;0;4;8;2;0;1;0;2;5;4;5;2;0;0;2;1;1;1;5;0;0;2;0;1;0;2;3;3;2;1;3;3;2;0;1;2;0;2;0;0;0;0;0;1;0;1;0;1;0;3;2;0;1;1;0;1;0;1;2;1
;;4;Verhoef, J.;42;2;0;3;0;0;1;0;0;1;0;1;2;1;0;1;1;1;0;1;0;1;0;2;0;0;0;1;0;0;0;1;0;1;2;1;2;1;1;1;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;1;0;0;1;3;0;0
;;5;de Bruijn, W.I.C.;549;21;2;3;4;4;16;6;14;1;0;15;12;13;17;15;7;4;18;1;3;21;10;1;3;18;27;17;3;3;12;15;25;5;33;16;13;19;2;10;4;19;0;3;1;3;2;2;1;4;5;0;2;3;9;4;5;6;1;15;4;5;0;22
;;6;Lomans, R.G.;43;0;0;1;1;3;0;0;0;1;0;1;1;0;2;2;0;0;1;0;2;2;2;1;0;2;2;0;2;0;0;0;0;0;0;8;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;2
;;7;van Drogen, J.;39;1;0;0;1;0;3;0;0;0;0;1;0;2;0;2;2;0;2;0;1;1;0;0;0;0;1;0;1;0;3;0;2;0;0;0;1;1;1;1;0;2;0;0;1;0;1;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;2
;;8;al Ibrahim, H.;136;9;1;4;1;2;2;1;1;4;0;2;3;2;4;0;1;3;3;0;3;0;3;0;0;9;6;2;1;0;0;0;4;2;9;5;0;7;0;1;1;11;0;0;3;1;1;0;0;4;0;1;0;2;6;0;2;5;0;1;0;2;1;0
;;9;Lubbers, L.G.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;10;Boermann, A.B.R.;194;6;3;2;0;3;6;2;3;0;0;3;5;8;8;3;4;4;7;0;5;1;4;1;0;6;7;6;0;7;2;4;9;2;9;3;1;5;0;4;0;9;0;2;3;0;4;2;0;0;2;1;0;4;1;2;4;1;0;9;1;1;0;5
;;11;Kerkhoff, P.C.;12;0;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Siddiqui, M.S.;75;6;0;1;0;1;4;3;4;4;0;0;0;1;2;0;1;0;6;0;1;0;0;0;1;2;0;1;0;0;0;1;2;2;2;0;2;4;2;1;1;4;0;0;0;0;0;2;0;0;0;0;1;0;1;1;0;2;0;2;1;4;0;2
;;13;Spiekerman, S.R.;43;4;0;0;1;0;1;1;1;0;0;0;7;1;1;0;4;0;3;0;1;1;1;0;0;3;2;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;14;Postma, M.T.;12;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Steenkamp, S.;66;2;0;0;0;0;0;1;1;1;1;0;2;2;3;4;1;1;1;0;0;3;3;1;0;3;6;0;1;0;2;1;1;0;1;1;2;3;0;1;0;4;0;1;1;0;0;0;0;0;0;0;0;1;2;1;1;1;0;3;0;0;0;2
;;16;Kool, F.R.;11;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Eendenburg, M.C.J.;16;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;18;van Mastrigt, H.F.M.F.;5;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Meijer, M.;56;2;1;3;0;4;0;0;2;1;0;2;2;3;2;0;2;3;1;0;2;0;1;2;0;0;2;0;1;1;0;3;2;1;2;1;1;0;0;0;1;3;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Heller, B.;46;2;0;0;1;2;0;2;1;0;0;0;0;1;0;1;0;2;1;0;3;0;3;0;0;2;0;3;2;0;2;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;2;0;1;0;0;0;0;2;1;1;1;1;1;0;0;0;0
5;CDA;;;3313;109;70;61;18;30;73;102;123;72;19;27;96;100;44;69;65;48;113;29;56;94;81;123;23;70;38;80;41;34;59;30;99;18;88;77;23;64;29;60;25;40;24;42;33;16;85;34;20;42;15;22;11;18;52;37;105;80;22;44;25;26;14;26
;;1;van Voorden, N.G.T.;1526;24;28;26;5;13;29;52;60;44;6;10;33;53;21;30;30;24;45;14;19;40;46;58;10;31;11;33;10;20;32;12;50;6;49;31;8;32;6;34;15;23;16;15;17;10;47;19;11;24;11;15;5;10;23;22;45;38;14;22;8;17;7;7
;;2;Streutker, D.E.O.;242;10;3;2;1;2;2;8;17;0;5;2;8;5;3;5;2;5;22;0;2;8;2;6;1;2;4;3;3;0;3;2;1;0;2;5;0;5;2;1;0;1;1;3;5;1;18;4;1;2;0;0;0;0;5;1;28;10;2;4;2;0;0;0
;;3;van Exel - van Dijk, J.F.;632;27;22;19;8;6;15;23;26;12;4;7;26;22;10;13;17;10;21;6;11;20;19;26;2;8;3;15;21;3;10;6;22;2;16;9;1;9;4;15;6;7;3;9;1;1;8;3;5;4;0;3;3;0;9;4;15;11;5;9;3;0;2;5
;;4;Postma, G.J.;54;1;1;1;0;1;0;1;0;1;0;0;2;0;0;5;1;0;3;2;3;3;0;1;0;1;1;2;0;0;0;0;0;0;2;1;0;0;0;1;2;0;0;2;0;1;0;1;0;0;1;0;0;0;2;0;3;4;0;2;0;0;0;2
;;5;de Jong, T.;50;1;1;1;1;0;0;2;2;1;0;1;1;1;0;1;0;1;3;0;1;0;1;1;0;1;0;1;0;0;1;1;2;1;1;2;2;0;0;2;0;0;1;0;0;0;6;1;0;4;0;0;0;0;0;0;0;3;0;0;0;1;0;0
;;6;Yorulmaz, A.;156;6;0;1;0;1;4;0;1;2;0;1;1;0;3;0;0;0;1;0;8;3;2;3;8;10;11;6;0;4;0;3;4;3;6;18;9;3;0;0;0;2;0;1;0;0;0;0;0;3;0;0;0;5;1;1;1;1;1;1;8;3;0;6
