Verkiezing;;Gemeenteraad Zeewolde 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zeewolde;;;;;;;;;;;;;;;;;;
Nummer;;0050;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Open Haven;De Kameleon (Evangelische Gemeente Zeewolde);De Schuilhof;Voetbalvereniging Zeewolde;De Verbeelding;'t Kofschip;De Toermalijn;Het Mozaïek;Het Kruispunt;Panta Rhei;Open Haven maandag;De Schuilhof maandag;Het Kruispunt maandag;Open Haven dinsdag;Het Kruispunt dinsdag;De Schuilhof dinsdag
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;Leefbaar Zeewolde;;;4440;567;123;274;160;427;318;405;198;327;269;291;123;171;377;225;185
;;1;Zonneveld, T.C.M.;1827;232;56;117;62;143;137;164;90;143;111;129;37;73;153;104;76
;;2;Hermans, H.L.;202;34;5;13;11;12;11;15;8;5;6;22;17;4;22;8;9
;;3;van Es, E.;550;57;17;21;21;67;29;47;25;42;47;40;12;34;42;36;13
;;4;de Vries, S.J.;408;44;15;24;13;56;32;38;16;37;17;25;9;7;39;15;21
;;5;Sonneveld, B.G.J.S.;146;21;4;12;7;18;9;13;3;10;3;4;9;7;11;7;8
;;6;Jonker, M.H.;88;14;1;4;3;12;4;4;4;11;8;4;1;1;0;15;2
;;7;Ekker, E.S.;114;12;0;13;5;13;5;7;2;11;3;4;8;2;10;1;18
;;8;van den Braber-van Ziel, E.E.;163;11;4;11;8;19;12;18;10;10;16;12;6;7;8;9;2
;;9;Schaaf, T.S.;53;6;1;1;1;12;6;8;2;1;0;2;1;3;6;2;1
;;10;Scheffer, A.S.;22;5;1;1;0;0;0;1;1;3;1;1;0;0;1;5;2
;;11;Ekker-Vording, K.M.;64;8;2;9;1;9;2;8;2;5;2;1;1;5;4;2;3
;;12;Hilbers, P.J.;41;4;0;4;0;4;5;1;0;7;3;3;1;2;1;1;5
;;13;van der Wals, J.S.;44;4;1;3;1;4;9;3;2;2;7;0;0;3;1;0;4
;;14;Visser, H.;28;4;0;0;3;3;0;5;3;0;1;2;2;0;3;2;0
;;15;Prins, W.C.;690;111;16;41;24;55;57;73;30;40;44;42;19;23;76;18;21
2;VVD;;;1115;169;15;62;71;60;88;107;62;117;83;59;19;28;87;54;34
;;1;Huckriede, J.M.A.;614;90;9;39;20;39;51;59;36;59;49;38;10;20;44;32;19
;;2;Visser, H.C.;108;11;3;2;10;2;3;6;5;18;18;6;2;3;10;6;3
;;3;van Puffelen-Dijkstra, R.C.;87;21;1;8;3;3;6;6;5;10;0;6;1;1;10;2;4
;;4;de Groot, J.M.;44;6;0;1;2;3;11;4;1;2;1;3;1;0;8;0;1
;;5;Wortman, M.A.N.M.;169;26;0;6;29;8;12;17;11;13;11;3;5;4;8;11;5
;;6;Kop, S.L.;13;3;1;0;2;0;0;0;1;4;1;1;0;0;0;0;0
;;7;Booi, C.I.;10;1;0;0;0;0;2;1;1;3;0;0;0;0;0;0;2
;;8;de Jong, W.;16;0;0;3;3;0;2;1;0;6;0;0;0;0;1;0;0
;;9;Kokkeler, C.J.;9;1;0;0;0;1;0;0;2;0;2;0;0;0;3;0;0
;;10;Rink, M.;16;3;0;0;1;1;0;7;0;0;1;1;0;0;0;2;0
;;11;van der Es, W.P.;29;7;1;3;1;3;1;6;0;2;0;1;0;0;3;1;0
3;ChristenUnie;;;2172;283;99;162;87;119;125;154;141;251;93;112;68;86;164;148;80
;;1;Baas, A.T.;1082;149;33;76;49;62;82;81;57;108;55;64;29;44;87;60;46
;;2;van de Beld, E.L.;311;41;15;14;8;13;12;25;28;28;11;26;9;13;29;27;12
;;3;den Bakker, G.S.;70;9;2;5;4;1;4;4;3;15;4;1;6;1;7;3;1
;;4;Kremer, A.;23;1;2;2;0;3;1;1;0;3;0;7;1;1;1;0;0
;;5;van Wijk, F.;161;21;6;14;4;10;5;10;9;29;5;0;6;9;12;19;2
;;6;Smit, H.J.;43;3;1;9;0;1;2;6;2;4;2;2;4;3;3;1;0
;;7;Timmerman, K.;36;4;9;3;1;7;1;0;0;3;1;0;0;2;2;3;0
;;8;van der Meulen-Jonker, H.G.;34;5;9;1;2;2;2;2;4;2;2;0;0;0;0;1;2
;;9;Kamsteeg, B.;21;2;0;0;5;0;1;4;0;0;0;1;2;2;1;2;1
;;10;Elsenbroek-de Jager, H.J.;9;1;0;1;0;0;0;1;1;4;0;0;0;0;1;0;0
;;11;Galenkamp, G.A.;42;8;4;1;2;3;0;4;5;7;1;0;1;0;2;3;1
;;12;Kooistra, J.A.;27;2;2;8;0;0;0;4;1;4;1;0;2;0;0;1;2
;;13;van Raalten-Ligtenberg, A.M.L.;31;2;2;5;5;1;1;1;9;1;0;0;1;0;1;1;1
;;14;Vosslamber, X.S.G.;36;2;7;7;0;1;2;1;2;3;1;0;1;3;1;5;0
;;15;de Buck, R.M.;69;9;2;9;3;5;4;3;5;5;3;3;2;2;6;6;2
;;16;Dankers, J.P.;16;2;0;2;0;1;0;1;2;3;0;0;0;2;0;2;1
;;17;Bruining, N.C.A.;13;0;0;3;1;0;0;1;1;0;2;0;0;2;1;0;2
;;18;Petersen, J.N.;12;0;0;0;0;0;2;0;3;4;0;2;0;0;0;1;0
;;19;Petersen-Mekelenkamp, T. F.;14;3;0;1;0;4;0;1;0;2;0;0;0;1;1;0;1
;;20;Winter, M.;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;21;de Putter, W.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;22;Verstraten, J.;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;23;van den Berg, A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;van Daalen, M.;12;4;1;0;0;0;0;0;1;4;0;0;0;0;0;2;0
;;25;van der Bijl-van Veelen, M.J.;10;1;0;0;0;0;0;0;0;0;0;0;1;1;3;4;0
;;26;Hübbers, H.G.F.;18;1;0;1;0;1;1;0;0;5;0;6;0;0;0;1;2
;;27;Bron, E.S.W.;53;5;4;0;1;3;4;1;5;11;5;0;0;0;6;4;4
;;28;Suithoff, E.W.;18;4;0;0;2;1;0;3;1;3;0;0;3;0;0;1;0
4;D66;;;578;103;13;35;17;49;44;56;28;37;44;31;15;18;56;27;5
;;1;Westerhuis, W.J.;438;81;12;26;14;37;36;40;19;27;29;23;12;15;42;21;4
;;2;Sabur, S.;48;8;1;2;2;4;4;5;2;5;1;0;0;3;7;3;1
;;3;van den Broek, C.A.M.;15;1;0;1;0;1;0;1;2;0;6;2;1;0;0;0;0
;;4;Sterk, S.;28;1;0;3;1;1;4;2;0;2;6;2;0;0;5;1;0
;;5;Blom, R.K.;38;10;0;3;0;4;0;6;4;2;2;2;2;0;1;2;0
;;6;Baatje, A.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;7;Sierksma, W.L.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;8;de Muynck, J.;7;2;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0
5;CDA;;;754;107;14;44;62;41;30;51;46;90;24;36;9;30;92;51;27
;;1;de Jonge, E.J.;316;51;5;20;18;15;13;19;22;39;7;12;4;18;40;20;13
;;2;van Dongen - van de Wiel, C. M. B.;140;23;3;7;5;4;9;5;5;25;3;11;1;5;20;10;4
;;3;van der Weide, B. C.;21;3;0;2;2;2;2;2;3;0;0;0;2;0;0;1;2
;;4;Smits, N.;75;10;0;8;5;1;1;5;3;10;8;1;1;3;13;4;2
;;5;Veldhuizen, A.;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;6;Hordijk, E. C.;69;5;6;1;4;12;3;10;4;3;4;5;0;1;6;2;3
;;7;Vels, E. P.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;8;Maris, C.;5;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0
;;9;Klink, W.H.A.;20;4;0;0;3;0;0;1;2;3;0;1;1;1;0;4;0
;;10;Tepper, F.;4;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
;;11;Vels, R. A.;6;1;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0
;;12;Koekoek, A.;18;1;0;0;3;0;1;2;3;0;2;1;0;0;1;3;1
;;13;Butterman, N.;7;0;0;0;1;1;1;0;0;1;0;0;0;0;2;0;1
;;14;Monsma, D.;49;4;0;1;21;2;0;4;0;7;0;1;0;0;5;4;0
;;15;van der Knaap, N.;15;2;0;3;0;1;0;0;0;1;0;2;0;0;3;3;0
;;16;Tepper - Boiten, A. T.;6;1;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0
6;Actief Zeewolde;;;689;118;16;40;36;33;44;74;35;45;21;37;17;17;90;45;21
;;1;van Bruggen, Y.M.;322;57;9;13;19;18;20;45;11;17;17;17;5;7;38;21;8
;;2;Parisius, H.;145;17;1;10;6;5;14;16;18;14;1;6;4;3;15;10;5
;;3;Elderhorst, C.W.;29;5;0;2;2;0;0;3;0;6;1;1;1;0;4;2;2
;;4;van Hout, G.M.;26;4;1;2;1;2;3;3;1;1;0;1;1;0;0;4;2
;;5;Visser, R.E.;20;0;0;1;1;0;0;1;0;0;0;5;0;2;5;2;3
;;6;Doomernik, A.F.L.;3;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;7;Hokke, H.;42;11;2;4;5;0;0;2;0;0;0;3;2;0;11;2;0
;;8;Steijger, C.;22;3;0;1;0;7;2;2;0;2;0;1;0;1;1;1;1
;;9;Loor, M.J.J.;10;2;0;2;0;0;0;0;2;1;0;0;0;0;3;0;0
;;10;Lutjes, G.J.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0
;;11;Zwaan, J.J.;7;2;0;1;0;0;0;0;0;1;0;1;0;0;2;0;0
;;12;de Vries, H.;17;6;0;0;1;0;1;0;0;2;1;1;3;0;2;0;0
;;13;Klop, J.A.;40;8;3;4;1;1;4;2;3;0;1;1;1;3;6;2;0
