Verkiezing;;Gemeenteraad Lelystad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lelystad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige Scholengemeenschap De Rietlanden;Bethelkerk;School Laetare;Wijkcentrum Zuiderzee;Atolplaza;Kerkcentrum Ontmoetingskerk;Gymzaal Voorhof;Waterschap Zuiderzeeland;Buurtvereniging Het Palet;Buurtcentrum De Brink (2);Gymzaal Wold;Sportzaal Horst;Buurtcentrum De Brink (1);Gymzaal Voorstraat (1);Gymzaal Voorstraat (2);Leonardo Hotel Lelystad City Center;Kerkcentrum Het Anker;Voormalige Dokter Herman Bekiusschool;Wijkcentrum De Dukdalf;Gymzaal Punter;Theater Posa;Gymzaal Kindcentrum Warande;Woonzorgcentrum Hanzeborg;Kerkcentrum 't Lichtschip;School De Toermalijn;Kerkcentrum Petruskerk;School De Tjalk;School De Schakel;Gymzaal Lelystad-Haven (1);Erfgoedpark Batavialand;Gymzaal Landstrekenwijk (1);Aeres VMBO Lelystad;Gymzaal De Borg;Stadhuis Lelystad;Kerkcentrum Lichtbron;School De Meander;Gymzaal Lelystad-Haven (2);Gymzaal Schouw Noord;Gymzaal Landstrekenwijk (2);Drive-through Wigstraat;Gymzaal Kindcentrum Warande (2);Hof van Lelystad;Stadhuis - maandag;Gymzaal Landstrekenwijk (1) - maandag;Wijkcentrum Zuiderzee - maandag;Voormalige Dokter Herman Bekiusschool - maandag;Gymzaal Voorstraat (1) - maandag;Gymzaal Lelystad-Haven (1) - maandag;Wijkcentrum de Dukdalf - maandag;Gymzaal Voorhof - maandag;Stadhuis - dinsdag;Gymzaal Landstrekenwijk (1) - dinsdag;Wijkcentrum Zuiderzee - dinsdag;Voormalige Dokter Herman Bekiusschool - dinsdag;Gymzaal Voorstraat (1) - dinsdag;Gymzaal Lelystad-Haven (1) - dinsdag;Wijkcentrum de Dukdalf - dinsdag;Gymzaal Voorhof - dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;150;151;152;153;154;155;156;157;160;161;162;163;164;165;166;167
Postcode;;;;;8233 BZ;8224 AD;8223 ZR;8223 CL;8224 CM;8224 CM;8212 CA;8224 KT;8212 CA;8225 SX;8225 AN;8225 MV;8225 SX;8226 KL;8226 KL;8224 BZ;8231 BH;8231 DN;8242 EK;8242 DL;8242 BA;8245 HW;8232 DC;8243 BW;8243 LR;8243 KA;8232 LT;8243 KW;8244 AH;8242 PA;8245 ER;8232 MB;8226 TA;8232 ZX;8226 TA;8219 AT;8244 AH;8232 ZC;8245 ER;8223 EE;8245 HW;8219 CG;8232 ZX;8245 ER;8223 CL;8231 DN;8226 KL;8244 AH;8242 EK;8212 CA;8232 ZX;8245 ER;8223 CL;8231 DN;8226 KL;8244 AH;8242 EK;8212 CA
;opgeroepenen;;;62961;1279;1226;1747;1760;1863;1748;1372;1535;1460;1598;1703;1507;1498;2043;1896;1689;1583;1550;1758;1726;1534;1228;1636;1768;1730;1539;1633;1701;1382;1784;1183;1203;1719;1057;1689;1712;1398;1492;1119;0;1122;791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;22797;168;334;384;315;388;508;544;284;662;384;516;502;373;390;411;324;740;504;375;377;627;362;623;732;587;537;486;459;370;448;432;415;414;616;810;538;359;377;425;86;342;347;410;195;128;238;220;126;160;181;568;269;186;286;351;159;221;224
;geldig volmachtbewijs;;;2910;37;42;66;50;81;59;63;39;85;35;61;51;39;46;62;31;98;71;40;64;81;59;71;85;63;67;57;41;35;61;57;64;58;60;115;86;52;61;47;23;98;31;34;15;8;27;20;11;16;19;56;38;33;34;52;17;11;27
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;25707;205;376;450;365;469;567;607;323;747;419;577;553;412;436;473;355;838;575;415;441;708;421;694;817;650;604;543;500;405;509;489;479;472;676;925;624;411;438;472;109;440;378;444;210;136;265;240;137;176;200;624;307;219;320;403;176;232;251
;geldige stembiljetten;;;25543;205;376;449;359;465;562;604;318;742;414;573;550;407;432;470;353;835;575;414;435;702;413;691;812;642;603;541;499;404;503;486;474;472;667;916;622;407;438;466;109;436;377;441;209;136;264;238;137;175;200;620;305;219;319;403;176;232;251
;blanco stembiljetten;;;76;0;0;1;1;1;3;2;2;4;3;2;1;2;3;1;1;0;0;1;1;1;4;2;2;3;0;1;0;1;3;3;2;0;3;5;2;2;0;6;0;1;1;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
;ongeldige stembiljetten;;;84;0;0;0;5;3;3;0;3;1;2;2;2;1;0;2;1;3;0;0;5;5;4;1;3;5;2;1;1;0;0;0;3;0;6;5;0;2;0;0;0;3;0;1;1;0;1;1;0;0;0;3;2;0;1;0;0;0;0
