Verkiezing;;Gemeenteraad Dronten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dronten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Meerpaal;De Meerpaal;Kantine Sportvereniging Reaal;Sportzaal De Beurs;Sportzaal De Beurs;Sportzaal De Beurs;Remise brandweerkazerne;Kerkcentrum De Ark;Ontmoetingskerk;Sportzaal De Landing;Sportzaal De Landing;Clubhuis Golfresidentie;Sportzaal De Stal;Sportzaal De Stal;Kerkcentrum De Voorhof;Kerkcentrum De Voorhof;Mimar Sinan Moskee;Dorpshuis De Steiger;Dorpshuis De Steiger;Kerkcentrum De Hoeksteen;De Meerpaal open op 14-03-2022;De Meerpaal open op 15-03-2022;Kerkcentrum De Voorhof open op 14-03-2022;Kerkcentrum De Voorhof open op 15-03-2022;Dorpshuis De Steiger open op 14-03-2022;Dorpshuis De Steiger open op 15-03-2022;Gemeentewerf Drive-in open op 14-03-2022;Gemeentewerf Drive-in open op 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;8251 EX;8251 EX;8253 BA;8253 EA;8253 EA;8253 EA;8251 KP;8251 CV;8251 LD;8251 TJ;8251 TJ;8251 NS;8252 GW;8252 GW;8256 BK;8256 BK;8256 BX;8255 DM;8255 DM;8255 AA;8251 EX;8251 EX;8256 BK;8256 BK;8255 DM;8255 DM;8253 PW;8253 PW
;aangetroffen stembiljetten;;;16666;552;549;949;706;802;761;823;669;748;741;748;691;779;822;558;788;404;513;545;727;562;897;156;357;203;326;127;163
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2573;72;82;156;116;147;156;116;74;76;95;91;217;124;123;114;138;51;48;58;116;101;118;17;57;9;33;31;37
;;1;Hoogezand, B.;1199;31;39;76;54;68;75;72;32;32;51;44;114;73;63;35;52;15;25;35;54;41;51;2;15;4;14;12;20
;;2;van Amerongen, A.;312;13;9;23;15;16;16;11;8;13;14;11;30;12;14;9;15;5;3;4;21;13;20;2;4;2;3;1;5
;;3;Stoker - Dol, G.M.M.;373;8;10;19;16;16;11;10;6;6;4;18;21;8;10;38;41;23;6;4;21;11;13;13;25;1;7;6;1
