Verkiezing;;Gemeenteraad Noordoostpolder 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Noordoostpolder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Harmen Visserplein 1;Gymzaal De Zeevaarder, Skagerrak 3;Gymzaal De Erven Oost, Espelerlaan 71;Spothal Bosbadhal, Boslaan 28;MFC Nieuw Jeruzalemkerk, Cornelis Dirkszplein 10;Brandweerkazerne Emmeloord, Nijverheidstraat 34 Emmeloord;Buurthuis Revelsant, Pallasstraat 65 A;"""Gereformeerde Kerk""""Pro Rege"",	Revelsant 86";Buurth.Espelervaart, Atlantischestr. 18;Buurthuis de Brulboei, Markenstraat 1;Gymlokaal Pampuspad,	Pampuspad 47;Mobiele Unit Buurthuis De Erven, nabij Amstelland 2 Emmeloord;Buurthuis De Erven,Amstelland 2;Mobiele Unit Emmelhage, nabij Poiesz, Jeanne d'Arclaan 185 Emmeloord;Poldertoren Emmeloord, de Deel 25 Emmeloord;Mobiel stembureau met beperkte toegang, diverse locaties NOP;Gymzaal Luttelgeest, Sportstraat 28;PKN Kerk Marknesse, Sluis 1;Sporthal De Triangel, Maanhuizenlaan 10;Gymzaal Kraggenburg, Noordermeent 4A Kraggenburg;Sporthal Evert van Benthem 1, E.P. Seidelstraat 2;Sporthal Evert van Benthem 2, E.P. Seidelstraat 2;MFC Het Rietveld, Ring 19 Nagele;RK Parochiezaal Tollebeek, Vossenburcht 17;Gymzaal Espel, Noorderrand 36 Espel;Sporthal Toernooihal, Toernooilaan 9 Creil;Gymzaal de Kwartslag, Venelaan 3;Gymlokaal Bant, Noordakker 1;Gemeentehuis NOP, Harmen Visserplein 1;Gymlokaal Pampuspad, Pampuspad 47 Emmeloord;Sporthal Bosbadhal, Boslaan 28 Emmeloord;Sporthal Toernooihal, Toernooilaan 9 Creil;Sporthal De Triangel 1, Maanhuizenlaan 10 Marknesse;Gemeentehuis NOP, Harmen Visserplein 1 Emmeloord;Gymlokaal Pampuspad, Pampuspad 47 Emmeloord;Sporthal Bosbadhal, Boslaan 28 Emmeloord;Sporthal Evert van Benthem 1, E.P. Seidelstraat 2 Ens;RK Parochiezaal, Vossenburcht 17 Tollebeek
;kiezers met stembiljet hebben niet gestemd;;;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3301;80;35;106;102;111;28;39;47;135;99;39;52;156;78;74;52;201;140;95;64;115;119;115;133;137;115;173;95;100;29;63;14;35;105;38;93;38;51
;;1;Uitdewilligen, M.B.W.;1672;46;16;62;58;71;14;23;33;85;61;21;24;93;41;44;38;95;95;67;42;30;15;55;43;22;48;58;45;66;18;41;8;27;60;20;57;11;19
;;2;van der Slikke, M.;356;3;3;9;12;8;2;1;3;3;6;3;5;9;7;4;4;5;5;1;11;65;84;20;5;4;9;12;11;3;3;5;1;0;5;2;5;18;0
;;3;Goelema, M.T.;186;8;3;8;9;9;4;7;7;14;11;7;3;12;14;8;5;2;4;1;1;1;0;1;4;1;2;2;3;4;3;1;1;0;15;6;4;1;0
;;4;Geerts, L.;109;0;0;0;1;0;2;0;0;2;1;1;0;1;0;0;1;67;5;1;2;2;0;0;0;0;0;6;8;0;0;0;0;2;3;0;1;3;0
;;5;Bus, J.B.M.;166;1;0;3;0;3;1;0;0;3;1;0;2;1;2;1;0;2;5;2;2;1;1;4;3;99;2;2;2;5;1;9;0;0;2;1;2;0;3
;;6;Wever- van Urk, R.A.;43;1;2;1;2;0;1;0;0;1;2;0;2;2;0;0;0;0;1;0;1;5;9;4;2;0;0;0;1;3;0;1;0;0;0;0;0;2;0
;;7;Post, L.;102;1;1;1;0;1;0;2;0;0;0;0;0;2;0;0;2;1;1;0;0;0;2;0;59;4;0;0;0;0;0;0;1;0;0;1;1;0;22
;;8;Crebas, G.C.;91;3;1;2;1;4;0;0;0;2;1;1;0;2;1;2;0;1;4;2;1;0;1;2;10;4;18;6;10;0;0;3;3;0;1;0;5;0;0
;;9;van der Wal, J.;83;3;0;0;0;1;1;0;0;2;0;0;1;1;2;1;0;3;3;0;0;0;0;3;0;1;3;48;4;3;0;0;0;0;0;1;1;0;1
;;10;Helmons, N.R.;11;0;0;2;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0
;;11;de Vries, C.H.;39;1;0;0;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;17;3;0;3;4;1;0;0;0;0;1;0;0;1;0;0
;;12;van Wieren, J.;41;2;1;0;0;6;0;1;2;5;4;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;3;1;0;0
;;13;Metsemakers, A.A.M.;40;2;0;0;1;0;0;1;0;0;2;0;3;3;0;1;0;1;0;0;0;0;0;1;2;0;11;4;0;0;0;2;0;0;0;1;2;0;3
;;14;Schot, H.;36;0;2;0;0;0;0;0;0;2;0;2;0;0;1;1;0;9;1;1;1;1;0;1;0;0;4;6;2;0;0;0;0;0;0;1;1;0;0
;;15;Langebeeke, G.S.;27;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
;;16;Bogaards-Simonse, H.R.;54;1;0;7;1;1;1;1;0;8;0;2;5;6;3;1;0;1;2;2;0;0;0;1;0;0;0;0;1;2;0;0;0;1;4;1;0;0;2
;;17;Suelmann, H.H.;46;2;0;1;0;2;0;1;0;0;1;0;0;2;0;1;1;1;11;12;0;1;0;0;1;0;1;1;0;3;0;0;0;4;0;0;0;0;0
;;18;de Jong, G.C.;33;0;1;2;0;1;0;0;2;1;1;0;0;0;1;2;0;2;0;0;1;8;4;0;0;1;1;0;0;0;0;0;0;0;0;0;2;3;0
;;19;Reijenga, P.;28;0;0;1;0;3;0;0;0;1;1;0;1;7;2;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;5;0;2;0;0
;;20;Verhage, M.;35;1;1;0;4;0;0;0;0;0;0;0;0;0;1;2;0;1;0;5;0;1;0;1;0;0;8;5;3;2;0;0;0;0;0;0;0;0;0
;;21;Goos, J.C.M.;63;2;1;4;3;0;0;0;0;4;7;2;4;5;2;3;0;0;3;0;0;0;0;1;0;1;0;0;2;1;4;0;0;0;4;1;8;0;1
;;22;Scholtmeijer, H.;5;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Philipsen, A.P.;26;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;19;1;0;0;0;0;0;0;0;0;0;0
;;24;Groen, T.P.R.;9;1;1;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2;ChristenUnie-SGP;;;3405;147;85;131;62;73;29;66;146;243;124;36;79;178;199;91;18;49;129;52;74;101;91;90;332;110;87;66;59;79;30;38;10;25;95;26;58;42;55
;;1;Simonse, J.W.;1721;84;33;60;38;45;12;44;80;124;66;17;40;97;89;46;13;33;84;36;28;50;45;50;99;65;51;31;26;46;21;22;9;16;42;21;27;17;14
;;2;de Boer, S.;270;9;2;1;1;0;2;4;5;9;5;1;2;5;7;6;1;3;9;4;3;3;4;15;103;10;4;0;5;3;2;0;0;1;12;0;2;3;24
;;3;Knijnenberg-Alblas, G.P.;424;15;15;23;5;9;10;4;16;34;25;5;16;29;40;13;0;4;15;3;10;7;9;10;29;11;13;7;7;8;2;3;0;1;17;1;6;1;1
;;4;Abdel Rahman Mahmoud, Y.M.;124;5;10;1;3;4;1;1;7;16;3;5;1;2;20;9;0;2;2;2;0;1;1;2;2;0;3;3;4;2;0;2;0;4;4;0;2;0;0
;;5;Lambregtse-Baan, G.;96;8;2;10;3;5;0;3;6;6;2;3;8;9;7;1;1;0;1;0;0;0;0;0;4;1;2;2;0;4;0;1;1;0;3;0;2;1;0
;;6;van Dijk, T.J.;118;4;11;7;1;0;2;0;5;12;1;0;2;13;16;5;2;0;0;0;0;1;2;2;9;1;4;4;4;0;2;3;0;0;0;1;2;0;2
;;7;Versprille, C.H.;51;2;0;0;0;0;0;0;0;1;0;0;0;1;2;2;0;3;1;0;17;3;4;2;1;0;1;0;0;2;0;1;0;0;2;0;2;4;0
;;8;Geersing, J.E.;59;3;4;7;0;4;1;0;8;5;1;0;0;2;2;0;0;0;1;2;5;0;2;0;4;0;2;2;1;0;1;0;0;0;0;0;1;1;0
;;9;Simonse, J.N.;116;8;1;4;0;2;0;0;1;2;2;1;0;3;0;0;0;1;4;3;2;22;13;0;9;11;2;0;3;2;0;1;0;1;6;0;0;12;0
;;10;Koers-Haasnoot, M.F.;74;2;4;5;7;1;0;0;3;15;1;2;3;6;2;1;0;0;2;0;2;2;0;2;3;1;3;1;0;1;0;0;0;0;2;1;1;1;0
;;11;Aalvanger, J.;20;3;0;0;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;12;Ringelberg, P.;28;1;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;13;0;1;0;0;0;0;1;0;0;1;0;0;0;2
;;13;Bos, J.P.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;13;5;0;0;0;0;0;0;0;0;0;0;0;0;3
;;14;de Jong, A.;14;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;1;0;0;1;2;0;0;0;0;0;0;0;0;0
;;15;Bom, J.;19;0;1;0;0;0;0;0;2;2;2;0;0;0;0;1;0;0;1;0;0;4;0;1;0;0;0;0;2;0;0;1;0;0;1;0;1;0;0
;;16;Quist, C.J.;51;0;0;3;0;0;0;0;2;3;2;2;3;1;2;1;0;0;3;2;0;1;1;0;14;0;0;2;2;1;0;0;0;0;0;0;0;0;6
;;17;Schenk, J.J.;9;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bosma, J.C.;23;0;1;0;0;0;1;0;2;3;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
;;19;Stehouwer, P.J.;8;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Lascher Punt, M.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;21;Beswerda, F.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
;;22;Glas-Duizendstra, B.;14;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;1;0;0;0;1;3;0;0
;;23;de Vries, K.;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;24;Kempenaar, J.;49;0;1;6;2;2;0;1;2;4;6;0;2;4;1;0;0;0;1;0;2;0;0;0;1;1;0;1;0;2;0;0;0;2;1;1;6;0;0
;;25;Mol, A.C.;5;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Keulen-Nentjes, H.;18;0;0;1;0;0;0;0;1;0;3;0;0;1;2;2;0;2;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0
;;27;Pleijsier, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Poppe, A.;26;2;0;0;1;1;0;0;0;2;1;0;0;0;0;0;1;0;1;0;4;1;0;5;2;1;0;1;0;2;0;0;0;0;1;0;0;0;0
;;29;Zandijk, A.A.;20;0;0;0;0;0;0;2;1;1;0;0;1;1;0;1;0;1;0;0;0;0;3;1;0;0;1;1;3;0;0;1;0;0;0;0;2;0;0
3;Politieke Unie;;;3659;104;54;98;127;113;16;40;57;117;73;38;58;103;134;107;6;133;242;153;196;126;120;161;130;163;196;162;188;58;15;46;15;42;94;24;74;44;32
;;1;van Steen, T.;1283;48;26;43;58;47;9;12;25;50;44;8;27;41;51;38;2;36;78;40;64;33;34;55;21;35;41;55;117;21;8;17;4;8;36;6;21;20;4
;;2;Heerspink, A.L.;325;14;5;12;7;28;2;5;8;15;7;6;9;22;11;16;0;2;12;7;10;20;17;16;3;4;9;4;11;4;2;4;0;0;12;8;9;0;4
;;3;Langenberg, T.E.;305;4;1;8;6;3;1;3;0;4;4;2;1;2;10;6;1;3;13;11;6;4;3;10;4;25;110;27;11;1;0;2;7;1;4;0;2;2;3
;;4;Evers, A.;119;1;4;0;3;1;1;0;0;4;1;1;2;3;1;1;1;2;0;1;2;33;28;3;0;0;2;3;2;2;1;1;0;1;0;1;3;9;1
;;5;Tuinenga, A.;117;2;0;1;8;5;1;3;2;0;2;3;1;2;5;6;0;8;2;7;5;4;3;8;2;2;0;8;7;2;0;1;0;1;7;1;7;0;1
;;6;Knobbout, Y.;125;11;4;9;5;6;0;0;1;13;2;1;5;7;6;8;0;0;1;2;3;0;5;2;4;1;3;0;0;4;0;6;1;0;7;0;7;0;1
;;7;Ritsema, W.A.;58;2;1;0;4;0;0;1;2;9;1;0;1;5;3;6;0;0;4;0;0;2;1;0;0;0;1;1;3;3;0;2;0;1;1;1;2;1;0
;;8;Leijten, E.M.;226;5;2;5;10;4;0;2;3;2;2;1;3;4;10;6;1;5;6;9;8;9;6;10;56;14;7;4;5;1;2;1;2;2;5;0;2;1;11
;;9;Deen, M.J.A.;92;0;0;1;3;1;1;0;1;2;0;1;2;1;0;2;0;0;40;19;3;1;1;0;0;2;0;1;0;1;0;0;0;6;0;0;1;2;0
;;10;Jonker, J.A.;135;4;2;1;6;6;1;2;2;2;0;0;1;3;6;3;0;22;13;18;4;0;3;3;0;0;0;1;4;1;1;1;0;11;6;0;7;0;1
;;11;Dieleman, M.;56;1;0;3;3;2;0;3;3;2;2;4;3;2;4;2;0;0;2;2;0;1;0;1;1;0;1;0;2;4;0;3;0;1;3;0;1;0;0
;;12;van Egmond, F.;120;2;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;2;8;2;66;3;2;3;3;6;5;2;5;0;0;0;0;1;0;0;2;2;1
;;13;Haagsma, W.C.;188;5;1;2;4;3;0;3;4;7;0;2;0;7;7;3;0;5;41;29;8;6;6;4;2;0;3;2;1;7;0;2;0;8;7;2;6;1;0
;;14;Timmermans-Scholtens, A.J.;68;2;0;0;1;1;0;3;1;0;1;0;0;1;2;0;0;24;4;0;2;0;3;13;0;0;0;4;0;2;0;1;0;0;1;1;0;0;1
;;15;Lumens, J.J.;35;0;0;0;2;0;0;0;2;2;1;6;1;1;2;3;0;1;1;0;2;1;0;1;3;0;0;1;0;3;0;0;0;0;0;0;0;2;0
;;16;Westveer, R.;15;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;17;Tuinenga, E.;85;0;3;3;1;0;0;0;1;0;0;2;1;0;3;1;0;1;2;0;0;5;0;29;3;5;5;8;5;0;0;1;0;0;2;1;0;3;0
;;18;Swart, J.T.J.;30;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;19;0;0;0;0;0;0;0;0;0;0;1;0;0;3
;;19;Vos, F.;115;1;3;2;3;2;0;0;0;0;2;0;0;1;3;3;0;0;1;0;0;3;1;0;3;64;6;2;6;0;0;3;1;1;0;0;3;0;1
;;20;Rommens, M.J.W.;21;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;14;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;21;van de Noort, A.J.M.;16;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;22;Ritsema, M.C.;8;0;0;0;0;0;0;1;0;1;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;23;van Elk, E.;15;1;2;0;0;0;0;0;1;1;0;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0
;;24;Loman, A.H.M.;65;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;0;1;0;0;0;1;0;6;5;3;38;4;0;0;0;0;0;0;0;0;0;0
;;25;Koopman, H.;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Poldervaart, S.;11;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Tuinenga, T.;10;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;2;1;0;0
4;VVD;;;1981;77;17;69;92;46;15;37;41;68;50;18;61;118;143;70;6;94;82;49;53;42;53;87;49;56;65;69;69;42;9;35;6;23;63;18;58;19;12
;;1;van Os, J.L.P.;734;30;4;28;28;20;6;21;19;34;18;3;18;51;47;20;2;16;30;13;25;12;17;25;23;19;31;17;24;14;8;19;4;9;34;5;27;8;5
;;2;Verduin-de Vries, C.;373;14;5;10;24;12;2;7;8;13;12;7;21;21;33;24;2;5;11;2;7;8;7;17;6;6;11;12;7;16;0;4;1;2;7;4;15;7;3
;;3;Kromkamp, A.;58;2;0;7;5;1;0;0;2;2;1;1;3;5;9;4;1;0;0;0;2;1;1;1;0;0;2;0;0;1;0;0;0;0;4;1;1;1;0
;;4;Halma, J.M.;70;2;0;1;4;1;0;1;0;3;1;0;2;1;10;1;0;0;16;11;2;0;0;2;0;0;0;1;0;0;0;2;0;6;0;1;2;0;0
;;5;Hofland, J.;34;2;0;1;1;2;0;0;1;5;3;0;1;3;4;1;0;0;0;0;1;1;0;0;0;0;1;0;1;3;0;0;0;0;2;0;1;0;0
;;6;Koopman, J.A.A.;26;0;0;1;3;1;0;0;0;0;0;0;0;4;0;0;0;5;2;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;2;2;1;0;0
;;7;de Jong, J.J.;52;4;2;6;1;0;3;1;1;1;4;1;1;7;6;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;1;4;1;2;0;0
;;8;Vos, Y.T.;83;2;0;1;4;0;0;0;0;0;1;1;1;1;4;6;0;2;0;3;2;2;0;2;4;2;9;15;19;0;0;1;0;0;1;0;0;0;0
;;9;Scholtens, D.B.;115;3;1;0;1;1;0;0;1;0;2;0;4;4;4;2;0;51;4;7;5;2;1;2;1;4;2;2;8;0;0;0;0;1;0;0;2;0;0
;;10;van Ulsen, D.H.L.;91;6;1;0;5;0;0;0;0;2;1;0;1;3;4;1;0;2;7;7;3;2;4;21;5;3;1;4;3;1;0;0;0;1;1;2;0;0;0
;;11;Jongejan, H.M.;86;2;2;11;5;2;1;0;1;1;2;1;0;5;12;2;0;0;2;1;0;1;1;9;0;6;1;6;2;1;1;2;0;0;1;1;2;0;2
;;12;van Erven, J.G.;32;1;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;2;8;13;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
;;13;ten Napel, A.E.;27;2;0;1;0;1;0;3;4;1;2;0;0;0;4;0;0;0;1;1;0;0;1;0;0;1;2;0;0;0;0;0;1;0;0;0;2;0;0
;;14;Hofland-van Soest, K.M.;12;0;1;2;2;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Verduin, G.H.;26;1;0;0;0;0;2;0;0;3;0;2;1;4;2;2;0;0;0;0;0;0;2;0;1;0;0;1;1;0;0;2;0;0;2;0;0;0;0
;;16;Wijnia-Lemstra, J.J.;51;0;1;0;0;2;1;0;0;0;1;1;2;4;1;1;0;1;0;0;1;0;1;3;2;13;3;8;1;0;0;0;0;0;2;0;1;1;0
;;17;Wielenga, B.;44;1;0;0;3;0;0;1;1;1;0;0;0;0;0;0;1;10;3;1;2;4;4;4;2;1;1;0;2;0;0;1;0;0;1;0;0;0;0
;;18;Wijnants, J.E.;67;5;0;0;6;1;0;3;3;2;1;0;5;5;1;3;0;1;5;2;0;1;1;1;0;0;0;3;0;6;0;4;0;2;2;1;1;0;2
5;ONS Noordoostpolder;;;2590;115;68;77;75;100;27;100;55;175;128;38;62;120;98;79;10;55;105;56;88;62;55;111;44;64;53;75;62;74;29;49;10;19;116;30;55;36;15
