Verkiezing;;Gemeenteraad Nunspeet 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nunspeet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Chr. Gereformeerde Dorpskerk;Noord Veluws Museum;De Veluwse Heuvel;Opstandingskerk;Wijkgebouw de Rank;Het Venster;De Veluvine;Kerkgebouw de Ontmoeting;WOC Het Binnenhof;Gymzaal Piersonstraat;De Boaz-Jachinschool;Gynzaal Vierhouterweg;Dorpshuis de Wieken;Dorpshuis Horsterhoek;Manege Wezenland;Kulturhus;Appartementencomplex Nuwenspete;Gemeentehuis;Gemeentehuis;Dorpshuis de Wieken;Dorpshuis de Wieken;Kulturhus;Kulturhus;WOC Het Binnenhof;WOC Het Binnenhof;Opstandingskerk;Opstandingskerk
;;12;van de Weg, E.J.;6;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Peters, B.J.;5;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Veldman, M.;9;0;0;3;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Fijan, J.;13;0;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;16;Bouw, E.;18;0;1;0;0;1;1;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1;3;2;0;0
;;17;Kuijt, A.G.;32;0;0;0;0;1;0;0;0;0;2;0;7;6;0;0;0;8;0;3;1;0;0;1;2;0;1;0;0
;;18;Kloosterman, D.;8;0;0;0;0;0;1;0;0;0;1;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;van Wijngaarden, H.;14;0;0;0;1;0;0;0;0;0;0;0;6;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
;;20;van Panhuis, J.W.;34;1;4;1;0;2;0;0;5;2;2;0;0;1;0;0;7;0;0;2;1;0;2;0;0;0;4;0;0
;;21;van den Hardenberg, H.;18;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;0;2;4;0;0;0;1
;;22;Boeijenga, J.;12;1;0;3;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;23;Heijkamp, D.J.;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;de Haan, J.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;van 't Slot, B.;22;0;0;0;0;0;0;1;0;0;1;0;11;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;26;Westerink, H.W.;18;1;0;4;0;0;0;0;2;2;0;0;1;0;1;0;2;0;0;0;2;0;1;0;0;2;0;0;0
;;27;de Heer, A.;8;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;28;van den Belt, H.T.;14;1;1;0;0;0;0;1;1;0;0;0;3;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;29;Schouten, L.;18;0;0;0;2;0;0;0;0;0;3;0;5;0;0;4;1;1;0;0;0;0;0;0;0;0;2;0;0
;;30;Stoffer, C.;99;0;3;5;3;2;7;3;2;4;10;0;14;8;1;2;3;20;0;1;3;0;0;3;2;0;3;0;0
2;Gemeentebelang;;;5411;447;86;215;274;320;360;181;261;270;561;127;35;72;262;226;177;68;31;278;352;38;119;29;39;168;232;70;113
;;1;van de Bunte, M.;2777;247;53;112;148;171;216;118;148;145;325;57;16;26;92;35;92;28;17;137;198;17;65;11;10;85;119;37;52
;;2;Konings, M.A.;118;8;0;6;8;6;9;0;8;4;12;6;1;0;5;6;1;2;0;7;12;1;0;0;1;1;6;4;4
;;3;Jansen - van den Brink, C.;606;43;8;27;30;24;30;21;31;20;63;21;2;2;44;8;27;5;6;53;37;7;13;7;6;24;28;7;12
;;4;van Rossen, P.V.;53;0;0;1;2;1;8;1;6;5;8;2;0;0;0;1;1;0;1;7;0;1;0;0;0;4;3;1;0
;;5;Juffer, M.J.;151;7;1;11;8;9;6;2;7;13;12;2;0;0;7;1;7;0;4;17;11;2;0;0;0;11;4;5;4
;;6;Pluim - Schaap, A.;293;11;3;2;3;4;6;7;6;5;12;2;3;4;4;154;12;8;0;8;6;0;1;0;9;9;9;0;5
;;7;Koers - van de Brake, K.;138;14;7;5;9;10;10;1;2;6;9;4;0;0;23;0;5;0;0;5;15;5;0;0;0;2;1;3;2
;;8;Mol, M.A.;152;10;3;4;11;9;5;6;11;12;11;9;0;0;12;2;4;0;1;8;7;1;5;0;0;5;8;4;4
;;9;van Olst - Dekker, P.P.;200;21;0;8;15;19;28;7;4;16;14;8;0;1;17;4;2;1;0;2;11;0;1;0;0;3;7;0;11
;;10;Koster, D.;49;5;0;2;3;5;4;0;4;2;5;0;0;0;2;0;2;0;0;3;5;0;2;1;0;3;0;0;1
;;11;Hop, A.;103;8;1;3;9;2;4;0;2;2;7;1;0;0;32;0;0;0;0;5;3;3;13;0;1;3;2;0;2
;;12;Mensink, J.J.;70;0;1;0;0;4;2;1;2;3;2;1;0;38;2;0;0;0;1;4;1;0;0;0;0;1;5;2;0
;;13;van den Hoorn, T.M.;56;0;0;1;1;0;1;1;0;0;0;0;8;0;0;0;1;19;0;0;0;0;1;9;12;0;1;0;1
;;14;Zwinkels, K.E.G.;52;5;0;2;1;3;5;2;0;0;4;2;0;0;4;1;4;0;0;3;2;0;3;0;0;2;7;0;2
;;15;Storteboom, G.;22;1;1;0;0;8;0;0;0;1;3;0;0;0;2;0;0;0;0;0;1;0;1;0;0;1;1;0;2
;;16;Vlijm, H.;70;10;0;4;3;5;1;2;1;6;19;2;0;0;2;0;1;0;1;2;4;0;1;0;0;1;3;1;1
;;17;Vis, D.;41;2;0;1;3;4;2;1;4;2;9;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;3;0;0
;;18;Eskes, W.D.;23;2;0;0;0;0;0;3;3;1;1;0;2;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Olst, L.C.;95;20;2;4;2;5;2;4;6;2;4;0;0;0;7;0;6;0;0;0;10;0;8;0;0;1;5;2;5
;;20;de Jongh, M.A.;31;0;0;2;0;6;0;0;0;5;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;5;0;0
;;21;Blom, W.E.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;22;van Tol - van Geest, J.A.;17;1;0;0;1;0;3;0;1;0;5;0;0;0;0;0;1;0;0;0;3;1;1;0;0;0;0;0;0
;;23;Fidder, M.R.;27;6;0;1;1;5;2;0;0;2;2;1;0;0;1;0;0;0;0;4;1;0;0;0;0;0;1;0;0
;;24;Vissenberg - Bloemsma, H.S.;11;1;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;2;0
;;25;van der Geest, E.H.;34;1;1;4;2;4;2;0;2;0;4;3;0;1;1;0;1;0;0;0;2;0;1;1;0;3;0;0;1
;;26;de Bolster - van der Kris, G.E.M.;29;5;2;4;0;0;4;0;2;0;2;1;2;0;0;0;0;0;0;2;2;0;0;0;0;3;0;0;0
;;27;van Slooten, J.;6;0;0;1;1;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Cleijsen, R.B.J.;10;2;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0
;;29;Gommers, P.P.G.;22;4;0;0;1;0;1;0;0;5;3;1;0;0;0;2;1;0;0;0;3;0;0;0;0;0;1;0;0
;;30;Storteboom, M.W.;149;13;3;10;10;15;5;4;11;13;12;2;1;0;2;3;7;5;0;5;10;0;3;0;0;3;6;2;4
3;ChristenUnie;;;2578;172;61;73;89;111;207;118;111;145;251;50;41;96;138;28;106;81;19;128;146;32;37;23;45;69;101;46;54
;;1;Elskamp-Hofstede, J.M.;1478;104;47;54;65;75;130;75;73;95;153;23;8;16;49;10;65;16;16;88;89;15;11;7;15;51;66;31;31
;;2;Pluim, G.;200;16;3;6;5;6;25;10;12;11;24;7;3;11;2;1;8;2;0;6;11;1;0;1;6;4;10;2;7
;;3;Harteveld, A.;195;7;3;4;7;6;10;2;5;3;9;4;0;1;66;0;2;0;0;3;7;14;25;1;0;4;4;1;7
;;4;Smit, C.T.;127;3;0;0;0;5;0;1;0;2;4;0;15;38;2;0;1;26;1;0;1;0;0;11;15;1;1;0;0
;;5;Marcus, J.;38;1;2;0;0;0;5;0;2;10;7;2;0;0;1;1;1;0;0;0;1;0;0;0;0;2;1;2;0
;;6;van de Steeg, P.A.;135;8;0;1;2;2;1;3;1;1;13;3;13;26;2;1;0;34;0;6;8;0;0;1;5;0;2;1;1
;;7;van den Berg, G.;66;6;2;2;0;4;4;4;3;3;12;1;0;0;1;0;4;0;0;4;7;0;1;0;0;1;6;1;0
;;8;Heikoop, P.A.;17;4;1;1;0;1;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
;;9;van Vliet, H.A.;22;1;0;1;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;6;3;0;0;0;0;0;2;0;0
;;10;van Marrum, E.;31;3;1;0;0;3;4;0;2;2;3;0;0;0;1;0;3;1;1;1;2;0;0;0;0;2;0;2;0
;;11;Slaa, I.M.;12;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;1;0;1;1;3;0;0;0;0;0;0;0;0
;;12;van Hoek, D.J.;10;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;2;0;0;2;0
;;13;Immink, B.J.W.;35;3;0;0;1;2;1;2;0;2;6;2;0;0;1;1;11;0;0;0;1;0;0;0;0;0;2;0;0
;;14;Dollekamp, J.W.;17;2;0;0;0;0;2;0;2;2;2;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;1
;;15;Oosterwijk-Schouten, H.;16;0;0;0;0;0;1;0;1;0;0;1;0;0;2;7;0;0;0;3;1;0;0;0;0;0;0;0;0
;;16;den Hertog, T.C.;9;1;0;0;0;0;0;3;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;17;van Dongen-Kluinhaar, J.;4;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Mulder, W.;5;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van den Nagel, A.W.A.;6;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Marchand, W.H.;7;0;0;0;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;21;van de Werfhorst, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Westerduin, T.C.;55;5;2;0;1;2;15;4;1;4;5;3;0;0;0;0;2;0;0;3;1;0;0;0;0;1;1;2;3
;;23;Schouten, G.;13;0;0;0;2;0;0;0;0;0;4;0;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
;;24;Ekelmans, G.B.;5;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;25;van Veen, J.;9;0;0;0;0;2;1;2;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;26;Leeflang, W.G.C.;6;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;27;Hofman, A.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Vos, A.;5;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;29;van 't Slot, R.J.;37;2;0;1;2;2;2;4;1;1;1;1;0;0;6;0;2;0;0;3;5;1;0;0;0;1;0;1;1
;;30;Jansen, H.J.;12;1;0;0;0;1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
4;CDA;;;1120;63;25;51;51;40;63;40;47;63;86;19;37;80;50;22;19;57;10;56;88;9;19;14;23;21;42;10;15
;;1;Stoffer, W.;654;34;17;31;30;24;33;19;27;50;54;12;31;50;13;7;15;36;8;30;52;4;1;7;17;16;21;6;9
;;2;van Bronswijk, K.M.;97;5;0;2;2;2;3;3;8;0;0;0;4;26;1;0;2;16;0;3;2;1;1;7;6;0;0;3;0
;;3;van Maanen, A.M.;89;7;1;7;1;5;0;5;2;3;16;1;0;3;1;0;2;0;0;9;10;0;2;0;0;2;6;0;6
;;4;Zijlstra, H.;38;4;1;1;1;5;6;1;1;4;4;3;0;0;3;0;0;0;0;1;1;0;0;0;0;1;1;0;0
;;5;Holstege-Mol, A.;68;1;3;0;4;1;3;2;0;1;1;0;1;0;24;1;0;1;0;3;3;4;15;0;0;0;0;0;0
;;6;de Jong-Zwier, G.;39;3;0;2;2;0;1;0;2;0;0;1;0;1;0;11;0;0;2;4;1;0;0;0;0;1;8;0;0
;;7;Dekker-Busch, M.H.;30;1;1;0;1;2;12;2;1;1;0;1;0;0;3;0;0;0;0;0;3;0;0;0;0;1;1;0;0
;;8;Bruijnes, B.;19;2;0;0;2;0;0;2;0;0;2;1;0;0;3;0;0;0;0;2;3;0;0;0;0;0;1;1;0
;;9;Hofman, R.;7;0;1;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Borsboom, H.A.L.;18;4;0;2;3;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0
;;11;Russchen, A.H.;22;1;1;0;0;0;0;4;1;0;3;0;0;0;2;0;0;2;0;1;4;0;0;0;0;0;3;0;0
;;12;Vis, A.;8;0;0;2;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;13;de Boer, U.;9;0;0;0;0;0;3;0;1;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;14;Meijer, J.;22;1;0;4;2;0;0;0;3;2;1;0;1;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0
5;VVD;;;615;47;4;30;34;25;14;14;46;21;38;8;7;6;51;19;30;20;10;47;63;8;12;5;4;19;28;2;3
;;1;Geurtsen, J.;333;25;4;14;10;14;6;7;27;11;21;5;4;5;29;14;14;14;5;29;40;6;8;0;0;10;10;0;1
;;2;Slager, R.H.A.;57;5;0;3;5;2;2;1;3;1;5;2;0;0;4;0;6;1;1;4;7;0;0;0;0;5;0;0;0
;;3;Bootsma, M.S.P.;129;10;0;8;11;5;4;2;8;5;4;0;1;1;14;3;7;5;3;5;9;2;2;1;4;2;9;2;2
;;4;van Emst, L.;21;1;0;0;2;2;0;1;0;1;2;1;0;0;1;0;1;0;0;3;1;0;0;0;0;1;4;0;0
;;5;Geurtsen, P.G.;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
;;6;van Katwijk, C.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0
;;7;Frijlink - Wagenaar, M.B.;28;1;0;3;1;0;0;1;2;2;3;0;2;0;0;2;1;0;0;2;0;0;2;2;0;0;4;0;0
;;8;Norg, C.A.;26;3;0;1;3;2;2;1;3;1;3;0;0;0;1;0;1;0;0;1;3;0;0;0;0;0;1;0;0
;;9;Landmeter - Poortman, D.M.;10;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;805;60;6;50;24;23;25;18;57;42;70;15;9;9;36;51;19;29;6;52;74;10;12;16;7;30;28;12;15
;;1;Kouwenberg, S.M.;353;25;2;25;15;10;12;8;19;20;29;7;4;2;20;13;12;14;3;26;34;3;2;8;1;16;17;3;3
;;2;Timmerman, A.J.;47;4;1;1;0;2;1;4;4;1;5;0;0;2;0;3;2;0;0;2;6;0;1;4;0;1;3;0;0
;;3;Waterman, J.S.I.S.;192;16;1;12;6;10;5;0;19;8;14;4;1;2;11;21;1;9;2;8;16;3;4;3;2;7;2;1;4
;;4;Geertsen-Karel, N.;70;1;0;4;1;0;3;5;2;5;8;0;4;2;1;8;0;2;0;6;5;1;1;0;2;2;3;1;3
;;5;de Zeeuw, J.H.;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;6;von Reth, M.J.;20;0;2;1;0;0;1;0;1;0;5;1;0;0;0;1;1;1;0;2;0;1;2;0;0;0;1;0;0
;;7;Scheen, A.L.;5;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;8;Olthuis, I.V.A.;28;4;0;1;0;0;3;0;3;1;3;0;0;1;3;0;0;0;0;3;2;1;1;1;0;0;1;0;0
;;9;Tijmes, J.H.;13;3;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2
;;10;Scheen-Ouwehand, L.C.;14;6;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3
;;11;de Bruijn, G.A.;6;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;12;van der Spek, A.;5;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Devilee, A.B.;16;0;0;0;0;0;0;0;1;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;2;2;0;5;0
;;14;Liese, T.;8;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;1;0
;;15;Kip, R.A.;16;0;0;1;1;1;0;0;1;2;0;1;0;0;0;0;2;0;1;1;3;1;1;0;0;0;0;0;0
;;16;Top, M.J.;8;0;0;2;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
