Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau NME-gebouw;Stembureau IKC De Tamboerijn;Stembureau Centrum 4.0;Stembureau IKC De Carrousel;Stembureau Kantine Atletiekvereniging de Liemers;Stembureau OBS Het Kofschip;Stembureau Liemers College Zonegge;Stembureau Basisschool Lindenhage;Stembureau Liemers College Zonegge;Stembureau Partycentrum de Griethse Poort;Stembureau Het Musiater;Stembureau De Sterrenschool;Stembureau Brede School St. Martinus;Stembureau Kulturhus De Borg;Stembureau Centrum De Meent;Stembureau Dorpshuis Het Gebouw;Stembureau Hof van Giesbeek;Stembureau Clubgebouw GSV'38;Stembureau Het Gildehuis;Stembureau Basisschool de Tragellijn;Stembureau Dorpshuis De Spieker;Stembureau Dalton IKC De Overlaat;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Dorpshuis De Cluse;Stembureau Dorpshuis Eensgezindheid;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;101;111;118;120;124;201;211;218;220;224
Postcode;;;;;6901 AA;6901 BV;6904 EG;6905 BH;6904 KL;6904 GZ;6903 DK;6903 EP;6903 DK;6903 DK;6901 HK;6901 JZ;6901 KZ;6905 AR;6909 DW;6986 AP;6988 AG;6987 AB;6987 CM;6915 AD;6915 VT;6917 AM;6916 CD;6911 AJ;6914 AL;6913 AC;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ
;;12;Lap, J.H.T.G.;10;2;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;Jansen, H.H.J.;11;0;0;1;0;0;1;0;0;2;0;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Holtman, R.;4;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Bijl, S.H.;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Hoeste-Pouwiel, F.M.;13;2;0;1;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0
;;17;Donker, P.;11;4;1;1;0;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Horsman-Aalders, K.;11;0;0;2;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;19;Schuiling, J.M.;4;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Stougie, R.;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Verstegen, M.G.A.M.;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Ross, J.A.J.;7;0;0;1;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Bless, W.C.M.;18;0;0;0;2;0;1;0;0;0;1;1;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1;4;0;0;0
;;24;Klomp-Kuipers, A.A.T.M.;7;0;0;1;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;VVD;;;1805;114;66;106;112;36;136;84;17;44;14;128;55;50;88;44;51;36;45;29;39;20;9;23;55;20;15;70;52;6;18;4;94;76;11;20;18
;;1;Vos, P.A.;1130;66;50;60;49;22;85;56;12;27;9;83;44;23;40;40;16;20;30;23;24;15;7;13;26;13;9;50;43;5;13;4;67;57;7;14;8
;;2;Koenen, J.M.;291;23;9;21;14;9;32;16;1;10;2;13;7;18;9;2;4;12;5;4;11;3;1;4;8;3;4;10;5;1;5;0;11;6;2;4;2
;;3;de Winkel, P.A.T.;32;8;0;4;1;0;1;0;0;0;0;4;1;3;0;0;0;0;1;1;0;0;0;2;0;1;0;2;1;0;0;0;0;2;0;0;0
;;4;Bloemberg, M.W.;39;3;0;4;6;2;1;3;1;0;0;3;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;1;0;1;0
;;5;ten Westeneind, W.B.J.;48;1;0;0;0;0;1;3;0;2;0;1;0;0;3;0;0;1;0;0;0;1;0;3;16;1;1;1;0;0;0;0;4;1;0;0;8
;;6;Kock, K.A.J.;27;3;1;0;3;0;1;0;0;0;2;2;0;2;1;0;6;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0
;;7;van Rooij, R.;36;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;21;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;8;Stokman, B.H.K.;104;3;0;8;27;1;9;2;0;0;0;7;0;1;30;0;0;0;0;0;0;0;1;1;2;1;1;0;2;0;0;0;4;4;0;0;0
;;9;Thomassen, S.M.A;91;7;6;6;12;1;5;3;3;5;1;14;1;1;2;2;3;2;3;1;2;1;0;0;3;0;0;0;1;0;0;0;3;2;0;1;0
;;10;Voois, M.;7;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
5;SP (Socialistische Partij);;;952;51;36;74;13;27;47;44;18;24;13;51;33;26;16;33;17;18;27;14;20;22;14;39;27;18;9;32;39;7;20;10;35;43;6;14;15
;;1;van der Velden, L.;666;34;27;45;7;21;39;28;14;19;8;37;24;20;14;25;12;11;9;7;16;22;11;32;24;10;8;23;19;2;16;7;24;27;2;11;11
;;2;Dunnink, M.;75;2;0;3;2;1;2;1;0;0;1;1;3;0;0;1;4;6;15;7;2;0;2;0;1;0;1;1;3;4;0;0;3;3;4;2;0
;;3;Schuwirth, W.L.M.;22;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;2;1;1;0;0;0;0
;;4;Zock, B.;73;4;3;13;1;0;4;7;2;1;1;6;3;4;1;3;0;0;0;0;0;0;0;1;0;0;0;0;7;1;0;0;2;6;0;1;2
;;5;Venema, M.W.;21;4;2;2;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;3;0;0;0
;;6;Schmitz, A.L.;46;3;1;6;1;4;2;6;0;0;2;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;1;4;0;0;0
;;7;de Bruijn-de Laat, E.A.J.M.;18;2;0;4;1;0;0;0;1;2;1;1;0;0;1;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Meeuwsen, J.;19;0;3;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4;3;0;1;1;1;0;0;0;0
;;9;van der Schaft, E.R.;12;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
6;D66;;;1295;91;50;68;46;35;125;73;14;58;24;62;35;33;29;38;42;35;35;18;19;15;4;35;25;35;14;44;28;10;11;7;48;57;14;10;8
;;1;Pollmann, P.M.W.;684;43;29;37;19;16;78;50;10;29;16;39;20;19;16;5;25;11;21;7;11;8;2;14;12;13;7;26;14;4;7;4;28;29;8;2;5
;;2;van Bindsbergen, B.;79;4;2;2;1;2;1;5;0;1;0;1;4;4;1;24;1;0;0;0;0;2;1;6;5;0;1;0;1;0;3;0;2;1;0;4;0
;;3;Verkampen, E.;29;6;0;1;6;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;2;5;1;0;0
;;4;Lombarts, J.G.B.A.;15;3;1;0;1;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
;;5;Draisma, R.T.;229;21;9;14;9;9;16;9;3;14;7;4;1;3;6;5;11;6;10;3;4;4;0;4;4;5;3;8;5;5;0;3;7;13;2;1;1
;;6;Kuster, S.E.M.;86;4;5;3;2;4;9;2;1;4;1;11;2;3;3;1;2;1;0;3;3;0;0;3;0;0;0;6;1;0;1;0;4;4;1;0;2
;;7;van Helvert, I.M.;63;4;2;5;5;2;12;3;0;6;0;3;4;1;0;0;2;0;3;0;0;0;0;1;0;1;0;0;1;1;0;0;3;4;0;0;0
;;8;Opdam, J.F.;46;3;1;2;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;3;2;16;1;3;1;0;0;0;1;0;0;3;0
;;9;van Orden, A.H.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
;;10;van Horssen, J.M.;17;0;1;1;2;0;3;1;0;1;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;11;Roosma, E.;5;0;0;0;0;0;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Albers, H.W.M.;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Scheepstra, K.A.H.;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;van der Werf, T.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Willemsen, J.C.N.;11;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0
7;Sociaal Zevenaar;;;793;52;28;56;41;28;39;42;8;40;9;52;32;31;19;20;9;20;31;17;13;17;5;16;11;8;7;15;28;4;2;1;21;42;12;14;3
;;1;Meijer, H.L.M.;347;30;12;20;20;11;18;18;3;17;4;19;16;15;11;8;2;10;12;4;6;7;3;7;7;6;3;6;11;0;0;0;10;18;4;8;1
;;2;Harmsen, J.H.W.;189;16;5;16;9;6;14;9;3;12;2;12;3;8;7;4;5;0;1;2;3;4;2;7;2;1;3;4;7;0;2;0;5;10;0;5;0
;;3;van der Meulen, R.F.;18;1;0;1;1;0;0;0;0;0;0;2;0;0;0;1;1;6;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;4;Ilhan, E.;47;0;3;5;8;1;2;4;1;0;1;6;1;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0;0;1;2;0;0;1
;;5;van Wilsem, F.J.;11;0;4;0;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;6;Kummer, M.J.;63;0;0;5;0;0;1;5;0;1;0;1;1;0;0;0;1;2;16;10;1;2;0;0;0;0;1;0;1;3;0;0;0;5;6;0;1
;;7;Braam, M.I.;49;5;1;3;2;3;1;2;0;4;1;4;5;4;0;2;0;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;1;4;0;1;0
;;8;Verbeten, A.T.P.M.;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Weber, G.E.;10;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
;;10;Freriks, P.J.M.;50;0;3;4;0;7;2;3;0;4;1;6;4;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;3;1;0;0;2;3;1;0;0
8;GROENLINKS;;;1105;78;30;62;48;22;62;45;23;44;22;44;31;27;44;29;33;28;29;19;20;13;22;23;18;29;21;50;28;11;13;9;63;24;14;14;13
;;1;Kagei, B.M.;412;25;13;25;10;8;24;18;12;14;8;19;8;11;16;12;12;6;13;5;6;8;4;10;9;10;11;16;14;5;6;4;21;11;4;7;7
;;2;van Aken, C.P.J.M.;119;13;1;8;8;2;11;5;2;1;4;2;1;2;4;2;5;3;4;2;1;0;1;4;2;5;3;8;1;0;1;0;4;3;1;2;3
;;3;Godschalk, K.;128;10;4;9;17;2;3;5;4;7;3;6;5;5;17;2;0;1;2;0;0;0;1;1;1;2;0;3;2;0;1;1;8;2;3;1;0
;;4;Broersen, G.S.J.;19;0;1;3;1;0;0;0;1;0;0;0;1;2;1;0;0;0;0;1;0;1;0;0;0;0;0;3;2;0;0;0;1;1;0;0;0
;;5;van der Velden, D.M.;258;16;6;13;9;8;10;13;3;17;6;5;9;6;5;10;8;7;6;3;5;2;14;4;5;6;4;14;7;3;2;3;17;5;2;2;3
;;6;Wikkerink, M.C.;21;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;4;2;1;2;0;1;2;0;0;0;2;0;0;0;0;1;0
;;7;Krekel, J.D.;21;2;1;0;1;0;2;1;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;3;2;0;1;0
;;8;Voolstra, A.W.;62;5;1;1;2;2;5;3;1;1;1;9;1;1;1;1;3;2;1;0;4;0;1;1;0;4;1;1;2;1;1;0;4;0;1;0;0
;;9;Slagt, C.;6;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Bergmans, J.M.;15;3;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;0
;;11;Sanders, P.R.;9;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Bouwman, G.J.;35;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;3;9;3;8;0;0;0;1;0;0;0;1;0;2;0;0;1;0;3;0;0
9;Blanco (van Dellen, N.);;;1841;60;13;33;53;13;31;35;16;18;18;44;17;25;32;25;18;67;112;78;147;125;9;139;128;76;15;29;41;28;93;59;40;32;39;99;34
;;1;van Dellen, N.;499;25;3;10;10;7;11;15;5;9;11;16;5;6;4;12;14;24;84;55;10;10;0;4;16;4;1;12;12;23;7;12;8;18;26;10;0
;;2;Winters, J.W.H.;443;8;2;4;3;1;3;4;2;0;1;6;4;6;9;1;1;2;4;8;87;81;2;76;8;7;0;5;5;1;45;3;7;2;0;45;0
;;3;van Loon, A.Y.;257;2;1;3;4;1;6;2;0;1;2;5;0;1;2;4;0;1;3;1;3;6;1;7;95;6;3;2;9;1;4;43;5;2;0;0;31
;;4;du Croix, J.J.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;35;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
;;5;van Essen, E.R.;87;9;1;4;16;0;4;5;3;5;1;5;5;4;4;0;0;0;2;1;0;0;0;0;1;0;0;3;4;0;0;0;5;5;0;0;0
;;6;Buil, E.G.B.M.;90;3;2;3;0;0;1;0;1;0;0;5;2;2;0;4;2;0;0;0;7;3;2;3;1;26;6;1;0;0;12;1;0;0;0;1;2
;;7;Putman, P.J.M.;125;1;0;1;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;17;14;1;29;0;5;4;1;1;0;14;0;5;0;0;27;0
;;8;van Dellen, J.;31;5;1;0;1;1;3;0;1;0;0;3;0;1;1;3;0;0;2;1;0;0;0;0;0;0;0;1;3;0;0;0;2;0;2;0;0
;;9;van der Slikke, J.H.;71;6;1;5;9;2;2;5;1;2;2;0;0;4;4;0;0;2;0;1;5;1;0;0;0;0;0;4;1;0;0;0;7;5;0;2;0
;;10;Amorij, L.M.L.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;;11;Tiemessen, O.F.M.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;12;van Rootseler, R.T.A.;17;0;2;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;13;Lenting, G.C.M.;28;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;1;0;18;0;0;0;1;0;0;0;0;2;0;0
;;14;van de Weerdhof, G.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Foekema-Gerritzen, S.S.M.;49;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;4;0;17;0;1;0;0;0;0;4;0;1;0;0;10;0
;;16;van Loon, F.H.L.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Buil, C.T.C.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;2;0;1;0;0;0;0;0;0
;;18;van Bon, A.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bansberg, K.R.;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;11;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0
;;20;Sebuala, M.C.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;21;Gerritzen, J.M.J.;21;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;2;3;0;2;1;1;0;0;0;0;6;0;0;0;0;3;0
;;22;Siccama, B.;11;0;0;3;3;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Radstake, E.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0
10;Blanco (Witjes, M.H.A.G.);;;761;55;26;33;40;19;34;45;13;15;9;53;18;23;15;12;5;13;11;11;53;25;21;33;31;6;5;22;21;4;11;7;26;22;4;9;11
;;1;Witjes, M.H.A.G.;520;36;19;25;25;12;29;30;10;10;7;36;14;17;10;8;3;12;8;10;26;14;14;19;24;6;4;19;12;2;5;7;19;14;4;4;6
;;2;van Bommel, R.W.M.;37;8;2;4;3;0;0;0;0;0;0;5;0;2;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;4;0;0;1;0;0;2
;;3;Moens-Lenzen, C.J.;66;3;2;0;6;4;3;9;2;2;1;5;1;1;1;0;0;0;1;0;5;3;0;4;0;0;1;2;2;1;0;0;3;3;0;0;1
;;4;Burger, H.S.;64;0;0;2;0;1;0;1;0;1;0;0;1;0;3;1;2;1;0;0;18;5;4;8;7;0;0;0;0;0;2;0;0;0;0;5;2
;;5;Schwirtz, P.C.;13;1;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0
;;6;Futselaar, D.;13;0;0;1;4;0;0;2;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Witjes-Minkhorst, K.;22;2;1;0;1;0;0;0;1;1;0;3;0;2;0;1;0;0;2;0;3;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0
;;8;Hendriks genaamd Modderkolk, R.;13;4;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Langerhorst, R.P.;13;1;2;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
