Verkiezing;;Gemeenteraad Arnhem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Arnhem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Arnhem;Rozet;Loopvis;Buurtcentrum 't Huuske;Koepelgevangenis Arnhem;SIZA (het Dorp);Sionkerk - P.G. Filadelfia;Nederlands Watermuseum;Wijkcentrum De Bakermat;Plantsoen naast gymzaal Bauer;Gymzaal Witsen;Siza;SBO De Klaproos;Rode Kruisgebouw;Rijn IJssel (Vaksch Wageningen);Jan Ligthartschool;De Nieuwe Hommel;MFC Klarendal;Plaatsmaken;Dansschool Yasalsa;Nivon-De Wasserij;Jozef Sartoschool;Prot. Gemeente Nieuwe Kerk (vh. Opstandingskerk);Sportcentrum Valkenhuizen;MFC De  Wetering;Korfbalvereniging Oost-Arnhem;Woonzorgcentrum Vreedenhoff (Ingang Velperweg);De Parkschool;Kantine AV & AC Eendracht;Kantine HAN;Buurthuis De Overkant;MFC Presikhaven;Bethlehemkerk - C3 Rivers Church;Woonzorgcentrum Waalstaete;Wijkcentrum Symfonie;Plantsoen naast Kerkgebouw Gereformeerde Gemeente;Musis Sacrum;Bizar-Bazar in voormalige Lutherse kerk;Buurtcentrum De Lommerd;Stadskantoor;MFC De Spil;Kantine v.v. MASV;MFC De Malburcht;Kantine v.v. Arnhemia;Gymzaal Eimers/ Basisschool Mozaïek;Basisschool Het Mozaïek (gymzaal Fluitekruidstr.);Salvatorkerk;Kerkgebouw Apostolisch Genootschap Arnhem;Wijkaccommodatie Vredenburcht;SWOA De Petersborg;Jongerencentrum De Madser;Rijn IJssel Kronenburgsingel;Dorpshuis Ons Gebouw Elden;Wijkcentrum Elderveld;SWOA De Gaanderij;Wooncentrum Jan Hovingflat;Kerkgenootschap Leger des Heils;Brede School de Laar West;Sport-&Ontmoetingscentr De Laar-West;Basisschool De Laarhorst;Wijkcentrum Boerderij De Kroon;Basisschool De Lingelaar;Gemeenschapsruimte Rijkershof;Sportcentrum Rijkerswoerd;Boerderijcafé De Hooijmaat;Woongemeenschap Bloemenburcht;EBS De Rank;MFC De Salamander;MFC De Omnibus;Kantine v.v. Arnhemse Boys;MFC De Omnibus;Station, ontvangsthal Arnhem CS;Stembureau Trolleybus;Stadhuis Arnhem (maandag);SIZA (het Dorp) (maandag);Rode Kruisgebouw (maandag);Inloophuis Sint Marten (maandag);Sportcentrum Valkenhuizen (maandag);Bethlehemkerk - C3 Rivers Church (maandag);Kantine v.v. MASV (maandag);Salvatorkerk (maandag);Sport-&Ontmoetingscentr De Laar-West (maandag);Sportcentrum Rijkerswoerd (maandag);Kantine v.v. Arnhemse Boys (maandag);Stadhuis Arnhem (dinsdag);SIZA ( het Dorp ) (dinsdag);Rode Kruisgebouw (dinsdag);Sportcentrum Valkenhuizen (dinsdag);Bethlehemkerk - C3 River Church (dinsdag);Kantine v.v. MASV (dinsdag);Salvatorkerk (dinsdag);Sport-&Ontmoetingscentr De Laar-West (dinsdag);Sportcentrum Rijkerswoerd (dinsdag);Kantine v.v. Arnhemse Boys (dinsdag)
;;12;Kuijt, B.X.;44;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;4;1;1;1;0;1;0;0;1;2;0;5;0;0;1;0;0;0;1;0;0;1;2;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;2;0
;;13;Gemici, T.;321;13;8;7;8;15;2;3;11;2;3;3;1;2;2;2;5;8;8;17;8;3;4;10;3;4;3;2;2;0;5;0;7;0;1;0;8;13;3;21;2;4;1;6;5;1;2;2;2;3;2;1;1;4;6;0;0;2;0;1;1;1;0;2;3;0;4;0;2;5;0;3;15;2;2;0;0;3;1;2;0;1;1;1;1;3;1;0;1;1;1;1;1;0;0
;;14;van der Burg, E.;32;1;2;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;4;3;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0
;;15;ten Kleij, L.;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;4;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0
;;16;Trouerbach, K.;85;2;1;3;0;1;0;0;2;0;0;2;0;1;2;0;1;0;2;2;1;0;1;2;0;1;1;1;1;1;1;0;2;0;0;0;0;3;0;2;1;2;0;2;0;0;0;0;2;1;0;1;0;1;5;0;0;3;0;1;0;3;6;0;0;1;3;0;3;1;2;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0
;;17;Vermeer, H.;14;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;18;Hidding, H.C.;6;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Fischer, P.;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Opdam, E.;20;0;0;1;0;1;1;4;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;21;Luger, A.M.;16;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Dekker, A.S.;44;0;1;1;0;2;0;1;0;0;0;1;0;0;0;0;2;1;0;2;1;0;2;3;1;0;1;0;0;1;0;0;0;0;1;1;0;3;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;23;Boogaard, C.J.A.;15;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Babukhan, S.;54;4;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;2;0;3;2;4;3;1;1;2;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;25;de Jong, R.;14;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;26;Wagenvoorde, R.A.;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Koetzier, M.W.;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Zeelen, A.;44;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;2;1;0;0;0;2;1;1;0;0;1;0;0;0;3;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;3;0;0;0;1;0;0;0;1;1
;;29;de Groot, T.;29;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;5;1;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;30;Paping, R.H.M.;32;1;0;0;0;2;0;2;0;1;0;1;0;1;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1;0
2;VVD;;;6527;118;72;34;56;152;38;32;110;212;180;244;199;83;127;78;55;75;29;36;32;130;100;139;83;36;99;154;63;36;74;17;38;30;32;29;72;52;38;55;37;58;40;56;67;31;24;37;101;43;21;43;7;154;75;59;61;39;38;86;33;38;54;60;58;135;125;40;240;108;164;112;34;36;81;50;64;23;25;10;8;19;47;51;57;98;42;74;40;15;16;55;40;71;88
;;1;Pape, S.;3680;63;38;17;30;73;27;18;64;107;52;118;122;48;67;51;27;41;12;19;15;76;66;95;55;19;70;109;36;24;52;9;19;20;17;11;42;27;25;27;23;24;19;26;39;10;13;11;70;24;9;23;6;86;57;33;35;23;30;49;17;21;33;36;38;58;65;23;152;66;108;68;19;16;34;30;36;14;20;7;7;11;41;27;32;55;24;32;25;8;6;17;32;37;47
;;2;Maref, R.;379;11;2;5;1;8;2;4;4;3;8;6;3;1;10;1;6;5;5;7;2;4;5;10;8;3;5;7;3;2;4;1;2;1;2;1;6;8;3;7;2;2;2;4;3;3;2;1;3;4;1;3;0;8;0;6;6;1;0;5;2;6;2;5;4;26;5;2;16;7;13;6;0;3;8;0;0;1;1;1;0;2;0;4;1;12;0;1;3;1;3;1;1;4;6
;;3;Eppich, N.;239;7;5;3;10;12;2;1;5;8;5;5;4;2;6;3;4;5;3;1;2;6;4;2;1;1;1;4;2;1;4;0;0;0;0;1;1;2;2;1;0;0;1;2;0;2;0;0;1;2;1;1;0;3;2;3;1;1;3;3;1;3;1;2;1;5;1;0;17;2;8;10;0;2;1;2;2;1;0;0;1;0;0;1;6;3;3;3;0;0;1;1;2;0;7
;;4;Kumaş, H.H.;94;0;1;0;0;1;0;2;0;2;3;5;4;0;1;0;3;0;1;0;3;0;0;0;1;0;0;1;0;2;0;0;3;0;5;2;2;0;0;2;0;0;1;2;2;4;4;2;3;0;0;0;0;3;0;0;1;3;0;0;1;1;1;1;0;3;2;0;1;1;3;0;4;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;1
;;5;van Engelenburg, A.J.;219;6;5;3;4;7;0;1;5;4;6;7;8;0;3;3;4;6;2;0;2;5;2;6;4;1;2;1;4;1;2;0;2;2;0;0;3;4;1;3;4;1;1;4;2;0;0;3;3;2;1;2;0;6;2;4;3;1;0;1;2;2;3;0;3;6;3;1;6;7;2;1;0;0;1;1;1;0;1;0;0;1;1;0;3;6;0;1;2;3;0;1;0;1;1
;;6;Kalthoff, C.J.M.;211;2;1;2;0;7;0;1;1;4;9;4;3;18;8;8;2;4;2;2;2;5;0;5;1;2;8;2;2;0;2;2;0;0;1;0;4;1;2;0;0;1;1;0;0;0;1;1;2;1;0;0;0;8;1;0;3;0;0;3;1;1;0;1;0;2;2;1;5;3;1;0;2;3;2;5;11;3;0;2;0;0;0;1;1;1;2;6;4;3;0;1;0;2;6
;;7;Moen, B.M.E.;86;1;1;0;2;3;0;0;2;8;17;4;0;0;3;1;1;1;0;3;0;0;0;1;0;0;1;1;2;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;4;0;0;0;1;0;3;0;0;0;2;0;0;0;0;0;1;1;3;2;0;2;2;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
;;8;Wichhart, S.;143;4;1;1;0;5;0;0;2;9;5;0;2;1;2;0;0;0;1;0;3;1;0;1;3;0;0;4;1;2;1;0;1;2;0;1;0;5;0;3;1;1;2;1;1;1;0;0;2;1;0;3;0;6;3;3;0;1;2;7;0;1;3;1;1;7;3;1;8;1;4;1;0;2;1;0;1;1;0;0;0;0;0;0;1;2;0;1;0;0;3;1;0;2;1
;;9;Peters, T.C.;100;1;2;0;0;8;2;0;0;0;0;0;0;3;14;2;4;1;0;1;0;1;0;4;2;4;0;3;4;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;1;1;2;1;2;0;1;0;0;0;1;0;0;1;0;1;0;1;0;2;1;2;1;0;1;0;0;5;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;3;0;1
;;10;van der Lubbe, T.B.;39;0;0;0;0;0;0;2;3;3;1;3;3;0;1;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;11;Cochius, D.J.;73;2;0;0;0;7;1;0;1;1;0;2;0;2;0;0;0;2;0;0;1;2;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;3;1;0;0;2;0;3;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;1;2;2;0;2;1;10;3;3;1;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0
;;12;Loos, M.J.F.;45;0;0;0;0;0;1;0;0;12;7;4;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;13;Liu, C.;358;2;11;1;0;3;0;0;10;5;1;3;0;0;3;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;4;5;3;5;9;0;0;2;3;0;8;9;8;2;6;0;11;6;6;5;6;0;5;1;7;6;2;0;7;5;2;3;5;3;5;23;2;5;7;5;7;4;3;21;1;0;0;0;0;0;4;3;15;7;6;0;5;0;0;3;28;0;11;3
;;14;Dijkstra, R.J.;22;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;0;2;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Elsenaar, J.C.;22;1;1;0;2;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;van Gastel, M.J.;61;3;0;0;1;1;1;0;2;7;1;1;2;0;1;2;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;2;0;1;0;2;1;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;2;1;1;0;0;3;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;1;0;1
;;17;Groot, B.W.;36;0;0;0;0;0;0;0;1;1;1;1;3;0;1;0;1;1;1;0;0;0;3;1;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;van Hensbergen, J.H.;29;1;0;0;0;2;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;2;0;0;0;0;1;1;0;0;1;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19;Iniquez Najdanovski, V.A.;101;2;1;1;1;0;0;1;0;3;0;1;4;0;0;0;1;4;0;0;0;2;5;2;0;3;2;2;2;1;0;0;1;0;0;0;0;1;1;1;1;0;0;2;1;1;0;0;2;1;0;0;0;1;0;2;0;0;1;0;0;1;0;0;2;3;5;3;7;1;2;5;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;3;7
;;20;Kamevaar, T.J.J.M.;28;0;0;0;0;0;0;0;1;0;4;1;0;2;0;0;0;0;0;0;0;3;2;0;0;0;3;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Kaaij, P.P.A.I.;9;0;0;0;0;0;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kammeijer, P.J.;64;0;1;1;0;1;0;0;1;2;9;13;11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;0;1;0;2;0;0;1;4;1;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;2
;;23;Papegaaij, P.E.;54;1;0;0;2;4;0;1;0;1;0;0;0;0;3;0;0;1;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;4;0;2;1;0;0;2;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;1;0;3;2;1;0;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0
;;24;Sanders, M.B.A.J.;21;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;25;van Wessem, M.J.N.;13;1;0;0;1;0;0;0;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;26;van Dellen, J.;305;3;1;0;2;4;2;1;7;20;37;60;20;1;3;5;0;4;0;2;1;19;4;6;2;1;2;5;3;0;1;0;2;0;0;0;2;2;1;0;1;8;0;2;1;0;0;2;2;0;1;0;0;2;0;0;2;0;0;0;0;0;3;0;1;5;3;1;2;2;2;2;2;1;6;1;0;1;2;0;0;0;1;0;2;5;5;12;0;0;0;0;0;0;2
;;27;van der Zee, R.C.M.;96;4;0;0;0;1;0;0;0;7;11;0;6;2;0;0;0;0;1;0;0;2;1;1;3;0;2;2;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;3;3;0;0;0;1;0;0;0;0;4;3;0;1;0;1;1;2;0;1;1;0;2;5;2;2;1;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;1
3;D66;;;7413;114;126;43;50;219;41;86;201;270;191;209;145;75;171;148;112;110;102;74;92;142;158;212;106;59;177;145;76;38;48;18;46;30;35;33;147;98;76;154;35;55;44;48;64;22;20;34;91;37;30;45;14;108;101;58;27;37;40;63;36;53;64;38;50;86;97;36;178;130;116;79;102;39;61;47;46;32;53;23;12;9;33;29;50;126;50;65;73;24;16;24;55;68;63
;;1;Loor, M.S.;2597;43;41;12;23;73;15;22;64;101;73;59;62;28;66;61;30;32;27;15;28;53;46;74;44;22;76;54;33;12;21;4;16;10;11;9;43;30;24;35;12;14;18;16;26;7;9;12;30;20;11;17;5;46;33;18;14;21;19;27;18;17;24;13;25;33;28;21;72;32;48;20;27;9;20;22;23;14;13;7;3;2;14;10;19;47;23;17;21;8;7;7;24;19;23
;;2;Kemperman, S.;3046;40;54;17;20;102;17;46;90;120;76;97;58;29;71;53;40;50;41;36;41;56;71;93;40;21;73;65;26;13;7;4;18;11;11;14;61;31;30;50;11;25;14;23;28;8;8;14;47;14;11;13;8;44;47;25;8;11;13;29;14;26;31;13;16;36;40;12;82;64;43;34;38;17;19;16;15;12;28;9;8;3;12;15;22;35;20;35;37;7;8;10;20;26;29
;;3;Brandts, J.J.W.;138;2;1;2;3;5;1;2;2;2;5;4;4;2;1;6;4;1;1;3;2;5;0;3;4;2;1;1;0;2;0;0;2;1;0;1;2;1;1;7;1;1;1;1;0;1;2;1;0;0;1;0;0;1;2;0;2;1;0;2;0;0;0;0;0;1;3;3;1;2;3;0;2;0;3;0;1;0;0;3;0;2;0;0;0;3;2;0;1;0;0;3;0;2;0
;;4;Heemskerk, W.T.;73;0;1;1;1;1;0;1;2;0;0;3;1;1;0;1;1;0;2;0;0;0;0;3;0;0;1;3;1;0;2;1;2;0;0;0;2;3;1;5;2;1;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;1;0;1;1;2;0;0;1;0;0;0;3;0;1;1;0;6;0;0;0;0;0;0;0;0;1;0;3;0;2;1;0;0;0;0;0;1
;;5;de Vroome, H.E.;138;2;0;2;0;4;1;1;4;11;3;2;1;2;5;0;1;0;2;1;4;3;5;12;2;2;1;4;1;0;4;0;0;1;3;0;3;2;7;5;0;0;1;0;0;1;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;3;1;0;1;3;0;3;0;0;0;0;0;0;6;0;1;3;1;0;0;0;0;0
;;6;Messink, J.M.;89;1;3;0;0;5;1;2;1;1;3;0;0;2;3;1;5;3;1;3;3;3;1;3;0;0;1;0;1;0;4;0;0;0;0;0;3;1;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;4;0;1;1;2;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;6;0
;;7;Zwijnepoel, C.;440;7;14;3;2;13;3;3;17;13;14;18;2;4;14;7;12;7;8;4;7;9;17;8;6;2;10;7;4;4;5;3;0;1;2;4;12;17;1;4;3;2;4;2;2;2;1;1;2;1;1;6;0;2;6;6;1;0;2;1;2;3;3;3;3;4;5;0;3;7;5;4;6;5;6;1;0;1;3;0;1;1;1;1;4;16;2;3;3;0;0;2;2;5;2
;;8;Güngör, M.;273;6;4;1;1;6;0;5;5;9;7;8;2;3;2;6;5;8;5;4;2;3;7;2;4;5;3;6;3;2;0;4;3;0;1;1;6;4;4;17;4;0;1;2;1;0;0;2;0;0;4;0;0;5;1;4;0;0;0;0;0;0;1;2;3;3;6;0;7;12;6;7;7;4;3;3;0;1;3;1;0;0;1;1;0;3;0;1;4;0;0;1;1;2;2
;;9;Mohammedamin, I.;106;2;0;1;0;0;1;1;1;1;1;1;3;1;0;1;1;0;1;0;0;1;2;5;0;1;3;1;2;0;0;2;3;2;2;1;0;0;1;8;0;4;1;0;0;0;0;1;1;0;1;5;0;1;1;2;1;1;2;1;1;0;0;0;1;3;2;0;3;2;3;4;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;1;0;0;0;1;1;1;6
;;10;Bräuer, I.;22;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
