Verkiezing;;Gemeenteraad Scherpenzeel 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Scherpenzeel;;;;;;;;;;
Nummer;;0279;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Philalethes;Opstandingskerk;Kulturhus De Breehoek;De Achthoek;Partycentrum Boschzicht;Kulturhus De Breehoek;Kulturhus De Breehoek;Kulturhus De Breehoek
Gebiednummer;;;;;1;2;3;4;5;6;101;102
Postcode;;;;;3925 KV;3925 HA;3925 JP;3925 CJ;3925 GG;3925 JP;3925 JP;3925 JP
;opgeroepenen;;;0;0;0;0;0;0;0;0;0
;geldige stempas;;;4720;385;615;690;534;727;432;579;758
;geldig volmachtbewijs;;;721;68;107;111;75;116;83;58;103
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;5441;453;722;801;609;843;515;637;861
;geldige stembiljetten;;;5416;451;718;797;606;840;512;634;858
;blanco stembiljetten;;;8;1;2;1;1;0;2;1;0
;ongeldige stembiljetten;;;17;1;2;3;2;3;1;2;3
;aangetroffen stembiljetten;;;5441;453;722;801;609;843;515;637;861
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0
1;GemeenteBelangen Scherpenzeel (GBS);;;1894;120;224;311;199;269;200;231;340
;;1;Brons, H.M.;926;56;121;144;97;131;83;121;173
;;2;van Dijk - van Ommering, H.E.;149;7;17;12;22;18;16;30;27
;;3;Schimmel - de Greef, C.A.;121;19;19;15;9;14;11;17;17
;;4;Inkenhaag, C.;59;4;3;7;5;14;10;8;8
;;5;van de Fliert, W.J.;37;0;5;4;7;1;4;2;14
;;6;van Loo, E.;18;2;2;3;5;2;3;0;1
;;7;Voortman - Visser, L.;71;4;11;15;6;13;8;5;9
;;8;van de Glind, E.;32;4;2;8;5;2;6;0;5
;;9;van den Broek - van den Broek, W.G.;160;6;12;37;14;24;29;7;31
;;10;van Delft, G.B.D.;62;3;3;11;5;12;9;6;13
;;11;van Ginkel, G.;14;0;1;8;1;0;1;2;1
;;12;Verbeek - van Ginkel, T.E.;35;1;5;7;5;2;1;8;6
;;13;Vlastuin, H.;64;8;8;11;2;14;3;6;12
;;14;Voortman, N.J.R.;39;1;4;7;3;7;7;4;6
;;15;Voortman, E.J.;13;0;0;2;2;5;2;2;0
;;16;Wallet, N.;94;5;11;20;11;10;7;13;17
2;Staatkundig Gereformeerde Partij (SGP);;;1394;139;243;196;162;244;125;111;174
;;1;Zwankhuizen, M.J.;833;77;149;109;106;138;80;67;107
;;2;van Deelen, G.;110;13;21;15;8;26;8;5;14
;;3;van Ekeren, I.;89;13;14;19;10;14;4;8;7
;;4;van As, P.M.;117;16;11;15;12;25;9;12;17
;;5;van de Waerdt, J.D.;24;1;4;1;3;7;1;2;5
;;6;Visser, N.A.;30;5;9;4;3;5;0;1;3
;;7;Hardeman, M.;8;0;0;1;3;2;0;0;2
;;8;Bloemhof, R.;15;2;3;1;1;0;4;2;2
;;9;Sluiter, A.W.D.;6;0;1;3;0;1;1;0;0
;;10;Rijfers, J.;2;0;0;1;0;0;0;1;0
;;11;den Hartog, G.T.;45;7;7;7;9;7;3;2;3
;;12;van den Bosch, W.;11;1;2;1;0;2;4;1;0
;;13;ten Broek, H.J.;10;0;2;2;1;0;2;0;3
;;14;van Ginkel, H.;11;0;2;5;0;0;3;1;0
;;15;Karens, J.G.;7;2;2;0;0;1;1;0;1
;;16;den Boer, J.N.A.;8;1;0;0;0;1;0;3;3
;;17;de Jong, A.;7;0;1;3;0;2;0;0;1
;;18;van Eckeveld, N.A.;7;0;4;0;0;2;1;0;0
;;19;van der Voet, J.C.;7;0;4;2;0;1;0;0;0
;;20;Mulder, P.;5;0;1;1;0;0;2;1;0
;;21;Rozendaal, M.A.;4;0;0;1;0;1;0;1;1
;;22;Vogelaar, L.;13;0;0;1;2;4;1;3;2
;;23;van Ginkel, H.;6;0;2;1;1;0;1;1;0
;;24;de Kruijf, A.;8;0;2;2;3;0;0;0;1
;;25;Pullen, G.;11;1;2;1;0;5;0;0;2
3;CDA;;;862;101;119;126;101;100;57;126;132
;;1;van den Berg, H.C.F.;475;67;65;68;56;61;25;67;66
;;2;Dekker, H.A.M.;68;4;7;7;7;6;4;15;18
;;3;Goes, N.;86;7;13;22;7;11;5;14;7
;;4;Klaassen, P.A.;59;3;9;8;7;7;6;10;9
;;5;Slappendel, J.A.;36;2;5;4;6;2;3;7;7
;;6;Rijksen, F.H.;19;5;4;2;3;0;1;3;1
;;7;van Kampen, J.L.;12;0;2;2;0;0;4;3;1
;;8;van de Fliert-Klein, V.M.;76;6;10;10;9;9;9;5;18
;;9;Koopman, J.;2;1;0;0;1;0;0;0;0
;;10;van den Bergh, W.A.;29;6;4;3;5;4;0;2;5
4;PRO Scherpenzeel;;;436;28;56;60;52;69;34;64;73
;;1;van Riel, A.M.;314;16;29;43;34;57;26;55;54
;;2;Tetterode Ravestein, T.L.;51;4;10;6;12;6;2;5;6
;;3;Verboom, E.M.;47;8;10;8;5;4;3;2;7
;;4;Tiesing, R.H.;5;0;3;0;0;0;1;1;0
;;5;van der Wiel, P.;6;0;1;0;0;2;2;0;1
;;6;Meiling, A.E.;4;0;1;0;1;0;0;0;2
;;7;van Riel, L.J.M.;3;0;0;1;0;0;0;1;1
;;8;van de Weert - de Vos, C.M.A.;1;0;0;1;0;0;0;0;0
;;9;van Es, A.;5;0;2;1;0;0;0;0;2
5;VVD;;;830;63;76;104;92;158;96;102;139
;;1;Valkenburg, F.J.W.;561;46;55;66;54;113;59;76;92
;;2;Velthuizen, L;100;11;7;11;16;20;13;11;11
;;3;van den Bergh, K;57;2;5;6;10;12;6;3;13
;;4;van de Peut, A.J.G.;27;2;6;6;1;2;6;2;2
;;5;Geurts, J.;46;1;1;8;8;4;9;4;11
;;6;Dijkstra, G.;9;0;0;2;1;0;0;1;5
;;7;de Ridder, H.;17;0;2;2;0;2;2;4;5
;;8;van Dijk, A.K.;4;0;0;2;0;0;1;1;0
;;9;Heemskerk, W.P.;9;1;0;1;2;5;0;0;0
