Verkiezing;;Gemeenteraad Wageningen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wageningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Hotel de Wereld;Wijkcentrum Huis van de Nude;Vakschool Rijn IJssel;Gereformeerde Kerk Vrijgemaakt;Café onder de Linden;Wijkcentrum Pomhorst;Bevrijdingskerk;Speeltuinvereniging Tuindorp;Tafeltennisvereniging Shot;Immanuel Kerk;Sporthal De Vlinder;Parkflat Belmonte;Sporthal de Aanloop;Hotel Nol in 't Bosch;Sporthal Tarthorst;Voetbalvereniging WAVV;Grote Kerk Markt;Campus WUR Forumgebouw;De Vredehorst;Vakschool Rijn IJssel (maandag 14 maart);Vakschool Rijn IJssel (dinsdag 15 maart);Grote Kerk Markt (maandag 14 maart);Grote Kerk Markt (dinsdag 15 maart);De Vredehorst (maandag 14 maart);De Vredehorst (dinsdag 15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;6701 CZ;6703 CD;;;;;;;;;;;;;;;;;;;;;;;;
;opgeroepenen;;;32821;2012;900;1901;2136;1867;1629;1671;1671;1251;1888;2208;2430;2430;1092;1568;975;1485;1201;1353;1153;0;0;0;0;0;0
;geldige stempas;;;17471;519;1261;481;959;776;773;554;203;508;272;288;1268;703;1174;569;297;404;1432;1429;582;326;364;548;829;459;493
;geldig volmachtbewijs;;;1515;45;4;25;92;88;78;0;21;38;20;29;111;92;146;78;24;51;143;81;64;18;40;43;71;58;55
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18986;564;1265;506;1051;864;851;554;224;546;292;317;1379;795;1320;647;321;455;1575;1510;646;344;404;591;900;517;548
;geldige stembiljetten;;;18886;561;1262;502;1043;860;851;549;224;541;292;314;1374;792;1312;646;318;455;1561;1495;641;339;403;588;899;516;548
;blanco stembiljetten;;;53;2;2;3;6;0;0;3;0;2;0;3;0;1;5;0;1;0;7;6;5;3;1;3;0;0;0
;ongeldige stembiljetten;;;38;1;0;1;2;2;0;2;0;3;0;0;4;1;2;1;2;0;6;8;0;1;0;0;1;1;0
;aangetroffen stembiljetten;;;18977;564;1264;506;1051;862;851;554;224;546;292;317;1378;794;1319;647;321;455;1574;1509;646;343;404;591;900;517;548
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;8;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;7;0;1;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;5179;169;365;144;283;248;241;130;66;134;97;78;407;143;333;94;80;100;472;648;154;64;92;140;245;110;142
;;1;van Vulpen, G.;1043;31;69;23;34;65;54;48;14;39;19;23;76;38;87;19;26;18;64;95;37;13;19;26;48;25;33
;;2;Groot, R.D.;1409;36;88;38;85;69;53;21;26;24;22;18;125;46;104;40;19;41;102;177;49;16;30;39;61;33;47
;;3;Brons, H.J.;118;5;7;2;5;7;5;5;1;3;2;2;2;10;8;0;1;3;8;16;4;1;2;6;4;3;6
;;4;Pardo Claure, M.N.;527;16;44;11;29;22;26;11;3;20;14;6;52;12;28;6;11;9;54;70;20;7;10;9;26;5;6
;;5;Yüksel, T.D.;845;34;82;24;46;40;47;22;3;19;15;12;58;15;38;11;11;12;102;115;12;11;16;22;50;14;14
;;6;Ait-Imchi, M.;110;2;3;13;9;1;6;5;1;6;3;1;6;2;3;1;3;0;9;13;4;0;2;5;5;3;4
;;7;Adu-Ampong-de Vetten, M.;304;8;18;6;24;15;15;3;7;4;8;4;25;3;23;1;1;6;39;45;8;4;0;9;21;4;3
;;8;Cicilia jr., P.O.V.;89;2;6;3;6;2;9;0;0;1;0;0;2;1;6;0;1;0;17;16;1;0;0;4;6;2;4
;;9;Carballo Pescadinha, B.;179;4;12;4;7;7;9;4;1;1;4;3;12;1;6;3;2;3;29;46;4;3;1;5;5;2;1
;;10;Hoevers, H.J.K.;35;2;0;0;4;0;0;0;2;2;1;0;3;2;5;0;0;0;3;0;1;2;1;2;1;2;2
;;11;Jonkhans, T.;6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
;;12;Beusink, I.J.B.M.;55;4;3;1;6;1;1;0;1;3;1;0;1;0;4;0;2;0;4;10;1;0;1;1;4;3;3
;;13;Van Rompaey, R.S.A.R.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;1;0;1;0;0
;;14;Flink, G.W.;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Graus, L.G.;59;9;6;1;0;4;1;0;1;1;0;0;10;0;3;2;0;1;7;5;2;0;1;1;2;0;2
;;16;Schoen, R.A.;38;2;5;0;4;1;3;2;1;0;0;2;4;0;1;1;0;0;3;3;1;0;3;1;1;0;0
;;17;Breukelaar, M.M.;6;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;18;Langeveld, J.J.;6;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Marrewijk, A.A.M.;18;1;0;1;0;0;0;0;0;0;0;0;3;1;0;3;0;0;1;1;0;0;0;3;0;2;2
;;20;Sweers, F.J.;13;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;3;4;0;0;0;1;0;1;1
;;21;Brouwer, S.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1
;;22;Boerjan, M.L.;14;0;1;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;3;4;0;0;0;1;0;0;0
;;23;Elings, A.;14;0;0;0;3;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;2;2;0;0;0;2;1
;;24;Brand, S.M.A.A.;5;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;Stuiver, M.;16;0;0;0;1;1;2;0;0;0;0;1;3;1;1;1;0;0;2;2;0;1;0;0;0;0;0
;;26;Dobbelsteijn, R.L.G.;11;1;0;0;1;1;0;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;1;0;0;0;2
;;27;Verboom, B.;26;1;1;1;5;0;2;0;2;0;2;0;1;2;0;0;1;0;4;0;0;0;0;0;2;0;2
;;28;Schouls, J.;7;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0
;;29;Eweg, H.P.A.;8;0;2;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
;;30;Bogers, J.M.;17;1;1;0;0;1;1;0;0;1;0;0;2;1;0;2;1;0;1;3;0;0;0;0;1;1;0
;;31;de Gruyter, J.J.;8;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2;0;0;1
;;32;van Deurzen, M.J.;13;0;0;2;0;0;0;0;0;1;1;0;2;0;1;0;0;0;1;1;0;0;2;1;1;0;0
;;33;Haver, W.J.;15;0;2;0;0;1;1;0;2;2;0;0;2;0;1;1;0;1;0;1;0;0;0;0;0;1;0
;;34;Tieland-Heilmann, M.M.;23;2;3;1;2;1;0;0;0;1;0;0;3;1;0;0;0;2;2;1;1;1;1;0;1;0;0
