Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau De Schakel;Stembureau Het Klokhuis;Stembureau De Dorpskring;Stembureau Dorpshuis Albertine;Stembureau Ons Eigen Gebouw;Stembureau 't Duifhuis;Stembureau Kerkesteijn;Stembureau De Dorpskamer;Stembureau Gemeentehuis;Stembureau Ravestein;Stembureau De Sleutel;Stembureau De Ontmoeting;Stembureau De Morgenster;Stembureau De Randhorst;Stembureau Gereformeerde Kerk;Stembureau Dorpshuis Tricht;"Stembureau Buurthuis ""de Heerlijckheyt""";Stembureau Mr. Aafjesschool;Stembureau Dorpshuis Meteren;Stembureau De Betuwepoort;Stembureau De Pluk;Stembureau Het Stroomhuis;Stembureau Dorpshuis De Koeldert;Stembureau Dorpshuis Tuil;Stembureau Burcht van Haeften;Stembureau Dorpshuis De Biskamp;Stembureau Hervormd Centrum Maranatha;Stembureau Dorpshuis Est;Stembureau Dorpshuis Toevershof;Stembureau MFC Huis op Hemert;Stembureau Dorpshuis EMM;Stembureau Dorpshuis de Poort;Stembureau Dorpshuis De Krakeling;Stembureau Stichting het dorpshuis Spijk;Stembureau Dorpshuis de Koels;Stembureau Gemeentehuis maandag 14-3;Stembureau Burcht van Haeften maandag 14-3;Stembureau MFC Huis op Hemert maandag 14-3;Stembureau Dorpshuis EMM maandag 14-3;Stembureau Gemeentehuis dinsdag 15-3;Stembureau Burcht van Haeften dinsdag 15-3;Stembureau MFC Huis op Hemert dinsdag 15-3;Stembureau Dorpshuis EMM dinsdag 15-3;-
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;39;40;41;42;43;44;45;46;0
Postcode;;;;;4151 EG;4153 BE;4153 AH;4156 AJ;4197 HD;4158 CK;4158 CD;4157 GN;4191 KC;4191 TS;4191 XT;4191 AD;4191 DN;4191 NN;4191 GR;4196 AC;4155 BD;4194 RR;4194 TH;4152 EG;4191 SG;4182 CA;4181 CK;4176 BH;4175 HA;4174 GW;4184 EC;4185 NA;4064 CK;4061 AR;4147 BJ;4171 AH;4161 AL;4212 CX;4214 EA;4191 KC;4175 HA;4061 AR;4147 BJ;;4175 HA;4061 AR;4147 BJ;
;;44;Maas, J.T.;12;0;0;0;0;0;1;0;0;2;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;45;Timmerman, G.;13;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;46;de Heus - van Wijk, K.;46;0;0;0;2;3;7;3;0;5;1;2;0;3;1;2;3;1;1;2;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;1;1;0;0;0
2;Staatkundig Gereformeerde Partij (SGP);;;3362;36;22;25;27;78;79;24;16;168;69;98;67;150;108;131;176;10;167;106;30;155;148;359;66;121;69;65;59;27;26;120;61;43;60;48;78;30;8;38;117;43;9;25;0
;;1;van Bruchem, L.;2214;28;11;13;14;60;57;20;16;116;48;67;42;106;74;98;131;9;120;72;24;95;89;227;32;66;61;25;38;13;11;72;33;14;38;31;54;24;3;26;85;24;9;18;0
;;2;van Maanen, J.G.;257;3;2;5;9;3;7;0;0;6;4;3;2;4;4;6;10;1;8;3;2;4;13;46;12;20;3;32;7;10;3;6;3;1;1;2;4;1;1;0;2;4;0;0;0
;;3;Bareman, J.L.H.;55;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;2;0;0;2;0;0;0;0;0;5;1;9;18;4;0;2;0;4;0;0;0;1;0
;;4;Simons, T.;86;2;0;0;0;2;3;0;0;4;5;2;3;9;6;2;2;0;3;0;0;6;1;11;1;7;0;3;1;0;0;1;1;0;0;1;2;1;0;0;7;0;0;0;0
;;5;Kievit, G.A.;139;0;1;0;1;3;1;2;0;5;4;5;5;4;3;5;12;0;7;9;0;9;13;21;4;4;0;0;1;1;0;1;0;0;0;0;4;0;1;0;4;7;0;2;0
;;6;Stoffer, M.H.T.;49;0;1;0;0;1;0;1;0;2;3;0;0;2;1;3;0;0;6;3;0;8;0;1;5;1;1;0;0;0;0;1;0;0;0;1;2;0;0;0;5;0;0;1;0
;;7;Mulder, H.;18;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;8;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;;8;Bulsink, G.J.;24;0;0;0;0;0;1;0;0;5;1;0;1;0;2;0;1;0;4;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;9;Benschop, A.;27;0;1;0;0;0;2;0;0;6;0;0;2;4;0;0;1;0;1;2;0;3;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Dammers, H.;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Verweij, F.;34;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;22;1;0;0;0;0;0;0;1;0;0;0;3;0
;;12;van Maanen, A.;43;0;2;0;0;1;0;0;0;9;1;6;0;0;1;3;7;0;2;0;0;2;1;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;13;van Mourik, M.;70;0;1;0;0;1;2;0;0;6;0;11;8;7;6;5;0;0;4;1;0;6;0;0;2;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;6;0;0;0;0
;;14;Krijgsman, C.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Jong, D.C.J.;31;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;9;6;0;5;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Fris, L.;21;0;0;0;0;1;1;0;0;4;0;3;0;3;1;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Zweistra, A.A.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;van 't Land, J.J.;25;0;0;2;1;0;0;0;0;2;2;0;1;2;2;5;1;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;van Voorden, A.J.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;15;0;0;0;0;0;3;1;0;0;0;0
;;20;van Tuijl, G.C.;23;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3;6;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Mulder, A.;8;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;22;Treur, A.;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;19;2;1;1;1;0;0;2;0;0;0;0;0
;;23;Nijhoff, J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;24;Ruissen, T.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;van Doorn, H.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Dirksen, P.;19;0;0;0;0;5;0;0;0;0;1;0;0;4;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;27;van Dijk, A.;15;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;28;van Steenis, A.;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;29;van Herk, C.J.D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;30;Golstein, G.;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;31;Klop, Z.H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;1;1;0;0;0;0
;;32;Kool, T.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;33;van Doorn, A.R.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Rijken, A.C.;16;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;1;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0
3;CDA West Betuwe;;;1527;11;59;28;21;44;17;31;17;32;19;20;17;25;12;38;66;9;32;36;2;21;12;19;12;44;28;28;43;30;27;49;288;69;18;121;37;26;3;26;32;31;7;20;0
;;1;Miltenburg, A.W.E.;678;6;34;11;13;24;9;11;7;18;13;11;5;11;6;16;38;7;13;25;1;17;12;13;10;17;13;23;39;23;22;8;51;20;9;21;26;11;3;12;27;12;5;5;0
;;2;van den Bogaard, R.B.P.;34;0;1;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;11;2;0;0;0;0;0;0;0;1;0;3;0;1;3;0;0;0;2;0;0;1;4;0;0;0;0
;;3;van Krieken, A.;328;3;4;3;4;8;4;6;5;0;1;3;3;3;1;0;6;0;1;0;0;4;0;4;1;16;9;1;2;1;2;13;164;13;6;5;1;8;0;6;0;10;1;6;0
;;4;Wilschut, L.;103;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;4;6;0;0;82;0;0;0;2;0;1;0;2;0
;;5;Bron, J.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;24;0;0;2;1;1;0;0;0;6;0;0;0
;;6;baron van Verschuer, O.W.A.;89;1;15;11;0;4;3;1;3;8;2;3;4;3;0;3;9;0;2;2;1;0;0;1;0;3;1;0;0;0;1;0;2;0;1;0;3;0;0;0;1;0;1;0;0
;;7;Zwaan, L. J.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;0;0;0;0;0;1;0;0;0;5;0
;;8;Posthumus, J.C.;15;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
;;9;van Haarlem, J.H.;56;0;4;0;1;2;0;7;2;1;2;0;3;1;3;10;4;0;2;6;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;2;0;0;0;0;2;0;0;0
;;10;van den Heuvel - van Zee, J.M.J.;53;0;0;1;1;2;0;0;0;2;1;1;0;1;1;4;7;0;1;1;0;0;0;0;0;0;1;0;0;1;2;3;14;5;0;1;0;1;0;2;0;0;0;0;0
;;11;van Dam, M.J.;19;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0
;;12;van Zandwijk, L.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;1;0;3;0;1;0;0;0;1;0
;;13;Ekelmans-Rijpert, L.J.E.M.;19;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;1;0;4;0;2;0;1;0;0;0;1;0
;;14;Sterrenberg, G.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;15;van Harten, H.M.;13;0;0;1;0;1;1;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;16;van Sambeek, E.P.H.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0
;;17;van Zee - van Arendonk, D.;33;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;6;0;1;0;1;0;2;12;3;0;0;0;0;0;0;0;0;0;0;0
4;VVD;;;1867;18;44;31;36;29;54;34;40;60;34;47;20;27;38;31;55;4;87;45;39;62;50;40;31;48;31;78;42;66;93;89;79;80;46;52;41;22;15;20;43;9;24;33;0
;;1;Verstegen, F.M.;960;7;20;12;15;18;30;21;30;43;19;26;14;15;23;17;32;2;48;26;24;39;25;22;10;26;6;46;16;28;48;30;39;26;23;30;25;6;8;8;30;4;9;14;0
;;2;de Zeeuw - Wielders, D.T.;252;3;3;5;5;4;6;2;5;9;5;6;0;3;3;2;0;0;8;5;1;8;23;7;7;13;9;11;3;10;19;7;13;5;2;11;4;4;3;1;4;3;8;2;0
;;3;van Ochten, G.J.;99;5;1;1;1;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;2;0;0;1;43;9;1;4;4;0;0;0;8;0;0;0;12;0
;;4;van Zee, H.;100;3;2;0;3;2;6;0;0;0;1;2;0;0;0;0;0;0;4;3;3;2;0;1;0;3;1;0;0;0;2;2;3;43;3;6;0;1;0;1;0;0;0;3;0
;;5;Buurman, C.H.W.;72;0;2;0;3;1;0;1;2;1;6;5;2;3;2;2;18;1;7;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;2;0;5;0;0;0;4;0;0;0;0
;;6;van der Burg, N.J.;65;0;1;2;2;1;0;1;0;0;0;0;0;0;3;1;0;0;6;0;2;1;0;2;0;1;0;2;21;7;8;0;0;0;0;0;2;0;2;0;0;0;0;0;0
;;7;van Wijk, A.H.;14;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;van der Meijden, B.D.A.;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Franken, G.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;9;2;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0
;;10;Stegeman, K.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Boogaard, R.G.;50;0;1;0;1;0;1;0;0;4;2;7;3;5;3;8;2;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0
;;12;Hooijer, W.H.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;2;2;13;0;0;0;0;0;0;0;2;0;0;0;7;0;0
;;13;Walles, E.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Schorel, P.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;1;0
;;15;van der Aa, E.P.A.M.;38;0;10;7;4;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;2;0;0;0;0;0
;;16;van de Sandt, P.W.;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0
;;17;Veltenaar, A.M.;8;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van de Geijn, A.G.A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Meeteren, J.C.W.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Dill, H.R.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;0;0
;;21;van Zandwijk, K.A.;27;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;7;0;0;0;0;1;8;0;0;0;0;4;0;0;0;1;0;0;0
;;22;Broedelet, A.F.;32;0;0;0;0;2;9;7;0;3;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0
5;ChristenUnie;;;1908;20;11;18;14;18;25;20;6;48;14;14;23;28;34;51;56;10;67;17;12;35;9;32;8;71;41;23;29;23;9;245;303;109;56;100;33;16;7;76;36;31;4;106;0
;;1;Temminck, F.;684;12;8;10;7;12;6;9;0;8;4;1;8;6;12;11;10;5;22;5;3;9;3;22;4;18;11;6;5;8;6;142;40;48;21;21;9;1;7;41;15;8;2;78;0
;;2;van Rossum, A.H.;209;2;0;5;1;1;12;4;4;24;8;6;9;10;12;17;7;0;17;5;0;13;1;3;0;2;1;4;1;2;1;2;0;4;1;0;12;2;0;0;13;2;1;0;0
;;3;van Willigen - Verstegen, A.;243;0;2;0;5;0;2;2;1;4;1;4;1;8;2;10;3;1;6;0;6;2;1;1;2;5;1;5;3;2;0;78;10;12;3;3;2;3;0;26;3;4;0;19;0
;;4;van Warners, B.;64;2;0;0;0;1;1;1;0;0;0;0;1;0;2;1;0;0;1;0;0;0;2;0;0;28;2;1;0;1;0;1;2;2;0;0;0;5;0;2;0;7;1;0;0
;;5;Hardick, B.W.;18;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;6;van den Bogerd, A.;20;0;0;0;0;0;0;0;0;2;0;0;2;1;1;1;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Roukema, I.B.;36;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;28;1;0;0;0;0;0;0;0;0
;;8;den Dikken, P.J.;13;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0
;;9;van den Bergh, G.C.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;3;6;0;0;0;0;0;0;0;0;0
;;10;Donker, G.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
;;11;Mourik, R.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bracht, Y.P.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;14;0;0;0;0;0;0;0;0;0
;;13;Verheul - Versteeg, A.W.;17;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;1;0;4;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;14;van den Berg, A.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Jong - Horsman, J.E.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0;0;0;3;0;0;0;0;0
;;16;Kool - Tulp, M.A.;27;0;0;0;0;1;0;1;0;4;0;0;0;0;0;0;12;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0
;;17;den Hartog, G.C.P.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;1;0
;;18;van der Kruijt, H.;8;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;19;van Haarlem - Versluis, N.;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0
;;20;Vermeer - van der Leer, L.A.;22;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;1;0;0;0;2;0
;;21;Vervoorn, W.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Verheul - aan de Wiel, J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;23;van Willigen, R.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Ploeg, J.W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0
;;25;van Willigen, D.J.W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;2;0;0;0;0;0
;;26;de Vries, F.K.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;27;de Meulmeester, S.A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Dankers, L.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Zijl, A.J.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;30;Boel, F.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Bezooijen, G.;388;2;1;1;1;0;2;3;1;3;0;3;1;1;0;7;3;0;8;5;1;4;1;2;1;9;12;7;19;0;0;7;225;12;6;22;2;3;0;1;1;7;0;4;0
6;Leefbaar Lokaal Belang West Betuwe;;;2683;22;81;58;29;20;56;32;26;44;28;41;39;67;65;49;91;9;76;45;19;91;55;181;116;234;80;115;49;104;127;36;122;75;53;31;41;56;37;5;48;84;30;16;0
;;1;van Kuilenburg, P.;1316;16;20;23;12;12;28;16;8;21;15;25;22;45;35;26;45;4;36;22;11;46;39;125;55;76;44;57;26;79;61;21;46;20;15;22;18;17;11;1;27;39;17;12;0
;;2;Nijhoff, C.;57;0;2;0;2;0;1;0;0;1;0;0;1;0;1;0;2;0;0;1;2;1;1;13;1;7;0;2;2;1;3;1;7;0;0;0;3;0;1;0;0;1;0;0;0
;;3;Kock, M.T.M.;242;1;4;0;0;0;3;1;2;2;1;0;3;1;2;0;0;1;0;2;0;4;1;10;35;94;3;6;2;3;2;0;4;0;0;1;2;26;1;1;0;24;0;0;0
;;4;Veeken, A.P.M.;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
;;5;van der Meijden - Korevaar, S.;49;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;4;3;20;3;0;0;1;1;3;0;0;1;0;0;0;0;2;0;1;1;0
;;6;van der Heijden, T.M.R.;52;1;1;1;0;1;12;10;2;2;4;0;0;0;1;1;0;0;3;3;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;1;0;0;0
;;7;Bronk - van Toorn, J.B.;195;2;43;32;10;0;6;1;11;4;0;5;0;2;7;2;7;4;11;5;4;10;2;0;0;6;0;3;1;0;2;2;0;2;1;1;2;0;0;0;7;0;0;0;0
;;8;van Velzen, C.C.;60;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;29;0;0;0;1;0;0;3;0;0;1;1;9;0;0;0;11;0;0;0
;;9;van Steenis - van Oort, C.A;21;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;10;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
