Verkiezing;;Gemeenteraad Wijchen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de gemeente;Meander;Jeugdhuis Woezik;Paschalisschool sporthal;De Markies;Dorpshuis De Waaijershof;Wijkgebouw Wijchen Oost;Brede school Noorderlicht/Sporthal;Sporthal Zuid I;Sporthal Achterlo I;Wijkgebouw Wijchen West/ Sporthal;Sporthal Achterlo II;Basisschool Speelhoeve locatie Kraaijenberg;Sporthal Zuid II;Kulturhus de Zandloper;Dorpshuis de Mijlpaal;Dorpshuis 't Ballegooijke;De Batenburcht;LTV Vormer;Sporthal de Slingert;Wijkcentrum De Brink;Dorpshuis de Oase;Huis van de gemeente;Huis van de gemeente;Jeugdhuis Woezik;Jeugdhuis Woezik;Sporthal Zuid;Sporthal Zuid;Sporthal Achterlo;Sporthal Achterlo
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31
Postcode;;;;;6602 DB;6601 AR;6604 CC;6604 AE;6603 CM;6606 AB;6603 AE;6601 DL;6605 HN;6601 XW;6602 WT;6601 XW;6601 RM;6605 HN;6617 BG;6616 AM;6613 AH;6634 AL;6602 NB;6605 DT;6603 JR;6603 CL;6602 DB;6602 DB;6604 CC;6604 CC;6605 HN;6605 HN;6601 XW;6601 XW
;;8;Grobbe, H.J.;104;6;4;14;1;0;0;1;8;2;8;3;6;1;6;0;3;0;1;4;9;8;0;6;2;2;0;0;1;0;8
;;9;Eijkemans, S.M.;91;3;1;3;1;2;1;0;2;2;4;2;0;1;6;2;34;0;1;2;5;5;2;0;3;0;0;4;3;2;0
;;10;Evers, J.M.T.;316;17;16;11;7;57;0;18;8;7;14;5;6;4;13;2;4;3;1;1;7;8;55;9;18;0;12;1;9;2;1
;;11;Kersten, J.T.G.;217;24;4;19;8;13;5;10;5;5;5;16;3;1;4;2;7;0;0;4;18;7;6;9;12;8;10;4;8;0;0
;;12;Driessen-Slingerland, J.M.;82;6;2;6;2;0;0;2;2;4;1;20;0;0;4;0;0;1;3;2;7;6;0;2;3;1;0;1;1;4;2
;;13;van Bronkhorst, B.W.A.;81;1;1;3;0;0;1;0;1;0;0;0;0;1;1;27;36;0;0;0;0;1;1;1;0;2;0;0;2;2;0
;;14;van Stippent, A.W.M.;39;0;0;3;1;0;15;2;2;0;0;1;0;0;1;3;0;0;1;1;2;1;0;2;0;2;0;1;0;0;1
;;15;Heinen, G.J.A.;89;1;4;3;0;0;0;0;0;2;2;3;0;1;2;0;1;66;0;0;0;0;0;0;1;1;1;0;1;0;0
;;16;van der Velden, E.P.G.;66;1;1;9;0;0;0;8;2;2;17;1;2;3;2;0;1;0;0;0;2;1;0;2;1;0;1;0;1;2;7
;;17;Cassaro, V.;100;4;7;2;4;0;0;1;26;3;2;6;2;5;3;0;2;0;1;0;2;14;0;5;2;3;5;0;1;0;0
;;18;Sengers, E.T.C.A.;119;1;0;1;0;26;0;0;3;7;1;1;0;0;0;2;7;4;3;1;8;1;40;1;5;2;2;1;1;0;1
;;19;Sanders, H.F.T.G.;88;12;1;5;0;0;0;5;4;1;2;3;0;1;5;0;0;2;0;5;7;7;1;7;4;4;0;5;6;0;1
;;20;Tap, J.J.;65;3;1;2;0;0;0;4;2;1;6;14;1;1;5;0;0;0;0;4;1;1;0;6;5;2;0;1;2;0;3
;;21;Krijt, D.A.M.;52;4;1;6;2;0;0;1;5;1;4;2;0;1;2;0;2;0;2;2;2;1;0;3;1;4;4;0;0;1;1
;;22;Derks, P.M.;41;2;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;34;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Hilckmann, C.;46;0;0;15;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;5;10;0;2;0;0
;;24;Jansen-Vullers, M.P.;15;0;2;1;0;1;0;0;1;1;0;1;0;2;2;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0
;;25;van Dijk, G.G.J.A.;39;1;1;2;0;0;22;1;2;0;1;0;1;1;0;2;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0
;;26;Dağdaş, N.;77;1;2;1;1;0;2;0;3;11;0;0;0;0;19;0;0;0;2;0;3;2;0;1;0;0;0;8;21;0;0
;;27;van den Boogaard, W.J.;16;2;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;1;1;1;1;1;0;0;0
;;28;Straten, R.P.J.;28;1;1;2;0;3;0;7;0;0;0;0;0;1;0;2;0;0;0;0;2;0;2;0;1;0;2;0;1;2;1
;;29;Hendriks, J.J.J.M.;34;1;0;4;0;1;0;9;2;0;4;1;0;2;2;0;0;0;0;0;2;0;1;0;0;1;2;1;0;1;0
;;30;van Heumen, J.P.;31;0;0;0;1;0;0;0;0;0;0;2;0;0;0;14;8;0;2;0;0;0;0;0;1;3;0;0;0;0;0
;;31;van Stippent, R.A.M.;20;0;1;1;0;0;0;0;2;3;2;0;1;0;4;0;0;0;1;1;2;0;0;1;1;0;0;0;0;0;0
;;32;Willemsen, K.;34;0;5;1;0;1;0;0;6;0;3;1;1;3;3;0;0;0;0;0;2;0;0;2;3;0;0;0;1;2;0
;;33;van Haren, R.J.P.;36;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;15;2;1;3;0;0;2;3;2;1;0;2;0;0
;;34;de Kleijn, A.P.M.;22;0;0;3;0;0;0;1;5;1;0;3;0;0;2;0;0;1;0;1;0;2;0;0;0;1;1;0;1;0;0
;;35;Wagter, H.E.;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;36;Jansen, F.H.W.;41;5;3;1;0;0;0;0;1;1;0;4;0;1;5;0;0;1;0;0;4;5;0;2;0;4;1;2;1;0;0
;;37;Driessen, J.G.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Robben-Willems, H.F.M.;22;0;0;0;0;0;0;1;0;0;0;0;0;0;1;14;0;0;1;0;0;3;0;1;0;0;0;0;0;1;0
;;39;Kuipers-Jansen, M.H.J.;21;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;1;0;2;0;0;6;3;0;0;0;1;2;0;1
;;40;Reijers, J.A.H.M.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Hendriks, G.G.A.P.;31;1;1;0;0;0;0;0;2;1;3;0;0;1;2;10;4;0;0;0;1;0;0;0;1;0;1;0;3;0;0
;;42;van Rodijnen, G.C.A.;25;1;0;5;0;7;0;1;0;1;0;0;0;0;1;0;0;1;0;3;2;0;2;1;0;0;0;0;0;0;0
;;43;Delhij, O.P.H.;12;0;1;0;0;0;0;1;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1
;;44;Willems, A.P.;9;0;0;0;0;2;0;0;0;0;0;1;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;45;de Kleijn, R.A.W.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
