Verkiezing;;Gemeenteraad Wijchen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de gemeente;Meander;Jeugdhuis Woezik;Paschalisschool sporthal;De Markies;Dorpshuis De Waaijershof;Wijkgebouw Wijchen Oost;Brede school Noorderlicht/Sporthal;Sporthal Zuid I;Sporthal Achterlo I;Wijkgebouw Wijchen West/ Sporthal;Sporthal Achterlo II;Basisschool Speelhoeve locatie Kraaijenberg;Sporthal Zuid II;Kulturhus de Zandloper;Dorpshuis de Mijlpaal;Dorpshuis 't Ballegooijke;De Batenburcht;LTV Vormer;Sporthal de Slingert;Wijkcentrum De Brink;Dorpshuis de Oase;Huis van de gemeente;Huis van de gemeente;Jeugdhuis Woezik;Jeugdhuis Woezik;Sporthal Zuid;Sporthal Zuid;Sporthal Achterlo;Sporthal Achterlo
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31
Postcode;;;;;6602 DB;6601 AR;6604 CC;6604 AE;6603 CM;6606 AB;6603 AE;6601 DL;6605 HN;6601 XW;6602 WT;6601 XW;6601 RM;6605 HN;6617 BG;6616 AM;6613 AH;6634 AL;6602 NB;6605 DT;6603 JR;6603 CL;6602 DB;6602 DB;6604 CC;6604 CC;6605 HN;6605 HN;6601 XW;6601 XW
;;24;Huijbers, A.J.M.;6;1;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Broekhoven-Harjoghe, G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Derksen, P.C.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Bruijn, J.A.O.;9;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0
;;28;den Heeten, A.M.L.;23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;1;0;4;0;0;0;0;0;0;0;0;0;2;0;0
;;29;de Bordes, H.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Wessels, C.M.W.P.A.;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;ten Buren, E.H.M.;7;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;ten Berge, M.;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
;;33;Stortelder, E.T.F.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Daal, A.A.F.J.;19;3;0;0;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0
;;35;van Lent, W.H.G.;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;36;Verheijen, A.G.T.;9;3;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;37;van der Gronden, O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Wetzels, R.B.;4;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Derks, R.A.;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0
;;40;Douven, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Hiddink, J.W.;5;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;42;van Uden, F.M.E.;15;5;0;2;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0
;;43;Krale, C.I.W.E.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Vos, M.N.P.;10;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0
;;45;Paanakker, L.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;46;Nauta, P.K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;47;Cornelissen, W.M.E.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Kersten-Schaap, M.G.G.J.;18;2;0;2;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;1;0;1;1;2;0;0;3;0;0;0;1
;;49;van Noort, W.J.;6;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Derks, F.J.;8;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1657;94;51;90;31;37;18;52;79;72;65;107;29;55;77;60;49;32;31;42;107;71;35;41;75;35;46;31;56;40;49
;;1;Burgers, T.T.M.;777;48;21;45;19;15;8;31;42;38;26;54;14;28;35;20;13;15;10;18;46;35;17;22;45;19;24;13;21;17;18
;;2;Jamin, K.J.M.;421;19;12;27;6;10;5;8;18;21;15;32;9;14;22;19;9;8;5;8;32;18;4;7;17;9;15;10;18;12;12
;;3;Gatzen, P.G.W.;49;8;0;0;0;2;0;2;0;2;3;6;0;2;2;1;1;2;0;6;2;2;0;0;0;0;1;2;4;0;1
;;4;Merkus, Y.J.T.M.;77;8;6;3;0;3;0;1;6;3;1;3;0;0;3;0;0;1;0;0;14;6;5;0;1;2;2;1;3;0;5
;;5;Peters-Duits, A.H.;85;2;5;4;2;4;1;3;2;2;8;0;2;4;0;2;18;2;2;4;5;1;0;0;3;2;0;0;0;3;4
;;6;Roosenboom, W.H.M.;27;3;0;0;1;0;0;1;3;0;4;1;1;0;1;0;3;1;0;0;0;0;0;2;0;0;0;0;3;1;2
;;7;de Kievit, J.P.;16;0;1;1;0;0;2;0;0;1;0;1;2;0;0;0;2;1;0;0;0;0;2;1;2;0;0;0;0;0;0
;;8;Bakker-Otten, M.G.G.;25;0;1;2;0;1;0;1;1;1;0;2;0;1;5;0;0;0;0;0;1;3;0;3;2;0;0;0;1;0;0
;;9;Bode, L.J;13;0;0;2;0;1;0;0;0;0;2;0;0;2;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1
;;10;Troost, J.;12;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;1;2;0;0;1
;;11;Kattenberg, W.A.;8;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
;;12;van Peursem-Rattink, C.E.;13;0;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1;1;0;0;2;1;0;1;1;0;0
;;13;Blom, N.G.;24;0;0;1;0;0;0;0;2;3;1;0;0;1;2;0;3;2;0;1;1;2;0;0;0;0;1;0;3;0;1
;;14;Lamers, T.C.;25;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;14;2;1;1;1;0;0;0;0;0;0;0;0
;;15;Dousma, T.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;2;0;0
;;16;Arts, N.J.A.;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;17;van Tilborg, A.W.G.F.;23;0;0;0;1;0;0;1;0;0;0;2;1;0;0;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;18;Weijers, A.R.M.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
;;19;Boelens, B..;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Wismans, N.W.;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Broekmans, G.C.M.;3;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Haeften, H.R.;15;1;0;1;1;0;0;0;5;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0
;;23;van den Heuvel, F.;9;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
;;24;Dolmans, F.H.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;25;Keereweer, H.W.C.G.;11;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;4;1;0;0;1;1;0;0;0
5;Wijchen Lokaal;;;1761;92;63;134;39;52;18;59;124;77;81;53;46;48;83;78;40;30;19;50;78;60;48;46;62;46;46;38;61;37;53
;;1;Herms, L.J.P.G.;843;41;27;88;23;23;10;38;55;29;41;21;28;35;27;15;9;8;9;12;39;24;18;27;31;33;30;22;29;17;34
;;2;van 't Schip, P.M.;145;6;5;10;0;1;0;2;3;15;5;1;0;1;18;0;0;0;2;18;9;9;1;2;4;1;4;8;16;1;3
;;3;Herms, D.L.W;57;8;1;5;3;1;0;1;3;1;3;2;1;4;2;0;0;0;1;0;0;3;1;0;3;3;2;0;2;5;2
;;4;Timmerman, C.W.B.J.;99;2;10;7;2;4;1;0;30;1;6;4;3;4;1;0;0;1;0;0;5;1;1;3;3;3;3;0;0;2;2
;;5;Kuipers, R.H.J.;236;13;7;18;4;20;1;8;13;7;10;8;7;0;12;5;3;0;2;13;11;11;21;11;8;1;3;3;3;5;8
;;6;van Kuppeveld, A.J.;36;1;3;1;0;0;0;0;0;0;0;7;1;0;4;3;0;1;0;1;1;3;2;0;3;0;0;1;2;1;1
;;7;van Rij, O;35;0;0;0;2;0;0;3;0;0;0;1;0;0;2;2;17;0;3;1;1;0;0;0;1;1;0;0;0;1;0
;;8;van den Heuvel, H.G.;54;0;0;1;0;1;0;1;2;2;1;0;0;0;1;33;9;0;1;0;0;0;1;1;0;0;0;0;0;0;0
;;9;Soute, W.I.M;27;1;0;1;0;0;0;0;0;0;2;0;0;0;0;18;1;0;1;0;0;1;0;0;0;2;0;0;0;0;0
;;10;Rikken, T.H.M.;18;1;3;0;0;1;0;0;1;2;2;0;1;0;1;0;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0
;;11;Hendriks, S.J.G.;34;1;0;0;0;0;3;0;1;4;0;4;0;0;0;0;0;17;0;0;2;0;0;0;0;0;0;0;2;0;0
;;12;Cornelissen, M.P.T.;20;3;0;0;0;0;0;1;3;2;1;3;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0
;;13;van Boven, H.;26;3;0;1;0;0;0;0;2;7;1;0;0;2;4;0;1;0;0;0;0;1;0;0;1;0;1;2;0;0;0
;;14;Ederveen, E.H.M.J.;8;0;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;15;Stoots, J.T.A.;21;2;0;0;1;0;0;0;5;2;0;0;1;1;4;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0
;;16;Toonen, W.J.M;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0
;;17;Schuijffel, R.;10;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0
;;18;Janssen, R.H.L;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1
;;19;Lutke Schipholt, R.E.J.T.;11;4;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0
;;20;Kuiper, C.J.B.A;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Dreumel, C.W.H.;4;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Albers-Hoefnagels, A.A.A.;12;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;1;0;0;1;1;1
;;23;van den Heuvel, F.J.N;7;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
;;24;van Wijk, P.J.M.;4;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Giesbers, P.;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;26;Tang, G.J.J.;5;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;27;Willems, G.;29;4;1;1;0;0;1;3;2;2;1;1;1;0;3;0;0;2;0;2;1;0;0;0;1;0;1;0;1;1;0
6;D66;;;1237;93;38;83;29;19;8;33;38;46;39;82;30;39;56;45;25;17;13;23;95;86;29;46;52;26;49;26;27;20;25
;;1;Lukkezen, M.J.H.;458;30;22;25;10;5;1;11;14;11;19;28;13;20;20;28;13;7;10;12;32;28;6;18;20;7;13;9;10;7;9
;;2;Muller, M.C.E.;424;30;10;23;13;4;2;13;17;21;12;36;11;13;18;15;8;3;1;6;35;30;11;14;18;5;18;14;9;3;11
;;3;van Galen, C.K.;63;1;1;15;2;2;2;1;1;1;0;1;2;0;2;0;0;0;0;4;3;2;2;2;4;2;9;0;0;3;1
;;4;Demmers, J.M.;11;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0
;;5;Reichgelt, G.;8;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0
;;6;Yau, G.J.;41;4;0;4;0;2;0;0;1;4;1;0;0;1;5;1;0;0;0;0;3;9;0;1;2;1;0;1;1;0;0
;;7;Dauphin, S.;86;12;2;8;1;3;0;3;3;3;3;4;1;3;4;1;2;1;2;0;6;1;1;6;1;5;4;2;1;3;0
;;8;Laurense, A.L.H.M.;28;4;0;2;0;0;0;0;0;1;1;6;0;1;2;0;0;0;0;0;1;0;0;1;2;0;2;0;3;1;1
;;9;Vereijken, K.A.W.;24;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;9;4;4;1;0;0;0;0;0;1;0
;;10;Daverveld, J.P.H.;15;0;1;0;0;0;2;1;2;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;1;0;1
;;11;Wittenberg, E.A.J.;23;6;0;0;1;2;0;0;0;0;0;1;0;0;0;0;2;0;0;1;2;5;0;0;0;0;0;0;1;1;1
;;12;Janssen, I.G.A.;7;2;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;13;Verhoeven, W.J.M.;6;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;14;Dauphin, E.H.W.M.;17;0;1;0;0;0;0;0;0;1;1;1;1;0;2;0;0;0;0;0;2;4;0;0;2;0;1;0;0;0;1
;;15;Hemrica, T.L.;9;0;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
;;16;Brand, J.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Moerman, A.M.;12;0;0;3;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0
;;18;Beijer, W.A.C.;5;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
7;GROENLINKS;;;1496;90;31;74;27;39;3;41;63;86;52;88;23;36;84;42;42;23;43;51;80;87;60;54;79;27;30;43;44;20;34
;;1;Tiemessen, H.;608;41;15;26;13;20;1;16;20;38;25;31;11;22;30;12;10;13;12;22;23;37;36;23;29;8;14;18;18;8;16
;;2;Marks, S.M.H.H.;38;2;0;2;0;0;0;1;1;1;3;1;1;0;3;5;3;0;3;0;4;4;1;0;1;0;1;1;0;0;0
;;3;Oomen, P.R.;49;3;2;2;0;3;0;2;3;2;2;1;0;0;1;1;1;0;3;2;9;0;3;1;2;2;2;1;0;0;1
;;4;van Krevel, A.G.J.;49;1;0;0;0;2;0;0;4;2;0;3;0;0;0;6;17;1;1;0;0;0;1;1;3;0;0;2;2;1;2
;;5;Teunissen, B.A.M.;330;19;10;20;6;9;2;7;11;14;11;20;4;7;24;6;3;2;12;11;16;19;14;17;20;9;5;7;13;7;5
;;6;Smeets, S.;223;17;2;14;5;2;0;7;17;17;8;15;3;0;13;6;4;2;4;8;10;20;5;6;13;1;6;7;3;2;6
;;7;Goudriaan, I.;32;2;1;1;1;0;0;1;3;2;0;2;1;1;0;2;3;2;0;0;2;2;0;3;1;0;0;0;1;0;1
;;8;Braun, H.;16;2;0;0;1;0;0;0;0;3;0;0;0;0;4;0;0;0;0;1;2;0;0;0;0;1;1;1;0;0;0
;;9;Blom, P.;30;1;0;0;0;0;0;0;0;3;1;0;1;0;6;0;0;2;0;0;6;1;0;2;1;1;0;1;1;0;3
;;10;Hofman, M.K.;35;2;0;2;1;1;0;1;0;2;1;0;0;3;0;1;0;1;0;2;7;2;0;0;3;2;0;2;1;1;0
;;11;van den Berg, A.A.M.;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Meek, J.;36;0;1;0;0;0;0;1;1;1;0;8;0;1;1;0;0;0;8;5;0;0;0;1;2;2;0;3;1;0;0
;;13;van Kooten, H.C.;20;0;0;1;0;1;0;0;0;0;1;7;1;2;1;0;0;0;0;0;1;2;0;0;1;0;0;0;2;0;0
;;14;de Haen-Lommertzen, I.C.;22;0;0;6;0;1;0;3;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;0
