Verkiezing;;Gemeenteraad Bronckhorst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bronckhorst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Café de Jongens;Ons Huis / Hengelo Gld;Dorpshuis De Horst / Keijenborg;Buurthuis Varssel;Museum Smedekinck;Oranjehof;Buurthuis D'n Draejer / Zelhem;De Heeren van Wolfersveen;Heidehuus;Café-restaurant Nijhof / Halle;ZAMC Zelhemse Auto en Motorclub;ZZC'20 Sportcomplex;Kulturhus Vorden;Dorpskerk Vorden;Christus Koning kerk;Kantine SV Ratti;Withmundi;"Sportcafé ""Het Hooge Wessel"" / Steenderen";Dorpshuis 't Lokaal Olburgen;Café Restaurant den Bremer;Cafe Herfkens Baak;Sportcafé Hessenhal;Café-zaal FF naar Steef;St. Joriskerk;'t Hessenhuus;De Kei;Gemeentehuis;Gemeentehuis;Oranjehof;Café-zaal FF naar Steef;De Kei;Kulturhus Vorden;Kulturhus Vorden;Oranjehof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;1001;1002;1003;1004;1005;1006;1007;1008
Postcode;;;;;7255 KA;7255 XZ;7255 DM;7256 BC;7255 MR;7021 HW;7021 CD;7021 KT;7021 HC;7025 CL;7025 AA;7021 ME;7021 ED;7251 AB;7251 BC;7251 BL;7251 LT;7234 SN;7221 BA;7225 NA;7227 DG;7223 DJ;6997 AH;6999 AA;6996 AE;6996 DD;7221 CZ;7255 KA;7255 KA;7021 CD;6999 AA;7221 CZ;7251 AB;7251 AB;7021 CD
;opgeroepenen;;;30066;1490;1643;1428;1441;680;1470;1526;1028;703;424;1171;1329;1452;1658;1443;1601;1035;1076;998;281;707;897;900;1347;839;510;989;0;0;0;0;0;0;0;0
;geldige stempas;;;16189;681;598;692;741;346;589;764;518;302;253;527;345;672;820;424;694;470;587;476;174;396;454;527;698;413;260;501;255;323;225;105;148;328;516;367
;geldig volmachtbewijs;;;1835;89;66;89;83;54;94;80;67;39;36;69;28;58;75;33;49;66;63;55;16;40;64;78;83;55;41;53;31;42;18;8;9;33;35;36
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18024;770;664;781;824;400;683;844;585;341;289;596;373;730;895;457;743;536;650;531;190;436;518;605;781;468;301;554;286;365;243;113;157;361;551;403
;geldige stembiljetten;;;17936;763;660;776;823;398;682;839;584;340;288;595;373;726;891;454;736;533;642;529;190;433;513;602;781;465;298;551;284;363;243;114;157;361;547;402
;blanco stembiljetten;;;58;2;4;1;1;1;1;6;0;1;0;1;0;3;3;2;4;0;7;1;0;1;5;3;0;1;1;3;1;2;0;0;0;0;3;0
;ongeldige stembiljetten;;;32;5;0;4;0;1;0;0;1;0;1;0;0;2;2;1;3;1;1;1;0;2;0;0;0;2;2;0;1;0;0;0;0;0;1;1
;aangetroffen stembiljetten;;;18026;770;664;781;824;400;683;845;585;341;289;596;373;731;896;457;743;534;650;531;190;436;518;605;781;468;301;554;286;365;243;114;157;361;551;403
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4351;184;158;186;429;99;105;135;135;75;70;142;71;120;183;107;170;126;186;90;30;131;127;101;286;146;149;119;72;85;39;28;23;72;113;59
;;1;Pelgrom, W.J.G.;1890;86;55;98;50;47;43;52;48;35;34;70;30;43;51;25;52;31;42;59;18;80;78;59;167;117;117;73;44;35;20;18;14;26;40;33
;;2;Weverink, B.T.;721;55;60;47;340;14;6;8;52;6;2;10;5;10;9;1;4;8;5;0;2;5;13;2;3;1;4;3;13;25;0;0;0;0;5;3
;;3;Weeke-Keizer, I.M.;442;14;18;13;9;5;5;4;9;10;8;14;6;10;60;42;57;35;10;2;2;8;11;1;8;6;2;2;3;3;4;1;0;27;33;0
;;4;Evers, H.;206;3;3;1;2;4;21;31;2;7;8;17;15;29;1;3;1;3;0;1;0;4;1;2;16;2;6;1;1;5;9;1;0;1;1;4
;;5;Stegeman, B.;84;0;3;3;11;6;12;7;8;1;1;8;2;9;3;0;0;1;0;0;0;0;2;1;0;1;0;1;1;1;0;0;0;0;0;2
;;6;Berendsen, E.G.E.M.;117;0;2;1;2;4;2;1;2;1;2;3;0;0;3;2;2;2;1;16;4;13;7;2;6;1;1;28;0;0;0;0;6;1;0;2
;;7;Huntelaar, D.J.;146;8;4;5;5;7;3;8;1;4;8;2;6;3;0;2;4;1;0;3;1;5;3;8;31;1;4;2;0;6;0;5;1;0;2;3
;;8;Klein Lenderink, J.;201;5;5;3;4;4;2;4;0;3;0;2;1;1;8;10;9;17;86;1;0;1;5;2;0;0;1;2;5;3;0;0;2;7;8;0
;;9;Bergsma-Hartog, A.F.;104;3;1;4;1;0;0;0;3;0;0;3;0;1;2;0;1;2;0;0;0;4;0;16;48;3;5;0;1;0;0;3;0;0;2;1
;;10;Klein Lenderink, H.J.;91;4;2;4;1;5;1;2;5;0;0;0;0;1;4;2;7;2;37;1;0;2;4;0;1;0;0;0;0;3;0;0;0;1;1;1
;;11;Aartsen - den Harder, M.;99;1;0;0;2;0;0;0;1;2;0;0;0;1;27;13;17;12;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;6;13;0
;;12;de Gelder - Hembrecht, F.J.;61;0;2;2;0;1;6;10;4;2;6;5;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;0;0;0;0;6
;;13;Jansen, C.J.;37;0;0;1;0;0;4;7;0;3;0;8;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;4
;;14;Rutting, A.M.;57;0;0;0;0;1;0;0;0;0;0;0;0;0;12;7;14;10;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;7;0
;;15;Hakvoort, B.A.J.;95;5;3;4;2;1;0;1;0;1;1;0;2;0;3;0;2;2;2;7;2;9;1;8;6;14;9;6;0;3;0;0;0;1;0;0
2;Gemeentebelangen Bronckhorst (GBB);;;5228;244;236;296;221;116;222;298;169;92;94;211;137;264;235;111;191;149;138;169;56;122;137;167;140;119;58;176;69;102;91;24;35;86;126;127
;;1;Blaauw, E.W.;1943;76;61;74;49;40;102;144;79;50;49;102;67;120;67;28;62;57;50;42;14;30;37;88;80;66;29;27;23;30;53;13;5;24;36;69
;;2;Westerink, M.;861;23;20;27;23;10;26;22;18;12;13;28;16;16;30;19;25;14;21;73;23;47;61;47;37;30;18;84;2;12;7;7;21;6;9;14
;;3;Pelgrom, J.H.W.;262;17;5;16;103;4;1;0;14;2;1;7;4;2;5;1;0;6;6;2;5;13;7;8;4;3;2;2;5;8;0;0;0;5;3;1
;;4;Westerink, M.;109;3;1;1;1;2;1;1;0;0;0;3;1;0;4;3;1;2;1;22;5;4;5;2;1;6;1;30;0;0;0;0;7;1;0;0
;;5;van Velsen, R.;108;1;2;2;3;3;5;19;5;2;7;9;7;16;0;0;0;0;0;0;0;3;0;6;1;1;0;1;2;0;5;0;0;0;0;8
;;6;Verkooij, R.;138;18;25;37;3;14;2;0;2;0;2;0;0;0;4;1;2;1;0;0;0;2;2;0;0;2;0;1;5;12;0;0;0;2;1;0
;;7;Berenschot-Sesink, M.J.A.;477;86;100;104;18;29;6;6;4;2;3;4;3;14;5;5;3;8;2;0;0;1;5;5;4;4;2;1;18;28;2;1;0;2;0;2
;;8;Klein Lebbink, H.C.;144;1;5;3;4;2;0;2;0;1;2;6;1;6;11;3;8;8;44;0;0;5;11;2;4;1;0;1;2;2;0;1;0;2;6;0
;;9;Louwerier, J.W.;61;2;2;5;1;0;11;7;2;0;2;1;5;10;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;7
;;10;Gartsen, A.J.T.;61;1;2;3;0;0;8;8;2;3;2;3;5;13;0;0;1;0;0;1;0;4;1;0;0;0;0;0;1;0;2;1;0;0;0;0
;;11;Klein Braskamp, Y.;97;2;2;0;1;1;13;14;1;6;3;4;1;17;1;0;5;2;2;0;0;0;1;1;0;1;1;0;0;0;5;1;0;1;6;5
;;12;van Elk, D.;86;0;2;0;3;2;17;24;4;3;1;1;5;18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4
;;13;Nieuwenhuis, L.J.W.;205;7;4;13;4;7;13;21;14;8;8;26;9;11;1;0;0;1;1;2;0;10;1;2;6;2;2;5;7;5;10;0;0;0;0;5
;;14;Tromp-Dieters, E.;209;2;0;0;1;0;1;1;0;0;1;2;0;1;48;24;41;18;10;0;0;0;4;0;1;0;0;0;0;0;0;0;0;27;26;1
;;15;Graaskamp, A.J.;133;1;1;2;0;0;0;0;0;0;0;0;0;0;26;13;31;22;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;10;23;0
;;16;Berendsen, R.;115;0;3;1;1;1;13;22;23;0;0;8;11;13;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;3;3;0;0;1;1;7
;;17;Bussink, A.;32;0;0;3;1;0;3;7;0;2;0;4;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;4
;;18;Braam, S.B.H.;106;2;0;4;4;0;0;0;0;1;0;0;1;0;32;14;11;9;0;0;1;0;1;1;0;2;1;0;1;1;0;0;0;5;15;0
;;19;Scheltens, F.R.R.;81;2;1;1;1;1;0;0;1;0;0;3;1;2;0;0;0;0;1;27;8;2;0;2;1;0;1;24;0;0;0;0;2;0;0;0
3;VVD;;;3095;158;139;126;70;79;129;148;96;71;34;86;54;112;157;77;146;105;134;113;34;83;83;135;140;52;34;96;55;61;24;27;31;59;82;65
;;1;Buunk, W. W.;1303;60;39;38;39;37;46;38;43;37;12;44;23;26;57;27;49;50;54;75;18;39;41;67;60;25;19;79;16;21;8;7;23;24;32;30
;;2;Rouwen, D.;525;23;23;14;12;13;11;13;12;7;8;11;6;5;61;31;74;20;25;10;6;13;15;15;8;2;5;3;6;8;2;4;1;25;31;2
;;3;van Lochem, P. J. P.;78;3;2;0;0;0;0;0;1;0;0;1;1;1;0;0;2;0;1;0;2;1;0;9;37;7;1;1;0;0;0;6;1;0;0;1
;;4;Tiecken, G. H.;388;1;2;4;3;3;62;96;23;19;7;17;18;73;2;1;0;0;1;2;0;0;0;1;4;2;1;0;1;2;12;0;1;0;1;29
;;5;Lusink, T. J.;274;42;44;47;14;17;1;0;1;3;2;2;0;2;8;4;1;4;5;3;3;5;4;5;1;4;1;0;18;23;0;2;1;3;3;1
;;6;Puijk, J. T.;40;0;0;0;1;0;2;0;0;0;0;0;2;0;4;2;4;13;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;7;0
;;7;van der Houwen, A. E. M.;71;4;1;0;0;2;0;0;3;2;0;3;1;0;9;6;7;11;8;1;0;0;0;0;1;1;0;1;0;1;0;0;1;2;6;0
;;8;Echter, R. E. R.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;1;1;0;0;0;0;4;0;0;0;0
;;9;Clifford Kocq van Breugel, V. Q. M.;107;5;1;0;0;2;3;0;1;0;1;2;0;1;6;4;0;4;8;16;4;17;10;1;4;0;2;9;1;1;0;0;2;1;1;0
;;10;Mendes de Leon, M. L. M.;36;4;1;0;0;3;2;0;8;2;1;2;0;2;0;0;0;0;2;0;0;0;1;0;4;0;1;0;0;0;1;0;0;0;0;2
;;11;Beijer, S. A.;61;10;21;12;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;8;1;1;0;0;0;0;0
;;12;Eskes, H. W.;75;4;2;3;0;1;2;0;0;1;2;3;0;1;10;0;8;3;25;1;0;3;2;0;1;0;0;0;0;0;0;0;0;3;0;0
;;13;Bannink, J. A.;68;1;2;1;0;0;0;0;2;0;1;0;0;0;0;1;1;0;3;0;0;0;0;24;18;9;2;0;0;0;0;3;0;0;0;0
;;14;Oosterhuis, G. J.;23;1;1;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;5;4;0;0;0;1;0;0
;;15;van Linder, A. J. H.;26;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;2;0;5;10;0;0;0;1;1;0;0;0;0;1;0;1;0
4;GROENLINKS;;;1581;65;31;34;34;29;39;52;53;44;21;55;21;31;110;49;83;73;68;70;31;34;68;56;50;59;12;57;29;31;18;7;29;35;75;28
;;1;ter Braak, U.B.J.M.;837;30;9;20;16;16;29;33;25;39;17;48;15;27;45;25;36;40;32;23;18;21;46;31;18;26;6;22;19;17;14;4;7;11;29;23
;;2;Bruns, R.H.;58;10;7;3;4;2;0;2;5;1;1;1;0;0;0;3;1;1;3;1;1;1;0;0;1;2;0;0;2;2;0;0;0;0;4;0
;;3;van Rooijen, H.W.M.;40;2;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;3;13;2;0;5;2;1;0;0;1;0;0;0;0;4;0;2;1
;;4;Oosterhoff, C.;249;5;2;7;2;4;2;7;2;1;0;1;1;1;46;15;33;21;14;1;4;1;5;4;6;3;1;1;3;3;1;1;2;17;32;0
;;5;Melsert, M.E.;138;2;4;1;4;0;2;1;5;1;0;0;1;2;2;0;0;1;3;25;4;6;9;4;2;2;3;32;1;2;2;0;12;1;2;2
;;6;Oud, G.C.;12;2;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0
;;7;Ganzevles, A.P.;40;1;0;0;0;2;0;0;1;0;1;0;0;0;12;4;6;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0
;;8;Verhoek, M.;63;2;0;0;1;0;1;2;5;0;0;0;1;0;2;0;1;0;4;0;1;2;1;13;14;3;0;1;0;3;0;2;0;2;0;2
;;9;Bruning, E.M.;39;5;4;2;4;4;3;1;1;0;2;1;0;0;0;0;2;0;3;0;0;1;0;0;2;1;0;0;1;1;0;0;0;1;0;0
;;10;Ganzevoort, J.W.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0
;;11;Wentink, T.R.;13;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;2;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0
;;12;Hofman, P.L.P.S.;80;4;4;0;3;1;1;2;7;2;0;4;0;0;1;2;0;2;3;5;0;1;1;2;4;21;2;0;0;2;1;0;3;0;2;0
5;Partij van de Arbeid (P.v.d.A.);;;1525;49;45;68;17;30;71;90;23;25;33;55;41;99;87;41;67;23;27;46;11;28;43;39;69;31;22;61;20;43;35;7;17;45;60;57
;;1;Preijde, L.P.M.;431;15;14;27;4;10;9;17;5;9;15;19;2;20;28;6;24;11;18;10;1;6;11;21;24;11;10;13;8;16;5;2;4;14;12;10
;;2;Bergervoet-Smeitink, J.;368;15;9;18;5;13;33;31;14;8;9;12;22;37;6;3;10;2;5;3;3;5;6;7;9;5;4;4;1;8;15;1;1;5;12;27
;;3;Peppelman, A.R.;181;6;7;5;1;2;19;30;3;3;1;4;12;25;4;2;1;0;0;1;1;3;0;2;8;3;1;1;4;3;9;1;1;4;1;13
;;4;Peters, I.;77;3;3;4;0;0;3;2;0;2;7;14;2;5;4;0;2;0;0;2;0;1;0;1;7;1;1;0;0;1;1;1;1;2;4;3
;;5;Smeitink, I.;55;0;2;3;4;3;6;5;0;2;1;6;0;7;2;0;2;2;0;1;0;0;1;0;1;0;0;0;0;3;3;0;0;0;0;1
;;6;van der Gaast, J.R.M.;10;0;2;2;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Moor, H.L.J.;88;1;0;0;0;0;0;0;0;0;0;0;0;0;27;16;14;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;1
;;8;van Gijssel, J.J.;32;6;2;5;2;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;7;1;0;0;1;1;1
;;9;Eggens-Postma, M.;107;2;5;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;24;4;10;3;2;0;0;0;42;0;0;0;0;9;2;0;0
;;10;Bensink, H.B.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;20;4;3;1;0;2;1;2;0;0;0;0
;;11;la Croix-Héman, J.J.M.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;18;0;0;0;0;0;1;0;0;0;0;1;0;0
;;12;Bovenmarsch, D.J.;10;0;0;0;0;1;0;2;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;13;Parel, W.G.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;1;0;0;0;0;1;1;0;0;0;0;0;0
;;14;Hoogland, P.J.M.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;Bauling, T.;12;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;1;0
;;16;Lichtenberg, J.W.M.;74;0;1;2;1;0;0;0;1;0;0;0;0;0;13;11;14;1;1;1;1;0;0;2;0;1;0;0;1;2;0;0;1;8;12;0
6;D66;;;1474;47;38;39;41;25;49;54;38;15;20;22;17;69;101;55;63;46;77;39;22;21;35;97;82;49;18;36;26;32;17;16;17;45;77;29
;;1;Engels, J.;644;23;19;24;23;12;15;18;17;8;10;7;6;20;45;14;19;16;59;18;9;12;18;48;21;21;7;21;18;21;3;10;9;16;25;12
;;2;Fröberg, M.P.;143;1;0;1;2;5;2;2;1;0;3;0;0;0;26;17;23;18;2;0;0;1;1;0;1;0;0;0;2;2;0;0;0;10;23;0
;;3;Seevinck, G.B.;44;1;1;0;1;1;1;2;0;0;0;0;0;1;2;0;1;0;0;2;1;1;0;8;13;4;0;1;0;0;0;1;0;0;0;2
;;4;Piels, M.J.J.;319;15;13;11;8;5;5;7;5;3;1;2;2;7;15;16;9;7;12;8;8;4;10;36;28;21;10;7;3;8;3;3;4;7;13;3
;;5;Nijman, H.A.;150;3;4;3;3;1;13;21;11;3;2;10;8;34;1;0;0;1;0;0;0;1;3;2;0;1;0;1;3;0;8;1;0;3;1;8
