Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis Het Parkhuis op 16 maart 2022;De Elleboog (in Nw-Schoonoord) op 16 maart 2022;PC Basisschool De Arnhorst op 16 maart 2022;Ons Raadhuis op 16 maart 2022;Grote Kerk op 16 maart 2022;Voorm.Van Voorthuijsenschool op 16 maart 2022;Wooncentrum De Ulenpas op 16 maart 2022;Gymzaal Soc.Cult.Centr. De Poort op 16 maart 2022;CKC Rheko op 16 maart 2022;Dorpshuis Ellecom op 16 maart 2022;Villa Veertien op 16 maart 2022;Gymzaal de Tender op 16 maart 2022;Kindcentrum Leerrijk op 16 maart 2022;OBS De Wensvogel op 16 maart 2022;Wijkcentrum De Drieschaar op 16 maart 2022;Dorpshuis Spankeren op 16 maart 2022;'t Sprengenhus Laag-Soeren op 16 maart 2022;sporthal De Dumpel Velp op 14 maart 2022;sporthal De Dumpel Velp op 15 maart 2022;sporthal De Dumpel Velp 16 maart 2022;zalencentr. Ons Huis Rheden op 14 maart 2022;zalencentr. Ons Huis Rheden op 15 maart 2022;zalencentr. Ons Huis Rheden 16 maart 2022;sporthal Theothorne Dieren op 14 maart 2022;sporthal Theothorne Dieren op 15 maart 2022;sporthal Theothorne Dieren 16 maart 2022
Gebiednummer;;;;;1;2;5;6;7;9;11;14;16;19;20;23;24;26;27;28;29;221;222;223;311;312;313;421;422;423
Postcode;;;;;6994 CM;6881 TV;6881 NV;6881 SK;6883 HT;6882 NS;6882 GS;6882 DA;6991 ZP;6955 AX;6953 CE;6952 BA;6952 EK;6951 GZ;6951 LZ;6956 CP;6957 AB;6883 CN;6883 CN;6883 CN;6991 EW;6991 EW;6991 EW;6951 CP;6951 CP;6951 CP
;;13;Willemen, F.;12;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0
;;14;van Katwijk, W.L.;5;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Lammers, A.;32;0;1;2;0;0;1;1;0;0;0;2;4;1;1;0;0;0;3;3;4;0;0;1;3;2;3
;;16;Haverkamp, R.;132;2;18;12;17;2;4;6;5;6;1;1;2;5;1;8;0;1;8;5;6;2;6;9;3;2;0
2;CDA;;;1853;57;125;69;133;57;28;39;30;50;103;73;39;53;32;107;44;42;77;105;90;59;83;138;72;79;69
;;1;Budel, M.F.H.;1022;31;83;41;80;38;17;34;20;29;50;30;18;25;15;44;27;22;52;61;48;32;46;66;41;38;34
;;2;Weijers, C.C.J.M.;150;2;3;1;3;1;0;0;1;4;9;13;4;9;5;23;3;6;2;1;1;1;3;5;13;19;18
;;3;Overvliet, N.T.;231;19;12;1;5;6;1;2;3;15;12;1;3;4;2;8;3;8;3;8;4;18;28;45;7;5;8
;;4;Geelen, P.P.;55;0;2;0;0;0;0;0;0;0;3;10;8;3;3;7;0;1;0;0;2;0;1;1;1;8;5
;;5;Spikker-Hogenkamp, C.H.J.;18;0;1;3;1;1;0;0;1;0;0;1;0;0;0;1;0;0;2;1;4;0;0;2;0;0;0
;;6;Boesveld, H.H.;54;1;0;0;1;0;1;0;0;0;24;2;1;3;3;4;3;0;0;0;0;4;2;5;0;0;0
;;7;Frijlink, E.F.H.;111;0;14;17;17;6;3;1;1;1;1;1;2;2;0;0;1;1;9;19;7;2;0;4;1;1;0
;;8;Lok, J.J.;65;3;4;3;23;1;4;2;4;0;2;0;0;0;0;0;0;0;3;2;7;0;0;5;2;0;0
;;9;Luteijn, P.D.;67;1;5;3;3;4;2;0;0;1;0;2;1;0;1;0;1;1;6;13;16;2;1;4;0;0;0
;;10;de Lange, A.;80;0;1;0;0;0;0;0;0;0;2;13;2;7;3;20;6;3;0;0;1;0;2;1;7;8;4
3;Partij van de Arbeid (P.v.d.A.);;;2801;102;95;98;107;54;93;87;82;95;64;85;52;109;125;163;41;44;112;108;91;130;144;231;156;167;166
;;1;Hofstede, G.;1852;73;72;70;80;41;71;65;54;79;46;57;33;54;32;108;27;37;94;80;61;101;102;160;87;89;79
;;2;Noorland, M.;203;2;7;10;9;1;2;7;7;9;8;3;1;7;5;7;5;0;5;4;7;13;20;42;4;8;10
;;3;Heesen, W.A.;78;1;0;1;0;0;3;0;1;1;0;9;5;6;2;7;1;1;0;5;3;3;1;1;11;8;8
;;4;Sahan, M.;325;4;0;1;3;2;1;7;4;2;4;7;6;25;78;20;5;2;1;5;5;2;4;6;30;46;55
;;5;Hageman, G.;14;0;0;3;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;1;2;2
;;6;Cator, T.;48;0;5;2;4;7;6;0;7;0;0;0;0;0;0;0;0;0;2;5;6;1;0;2;0;0;1
;;7;Doornbos, M.;15;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;3;4;2
;;8;van der Weijden, R.H.C.;11;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;2;1;2
;;9;de Ruiter, J.J.;29;12;4;0;0;0;1;0;0;0;2;2;0;1;0;0;0;0;0;1;0;2;1;0;0;3;0
;;10;Teeuw, A.H.;10;0;0;3;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;11;Bosman, J.H.;21;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;10;7;0;0;0
;;12;Booij, I;39;0;1;0;2;0;1;0;2;0;1;4;2;3;1;2;0;2;1;1;0;2;3;7;1;1;2
;;13;ter Avest, J.;12;0;0;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;1;0;0
;;14;Couwenhoven, T.;5;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Brandt, A.F.;17;9;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0
;;16;Schadd-de Boer, P.;59;0;5;4;6;2;5;4;1;3;0;2;1;0;0;3;0;1;7;7;3;0;0;2;3;0;0
;;17;Booij, N.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;2;1;0
;;18;van Valburg, H.J.;53;0;0;0;1;0;0;0;0;0;3;1;1;7;3;10;2;0;1;0;1;0;2;3;9;4;5
4;D66;;;3010;95;271;277;251;111;128;21;62;52;92;125;65;91;49;129;29;68;103;168;128;47;98;219;86;106;139
;;1;Roumen, E.P.F.L.;1040;35;93;79;77;36;47;11;23;26;34;46;18;28;21;54;12;15;34;61;43;21;35;82;29;37;43
;;2;Huertas Mulckhuyse, R.R.A.;1000;37;100;110;97;43;47;5;22;13;20;38;14;27;9;31;8;14;37;65;49;8;33;70;29;38;36
;;3;Appels, D.J.P.;200;0;27;32;36;8;14;4;10;1;2;4;4;0;1;3;2;0;10;12;15;0;4;6;1;3;1
;;4;Kuijpers, M.A.;133;2;2;4;5;0;1;0;0;1;1;16;13;13;6;17;3;0;0;1;1;0;0;1;6;12;28
;;5;Timmer, E.;46;1;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;34;0;1;0;0;0;0;2;0;1
;;6;Marshall, S.W.;53;2;0;0;0;3;0;0;2;0;28;5;1;0;0;0;0;0;4;2;1;0;1;1;2;0;1
;;7;van Eijden, S.;144;5;11;23;16;7;9;0;1;1;1;5;1;3;1;11;2;2;7;8;4;3;2;5;5;6;5
;;8;van Setten, F.K.;18;3;0;0;0;0;0;0;0;0;0;1;0;2;1;5;0;0;0;0;0;0;0;1;0;1;4
;;9;Willemen-Pennings, M.W.;25;1;2;2;2;0;4;0;0;1;1;1;1;0;1;0;0;0;2;0;1;0;1;3;0;0;2
;;10;Ort, F.F.;36;0;2;0;1;2;0;1;1;0;2;4;0;8;4;0;1;0;0;1;0;1;0;0;3;3;2
;;11;Verspui, C.;28;2;1;0;2;2;0;0;0;0;0;1;4;1;1;1;0;0;0;1;0;0;0;1;2;0;9
;;12;Jansen, P.;13;0;2;4;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1
;;13;Steijns, M.J.H.M.;33;2;3;11;3;3;0;0;1;0;1;1;1;0;0;0;0;0;1;1;3;0;0;0;0;2;0
;;14;Hageman, A.T.M.;13;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;1;0;1
;;15;Kramer-de Beijer, D.;70;1;1;1;0;0;0;0;0;6;0;0;0;1;0;1;0;0;0;1;1;12;12;31;1;0;1
;;16;Jans, P.J.M.;9;0;3;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;17;den Hertog-Heins, K.H.;54;2;8;2;4;2;1;0;0;2;1;0;0;1;2;1;1;0;2;1;3;2;4;11;0;2;2
;;18;Klomberg, T.A.F.A.;62;1;11;2;3;0;2;0;0;1;1;1;5;4;0;4;0;3;2;4;2;0;3;6;4;1;2
;;19;Spaargaren, A.J.;33;1;3;3;3;3;2;0;0;0;0;0;1;1;1;0;0;0;1;7;3;0;1;1;1;1;0
5;GROENLINKS;;;3077;133;199;218;227;120;116;32;51;56;145;122;106;97;61;130;37;73;138;134;146;82;76;218;97;120;143
;;1;Endeveld, T.;1148;48;68;75;96;45;42;20;24;22;52;47;35;36;26;52;12;28;49;61;55;31;26;81;43;33;41
;;2;van Heijgen, M.;99;4;19;9;15;4;0;0;1;1;5;0;1;5;1;5;1;0;4;6;7;3;0;5;0;1;2
;;3;Verhoeven, J.C.H.M.;133;3;2;4;3;0;0;0;0;1;3;6;21;12;5;12;2;6;6;1;2;1;3;1;11;15;13
;;4;Kamps, B.;27;1;2;1;1;0;1;0;0;0;1;1;1;2;1;0;1;1;1;0;3;0;2;2;0;3;2
;;5;Moes, H.C.M.;40;20;2;0;1;3;0;0;2;0;2;3;0;0;0;1;0;0;0;0;0;0;0;3;2;1;0
;;6;Heersink, H.;628;24;38;51;32;25;18;3;8;17;25;18;16;14;8;22;7;18;31;28;22;29;24;81;14;31;24
;;7;de Boer, S.;369;12;37;48;40;24;35;5;9;4;6;6;6;1;2;10;1;1;24;21;33;6;3;14;5;3;13
;;8;van de Kolk, M.;304;10;6;12;17;5;5;0;1;3;11;32;22;21;17;20;7;12;13;6;5;2;4;11;13;17;32
;;9;Vrieze, S.;89;3;12;7;10;8;11;3;3;0;1;1;0;1;0;0;0;2;4;7;8;1;1;0;2;2;2
;;10;Bredius, T.C.;17;0;2;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;2;0;1;3;2;0;0;1;1
;;11;Wehkamp, G.H.F.M.;24;0;0;1;2;0;0;0;2;0;12;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1
;;12;Wenderich, P.;39;0;6;5;4;4;2;0;0;1;0;1;1;1;0;0;1;2;1;1;2;1;0;1;1;2;2
;;13;van den Hazel, P.J.;33;4;0;0;2;0;0;0;0;1;17;1;0;0;0;2;0;0;0;0;1;1;0;2;1;1;0
;;14;Nieuwenhoven, L.M.;65;1;3;4;2;1;1;0;1;4;5;0;2;2;0;4;1;2;0;1;2;2;9;17;1;0;0
;;15;Pos, C.E.;62;3;2;1;1;0;1;0;0;1;4;6;1;2;0;1;4;0;3;1;4;2;2;0;4;9;10
6;GPR Burgerbelangen;;;2478;54;92;75;103;41;68;84;79;75;54;87;64;117;125;170;127;87;71;81;94;63;97;167;131;111;161
;;1;Eskes, T.K.J.;1031;30;33;25;23;15;14;27;18;26;31;52;34;61;45;94;61;51;27;27;27;22;35;54;63;57;79
;;2;Bosveld, A.J.H.;256;4;22;20;20;11;19;26;29;2;7;2;3;1;4;5;1;2;16;16;24;2;5;7;0;3;5
;;3;Rook, M.M.H.;382;7;12;14;13;4;7;8;8;7;13;14;10;20;37;31;22;24;6;1;7;8;14;19;28;19;29
;;4;van de Geijn, B.G.M.;49;0;3;0;3;2;2;5;3;0;0;1;0;1;0;0;0;1;7;5;12;1;0;2;0;0;1
;;5;Kooistra, F.L.;164;4;2;0;0;0;0;1;0;27;0;0;0;0;0;1;6;2;1;0;2;23;32;61;0;1;1
;;6;Kooistra, M.;81;0;0;0;1;0;0;0;0;4;1;0;0;5;10;2;32;1;1;2;0;2;6;6;2;1;5
;;7;Huijsmans, A.C.;92;2;9;6;9;4;9;6;7;0;1;0;0;0;0;1;1;1;5;8;6;0;3;7;3;1;3
;;8;Thijsse, J.J.;16;1;6;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1
;;9;ter Hoeven, R.M.;88;0;4;4;25;3;6;4;6;5;0;0;0;1;1;0;0;0;3;14;6;2;0;3;0;0;1
;;10;Sivasli, R.;90;3;0;2;0;0;1;0;0;0;0;3;3;15;8;7;1;0;0;0;0;1;0;0;18;17;11
;;11;Liesting-Pieper, B.G.J.;80;1;0;1;0;0;1;1;2;2;0;7;9;4;8;6;2;1;3;3;2;0;0;2;7;7;11
;;12;Wolthuis, A.S.;33;1;0;1;0;0;0;0;0;0;0;1;2;5;7;7;0;2;0;1;0;0;0;0;0;0;6
;;13;van Dodewaard, M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;1;1;1;1;3;3
;;14;Brouwer, M.R.;13;0;0;0;0;0;0;0;0;0;1;3;2;0;1;2;0;0;0;1;0;0;0;0;0;2;1
;;15;van Zeist, T.W.;15;0;0;0;0;0;0;0;1;0;0;1;0;2;1;1;1;0;0;0;0;0;1;0;4;0;3
;;16;Eulink-van Straaten, G.A.;17;0;1;2;2;0;0;4;1;0;0;0;0;0;2;0;0;1;1;0;1;0;0;2;0;0;0
;;17;Bosveld-Brachten, J.S.G.;6;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;van Wijck, F.D.;22;0;0;0;2;0;0;1;0;0;0;1;1;1;0;10;0;0;0;1;0;0;0;0;4;0;1
;;19;Bosveld-Coenraadts, J.B.;28;1;0;0;1;2;6;1;3;0;0;2;0;1;0;0;0;0;1;2;3;1;0;3;1;0;0
7;ChristenUnie;;;881;33;47;43;33;28;25;4;13;23;24;48;56;43;39;49;27;22;21;25;27;23;32;54;53;46;43
;;1;Witteveen, H.;472;20;20;12;15;11;11;3;8;9;17;33;34;34;18;30;13;9;12;13;14;9;11;21;38;25;32
;;2;Koolstra-Bor, L.F.;201;6;20;17;10;10;7;0;2;5;5;9;4;6;7;4;2;7;5;4;5;13;16;21;4;9;3
;;3;de Vries, A.;47;0;1;0;0;2;0;0;0;1;0;2;7;1;7;4;0;3;1;0;0;0;0;1;7;4;6
;;4;de Haas-Esveld, A.;34;0;1;2;0;0;2;0;1;1;0;2;5;1;4;1;1;0;0;0;0;1;2;1;1;6;2
;;5;Koolstra, W.J.;12;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;2;0;0;0;0;1;2;2;0;0
;;6;Rijneveld, A.;34;3;2;0;0;0;0;0;0;4;1;1;2;0;1;3;11;1;1;1;0;0;1;0;1;1;0
;;7;Esveld, H.;25;0;1;3;5;2;2;1;0;0;1;0;0;0;0;2;0;0;2;5;0;0;0;1;0;0;0
;;8;Mensink, G.J.;6;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;9;Hoebé, J.J.H.;12;1;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;1;4;0;0;0
;;10;van Diermen, A.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Veenstra, H.J.;11;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;12;Swart, P.;8;0;0;0;1;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;13;de Ridder, S.;10;0;0;4;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;14;Hekman, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;15;Stehouwer, J.;5;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8;Volkspartij Politiek Rheden;;;1380;32;35;47;51;24;63;45;93;56;15;46;21;60;62;83;33;35;43;79;56;41;52;116;58;54;80
;;1;Kooijmans, M.T.;867;19;24;39;35;17;36;36;62;41;7;23;14;20;36;40;19;25;33;52;44;30;39;86;25;24;41
;;2;Reusink, H.;114;8;1;1;1;0;2;0;2;4;3;6;0;7;8;9;5;5;0;1;0;4;4;4;16;14;9
;;3;Budel, W.T.H.;123;0;6;5;8;6;22;5;20;4;0;0;0;3;0;1;0;0;7;9;8;2;6;5;1;3;2
;;4;van Heumen, P.O.;180;3;1;0;1;0;0;0;4;3;2;17;7;28;17;30;6;4;0;1;0;0;0;6;11;12;27
;;5;Crum, M.;34;2;0;0;0;0;0;1;0;2;2;0;0;1;0;3;0;1;0;1;1;1;1;14;4;0;0
;;6;Hagen, H.J.W.;62;0;3;2;6;1;3;3;5;2;1;0;0;1;1;0;3;0;3;15;3;4;2;1;1;1;1
