Verkiezing;;Gemeenteraad Culemborg 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Culemborg;;;;;;;;;;;;;;;;;;;;;
Nummer;;0216;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor;Stadhuis;De Gelderlandfabriek;De Schoolhof;Josefschool;Sporthal Interweij - 6;Sporthal Interweij - 7;De Salaamander - 8;De Salaamander - 9;Clubhuis Hockey;Rode Kruisgebouw;Augustinusschool;Bon Vie;Sporthal Parijsch - 15;Sporthal Parijsch - 16;Bon Vie;Clubhuis Hockey;Bon Vie;Clubhuis Hockey
;;16;Haring, A.H.;12;0;3;0;0;0;0;1;1;1;0;2;0;0;0;0;1;3;0;0
;;17;de Laat, C.A.M.;24;2;1;0;0;1;0;1;1;3;0;3;0;2;1;3;3;1;2;0
;;18;van Eeden, V.W.;37;4;7;7;3;3;1;0;2;2;1;1;1;1;1;1;1;0;1;0
;;19;Reus, J.A.W.A.;34;1;2;7;0;1;0;0;2;2;2;4;0;1;0;0;3;1;4;4
2;VVD;;;2061;103;112;59;88;84;49;32;130;134;75;223;81;156;175;122;123;72;135;108
;;1;Braam, J.L.H.M.;621;32;28;16;18;20;15;5;55;40;14;63;27;52;52;47;42;18;48;29
;;2;Kuijer, M.T.;538;26;29;19;28;20;18;14;29;36;28;69;15;39;50;28;34;10;31;15
;;3;van Asselt, R.A.L.;134;10;10;3;3;7;0;0;7;6;12;11;2;11;13;1;4;8;12;14
;;4;van Rooij-Jägers, J.C.J.;112;3;2;3;13;2;1;5;3;7;3;13;5;10;8;5;13;4;9;3
;;5;van Everdingen, J.;282;19;25;10;14;17;7;3;14;19;2;26;8;9;27;22;10;11;16;23
;;6;van der Werf, M.;46;1;1;0;3;5;1;1;0;4;3;0;4;5;4;5;1;2;1;5
;;7;Schot, C.W.;21;0;0;0;0;1;1;0;1;6;0;1;0;1;0;1;3;4;2;0
;;8;Sap, R.I.;21;0;0;1;0;1;0;0;6;1;1;2;3;1;2;1;0;0;0;2
;;9;Saija, G.S.J.;32;0;2;0;0;2;1;1;1;6;0;7;0;4;4;1;0;0;3;0
;;10;van Zomeren, C.N.M.;26;1;1;1;2;2;0;0;1;0;0;5;1;5;0;5;1;0;1;0
;;11;le Belle, E.M.M.;31;2;2;2;0;1;0;0;2;3;2;4;1;2;2;1;2;3;1;1
;;12;Roefs, J.P.M.;4;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;13;Driessen, J.M.A.;21;0;4;0;3;1;0;0;1;1;4;1;0;1;0;0;0;0;4;1
;;14;Dijkstra, G.R.;8;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;1
;;15;Schuurman, M.J.F.;13;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;1;0;0;6
;;16;van Dord, M.J.C.;82;5;2;3;4;3;1;1;4;0;0;16;13;5;5;2;8;2;4;4
;;17;Michels, R.H.J.J.;9;3;1;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0
;;18;Starink, B.;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
;;19;van Hoof, J.A.H.;17;0;1;0;0;0;0;0;2;0;1;2;1;1;0;1;0;4;1;3
;;20;de Raad, C.G.A.;39;0;1;0;0;2;0;2;3;3;3;2;0;9;4;2;2;3;2;1
3;Culemborg van Nu;;;2752;182;193;97;111;97;73;66;167;215;118;254;150;164;199;178;80;110;150;148
;;1;Wichgers, M.;1359;96;78;40;51;36;38;33;92;107;55;137;69;73;87;82;51;72;79;83
;;2;van der Waal, J.;103;6;11;2;3;3;0;1;8;5;0;14;3;5;12;7;1;4;10;8
;;3;Walhout, W.;95;6;2;1;3;0;0;1;3;9;0;12;5;12;8;19;3;1;6;4
;;4;Bronk, T.;228;10;23;10;4;13;4;1;14;17;5;12;17;14;23;24;6;3;16;12
;;5;Bos, P.;42;1;1;1;1;3;0;0;3;1;5;3;5;8;1;2;2;2;0;3
;;6;Lodewijks, M.T.M.;17;4;1;0;0;0;0;0;4;0;2;0;0;1;1;3;0;0;1;0
;;7;Salama, A.;81;6;5;1;8;6;0;6;2;16;5;3;4;5;6;1;1;3;0;3
;;8;Hansum, J.W.;18;3;4;0;0;0;1;1;0;2;1;0;1;1;0;0;0;0;1;3
;;9;Laouhi, S.;70;8;6;6;5;4;2;1;3;5;8;3;7;2;2;4;0;0;1;3
;;10;Krugers Dagneaux, R.S.J.M.;42;4;4;2;0;3;0;1;2;5;2;8;3;1;2;1;0;1;3;0
;;11;Elsten, B.J.F.;41;1;1;6;1;3;3;1;1;0;7;4;1;3;4;2;0;0;0;3
;;12;Meijdam, R.;30;0;0;0;0;2;1;3;4;5;2;0;1;2;0;0;1;2;4;3
;;13;van der Meer, T.;57;6;0;3;2;2;1;0;2;3;2;7;4;1;14;6;0;1;3;0
;;14;van Empel, J.C.;170;12;12;5;10;5;12;7;7;7;10;18;13;8;13;9;3;7;6;6
;;15;Elidrissi, A.;49;2;0;1;8;4;2;2;1;2;5;4;1;1;2;2;1;5;1;5
;;16;Maas, E.H.;84;2;13;9;2;1;3;0;7;9;0;5;2;9;5;2;2;2;6;5
;;17;van der Meer, J.T.;58;1;8;3;5;0;1;2;1;1;2;7;4;4;9;2;3;1;4;0
;;18;Schmaal, J.;23;1;8;1;4;2;1;0;0;1;0;0;0;1;1;0;1;0;2;0
;;19;van Oorschot, H.C.;87;5;10;3;0;4;1;4;4;9;5;9;5;4;9;5;2;4;1;3
;;20;Severens, J.C.L;11;1;2;0;1;0;2;0;0;2;0;1;0;0;0;1;0;1;0;0
;;21;Wichgers, H.L.;13;0;1;0;0;1;0;0;0;1;0;2;0;0;0;1;2;0;2;3
;;22;Salari, M.E.P.W.;74;7;3;3;3;5;1;2;9;8;2;5;5;9;0;5;1;1;4;1
4;D66;;;1103;75;125;63;25;37;15;23;81;73;40;93;44;67;79;57;39;51;63;53
;;1;Kusters, D.;621;44;64;30;8;14;10;17;41;54;21;51;17;50;54;36;24;27;32;27
;;2;Rooks, J.B.;103;6;19;6;0;3;1;1;5;5;4;12;4;8;5;4;0;11;3;6
;;3;Metz, E.J.;41;2;4;5;0;5;1;0;2;2;0;3;3;0;1;2;4;2;2;3
;;4;Besamusca, C.C.;39;2;3;4;0;3;1;0;3;1;3;4;1;0;3;1;1;2;5;2
;;5;van Went, J.T.M.;42;2;5;2;0;5;0;0;5;4;2;2;3;0;2;3;0;2;2;3
;;6;Bijvoet - de Wit, D.P.S.;65;5;7;5;3;2;0;1;11;2;1;5;4;3;1;4;2;3;3;3
;;7;Putuhena, M.;60;3;4;1;7;0;0;2;7;3;7;4;3;0;2;5;4;2;3;3
;;8;van Noortwijk, R.J.;39;1;8;3;1;2;0;2;5;0;1;5;3;2;3;0;1;0;1;1
;;9;Bhawanibhiek, T.J.;25;2;1;4;3;0;0;0;0;0;1;4;1;2;1;0;0;0;4;2
;;10;Visser, J.M.;13;3;5;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;11;van Alphen, H.H.;20;2;1;0;0;0;1;0;0;2;0;2;4;1;2;0;0;1;1;3
;;12;Ploeg, W.;6;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0
;;13;van der Wardt, H.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Schouten, R.Y.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Jongh, J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Braam, H.A.P.;10;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;1;1;2;0
;;17;Stolwijk, N.H.M.;16;1;2;1;2;0;0;0;2;0;0;0;0;0;1;2;2;0;3;0
5;CDA;;;702;42;67;12;21;29;15;20;52;46;28;55;41;52;37;42;38;20;47;38
;;1;van Zandwijk, M.C.;434;31;39;4;10;17;12;14;32;22;18;32;25;33;24;25;25;13;33;25
;;2;Wanders, P.P.A.;10;2;1;0;2;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0
;;3;Brus, J.J.T.;84;4;10;0;3;7;2;2;5;5;4;9;9;9;2;4;1;0;3;5
;;4;Koolen, G.H.J.;59;2;3;4;1;2;0;0;4;7;0;6;0;5;5;7;4;2;3;4
;;5;Bleichrodt, J.F.;18;0;1;1;0;0;0;0;6;2;1;1;0;0;1;1;0;1;1;2
;;6;Goes, J.N.;10;0;0;0;0;0;0;1;0;2;0;0;0;1;2;1;2;0;1;0
;;7;Stärk, Q.R.;13;0;4;2;0;2;0;0;1;1;0;1;0;1;0;0;0;1;0;0
;;8;de Gooijer, G.L.;5;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;9;Oomen, W.W.J.;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;10;de Geus, N.;29;0;4;0;1;0;1;0;2;3;2;3;1;0;1;2;3;1;3;2
;;11;Boomhouwer, R.A.;12;1;2;0;0;0;0;2;1;1;0;0;0;1;0;1;1;2;0;0
;;12;Ton, J.G.;25;2;2;1;2;1;0;1;0;3;2;1;4;0;2;0;2;0;2;0
6;ChristenUnie;;;1007;61;73;58;38;44;28;22;75;93;37;90;37;54;53;49;40;45;54;56
;;1;van der Zaag, C.G.;605;42;32;34;24;19;10;14;50;54;19;57;21;37;34;35;24;26;39;34
;;2;Stroomberg, H.H.;29;2;0;2;1;2;4;2;1;5;0;2;4;0;0;1;1;0;0;2
;;3;Pater, C.J.;158;9;12;8;7;11;5;1;8;14;9;14;5;4;12;7;5;9;7;11
;;4;Zuidhof, A.T.;30;0;4;5;0;1;2;1;2;4;1;3;2;2;0;0;1;0;1;1
;;5;de Wolff, C.J.;18;4;0;4;0;0;0;0;1;5;0;1;0;0;0;1;1;0;0;1
;;6;Hoven, H.H.;18;0;2;0;0;0;0;1;3;1;0;3;1;1;3;1;1;0;0;1
;;7;Kemman-Melse, L.D.;18;1;4;0;1;3;1;0;1;1;2;1;1;1;0;0;0;1;0;0
;;8;Kool, D.;10;0;1;0;0;0;1;1;1;0;0;4;0;1;0;0;0;0;0;1
;;9;Dorenbos, K.M.;7;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3;1;0;0
;;10;van Houwelingen, M.;26;0;5;3;1;2;1;0;0;1;2;2;1;2;1;1;2;0;0;2
;;11;Kastenberg, G.J.;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;de Winter-de Groot, K.M.;7;0;0;0;0;0;2;0;0;2;0;2;0;0;1;0;0;0;0;0
;;13;van de Vate, C.;10;2;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1
;;14;Jozefzoon, J.J.I.;16;0;3;0;0;3;1;0;0;2;0;0;1;0;1;0;0;3;1;1
;;15;Zoutewelle, H.W.;17;0;7;1;0;0;0;1;0;1;2;0;0;0;0;1;1;0;3;0
;;16;van Eck, M.G.;14;0;0;0;4;1;0;0;0;2;2;0;1;2;0;0;0;1;1;0
;;17;Lourens, A.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Tanis, G.;8;0;0;0;0;1;1;0;2;1;0;1;0;0;0;1;0;1;0;0
;;19;Visser, S.;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;20;Eikelboom, K.G.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Spijker-Hordijk, A.J.;8;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;1;1;1
7;Partij van de Arbeid (P.v.d.A.);;;982;37;90;59;55;56;14;21;89;66;47;81;33;59;43;43;41;35;51;62
;;1;Dagdag, Y.;500;21;51;27;43;33;6;12;37;32;29;34;14;29;21;21;23;12;28;27
;;2;Brinkhuis, R.G.;68;1;6;4;1;4;2;1;4;1;5;8;4;11;3;5;2;3;1;2
;;3;de Maar, A.;241;10;19;17;6;13;3;3;21;22;8;19;9;14;16;9;9;10;12;21
;;4;Kempers, J.;12;0;1;1;0;0;1;1;2;3;0;0;0;0;0;0;1;1;0;1
;;5;de Rijk, H.G.L.;13;0;2;1;2;0;0;0;0;0;0;1;1;1;0;0;1;3;0;1
;;6;Olsthoorn, A.J.;45;2;2;6;1;2;1;3;5;1;1;5;2;2;3;3;0;2;0;4
;;7;Romijn, C.P.;39;2;3;0;1;2;0;1;7;4;2;3;1;0;0;0;2;3;6;2
;;8;Welle, A.;24;0;1;0;1;2;1;0;10;1;2;3;1;2;0;0;0;0;0;0
;;9;van Amstel, C.L.A.;21;1;4;2;0;0;0;0;1;1;0;5;1;0;0;2;2;1;0;1
;;10;Eigeman, J.H.;19;0;1;1;0;0;0;0;2;1;0;3;0;0;0;3;1;0;4;3
8;SP (Socialistische Partij);;;486;31;33;19;21;17;14;8;45;51;36;45;18;17;12;15;15;35;31;23
;;1;van Breukelen, G.H.M.;259;16;16;8;14;8;8;4;24;20;25;25;8;10;6;7;7;20;19;14
;;2;van den Elzen, A.H.;20;0;1;0;3;1;0;0;2;1;0;2;0;1;0;0;3;2;3;1
;;3;Beverloo, J.J.;116;9;7;5;2;6;4;4;6;19;9;7;9;3;4;6;2;4;7;3
;;4;Krist, K.G.;24;2;3;2;0;0;2;0;3;4;0;4;0;0;2;0;0;0;0;2
;;5;van Dijk, P.T.M.;8;1;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;1
;;6;Spits, E.W.;22;2;2;1;0;1;0;0;1;1;1;3;1;1;0;1;2;3;1;1
;;7;Mooren, S.J.M.;23;1;2;2;2;0;0;0;5;2;1;3;0;0;0;0;1;3;1;0
;;8;Taat, J.E.S.;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;9;Hoogendoorn, P.C.;4;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1
;;10;Wammes, K.;6;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0
9;CulemborgsBelang;;;703;12;18;9;83;56;15;21;42;46;143;38;13;21;17;24;18;47;26;54
;;1;El Boustati, A.;299;4;9;3;27;15;8;12;18;16;62;19;7;6;8;12;12;32;13;16
;;2;Suitela, J.M.;101;0;4;3;0;1;1;1;16;8;27;5;0;3;2;3;1;8;0;18
;;3;van Raaij, M.H.;49;3;1;0;6;1;2;3;2;9;0;8;1;3;1;3;3;1;1;1
;;4;Yumuşak, B.;82;4;2;3;14;17;0;1;3;5;9;4;2;3;1;3;2;3;2;4
;;5;Yaagoubi, A.;56;0;0;0;25;6;0;0;0;1;4;2;2;0;1;0;0;2;9;4
;;6;Ramdani, A.;38;0;0;0;1;2;0;2;3;1;23;0;0;2;0;0;0;1;0;3
;;7;Abrahimkhil, R.;31;1;2;0;5;9;0;0;0;2;11;0;0;0;0;1;0;0;0;0
;;8;Dingil, Y.;26;0;0;0;0;4;4;0;0;1;5;0;0;3;3;1;0;0;0;5
;;9;Bougandouz, M.;4;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;10;Bourkha, A.;4;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
;;11;Kharbajjou, R.;13;0;0;0;3;1;0;1;0;2;1;0;0;1;0;1;0;0;1;2
10;Partij voor de Dieren;;;819;72;86;117;31;41;13;11;64;40;28;53;22;35;33;32;22;23;59;37
;;1;van der Velde, M.C.;569;49;56;76;22;28;12;9;43;30;22;40;17;24;19;25;16;18;38;25
;;2;Jackson, L.A.;69;6;4;6;2;1;0;0;8;5;4;3;2;6;5;3;0;2;10;2
;;3;Vroomen, K.G.G.;14;0;2;2;0;3;0;0;0;1;0;3;0;0;0;1;0;0;1;1
;;4;van Midden, R.;40;5;7;6;1;3;0;1;1;2;0;1;2;3;2;0;3;0;2;1
;;5;Mol, A.B.M.;40;1;8;21;1;0;1;0;4;0;0;0;0;0;0;1;1;0;1;1
;;6;Hunfeld, M.H.J.;17;7;2;1;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;1
;;7;Lange, M.;6;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1
;;8;Nolten, M.;16;0;2;0;2;1;0;0;2;0;0;2;1;0;1;0;0;3;1;1
;;9;Bertens, S.;18;1;2;0;2;1;0;0;1;0;1;1;0;1;3;1;0;0;2;2
;;10;Munnik, M.R.;5;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;11;Huele, J.;5;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;12;Krijger-Vroomen, N.M.;7;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0
;;13;Sypitzki, H.D.;4;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0
;;14;van der Pluijm, L.C.;9;0;1;2;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2
