Verkiezing;;Gemeenteraad Oldebroek 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldebroek;;;;;;;;;;;;;;;;;;;;;
Nummer;;0269;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Heerdt;Luctorgebouw;Grinthuus;Pauluskerk;Kruiskerk;Sporthal Kamphal;Vredeskerk;De Brinkhof;De Bouwakker;De Zwikmeule;Erica Terpstrahal;Immanuëlkerk;Mobiel stembureau;Drive-through Gemeentewerf;Gemeentehuis maandag;Gemeentehuis dinsdag;Sporthal Kamphal maandag;Sporthal Kamphal dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;10;11;12;13;14;15;51;52;53;54;55;56
Postcode;;;;;8096 CP;8097 SE;8096 BR;8095 PX;8091 CK;8091 GA;8091 RC;8091 GR;8091 XS;8094 AM;8096 BB;8091 XA;8096 BE;8096 AX;8091 XX;8096 CP;8096 CP;8091 RC;8091 RC
2;Staatkundig Gereformeerde Partij (SGP);;;1337;147;271;136;103;38;41;23;71;54;34;120;34;90;30;3;27;74;21;20
;;1;Doornwaard, D.E.;857;91;173;87;68;25;29;18;43;34;16;92;20;55;10;2;14;51;11;18
;;2;Vlieger, G.;106;12;13;9;18;4;3;0;11;4;2;7;1;10;1;0;6;4;1;0
;;3;Evink, G.;68;10;22;4;3;0;0;0;4;2;0;0;4;1;14;0;0;3;1;0
;;4;van de Beek, H.;42;0;16;8;1;6;1;0;0;2;1;2;3;0;0;0;0;1;1;0
;;5;Kwakkel, H.J.;50;4;4;10;7;2;0;0;0;4;0;2;2;9;0;0;2;4;0;0
;;6;Wielink, H.;16;7;4;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0
;;7;Draaijer, E.D.;34;11;1;2;0;0;0;1;0;0;0;5;0;6;0;0;2;6;0;0
;;8;van Putten, B.;21;5;9;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0
;;9;Bakker, E.J.;6;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;0
;;10;van Duinen, J.;26;0;0;0;1;1;4;3;1;4;6;0;2;1;0;0;2;0;1;0
;;11;van Vlastuin, W.;32;2;1;5;2;0;0;0;8;0;5;2;0;2;2;0;0;0;1;2
;;12;van de Weg, H.;11;0;7;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;13;van Duijn, P.;6;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;14;de Heer, A.C.;7;1;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0
