Verkiezing;;Gemeenteraad Ermelo 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ermelo;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0233;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Maranathakerk;Chr. Ger. Kerk;Gemeentehuis;Rehobothkerk;Sporthal Dindoa;De Baanveger;Weth. Balverszaal 1;Sportcentrum Calluna;De Oude School 's Heeren Loo;Ons Huis;RK Kerk;Weth. Balverszaal 2;Sporthal Triade;SmdB Speulderbrink;De Westerkerk;Proson, restaurant bon appétit;Gemeentehuis maandag;Gemeentehuis dinsdag;RK kerk maandag;RK kerk dinsdag;Westerkerk maandag;Westerkerk dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25
Postcode;;;;;3851 XR;3851 XA;3851 NT;3851 LH;3853 PT;3851 CP;3853 PR;3851 BC;3853 HD;3853 LN;3852 XB;3853 PR;3852 ZX;3852 NH;3853 JK;3851 ZH;3851 NT;3851 NT;3852 XB;3852 XB;3853 JS;3853 XB
;;24;van der Weide, E.;18;1;0;0;1;3;1;0;0;3;1;0;0;0;2;2;0;0;0;1;1;0;2
;;25;van Norden-Bakker, T.;7;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0
;;26;Brons, M.J.;7;0;0;0;0;0;1;1;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0
;;27;Brouwer-Raatjes, M.;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;28;Boxen, F.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;29;Dunnig, G.A.;5;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Bruining, L.C.;7;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0
;;31;Brussaard, D.B.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;32;Groeneveld, M.A.;13;0;0;3;0;0;1;2;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;33;Mazier, R.C.;11;0;1;0;1;1;1;0;1;0;0;0;1;1;0;2;0;0;0;1;0;0;1
;;34;Vliegenthart-Goedhart, D.G.C.;9;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;1;0;1;0;0;2
2;Progressief Ermelo;;;1878;78;103;173;79;49;54;67;121;66;61;79;86;145;32;162;65;96;100;35;62;78;87
;;1;Kars, E.;1212;53;65;110;58;29;41;40;77;42;45;49;45;97;24;95;41;66;63;21;42;51;58
;;2;Arts, R.;75;3;2;13;0;2;2;0;5;5;1;5;4;6;0;6;4;0;5;2;2;4;4
;;3;Veenstra-Bakker, A.P.;117;2;20;9;5;2;2;5;3;6;6;10;4;12;1;2;3;5;6;1;4;5;4
;;4;van de Visse, F.H.A.;18;0;0;3;1;0;0;1;0;0;1;4;0;0;1;1;0;1;0;1;2;1;1
;;5;Visser, L.K.;37;5;2;2;1;1;0;0;3;1;0;1;2;3;1;2;0;2;6;1;0;2;2
;;6;Onderweegs, M.R.;77;0;3;6;2;0;0;5;3;3;3;3;15;4;0;9;5;3;1;0;5;1;6
