Verkiezing;;Gemeenteraad Druten 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Druten;;;;;;;;;;;;;;;;
Nummer;;0225;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Mamre;Het Bondsgebouw;Wijkcentrum de Doorkijk I;Kulturhus de Meent;Dorpshuis 't Trefpunt;Dorpshuis De Lier;Dorpshuis Horssen;Wijkcentrum de Doorkijk II;de Bogerd;Gemeentehuis (maandag);Gemeentehuis (dinsdag);Wijkcentrum de Doorkijk (maandag);Wijkcentrum de Doorkijk (dinsdag)
;;31;Kwakernaak, P.J.;10;3;2;1;0;0;0;0;0;0;0;3;1;0;0
;;32;van Mulukom, M.E.;26;2;2;12;1;2;0;0;0;0;1;5;1;0;0
;;33;Janssen, G.G.L.M.;5;0;0;0;0;0;0;0;0;0;2;2;1;0;0
;;34;de Goey, A.A.;20;7;0;9;1;0;0;1;0;2;0;0;0;0;0
;;35;van Ooijen, B.J.B.;9;3;0;6;0;0;0;0;0;0;0;0;0;0;0
;;36;Eikhout, W.H.M.;9;2;0;5;0;1;0;1;0;0;0;0;0;0;0
;;37;van Esveld-Litjens, M.;6;0;0;0;0;5;0;0;0;0;0;1;0;0;0
;;38;Evers, H.G.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;39;van de Klok-Heestermans, P.A.T.;5;0;1;0;0;0;0;0;0;1;0;0;3;0;0
;;40;Hoes, D.;14;2;0;3;0;0;0;1;1;1;2;4;0;0;0
;;41;Seegers, R.J.;14;2;2;2;0;0;0;0;2;0;4;1;1;0;0
;;42;Wijnen, S.A.I.;13;1;0;4;0;1;1;1;1;2;0;0;0;2;0
;;43;Haverkamp, P.M.;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0
;;44;Burgers, M.J.A.;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;45;van Kraaij, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schiks-Janssen, H.M.;15;1;0;3;1;0;0;3;0;0;1;0;3;0;3
;;47;Geurts, P.G.J.;15;2;0;2;0;0;11;0;0;0;0;0;0;0;0
;;48;Heikens-Hager, I.L.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2
;;49;Kerkhoff, A.J.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1
;;50;Pardoel, M.;22;1;0;4;5;6;0;0;0;1;0;3;0;0;2
2;Dorpslijst Puiflijk / Druten-Zuid;;;1457;156;23;79;117;13;15;520;3;185;65;51;88;68;74
;;1;Postulart, R.H.A.M.;628;60;15;45;53;6;10;222;2;89;24;23;38;19;22
;;2;Enkür, M.;88;11;0;2;10;0;0;10;0;18;0;1;7;16;13
;;3;Thoonen, R.G.C.J.;123;12;0;3;4;1;1;62;0;11;6;1;8;5;9
;;4;van Rhijn, L.J.A.M.;114;15;3;6;13;0;2;24;0;13;7;9;6;10;6
;;5;Eskes-van As, J.W.M.;98;10;1;4;4;0;0;39;1;18;3;5;7;3;3
;;6;van Bergen, G.J.A.;22;2;0;1;0;3;0;12;0;0;0;1;0;0;3
;;7;Zegers, M.B.;58;4;0;3;4;0;0;36;0;6;0;1;3;1;0
;;8;van Lith, T.;57;12;1;4;2;0;0;6;0;8;14;4;4;1;1
;;9;Öner, H.;43;7;0;0;4;0;0;2;0;7;3;1;1;9;9
;;10;Hanenberg, T.B.H.;21;8;0;0;3;0;0;7;0;2;0;0;0;0;1
;;11;Litjens, W.B.G.J.;8;2;0;0;0;0;0;6;0;0;0;0;0;0;0
;;12;Can, B.;8;2;0;0;0;0;0;0;0;1;0;3;2;0;0
;;13;Walraven, M.G.;29;4;0;3;2;0;2;8;0;2;2;0;0;1;5
;;14;Thoonen, Q.J.;4;0;0;0;0;0;0;2;0;1;0;1;0;0;0
;;15;Schiks, R.J.;24;0;2;0;3;0;0;19;0;0;0;0;0;0;0
;;16;den Biesen, J.L.M.;6;0;0;0;0;0;0;3;0;0;1;0;2;0;0
;;17;Megens-Springveld, V.L.;11;0;0;1;4;0;0;5;0;1;0;0;0;0;0
;;18;Baars, R.S.;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0
;;19;den Biesen, M.J.M.;9;2;0;0;0;0;0;5;0;2;0;0;0;0;0
;;20;Baars, J.T.P.M.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;21;Heijnen, R.H.J.;6;0;0;0;3;0;0;3;0;0;0;0;0;0;0
;;22;Koppers, P.W.J.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;23;van Rijn, J.W.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;24;Hendriks-Luttikhold, A.H.B.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;25;Tijssen, J.W.G.;14;1;0;0;0;0;0;12;0;1;0;0;0;0;0
;;26;van Sommeren, B.T.M.;18;1;0;2;1;1;0;8;0;0;0;0;5;0;0
;;27;van Oss, W.J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Zagten, P.L.J.;15;0;0;1;4;0;0;1;0;3;3;0;1;2;0
;;29;den Biesen, F.W.G.M.;10;0;1;3;0;1;0;5;0;0;0;0;0;0;0
;;30;Smits, J.W.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Jacobs, R.J.A.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;van Sonsbeek, J.C.W.;7;0;0;0;0;0;0;5;0;0;2;0;0;0;0
;;33;Cochius, H.M.C.;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;34;Ebben, J.M.J.;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;35;Sanders, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Sommeren, W.G.R.;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;37;van Elk, G.C.M.;12;2;0;1;1;0;0;3;0;1;0;1;1;1;1
3;Welzijn Druten;;;1114;201;60;177;78;21;27;63;25;101;44;87;125;39;66
;;1;Aslan, M.;347;48;17;38;27;9;13;25;10;39;5;25;31;23;37
;;2;Zwartkruis, R.E.;94;18;7;21;8;2;0;10;2;1;5;3;14;1;2
;;3;Reijers-Dekkers, K.;142;22;5;32;2;3;10;7;9;5;8;14;23;1;1
;;4;den Biesen, F.J.T.;66;19;9;10;5;0;0;3;0;5;0;6;6;0;3
;;5;Koppers, C.M.;58;17;2;4;4;0;3;1;0;6;6;1;11;1;2
;;6;Warris, S.W.F.;44;5;3;18;0;0;0;3;0;2;1;9;2;0;1
;;7;van der Zandt, T.;17;2;0;3;3;0;0;1;1;4;0;2;0;0;1
;;8;van de Geer, M.W.A.;30;7;0;2;10;1;0;0;0;5;0;2;3;0;0
;;9;Zantout, R.;17;0;0;2;3;0;0;0;0;0;0;3;1;8;0
;;10;van Dongen, J.J.M.;24;9;1;3;1;0;0;1;0;5;0;0;1;0;3
;;11;Lodder, J.M.;7;0;0;2;0;0;0;0;0;1;0;1;1;2;0
;;12;den Biesen, D.F.J.P.;17;6;1;1;1;0;0;0;0;1;2;1;3;0;1
;;13;van Elk, A.A.G.M.;58;16;3;16;1;3;0;0;0;5;3;2;6;2;1
;;14;Schulpen, A.W.A.M.;9;1;0;0;0;0;0;1;0;3;0;3;1;0;0
;;15;Schaminée, F.J.A.;5;0;0;0;0;0;0;0;0;0;3;0;0;0;2
;;16;Ritchi, A.P.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;17;Cornelissen, M.W.A.J.;13;0;0;1;0;0;0;2;0;3;5;1;1;0;0
;;18;Aalbers-Hol, S.M.H.;7;2;1;0;0;0;0;2;0;0;0;1;0;0;1
;;19;Jansen, F.A.W.M.;7;5;0;0;0;0;0;0;0;1;0;1;0;0;0
;;20;Cornelissen, W.T.J.;11;2;0;1;1;0;0;0;1;1;0;0;5;0;0
;;21;Sas, J.W.;9;2;0;1;0;0;0;0;0;1;0;1;2;0;2
;;22;de Vaan, A.G.W.;8;0;2;1;2;1;0;0;0;0;0;0;2;0;0
;;23;van Dongen-Janssen, M.J.M.;3;0;0;0;0;0;0;1;0;2;0;0;0;0;0
;;24;Melchers, C.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;25;Koppers, S.J.;10;1;0;4;1;0;0;0;2;1;0;0;0;1;0
;;26;van Dijk, G.;16;0;1;2;5;0;0;2;0;2;0;0;2;0;2
;;27;van Schadewijk, A.G.H.;9;4;1;0;0;0;0;0;0;2;0;2;0;0;0
;;28;van Dreumel, T.;13;4;1;2;0;0;0;3;0;0;1;0;2;0;0
;;29;Özdoğan, Ö.;15;3;0;0;3;0;0;0;0;3;2;0;0;0;4
;;30;de Leeuw, A.J.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Zwartkruis, E.A.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;32;Geijsberts, R.A.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;33;Kuijpers, W.F.T.G.;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;34;Seegers, H.T.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;35;Janssen, K.J.G.;5;0;0;1;0;0;1;1;0;1;1;0;0;0;0
;;36;Krechting, H.T.;15;4;1;7;0;0;0;0;0;0;1;0;2;0;0
;;37;Klarenbeek, J.L.M.P.;16;2;2;1;0;0;0;0;0;0;0;8;3;0;0
;;38;Derks, M.J.A.;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;39;Martens, G.J.M.;8;1;3;1;0;0;0;0;0;2;0;0;1;0;0
4;Dorpslijst Afferden;;;735;8;0;15;3;638;16;6;3;4;10;13;11;3;5
;;1;van Dinteren, T.H.;399;3;0;6;2;351;7;3;3;3;6;6;6;1;2
;;2;Nuij, W.T.J.;36;1;0;0;0;35;0;0;0;0;0;0;0;0;0
;;3;Banken-Croonen, J.J.W.;79;1;0;2;0;68;3;0;0;0;1;0;2;2;0
;;4;Faassen, I.H.M.;42;0;0;1;0;37;0;0;0;1;1;1;1;0;0
;;5;Viergever-Florussen, P.C.C.;28;1;0;0;0;22;1;2;0;0;0;2;0;0;0
;;6;Reijers, L.C.A.;11;0;0;0;0;8;0;0;0;0;1;1;0;0;1
;;7;Janssen Steenberg-Croonen, E.A.;13;0;0;0;0;12;0;0;0;0;1;0;0;0;0
;;8;van Beuningen-van den Berk, B.G.M.;8;1;0;0;0;7;0;0;0;0;0;0;0;0;0
;;9;Jansen, A.J.;7;0;0;1;0;6;0;0;0;0;0;0;0;0;0
;;10;Florussen, G.A.J.;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;;11;Reijers-Langen, M.A.J.;8;0;0;1;0;7;0;0;0;0;0;0;0;0;0
;;12;van Eck-Janssen, N.J.M.;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;13;van Dinteren, M.A.M.;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;14;Vrijaldenhoven, B.M.A.J.;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;15;Paanakker, G.J.M.W.;8;0;0;0;0;4;2;0;0;0;0;0;2;0;0
;;16;Vermeulen, T.A.T.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;17;van Dinteren, N.M.J.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;18;Kuipers, F.J.H.M.;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;19;Lamers, E.G.J.M.;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;20;van Kampen-de Wit, J.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Deenen, W.A.E.R.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;22;van Zoest, A.C.I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Gidding, E.J.M.;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0
;;24;Croonen-Föllings, P.A.J.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;25;Driessen, B.H.J.;8;0;0;0;0;7;0;1;0;0;0;0;0;0;0
;;26;Janssen, I.E.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Gruson, M.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Janssen, G.G.H.J.;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0
;;29;van Geffen, R.C.M.M.;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;30;van Woesik, J.G.T.;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;31;Oude Tijdhof, M.A.J.;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;32;de Krijger, N.H.W.;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;33;Driessen, J.P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van den Hazelkamp, G.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;35;Rijpma-van der Heijden, E.;5;1;0;0;0;4;0;0;0;0;0;0;0;0;0
;;36;van Dinteren, W.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van Druten, R.J.W.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;38;Lamers, C.H.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;39;de Krijger, H.W.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;40;Florussen, J.W.G.;5;0;0;2;0;3;0;0;0;0;0;0;0;0;0
;;41;Konijnenberg, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Gijsbers, H.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Toonen-Merkus, M.J.G.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;44;Faassen-Tomassen, M.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Reijers, J.W.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;de Jong, M.W.G.M.;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;47;van Elk, G.M.;6;0;0;0;0;4;0;0;0;0;0;0;0;0;2
5;Sociaal Maas en Waal;;;734;74;54;91;34;43;80;71;41;51;29;60;55;18;33
;;1;Meesters e/v Uitdehaag, D.C.M.;461;53;34;69;19;29;22;40;33;31;19;35;42;11;24
;;2;Dolmans e/v van den Dobbelsteen, C.M.G.;39;6;4;6;4;2;2;2;0;2;1;6;2;2;0
;;3;Mooren, J.;18;2;1;2;1;0;5;4;0;2;0;0;0;0;1
;;4;Ebben, W.;40;0;0;3;1;0;31;1;2;0;0;1;0;0;1
;;5;Ebben, A.C.;23;1;3;0;1;1;8;2;2;0;1;2;0;1;1
;;6;van Vorst, K.J.M.;43;3;3;5;2;0;2;1;2;10;1;3;7;2;2
;;7;Haerkens, G.M.D.;11;1;3;0;0;0;0;2;0;1;1;3;0;0;0
;;8;Megens, J.E.G.M.;12;0;0;1;0;0;0;8;0;1;0;2;0;0;0
;;9;van Zandvoort, J.M.;6;0;0;0;0;0;0;5;0;0;0;0;1;0;0
;;10;Rikken, A.P.M.;7;0;1;2;0;0;0;0;0;1;1;1;1;0;0
;;11;van den Dobbelsteen, W.T.H.;13;1;4;1;2;0;3;0;0;1;0;1;0;0;0
;;12;van Mook, C.H.G.M.;15;3;0;0;0;10;0;0;0;0;1;1;0;0;0
;;13;van de Burgt, C.H.J.M.;5;1;0;0;0;1;0;1;0;0;0;1;1;0;0
;;14;Vos, J.J.G.;3;0;0;0;0;0;0;0;0;0;2;1;0;0;0
;;15;Uitdehaag, J.J.M.;6;1;0;2;1;0;0;1;0;0;1;0;0;0;0
;;16;Ramakers, G.F.M.;6;2;0;0;0;0;0;1;0;1;0;2;0;0;0
;;17;Peters, L.T.A.;4;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;;18;Slagter, M.;4;0;1;0;0;0;0;1;0;0;1;0;0;0;1
;;19;Bens, T.W.F.M.;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0
;;20;van Kruisbergen, F.P.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;21;Gravemaker, A.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Linthorst, H.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;23;Westerhof, P.G.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;24;Litjens, B.E.M.;10;0;0;0;2;0;4;1;0;1;0;1;1;0;0
6;Dorpslijst Horssen;;;777;17;10;11;8;5;5;11;683;7;2;7;6;3;2
;;1;de Wildt, G.W.J.;296;10;5;6;5;3;3;8;237;5;2;4;5;3;0
;;2;van Ooijen, B.P.M.;45;0;1;0;0;0;0;0;43;1;0;0;0;0;0
;;3;Huntink, E.A.M.;78;1;1;3;0;0;0;2;69;0;0;1;0;0;1
;;4;van Rijn, M.A.;39;2;1;0;0;1;1;1;32;1;0;0;0;0;0
;;5;Groenen, P.J.M.;91;1;1;0;1;0;1;0;87;0;0;0;0;0;0
;;6;van Marwijk-Averdijk, R.A.M.J.;13;0;0;1;0;0;0;0;12;0;0;0;0;0;0
;;7;Diebels, P.A.M.;16;0;0;0;1;0;0;0;15;0;0;0;0;0;0
;;8;Ahout, M.H.E.A.;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0
;;9;van Beuningen, G.H.;9;0;0;0;0;0;0;0;9;0;0;0;0;0;0
;;10;Bull, J.W.;27;0;0;0;1;0;0;0;26;0;0;0;0;0;0
;;11;Broekman, G.M.A.;8;0;0;0;0;1;0;0;7;0;0;0;0;0;0
;;12;van Atteveld, A.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Basten, B.B.J.P.;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0
;;14;Basten-Reijmers, P.J.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;15;Bernts-van Rijswijk, W.G.J.;6;1;0;0;0;0;0;0;5;0;0;0;0;0;0
;;16;Gerrits, W.J.P.;12;1;0;0;0;0;0;0;11;0;0;0;0;0;0
;;17;van Gessel-van den Berk, H.M.E.;34;0;0;0;0;0;0;0;33;0;0;1;0;0;0
;;18;Herregraven, M.T.A.;16;0;0;0;0;0;0;0;14;0;0;1;0;0;1
;;19;Fransen, J.V.;21;1;1;0;0;0;0;0;18;0;0;0;1;0;0
;;20;Fransen, T.S.;24;0;0;0;0;0;0;0;24;0;0;0;0;0;0
;;21;Fransen, M.J.H.;7;0;0;0;0;0;0;0;7;0;0;0;0;0;0
;;22;van Ommen, H.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Ooijen, M.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;24;Perlo-van der Sluijs, J.W.G.A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Veens, J.G.M.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;26;Vissers, N.L.A.;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;27;Vissers, S.J.L.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;28;de Wildt, S.J.G.;4;0;0;1;0;0;0;0;3;0;0;0;0;0;0
7;CDA;;;297;41;8;41;9;8;30;24;41;9;12;26;33;6;9
;;1;Smits-de Kinkelder, J.M.G.;153;29;2;23;5;4;6;17;6;6;7;15;22;6;5
;;2;Wiersma, J.G.;21;2;1;3;0;1;2;2;6;0;0;0;2;0;2
;;3;Klein Velderman-Perlo, H.A.M.A.;23;4;2;5;1;2;1;2;0;0;2;0;2;0;2
;;4;van Geelen, H.A.I.;17;1;0;3;0;0;9;1;0;0;0;2;1;0;0
;;5;Bosch-Hermanussen, A.J.G.M.;14;0;0;0;0;0;0;1;9;1;0;2;1;0;0
;;6;Jol, H.J.;7;0;1;2;1;0;0;0;0;0;3;0;0;0;0
;;7;Claessens, M.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Schipperen, C.L.M.H.G.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;van Mook, L.J.G.;10;1;0;0;1;0;0;0;8;0;0;0;0;0;0
;;10;Dekkers, J.G.W.R.;7;1;0;1;0;0;0;0;0;0;0;5;0;0;0
;;11;Christiaans, W.M.G.;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;12;van Dinteren, J.T.J.M.;14;0;0;0;0;1;11;0;0;0;0;0;2;0;0
;;13;Lansdaal, A.G.A.;7;2;0;2;0;0;0;0;0;0;0;2;1;0;0
;;14;Wiersma, M.;10;0;1;0;0;0;1;1;7;0;0;0;0;0;0
;;15;Smits, P.H.G.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Perlo, A.H.G.J.;6;0;1;1;1;0;0;0;0;2;0;0;1;0;0
8;VVD;;;291;54;12;44;14;13;28;19;27;14;15;18;23;4;6
;;1;Felen, J.M.A.;144;23;6;16;3;12;18;12;21;7;8;6;10;1;1
;;2;Praat, M.E.;59;14;1;12;4;1;5;3;1;3;2;7;4;0;2
;;3;Grisel, E.G.;52;14;3;11;6;0;2;2;1;2;2;2;2;2;3
;;4;Ketelaars, V.M.C.;18;3;0;2;0;0;0;1;1;1;3;2;4;1;0
;;5;Geluk, H.;14;0;2;3;0;0;3;1;0;1;0;1;3;0;0
;;6;Koetje, J.H.J.F.;4;0;0;0;1;0;0;0;3;0;0;0;0;0;0
