Verkiezing;;Gemeenteraad Maasdriel 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maasdriel;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0263;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Kerkdriel;Gemeentehuis* Kerkdriel;MFC De Kreek;De Boxhof;Dorpshuis Gelre's End;Rehoboth;De Weesboom;Dorpshuis Ons Huis;De Steen;Dorpshuis De Kil;De Drie Linden;Dorpshuis Gelre's End*;Sportzaal De Treffer;De Bogerd;De Bogerd*;Gemeentehuis Kerkdriel (1);Gemeentehuis Kerkdriel (2);Dorpshuis Gelre's End (1);Dorpshuis Gelre's End (2);Mobiel stembureau
;;1;de Vries, P.A.;515;27;29;32;23;12;23;27;12;14;22;8;12;8;122;65;22;31;10;13;3
;;2;van Doremaele, L.H.M.;100;17;14;14;7;1;0;3;1;0;1;0;1;0;3;3;17;15;2;0;1
;;3;Dekkers, G.;145;1;0;0;0;20;52;5;8;0;0;0;17;2;0;0;0;0;16;24;0
;;4;van Dijk, Q.A.;379;2;0;0;0;8;7;188;19;0;0;0;10;123;1;0;0;3;6;7;5
;;5;van Goch, T.A.C.J.;157;0;1;1;14;8;4;52;16;0;9;9;12;16;2;2;0;0;2;8;1
;;6;van Boxtel, W.A.J.A.;234;20;7;5;18;0;6;5;1;3;7;128;1;1;8;7;4;10;1;1;1
;;7;van Doorn, A.L.;247;1;5;7;4;1;2;9;0;8;114;0;0;0;32;48;0;13;2;1;0
;;8;Verhoeven, F.H.A.;159;10;6;13;75;0;2;3;3;0;8;5;1;0;6;6;3;13;5;0;0
;;9;van den Bogert, A.P.;209;1;3;0;1;20;71;10;6;0;0;1;36;6;1;0;0;1;21;29;2
;;10;Robbemondt, A.;82;1;1;1;0;0;2;8;54;0;0;0;3;8;0;0;0;0;1;3;0
;;11;de Haan, R.;107;0;0;0;0;25;32;2;1;0;0;0;12;1;1;0;0;0;10;22;1
;;12;Wybraniec, H.I.;37;9;12;3;0;0;1;1;0;2;0;0;0;0;3;0;4;2;0;0;0
;;13;van den Bighelaar, H.G.W.;138;11;10;5;65;1;1;11;0;2;0;2;4;12;0;0;0;11;3;0;0
;;14;Pardoel, S.H.J.;180;16;21;11;43;3;1;6;0;1;8;0;1;0;13;15;2;35;2;2;0
;;15;van der Schans, D.M.B.;89;3;4;0;3;2;1;25;26;0;0;0;2;12;2;4;0;3;0;2;0
;;16;van den Biggelaar, J.C.H.;29;0;1;3;8;0;0;0;2;0;0;1;1;1;2;3;2;2;2;0;1
;;17;van Heumen, L.M.G.;46;7;8;10;2;0;0;2;0;2;2;1;0;1;1;4;1;5;0;0;0
;;18;van de Laar, A.L.G.M.;20;1;1;1;9;0;1;1;0;0;0;1;0;0;2;1;0;1;0;0;1
;;19;van Doorn-van den Dungen, G.E.M.;8;0;0;0;0;0;0;1;0;0;1;0;1;0;1;4;0;0;0;0;0
;;20;Kielen, A.P.;12;0;0;0;0;2;2;2;1;0;0;0;0;0;0;0;0;0;2;3;0
;;21;Sörensen, J.H.A.;28;2;5;0;0;1;1;4;3;0;0;0;0;0;2;0;2;7;0;1;0
;;22;van Lopik, E.;24;0;0;0;0;0;0;2;19;0;0;0;1;2;0;0;0;0;0;0;0
3;VVD;;;1673;175;163;167;189;38;55;164;51;39;82;20;40;84;56;60;61;139;26;53;11
;;1;Hooijmans, N.J.;565;70;65;77;105;13;13;27;11;13;14;4;10;13;14;11;25;62;4;6;8
;;2;van der Zalm, J.M.W.;101;14;15;12;14;0;3;4;0;3;4;0;0;2;3;4;5;11;4;3;0
;;3;Verlouw, H.E.J.;267;6;2;8;3;13;18;77;28;6;4;2;16;42;8;5;1;2;8;18;0
;;4;van Doorn, A.L.;135;4;6;0;2;1;1;0;1;4;52;2;0;0;25;33;1;2;0;0;1
;;5;Boeren, F.C.A.A.;222;50;39;38;24;1;0;4;0;9;5;8;1;1;1;4;12;21;0;3;1
;;6;de Leeuw, A.J.B.B.;45;8;7;6;0;0;0;0;0;0;0;0;2;0;2;1;4;12;2;0;1
;;7;van Rooij, A.A.W.M.;76;0;0;0;0;4;2;33;7;0;0;0;0;16;0;1;0;3;0;10;0
;;8;van Namen, H.G.G.;79;2;9;5;33;4;3;0;1;1;2;3;0;0;1;0;8;6;0;1;0
;;9;Schipper, R.A.;40;0;2;0;1;0;2;13;2;3;0;0;0;9;0;0;0;2;1;5;0
;;10;de Frel, L.M.J.;53;1;4;0;0;2;13;3;1;0;0;0;11;1;1;0;0;2;7;7;0
;;11;Hooijmans, M.G.H.;62;18;8;19;3;0;0;2;0;0;0;0;0;0;0;0;4;8;0;0;0
;;12;Smith, M.T.;28;2;6;2;4;0;0;1;0;0;1;1;0;0;1;1;1;8;0;0;0
4;D66;;;713;34;33;21;7;45;72;60;38;30;44;9;40;31;77;55;26;14;32;41;4
;;1;van Engelen, T.;299;14;14;10;3;24;38;25;24;9;17;7;14;19;16;12;7;5;19;20;2
;;2;Reedijk, R.;59;2;1;3;1;0;0;4;0;0;16;0;0;0;15;13;0;0;1;1;2
;;3;Faas, L.M.;224;9;11;4;2;20;30;27;13;8;7;2;22;11;6;5;14;5;12;16;0
;;4;van der Holst, L.J.W.P.;27;4;4;3;1;1;1;1;0;1;4;0;0;0;0;0;3;0;0;4;0
;;5;Vlasman, D.M.A.;85;4;2;1;0;0;2;2;1;3;0;0;1;1;39;25;2;2;0;0;0
;;6;Boon, A.J.;5;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
;;7;UitdeHaag, A.A.W.M.;14;0;0;0;0;0;1;0;0;9;0;0;2;0;1;0;0;1;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;436;39;32;34;7;18;20;28;13;31;25;15;24;14;28;10;26;30;20;17;5
;;1;van Liempt, A.H.M.;261;34;28;29;7;4;6;10;10;11;13;13;11;8;14;4;21;22;8;3;5
;;2;Burghout, K.C.;37;1;1;0;0;7;7;3;0;0;0;0;4;4;0;0;1;0;5;4;0
;;3;van Engelen, F.M.;58;2;3;1;0;6;4;9;3;0;2;0;8;2;3;0;1;1;6;7;0
;;4;Kamerbeek, E.;63;1;0;4;0;1;3;6;0;20;6;1;1;0;5;3;3;5;1;3;0
;;5;Spoelstra, H.;17;1;0;0;0;0;0;0;0;0;4;1;0;0;6;3;0;2;0;0;0
6;GROENLINKS;;;963;53;46;27;35;23;62;62;29;102;106;15;38;40;96;98;37;29;27;27;11
;;1;Baudoin-Tamis, E.M.;496;27;20;12;11;15;25;29;18;96;53;10;24;21;36;21;25;17;13;20;3
;;2;Leijdekkers, J.J.T.M.;122;8;15;8;14;2;24;1;0;1;11;0;3;5;6;2;5;5;7;4;1
;;3;Huizenga, S.K.;21;0;0;0;0;0;0;0;3;0;1;0;0;1;6;9;0;1;0;0;0
;;4;Reitsma, M.C.M.;86;8;3;0;1;3;7;3;0;4;10;0;4;2;13;22;3;2;0;0;1
;;5;Halkes, J.P.T.;26;1;0;0;0;0;1;0;0;0;13;0;0;0;7;4;0;0;0;0;0
;;6;van Haren, P.R.M.;9;0;0;0;1;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;1
;;7;Smit, G.B.;38;5;0;2;0;0;0;0;0;0;2;1;1;0;11;10;1;1;0;1;3
;;8;Frie, E.M.;46;4;3;1;1;0;1;0;3;1;0;2;2;0;8;13;2;0;1;2;2
;;9;van Doornmalen, L.A.M.;74;0;0;0;4;3;4;28;3;0;0;0;3;7;0;17;0;2;3;0;0
;;10;van Drunen, C.;45;0;5;4;3;0;0;1;2;0;10;2;1;4;8;0;1;1;3;0;0
7;Staatkundig Gereformeerde Partij (SGP);;;483;4;9;9;15;54;145;12;77;7;13;2;38;1;4;7;4;6;28;47;1
;;1;Quik, J.;346;3;9;5;7;34;117;8;53;6;8;1;26;1;4;7;3;6;19;28;1
;;2;van Vliet, E.;27;0;0;0;1;2;3;0;13;0;0;1;2;0;0;0;0;0;2;3;0
;;3;Quik, D.;11;0;0;2;0;0;4;0;3;0;0;0;0;0;0;0;0;0;2;0;0
;;4;Oomen, G.A.;15;0;0;0;0;2;3;2;1;0;0;0;3;0;0;0;1;0;0;3;0
;;5;Quik, P.J.;15;0;0;0;0;3;5;0;0;1;0;0;4;0;0;0;0;0;1;1;0
;;6;Biesheuvel, C.;27;1;0;1;5;7;1;0;3;0;0;0;1;0;0;0;0;0;1;7;0
;;7;van den Berg, G.;14;0;0;0;0;3;5;0;2;0;3;0;0;0;0;0;0;0;1;0;0
;;8;van Dijk, H.B.;3;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;9;Ihmels, F.E.;11;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;10;van Klinken, A.P.;5;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
;;11;Quik, A.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;12;Bioch, A.P.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Vervoorn, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Quik, A.J.;5;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
