Verkiezing;;Gemeenteraad West Maas en Waal 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente West Maas en Waal;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0668;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis De Hucht;Dorpshuis De Uithof;Dorpshuis De Schuur;De Twee Linden;Gemeentehuis;MFA De Rosmolen;Kulturhus d'n Dulper;MFA d'n Hoender;'t Centrum;MFA Het Hanzehuys;VTC Wamel;Gemeentehuis (maandag);MFA d'n Hoender (maandag);Gemeentehuis (dinsdag);MFA d'n Hoender (dinsdag);Kulturhus d'n Dulper;Dorpshuis De Schuur;Dorpshuis De Uithof;MFA Het Hanzehuys;Dorpshuis De Hucht;VTC Wamel
;;11;de Vree, A.C.J.;23;0;0;0;0;9;4;0;1;2;0;0;3;0;3;0;0;1;0;0;0;0
;;12;van Hees, G.P.J.;18;0;0;0;3;4;3;0;0;0;1;0;3;0;4;0;0;0;0;0;0;0
;;13;Krouwel, H.C.C.P.;29;0;0;0;0;14;7;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0
;;14;van de Geijn, L.J.;38;0;0;0;4;15;12;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0
;;15;Fogteloo, R.A.T.;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Haren, R.A.T.W.;29;0;0;0;2;8;9;0;0;0;0;0;7;0;3;0;0;0;0;0;0;0
;;17;Oosterhout- Kirchberg, E.;17;0;0;0;1;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;18;Bull, W.J.M.;9;0;0;0;1;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Romijnders, M.T.M.;11;0;0;0;1;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Theunissen, R.W.B.M.;34;0;0;0;1;8;10;0;0;0;0;0;5;0;10;0;0;0;0;0;0;0
;;21;Bronmans, F.J.M.;9;0;0;0;0;1;2;0;0;0;1;0;1;0;4;0;0;0;0;0;0;0
;;22;Gremmen, M.J.;18;0;0;0;3;1;9;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;23;Weijers, N.B.M.;8;0;0;0;0;0;1;0;0;0;0;0;4;0;2;0;0;1;0;0;0;0
;;24;van de Ven, H.M.P.;14;0;0;0;0;7;3;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;25;van Gelder- Tijnagel, A.G.J.M.;15;0;0;0;1;4;5;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0
;;26;Hijmans, W.P.;8;0;0;0;1;2;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;27;van Rossum- van Dinteren, D.A.A.;7;0;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;28;Megens, A.G.W.M.;11;0;0;0;0;6;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0
;;29;Nout, C.C.C.;8;0;0;0;0;2;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;30;van den Hurk- van Heck, G.S.;15;0;0;0;1;7;4;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;31;de Kok- de Vries, S.R.M.;20;0;0;0;1;5;8;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0
;;32;de Kock, O.J.C.;9;0;0;0;1;4;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;33;van Baal, M.;6;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;34;van den Hurk, J.T.;17;0;0;0;0;10;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;35;van Zuiden, M.A.;6;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;36;van den Hurk, M.W.G.;20;0;0;0;1;2;8;3;0;0;0;1;3;0;2;0;0;0;0;0;0;0
;;37;van Oss, M.G.P.;13;0;0;0;0;5;2;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0
;;38;van Zwam, N.C.F.;23;0;0;0;0;9;7;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0
;;39;Bronmans- van Zon, W.J.;5;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;40;Verbruggen, F.M.;10;0;0;0;0;5;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0
;;41;Tengnagel, F.J.M.;9;0;0;0;2;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;42;van den Hurk, B.J.P.;8;0;0;1;0;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;43;van Geffen, W.O.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;44;Scheer, P.J.;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Kerkhof, M.A.J.M.;22;0;0;1;2;7;4;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0
;;46;Koolhout, A.A.M.;13;0;0;0;1;4;5;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;47;Bull, W.W.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;de Jong, C.W.;7;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;VVD;;;1345;181;42;39;50;155;81;85;123;79;88;88;72;36;90;48;8;12;8;10;37;13
;;1;Jagtenberg- Poulussen, E.M.;619;137;19;16;23;65;48;22;50;38;19;38;30;9;43;23;2;4;2;3;23;5
;;2;Sweep, E.H.;85;0;0;0;8;39;6;3;3;0;0;0;14;2;9;0;0;1;0;0;0;0
;;3;Boerakker, W.H.T.;69;4;0;2;3;0;2;0;0;0;46;0;1;2;4;0;0;2;0;3;0;0
;;4;Vissers, J.S.;35;0;0;0;1;1;2;19;0;0;0;2;0;0;3;0;6;1;0;0;0;0
;;5;Stallaert, A.P.C.J.;29;14;0;2;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0
;;6;Cruijsen, R.G.C.M.;222;14;9;6;1;0;8;16;54;30;12;10;9;18;7;18;0;1;1;0;8;0
;;7;de Nekker, J.;16;1;0;0;0;0;0;0;4;5;0;0;0;2;0;3;0;0;0;0;0;1
;;8;Schonenberg - Seelen, M.A.M.W.;7;0;0;0;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;0;0;0
;;9;de Weijer, E.D.;9;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2
;;10;Janssen, B.H.M.;5;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Kalkers, P.M.C.;40;1;0;0;0;4;2;3;0;0;2;20;1;0;0;2;0;1;0;0;0;4
;;12;van Dijk, F.G.A.H.;35;0;1;0;3;14;1;3;0;1;0;2;6;0;3;1;0;0;0;0;0;0
;;13;Roeffen, S.C.T.;10;0;1;0;0;0;0;1;3;0;0;1;0;1;1;0;0;0;0;2;0;0
;;14;van Baast-Versfeld, G.D.H.;10;0;0;0;0;1;2;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0
;;15;den Bieman, A.J.G.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;Brokken, J.W.M.;21;0;11;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;5;0;0;0
;;17;Vissers, R.E.F.;14;0;0;0;0;1;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Smits, S.;8;3;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Janssen- van Haaften, M.;7;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;20;Witsiers, A.J.M.;10;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0
;;21;Lagarde, T.A.J.S.M.;8;4;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van Gelder-de Graaf, I.E.M.;16;0;0;0;2;6;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
;;23;van Gruijthuijsen, J.A.P.;20;3;1;12;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;24;van Echteld-de Bruin, J.M.M.;7;0;0;0;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;25;Prudon, H.M.;6;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
;;26;de Jong, E.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;27;André de La Porte, M.C.;5;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0
;;28;Bos, S.A.M.;29;0;0;0;3;12;4;1;0;1;0;1;3;0;4;0;0;0;0;0;0;0
3;F.D. Dreumel;;;1372;7;1;0;1;13;8;7;481;300;4;9;9;213;3;309;0;0;0;4;0;3
;;1;Peters, H.J.;373;2;0;0;1;4;3;0;124;98;3;4;1;51;0;81;0;0;0;1;0;0
;;2;Wassink, N.;161;0;0;0;0;1;2;0;64;30;0;0;0;21;0;43;0;0;0;0;0;0
;;3;van Coolwijk-van Sonsbeek, C.W.M.M.;112;0;0;0;0;0;0;3;39;19;0;2;1;20;0;28;0;0;0;0;0;0
;;4;Driessen, T.F.;123;0;0;0;0;2;0;0;40;14;0;2;1;28;1;35;0;0;0;0;0;0
;;5;van den Heijkant, P.J.;47;3;0;0;0;1;0;0;19;15;0;0;0;3;0;6;0;0;0;0;0;0
;;6;van Gent-de Waal, K.J.A.C.;58;0;1;0;0;0;2;0;23;9;0;0;1;11;0;11;0;0;0;0;0;0
;;7;van Lent, M.E.J.;41;1;0;0;0;0;0;0;12;8;0;0;1;5;0;12;0;0;0;0;0;2
;;8;de Vree, V.A.;53;0;0;0;0;0;0;0;14;19;1;0;0;7;0;12;0;0;0;0;0;0
;;9;van de Geer, H.J.M.;11;1;0;0;0;0;0;0;1;2;0;0;1;4;0;2;0;0;0;0;0;0
;;10;Strik, F.;15;0;0;0;0;0;0;0;3;6;0;0;0;2;0;1;0;0;0;3;0;0
;;11;Vermeer, J.M.;36;0;0;0;0;0;0;0;15;5;0;0;0;9;0;7;0;0;0;0;0;0
;;12;Conte, M.;26;0;0;0;0;0;0;0;11;7;0;0;0;2;0;6;0;0;0;0;0;0
;;13;Remmits, T.M.;16;0;0;0;0;0;0;0;7;1;0;0;0;3;1;4;0;0;0;0;0;0
;;14;Peters, M.B.;10;0;0;0;0;1;0;0;1;3;0;0;0;1;0;4;0;0;0;0;0;0
;;15;Welie, W.H.J.;20;0;0;0;0;2;0;0;6;10;0;0;2;0;0;0;0;0;0;0;0;0
;;16;van Deursen, M.A.G.J.;26;0;0;0;0;0;0;1;9;8;0;0;0;2;1;5;0;0;0;0;0;0
;;17;den Bieman, J.T.M.;12;0;0;0;0;0;0;0;2;0;0;0;0;6;0;3;0;0;0;0;0;1
;;18;Schonenberg, L.J.A.;13;0;0;0;0;0;0;0;9;3;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Jagtenberg-Brouwer, J.E.A.;21;0;0;0;0;0;0;0;10;2;0;0;0;4;0;5;0;0;0;0;0;0
;;20;Kolvenbach, B.G.J.P.;35;0;0;0;0;1;0;3;9;7;0;0;0;2;0;13;0;0;0;0;0;0
;;21;van Mourik, S.C.H.P.;25;0;0;0;0;0;0;0;12;7;0;1;1;2;0;2;0;0;0;0;0;0
;;22;Riepe, M.H.;8;0;0;0;0;0;0;0;2;1;0;0;0;0;0;5;0;0;0;0;0;0
;;23;Verhoeff, H.J.;8;0;0;0;0;0;0;0;2;0;0;0;0;1;0;5;0;0;0;0;0;0
;;24;van Os, J.A.;9;0;0;0;0;1;0;0;1;1;0;0;0;5;0;1;0;0;0;0;0;0
;;25;van Gaalen-van den Bergh, D.;18;0;0;0;0;0;0;0;3;3;0;0;0;9;0;3;0;0;0;0;0;0
;;26;Hol, J.G.L.;12;0;0;0;0;0;0;0;8;0;0;0;0;0;0;4;0;0;0;0;0;0
;;27;Heesakker, B.M.;10;0;0;0;0;0;1;0;5;0;0;0;0;3;0;1;0;0;0;0;0;0
;;28;van Koolwijk, J.G.A.;5;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Doremalen-Dobbelsteen, L.G.J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Leur, R.G.;13;0;0;0;0;0;0;0;6;2;0;0;0;5;0;0;0;0;0;0;0;0
;;31;van Leeuwen, W.J.M.;17;0;0;0;0;0;0;0;6;5;0;0;0;3;0;3;0;0;0;0;0;0
;;32;van Uden, H.G.W.M.;4;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Kooijmans, J.L.;4;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
;;34;van Wijk, H.J.T.;5;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0
;;35;van Wezel - Sas, J.H.M.;12;0;0;0;0;0;0;0;6;4;0;0;0;1;0;1;0;0;0;0;0;0
;;36;de Vree, A.H.M.;12;0;0;0;0;0;0;0;8;2;0;0;0;0;0;2;0;0;0;0;0;0
4;F.D. Maasdorpen;;;1157;369;79;88;3;18;11;9;10;7;317;6;12;6;17;9;1;19;30;74;69;3
;;1;de Leeuw, C.J.;314;58;7;11;2;3;2;2;2;2;148;0;7;2;7;2;0;4;3;32;19;1
;;2;Roffelsen, C.;51;1;1;35;0;0;0;0;1;0;6;0;0;0;0;0;0;5;0;1;0;1
;;3;van den Boom-Witzel, M.A.A.;199;130;3;7;0;4;3;1;2;4;13;4;1;3;3;2;0;0;2;0;16;1
;;4;van Lent, J.G.W.;67;45;3;0;0;3;0;0;2;1;0;0;1;0;0;0;0;0;1;0;11;0
;;5;van Elk, D.J.C.;76;0;0;2;0;1;1;0;0;0;55;0;2;0;1;0;0;0;2;12;0;0
;;6;de Vaan, M.A.C.;20;0;14;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;7;Hijmans, R.I.J.M.;22;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0
;;8;Rambach, J.A.H.M.;32;29;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Timmerman, H.J.P;7;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;10;van Wichen, W.F.;16;10;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0
;;11;Wessels-Strik, J.G.P.;49;30;2;0;1;1;2;0;0;0;1;0;1;1;1;1;0;0;0;0;8;0
;;12;Soetekouw, F.W.;48;0;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
;;13;van Summeren, B.A.;21;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;5;0;0
;;14;van Ooijen, F.J.P.;15;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0
;;15;van Kraaij, J.P.M.;17;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;16;Jansen, M.A.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Petit, E.;11;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0
;;18;Vermeulen, A.G.W.;9;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
;;19;Konings, S.F.J.;20;10;1;1;0;1;0;2;0;0;0;0;0;0;3;2;0;0;0;0;0;0
;;20;Kuijpers, J.A.J.;14;4;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;6;0
;;21;Fenten, J.J.;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;de Kok, J.M.J.M.;9;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0
;;23;van Uden, B.A.W.;10;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;24;van Lent, J.J.A.;17;0;2;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
;;25;Roffelsen-Savelkouls, A.J.P.M.;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;de Leeuw, W.J.M.;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;27;Koolhaas, M.H.;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;28;Senn, J.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;29;Brouwer, H.;5;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;30;van der Wielen, W.C.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Schuurmans, M.C.J.M.;7;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0
;;32;Wessels, P.F.;4;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;33;van Sonsbeek-Savelkouls, J.T.W.;7;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;34;Banken, J.P.H.;6;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Hol, A.G.A.T.;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Wijk-Reuvers, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Roeffen, C.T.;8;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;38;de Leeuw-Hermans, P.H.M.;20;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;0;0;0;13;0;0
;;39;van Heck, E.A.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;40;Savelkouls, P.P.W.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Rutten, J.W.M.;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Geenen, J.W.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;43;van den Brand, G.W.H.I.M.;4;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;44;van Rossum, C.C.W.M.;15;0;2;6;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
5;F.D. Wamel;;;941;7;2;0;2;25;22;2;4;2;0;639;25;9;19;6;1;0;0;0;0;176
;;1;van Echteld, F.J.G.M.;301;5;0;0;0;6;10;0;2;0;0;194;8;6;10;1;1;0;0;0;0;58
;;2;Janssen, J.F.C.;126;0;0;0;0;4;0;0;0;0;0;99;1;0;1;0;0;0;0;0;0;21
;;3;Mol- van de Camp, J.E.M.;118;0;2;0;0;4;5;2;1;2;0;71;3;1;1;5;0;0;0;0;0;21
;;4;van Zwolgen, P.M.L.W.;65;0;0;0;0;0;0;0;0;0;0;43;2;0;0;0;0;0;0;0;0;20
;;5;Walraven, T.W.A.;17;0;0;0;0;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0
;;6;Janssen - van IJzendoorn, H.A.P.;33;0;0;0;0;0;0;0;1;0;0;27;0;0;0;0;0;0;0;0;0;5
;;7;van Dodeweerd, M.J.W.;26;0;0;0;0;2;1;0;0;0;0;18;3;0;0;0;0;0;0;0;0;2
;;8;van der Zandt, M.W.;13;0;0;0;0;0;1;0;0;0;0;10;1;0;0;0;0;0;0;0;0;1
;;9;Koolhout, M.H.G.;18;0;0;0;0;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;4
;;10;Paul- van Bemmel, A.F.;14;0;0;0;1;2;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;2
;;11;Vernooij, G.J.M.;9;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2
;;12;Ploegmakers, C.T.C.;12;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;1
;;13;Gosselink, W.J.M.;10;0;0;0;0;1;1;0;0;0;0;3;1;0;2;0;0;0;0;0;0;2
;;14;van Wel, F.;19;0;0;0;0;0;1;0;0;0;0;15;0;0;1;0;0;0;0;0;0;2
;;15;van Leur, L.;22;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;4
;;16;Janssen, L.M.J.H.;13;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;3
;;17;van Echteld, S.M.F.;13;0;0;0;0;2;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;3
;;18;Koolhout, P.P.G.;18;1;0;0;0;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;4
;;19;van Dijk, P.U.A.A.;13;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;5
;;20;Wijgerse, L.M.C.;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
;;21;van Kruijsbergen, A.W.J.;15;0;0;0;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;8
;;22;van Stippent, J.P.A.;19;0;0;0;0;1;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;5
;;23;van Wijk, A.W.H.;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1
;;24;van Stigt, J.G.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;25;Lamers, J.M.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;26;Post-Witsiers, C.A.T.;8;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1
;;27;Zondag, G.P.J.;12;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
;;28;Janssen, B.J.M.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;29;van Rossum, A.J.;9;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1
6;CDA;;;972;38;78;153;47;88;72;61;38;22;45;55;48;10;69;28;16;34;30;12;6;22
;;1;van Gelder, F.J.J.;333;24;67;18;14;29;23;24;8;7;20;13;13;0;29;7;1;0;23;6;3;4
;;2;van Ooijen, V.W.;212;1;8;133;0;7;6;3;1;0;3;1;3;1;6;0;0;33;5;0;0;1
