Verkiezing;;Gemeenteraad Voorst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0285;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Tennispark TC de Schaeck;Dorpshuis Voorst;Gymzaal Voorst 'De Wiekslag';Multifunctioneel Centrum 'De Pauw';Verenigingsgebouw Lawa Mena;Restaurant Bosgoed;Hof van Bussloo (Het Kleine Hof);Dorpshuis 'de Pompe';Voetbalvereniging Activia;Bibliotheek Twello;Gebouw PIGIKA;Dorpshuis 'op den Toega';Gymzaal Terwolde (ingang Schoolstraat);Dorpshuis 'de Arend';Stationskoffiehuis;Restaurant 'Korderijnk';Sportcafé Jachtlust;Trefpunt Duistervoorde;Dorpshuis Voorst;Dorpshuis Voorst;Gymzaal Terwolde (ingang Schoolstraat);Gymzaal Terwolde (ingang Schoolstraat);Sportcafé Jachtlust;Sportcafé Jachtlust
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;7391 TP;7383 CG;7383 XM;7382 CC;7391 KG;7384 DE;7383 RP;7384 BD;7391 JK;7391 DH;7391 AN;7395 PB;7396 NA;7397 NH;7391 EH;7391 EH;7391 BW;7391 AG;7383 CG;7383 CG;7396 NA;7396 NA;7391 BW;7391 BW
;aangetroffen stembiljetten;;;12026;786;366;427;682;525;439;283;543;488;775;648;555;647;447;598;582;701;596;128;180;114;190;551;775
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeente Belangen Voorst;;;3132;209;99;172;184;195;115;68;224;74;178;161;105;129;67;166;136;231;168;37;42;22;32;112;206
;;1;Lagerweij, A.B.;929;68;27;28;49;43;45;31;98;19;58;45;46;22;21;45;52;54;57;11;8;9;11;34;48
;;2;Aarnink-Westerbeek, I.W.M.;336;18;3;9;10;13;9;7;9;6;20;13;20;75;21;14;9;23;8;3;1;9;11;6;19
;;3;Hafkamp, R.;263;26;0;1;8;20;8;0;4;9;20;19;6;2;2;22;17;33;15;0;0;2;2;20;27
;;4;Jansen-Greiving, H.G.M.;155;8;5;10;5;6;5;2;39;6;8;4;0;0;1;7;11;9;9;0;7;0;1;2;10
;;5;van Ekeren, B.G.J.;147;20;1;0;3;18;1;2;4;5;11;12;5;2;0;13;3;14;11;0;0;0;0;3;19
;;6;Hazelaar, R.G.H.;149;0;32;56;9;2;9;2;3;0;2;2;4;0;0;0;5;0;0;11;10;0;0;1;1
;;7;voor 't Hekke, A.J.L.;236;19;0;1;3;23;3;8;4;4;21;24;5;0;5;17;17;28;17;0;1;0;0;14;22
;;8;van der Sleen, H.;38;7;0;3;0;0;0;2;0;1;1;0;0;0;0;6;2;4;5;1;0;0;0;2;4
;;9;Berends, J.M.;67;3;1;0;4;2;2;0;0;2;2;9;2;0;1;3;1;16;13;0;0;0;0;3;3
;;10;Kamphuis, H.;18;2;0;0;0;0;1;0;0;0;0;0;0;7;1;0;2;1;0;0;0;0;4;0;0
;;11;Bultman, A.P.;10;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;4;0;0;0;0
;;12;Homan, S.J.T.;33;4;0;0;0;1;0;0;0;1;2;0;0;0;0;7;4;1;0;0;0;0;0;2;11
;;13;Teunissen, L.H.;22;1;0;3;0;0;0;0;0;0;0;0;2;0;2;6;0;3;5;0;0;0;0;0;0
;;14;van Delsen, J.;19;1;0;0;0;0;1;0;1;0;1;3;0;0;0;0;1;6;5;0;0;0;0;0;0
;;15;van der Vecht-Bekkema, T.;24;1;1;0;0;2;0;0;1;0;0;3;0;5;2;4;0;0;1;0;0;2;1;0;1
;;16;Wattimena, J.S.;50;3;0;1;0;24;1;0;3;2;0;3;0;1;0;1;2;3;1;0;0;0;0;1;4
;;17;Peet, G.J.;9;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;1;0;0;0;0
;;18;Bourgondien, H.;64;5;0;0;1;11;0;0;0;3;5;7;2;0;0;6;2;4;5;1;0;0;0;5;7
;;19;Vredegoor, W.B.H.;49;0;0;0;44;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
;;20;Horstman, E.K.;29;5;0;0;1;2;1;0;3;0;2;4;0;2;0;0;0;2;5;0;0;0;1;0;1
;;21;Bannink, A.;11;0;0;0;0;1;0;0;1;0;3;0;0;0;1;2;1;1;0;0;0;0;0;1;0
;;22;Lubberink, J.I.H.M.;12;0;0;1;0;0;0;0;0;2;2;0;3;0;0;0;0;2;0;1;0;0;0;1;0
;;23;Voois, W.M.;11;0;0;0;0;0;0;0;0;0;0;1;0;6;2;0;0;0;0;0;0;0;0;0;2
;;24;Polnaya-De Vries, T.A.J.F.;19;2;1;0;0;9;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;3
;;25;ten Hove-de Haan, M.A.J.;40;0;1;13;0;3;0;4;2;0;2;0;0;0;0;0;1;2;2;0;3;0;0;2;5
;;26;van Amerongen, D.A.;29;1;1;1;0;4;0;0;0;1;6;2;1;0;1;0;0;4;1;0;0;0;0;5;1
;;27;Velthorst, C.E.;21;0;1;1;0;0;5;0;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;de Valk, A.A.J.;16;2;0;0;0;1;0;0;0;5;1;0;0;0;0;0;2;1;1;0;0;0;0;1;2
;;29;Straatman, M.A.;30;3;1;0;1;0;16;0;2;0;1;1;1;0;1;1;0;2;0;0;0;0;0;0;0
;;30;Klunder-Klunder, A.M.H.;21;2;0;0;0;1;3;2;8;0;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0
;;31;Hengeveld, A.G.;19;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Kiesbrink-van den Bovenkamp, H.J.;14;1;0;0;0;1;0;0;0;1;0;0;1;5;4;0;0;0;0;0;0;0;1;0;0
;;33;Pol, J.B.;43;2;0;0;0;3;0;0;3;1;3;4;0;0;0;4;3;5;2;0;0;0;0;6;7
;;34;Albers, G.J.;43;0;7;25;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0
;;35;Fledderus, R.M.;13;0;1;2;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Smit, G.;11;2;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;37;Nieuwkamp, W.H.M.;17;0;0;0;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
