Verkiezing;;Gemeenteraad Heerde 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heerde;;;;;;;;;;;;;;;;;
Nummer;;0246;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hanzeheerd, Brinkhoven;Dorpshuis de Heerd;Sportscenter Bijsterbosch;Gymlokaal De Rhijnsberg;Gemeentekantoor Heerde;Christelijk College de Noordgouw;Burgemeester Faberhal;Gymlokaal De Noord;Hervormd Verenigingsgebouw;Protestantse Kerk. Petruskerk;Sportzaal Wapenveld;Dorpshuis de Heerd 14 maart;Dorpshuis de Heerd 15 maart;Sportzaal Wapenveld 14 maart;Sportzaal Wapenveld 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16
Postcode;;;;;8181 DB;8181 VZ;8181 LN;8181 XW;8181 ET;8181 EW;8181 VK;8194 LK;8191 LV;8191 AP;8191 DA;8181 VZ;8181 VZ;8191 DA;8191 DA
;opgeroepenen;;;15329;54;1469;1427;1988;1720;1616;1447;696;1622;1813;1477;0;0;0;0
;geldige stempas;;;7880;23;898;473;922;732;602;337;369;736;763;428;470;600;222;305
;geldig volmachtbewijs;;;983;2;97;61;113;88;82;40;53;102;96;61;56;59;26;47
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8863;25;995;534;1035;820;684;377;422;838;859;489;526;659;248;352
;geldige stembiljetten;;;8820;24;987;530;1029;813;683;377;421;834;855;485;526;656;248;352
;blanco stembiljetten;;;28;0;6;3;5;5;1;0;0;4;3;1;0;0;0;0
;ongeldige stembiljetten;;;17;1;3;1;1;2;0;0;1;0;1;4;0;3;0;0
;aangetroffen stembiljetten;;;8865;25;996;534;1035;820;684;377;422;838;859;490;526;659;248;352
;meer stembiljetten dan toegelaten kiezers;;;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
