Verkiezing;;Gemeenteraad Montferland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Montferland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Albertusgebouw;DSV Relax;Albert Schweitzerschool;Cafe-restaurant Uniek;Gemeentehuis;'t Hart van Loil (voormalige kerk);Verenigingsgebouw de Meikever;Gouden Handen;het Willem van den Berghcentrum;Laco sportcentrum;Dorpshuis Lengel;Dorpshuis Zeddam;"'t Gildehuis ""st Oswaldus"" Stokkum";Sportpark Gerrit Dieker;De Averhof;Partycentrum  De Dèèl;zaal van 't Kelrehuus;clubgebouw voetbalvereniging Azewijn;Mariakerk te Didam;Gildehuis 'St. Oswaldus' Zeddam;Zuidzon Sportzaal 't Raland;Drive-through Gemeentewerf Beek;Gemeentehuis (stemmen 14 maart 2022);Gemeentehuis (stemmen 15 maart 2022);Gouden Handen (stemmen 14 maart 2022);Gouden Handen (stemmen 15 maart 2022)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;6942 BE;6942 VA;6942 VA;6942 EA;6942 GK;6941 DM;6942 HD;7041 AV;7041 CW;7041 DB;7044 AP;7038 BX;7039 AJ;7047 AC;7037 BJ;7037 DH;7035 AW;7045 AE;6942 BP;7038 BG;6942 RZ;7037 DV;6942 GK;6942 GK;7041 AV;7041 AV
;opgeroepenen;;;30204;1655;1621;1943;1840;1531;1474;1452;2432;1872;1568;1471;1048;1002;1082;1499;873;1283;662;1655;1262;979;0;0;0;0;0
;geldige stempas;;;14008;816;691;592;969;456;820;623;824;489;401;540;907;496;460;598;386;605;438;664;240;103;124;401;548;289;528
;geldig volmachtbewijs;;;1657;90;71;60;136;39;100;94;89;61;51;96;92;57;55;69;52;78;43;61;28;17;25;47;37;53;56
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15665;906;762;652;1105;495;920;717;913;550;452;636;999;553;515;667;438;683;481;725;268;120;149;448;585;342;584
;geldige stembiljetten;;;15589;905;760;646;1103;492;919;714;904;544;451;631;991;551;514;661;437;680;477;723;268;120;146;446;581;341;584
;blanco stembiljetten;;;39;1;2;6;1;2;0;1;4;4;0;1;5;0;1;0;1;1;2;1;0;0;0;0;5;1;0
;ongeldige stembiljetten;;;41;0;1;0;1;1;0;0;8;2;1;4;3;2;1;6;0;2;2;1;0;0;3;2;0;0;1
;aangetroffen stembiljetten;;;15669;906;763;652;1105;495;919;715;916;550;452;636;999;553;516;667;438;683;481;725;268;120;149;448;586;342;585
;meer stembiljetten dan toegelaten kiezers;;;7;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;8;0;1;0;0;0;1;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3284;186;165;86;242;124;274;207;83;67;36;50;267;51;191;195;95;221;89;182;79;34;46;97;122;37;58
;;1;Looman, K.F.T.;1193;107;93;50;142;53;88;66;25;12;11;8;48;20;26;44;24;52;9;113;12;21;16;56;77;7;13
;;2;Teunissen, J.A.M.;202;1;1;0;1;0;1;3;34;43;19;21;11;14;0;4;1;5;2;1;4;0;1;0;0;14;21
;;3;Polman, C.G.H.;199;23;28;16;31;14;9;18;2;0;0;0;0;0;1;1;0;1;0;28;0;4;2;7;14;0;0
;;4;van Leeuwen, O.G.;229;2;2;1;2;1;1;0;1;0;2;3;20;2;150;8;2;8;3;1;5;0;3;1;2;5;4
;;5;Balduk, M.D.W.;266;19;17;8;26;16;122;6;2;0;2;2;3;0;0;0;4;3;0;10;0;2;3;9;11;0;1
;;6;Menting, J.W.G.;259;0;1;0;0;0;0;2;1;1;0;3;162;0;8;4;1;6;5;3;54;0;0;3;0;3;2
;;7;de Reus - Weeting, J.J.G.;150;5;3;2;10;7;2;98;0;0;0;0;0;1;0;1;4;0;0;6;0;2;1;4;4;0;0
;;8;Heebing, J.G.;179;1;1;0;0;2;0;1;1;0;0;0;2;1;0;110;39;4;2;0;0;0;11;2;1;0;1
;;9;Peters, M.J.W.;42;4;2;2;1;0;26;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0
;;10;Bolder, T.J.C.;127;2;0;4;3;1;1;2;0;3;0;7;14;1;4;2;0;5;62;4;2;0;2;1;0;4;3
;;11;Berendsen, M.;22;4;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;8;0;1;1;0;3;0;0;0;0
;;12;Bosman, A.F.C.;29;0;0;0;0;0;0;0;3;4;0;0;0;12;0;2;0;5;0;0;0;0;0;0;0;0;3
;;13;Bolder, J.G.G.;37;4;11;0;7;0;1;0;0;0;0;2;0;0;0;0;0;1;5;0;0;0;0;3;2;1;0
;;14;Polman, F.H.W.;74;7;3;2;7;21;6;5;3;0;0;0;0;0;0;0;0;0;0;11;0;2;0;4;3;0;0
;;15;Reuling, A.H.M.;8;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0
;;16;Pieper-Hagen, P.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;17;Schuurman, M.A.E.;18;0;0;0;0;1;0;0;7;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;18;Balduk, D.D.;42;4;3;1;6;4;9;1;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;3;4;0;1
;;19;Stein, J.B.A.M.;7;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3
;;20;Berendsen, M.H.C.T.;121;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;115;0;1;1;0;0;1;0;0;0
;;21;Gerritsen, W.J.A.;69;0;0;0;1;3;7;3;2;0;1;0;2;0;2;17;16;6;1;0;0;1;3;1;1;1;1
;;22;Peters, P.J.J.M.;8;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2
2;Lokaal Belang Montferland (LBM);;;2017;79;49;54;95;46;21;40;246;143;119;108;126;217;38;81;77;63;7;43;38;9;18;23;49;83;145
;;1;van Schriek, J.H.E.;602;22;9;5;21;11;9;6;50;45;16;22;47;116;18;56;35;19;4;7;9;1;9;4;9;17;35
;;2;Derksen - Geuijen, J.A.M;330;11;4;4;11;4;1;3;20;23;16;24;30;64;6;10;16;15;2;4;12;2;3;2;0;17;26
;;3;Peters, H.F.B.;181;17;8;18;36;16;5;11;1;2;1;1;5;1;1;1;6;5;0;15;0;3;2;4;20;0;2
;;4;Böhmer, J.M.;276;0;2;1;1;0;0;0;71;35;26;28;14;10;5;5;3;3;1;0;7;0;0;0;1;21;42
;;5;Sinderdinck, W.G.H.;21;4;1;3;0;0;2;1;0;0;0;0;4;0;0;0;0;4;0;1;1;0;0;0;0;0;0
;;6;Polman, G.R.W.;144;14;19;15;17;10;3;10;8;0;3;0;1;0;0;2;8;5;0;7;0;0;2;6;14;0;0
;;7;Witt - Gerritsen, E.A.W.;164;1;1;3;1;0;0;2;24;19;23;15;9;11;2;3;7;8;0;0;4;2;1;0;1;8;19
;;8;Hoeben, J.T.W.;36;9;2;4;3;2;0;3;0;0;0;1;0;0;0;2;0;1;0;2;0;0;1;3;3;0;0
;;9;Böhmer, J.J.H.;97;0;0;0;1;1;1;0;30;8;10;11;7;10;2;0;0;0;0;0;2;0;0;0;0;5;9
;;10;Evers, R.W.T.A.;15;0;3;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0
;;11;Böhmer - Meijer, G.A.M.;49;0;0;1;0;0;0;0;12;1;10;3;4;1;2;1;0;1;0;1;0;1;0;1;1;5;4
;;12;van der Kleij, J.;33;0;0;0;0;0;0;1;17;1;2;0;1;0;0;0;0;0;0;0;1;0;0;2;0;4;4
;;13;van Halteren, J.H.M.;69;1;0;0;2;2;0;1;12;9;12;3;4;4;2;1;2;2;0;0;2;0;0;0;0;6;4
3;Lijst Groot Montferland;;;2905;67;53;57;70;35;36;61;349;187;177;332;194;101;56;104;72;51;332;29;57;8;28;37;43;143;226
;;1;Groote, H.J.;1340;20;15;8;16;7;3;10;203;143;112;200;84;70;22;22;16;21;58;11;19;0;7;6;14;96;157
;;2;Wassing, H.J.;432;0;0;0;1;0;0;0;34;12;23;43;54;2;18;4;2;5;188;0;18;0;2;0;2;14;10
;;3;van Oosterom, B.I.;86;10;9;23;13;2;6;2;1;2;0;0;1;0;0;0;1;1;0;6;0;1;0;3;4;0;1
;;4;Laurense - Weidema, J.M.;99;19;9;7;6;2;5;2;2;0;3;5;10;0;1;3;5;0;1;3;3;0;0;7;4;0;2
;;5;Bosveld, S.;66;3;5;3;5;1;2;18;0;3;1;0;2;0;3;2;2;1;1;1;0;0;0;3;8;2;0
;;6;Jansen, H.N.M.;46;0;0;1;0;2;0;0;5;3;10;14;0;1;0;1;0;0;0;0;0;0;0;0;0;1;8
;;7;Hieltjes, M.J.A.;134;0;0;0;0;0;0;0;6;1;2;6;18;8;5;0;0;0;73;0;8;0;0;0;0;2;5
;;8;Peters, R.H.J.;127;0;6;3;0;0;1;2;2;3;1;2;4;0;0;54;30;2;0;0;0;0;5;2;4;3;3
;;9;Zweers - de Beer, L.M.C.;40;0;0;0;0;0;0;0;8;2;6;4;3;1;3;0;0;0;0;0;1;0;0;0;0;5;7
;;10;Gerritsen, J.G.;219;0;0;0;2;4;5;2;57;7;6;32;11;13;0;8;12;15;7;0;4;0;12;0;0;3;19
;;11;Lukassen - Ebbing, H.M.;31;1;3;1;1;0;13;0;0;1;0;0;0;0;2;0;1;1;0;1;2;0;1;2;1;0;0
;;12;Hendriksen, W.G.M.;10;0;0;0;0;0;0;0;5;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1
;;13;Fränzel, M.A.H.;55;2;2;1;14;17;0;5;0;0;0;0;0;0;1;0;2;1;0;2;0;3;0;5;0;0;0
;;14;van der Werff, G.J.M.;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Wenting, A.J.H.;10;1;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;16;van Oosterom, F.J.;28;2;0;3;2;0;1;0;1;1;1;2;1;0;0;3;0;1;0;1;0;1;0;3;2;2;1
;;17;Wijnands - Esman, W.M.;14;1;0;0;0;0;0;0;1;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0
;;18;Koerntjes, B.J.W.;37;6;3;3;3;0;0;14;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;2;1;0;0
;;19;Jolink, E.T.M.;33;0;0;0;0;0;0;0;6;5;4;3;0;0;0;0;0;1;0;0;1;0;0;0;0;5;8
;;20;Nova - Sloot, A.B.M.G.;16;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;3;0;0
;;21;Maandag, C.S.M.;20;0;1;0;0;0;0;1;7;0;1;6;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1
;;22;Westerhof, L.E.B.M.;8;0;0;0;0;0;0;0;1;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Jansen - Reessink, J.B.;14;0;0;0;0;0;0;0;7;0;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
;;24;van Westerop, L.H.L;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
;;25;Lambertz, K.M.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;4;0;0;0;0;0;0;0;0
;;26;Hageman - Nibbeling, W.M.H.;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
