Verkiezing;;Gemeenteraad Epe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Epe;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0232;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Buurthuis Vegtelarij;Voormalige basisschool Zuuk;Hervormde gemeente Goede Herderkerk;Regenboogkerk Epe;Buurthoeve;Eper Veste;S.V. Wissel;Wijkvereniging Burgerenk;Hervormde Gemeente Sionskerk;De Hezebrink;Verenigingsgebouw De Hoeksteen;Kulturhus Oene;Gereformeerde Tabernakel kerk;Zwem- en Sportcentrum De Koekoek;Clubgebouw c.s.v. VIOS;Dorpscentrum De Wieken;Evangeliecentrum Woord en Daad;Clubhuis Handbalvereniging C.V.O.;Kerkelijk Centrum De Rank;Clubhuis Korfbalvereniging Regio 72;Gemeentehuis;Gemeentehuis;Evangeliecentrum Woord en Daad;Evangeliecentrum Woord en Daad
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;8161 EE;8161 ZA;8161 RJ;8162 VW;8162 HA;8162 XC;8161 AG;8162 PR;8162 ZV;8161 VV;8166 AL;8166 AT;8167 NL;8171 EH;8171 VH;8172 CN;8171 CE;8171 AC;8171 NB;8171 CP;8171 NB;8161 EE;8161 EE;8171 AC;8171 AC
;;3;Koorn, O.;146;1;0;2;1;1;2;1;5;3;4;0;0;2;9;6;12;23;19;10;4;35;1;0;3;2
;;4;van Elst- van den Esschert, H.;215;25;28;9;13;21;16;8;5;10;10;4;1;6;3;0;3;6;9;3;0;2;14;15;1;3
;;5;Siwabessij, P.N.;404;9;0;2;4;2;0;6;0;3;2;9;5;0;25;27;132;53;15;18;27;36;0;5;9;15
;;6;van der Weerd, Z.;456;25;19;19;24;14;10;10;12;26;25;15;16;137;4;8;2;12;17;4;7;9;15;19;5;2
;;7;Talsma-Adema, A.;22;0;1;0;1;2;2;1;3;1;2;0;0;0;0;0;1;0;2;0;0;1;0;3;0;2
;;8;de Weerd, B.H.;66;10;9;4;5;1;1;0;3;6;4;3;1;9;0;0;1;0;1;0;2;1;0;4;1;0
;;9;Looman-van Breen, A.E.H.;89;10;5;0;4;6;7;7;3;18;6;0;2;0;2;1;0;0;0;1;0;1;10;4;2;0
;;10;Verstoep, P.B.;39;0;7;1;0;0;1;0;0;0;0;0;0;0;0;2;7;2;4;2;3;8;0;0;0;2
;;11;van der Snel, M.;56;8;0;1;2;0;4;3;3;5;5;2;4;6;0;0;0;1;1;0;0;1;4;2;1;3
;;12;Koman, J.P.A.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;0;1;2;0;0;0;0;1
;;13;van Essen, J.H.;40;0;1;0;0;0;0;0;0;0;0;0;1;0;5;7;5;3;2;1;3;4;1;0;3;4
;;14;Bos, H.W.M.;29;6;0;1;3;0;0;10;1;0;0;1;0;1;0;0;0;0;0;0;0;0;6;0;0;0
;;15;Dalhuisen, G.J.;25;6;2;1;1;0;1;1;0;2;0;1;0;1;0;0;0;2;0;0;0;0;2;2;1;2
;;16;Dijkgraaf, E.;26;0;0;3;3;7;1;2;0;2;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0
;;17;Lindhoud, J.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
;;18;Achterbergh, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;3
;;19;Berkhoff, H.J.;7;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
;;20;Dalhuisen, L.;9;0;0;1;1;0;0;1;1;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Visser, E.;131;3;7;0;0;0;4;5;4;3;0;3;5;1;12;6;10;16;2;6;13;11;5;4;3;8
3;VVD;;;2183;194;89;64;40;95;94;228;143;81;78;123;77;64;73;61;31;94;111;37;44;58;89;141;25;49
;;1;Tibben, M.D.;1120;85;41;31;17;34;43;91;61;33;43;66;49;32;43;32;18;73;76;29;32;42;41;62;17;29
