Verkiezing;;Gemeenteraad Zaltbommel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaltbommel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gasthuiskapel;Pand 9;Sporthal Buys Ballot 1;De Grote Aak;de Poorterij;Sporthal Buys Ballot 2;Dorpshuis Kerkwijk;Eben Haëzer Bruchem;Kerkelijk Centrum Elim;Ons Trefpunt;Dorpshuis de Gaarde;Huis Brakel;De Wilhelminahof;Dorpshuis Podarwic;Dorpshuis den Ham;'t Kruispunt (Stembureau 2);Zalencentrum Gambora;Van der Valk Zaltbommel 1;Het Anker;'t Kruispunt (Stembureau 1);Van der Valk Zaltbommel 2;Mobiele stembus (dubbeldekker);'t Kruispunt 14 maart;Van der Valk Zaltbommel 14 maart;'t Kruispunt 15 maart;Van der Valk Zaltbommel 15 maart;Mobiel bijzonder stembureau met beperkte toegang
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
Postcode;;;;;5301 CC;5301 PA;5301 DH;5301 GX;5301 EW;5301 DH;5315 AL;5314 AX;5311 CJ;5313 AP;5317 JS;5306 BC;5306 XA;5307 HA;5305 CP;5308 KS;5311 PC;5301 LJ;5301 TE;5308 KS;5301 LJ;5301 AL;5308 KS;5301 LJ;5308 KS;5301 LJ;5311 CM
;opgeroepenen;;;23324;1671;972;1581;1443;1124;978;875;1385;1234;703;1264;1175;1286;844;1417;883;793;1012;743;887;1054;0;0;0;0;0;0
;geldige stempas;;;12052;661;417;561;786;403;606;424;705;640;338;715;498;755;475;611;206;339;268;615;215;414;144;145;376;172;519;44
;geldig volmachtbewijs;;;1760;74;61;66;107;38;68;77;100;114;51;145;90;122;74;94;37;70;34;81;52;46;20;18;50;20;51;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13812;735;478;627;893;441;674;501;805;754;389;860;588;877;549;705;243;409;302;696;267;460;164;163;426;192;570;44
;geldige stembiljetten;;;13768;733;477;624;890;440;668;499;801;753;389;859;587;875;548;701;242;407;302;694;265;458;164;163;424;192;570;43
;blanco stembiljetten;;;18;0;1;0;2;1;4;0;2;1;0;0;1;0;0;0;1;1;0;2;1;1;0;0;0;0;0;0
;ongeldige stembiljetten;;;21;2;0;3;0;0;2;1;2;0;0;1;0;2;1;1;0;1;0;0;1;1;0;0;2;0;0;1
