Verkiezing;;Gemeenteraad Aalten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal Aladna;Sporthal Eurohal;Zuiderkerk;Beele Sealing Valley;Chr. Geref. kerk;Stemstraat Dorcas;Sportpark Zuid (Gebouw AD'69);Gebouw De Markerink;Romienendal;Kulturhus Lintelo;Dorpshuus IJzerlo;Café Bruggink;Kerkelijk Centrum Dinxperlo;Kulturhus Dinxperlo;Gebouw De Ringkamp;Mobiel, beperkte toegang 1;Mobiel, beperkte toegang 2;Koppelkerk Bredevoort;Westerkerk;Het Blauwe Meer;Gemeentekantoor;Station Aalten;Maandag Beele Sealing Valley;Maandag Sporthal Eurohal;Maandag Koppelkerk;Dinsdag Beele Sealing Valley;Dinsdag Sporthal Eurohal;Dinsdag Koppelkerk
Gebiednummer;;;;;8;17;103;104;105;106;107;109;110;111;112;113;116;117;118;119;120;123;124;125;126;127;201;202;204;301;302;304
Postcode;;;;;7121 WN;7091 XC;7121 EM;7122 AP;7122 ZX;7122 LC;7121 JB;7122 RK;7122 RN;7122 LX;7122 KH;7095 BC;7091 CJ;7091 CV;7121 KL;7122 CG;7126 BC;7126 AG;7122 BW;7091 JJ;7121 DM;7122 AT;7122 AP;7091 XC;7126 AG;7122 AP;7091 XC;7126 AG
;opgeroepenen;;;21930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21930;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;11770;610;593;494;931;551;434;442;371;311;433;384;504;274;973;288;37;20;535;429;161;426;185;585;280;139;811;377;192
;geldig volmachtbewijs;;;1335;75;73;46;109;55;50;43;38;41;54;46;48;36;115;56;2;2;63;38;25;45;17;68;26;22;81;33;28
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13105;685;666;540;1040;606;484;485;409;352;487;430;552;310;1088;344;39;22;598;467;186;471;202;653;306;161;892;410;220
;geldige stembiljetten;;;13054;684;658;533;1036;603;481;485;409;350;486;430;552;309;1086;344;39;22;597;464;185;470;201;652;305;161;887;406;219
;blanco stembiljetten;;;29;1;5;3;4;2;2;0;0;2;1;0;0;1;1;0;0;0;1;2;0;1;0;1;1;0;1;0;0
;ongeldige stembiljetten;;;22;0;4;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;4;4;1
;aangetroffen stembiljetten;;;13105;685;667;540;1040;606;484;485;409;352;487;430;552;310;1087;344;39;22;598;467;186;471;202;653;306;161;892;410;220
;meer stembiljetten dan toegelaten kiezers;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
