Verkiezing;;Gemeenteraad Overbetuwe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Overbetuwe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Helster 1;Helster 2;Helster 3;Kruisakkers 1;Kruisakkers 2;Kruisakkers 3;Overbetuwe College;Spero;Onder de Toren;Westeraam 1;Westeraam 2;Westeraam 3;Binnenveld 1;Binnenveld 2;Oldenburg Driel;RKSV Driel;MFA de Haar Randwijk;Dorpshuis de Schakel Oosterhout;Verenigingsgebouw Valburg;De Wanmolen 1;De Wanmolen 2;Verenigingsgebouw de Poort Andelst;Hoendrik 1;Hoendrik  2;dorpshuis Beatrix (13-21 uur);mobiel Liefkenshoek en Tertzio;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;1405;1406;1414;1421;1505;1506;1514;1521
Postcode;;;;;6661 EH;6661 AW;6661 AW;6661 AW;6662 DV;6662 DV;6662 DV;6662 VZ;6662 BK;6661 DA;6661 TZ;6661 TZ;6661 TZ;6666 CR;6666 CR;6665 DH;6665 CB;6668 AS;6678 BT;6675 BR;6671 BR;6671 BR;6673 BM;6674 BW;6674 BW;6677 PG;6661 EH;6662 DV;6662 DV;6666 CR;6671 BR;6662 DV;6662 DV;6666 CR;6671 BR
;;17;van der Hoeven, W.;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Witjes, F.H.G.M.;16;3;0;0;1;2;1;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;19;van der Moolen, P.L.M.;18;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van den Moosdijk, J.J.M.;14;1;1;0;1;2;1;1;1;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;de Wit, J.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;Eefting, R.;143;18;2;1;1;0;1;1;13;3;6;21;17;22;1;1;2;0;1;9;2;0;2;0;0;0;0;0;2;3;3;0;7;4;0;0
;;23;te Lintelo - Overbeek, G.H.M.;15;2;2;4;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;24;Ross, H.J.;77;15;4;1;4;3;1;4;8;2;8;0;2;0;0;0;0;0;1;4;1;1;2;0;0;0;0;0;3;5;0;0;3;5;0;0
5;VVD;;;2089;125;36;47;42;21;56;38;119;41;61;86;78;85;60;63;105;95;38;74;194;70;39;47;50;52;11;5;35;29;37;27;69;54;61;39
;;1;de Waard, P.W.;871;49;17;17;22;11;14;17;44;17;18;34;21;33;19;16;17;15;26;32;150;44;24;18;25;20;9;2;15;8;11;15;23;21;24;23
;;2;Rouwenhorst, J.;378;34;15;13;6;5;21;13;26;11;14;26;31;21;5;4;11;9;5;3;10;5;5;2;6;4;0;0;11;10;2;4;23;17;2;4
;;3;Grimm, K.;111;4;2;0;2;0;0;0;16;0;0;1;0;0;3;2;0;0;1;2;1;12;5;19;13;19;0;0;0;0;4;1;0;1;1;2
;;4;Bloks, P.;84;2;0;1;4;1;10;2;0;8;3;4;3;7;1;2;1;2;1;0;5;4;0;2;0;0;0;0;3;2;0;2;9;3;0;2
;;5;Koster, R.R.F.M.;165;3;0;1;1;0;1;0;0;0;3;0;2;3;2;0;72;65;1;0;0;0;0;0;1;2;0;0;1;0;5;0;0;1;1;0
;;6;Elsinga, K.;42;3;0;0;1;1;1;1;3;2;1;10;6;4;0;2;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;2;0;0
;;7;den Hartog, M.A.;36;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Nijholt - Faber, E.D.;35;3;0;2;0;1;0;1;3;0;0;0;3;3;0;0;1;0;0;0;2;1;2;1;1;0;0;0;0;7;0;0;1;2;0;1
;;9;Smelt - Medendorp, A.M.;18;1;0;1;0;0;1;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
;;10;Meerburg, B.G.;68;0;0;2;0;0;0;0;0;0;0;0;0;0;15;21;0;0;1;0;0;0;0;0;0;2;0;2;0;0;9;0;0;0;16;0
;;11;Mooij, R.W.;24;4;0;0;2;0;2;3;1;0;4;0;2;1;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;12;Janssen, H.A.;25;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;20;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Reitsma, N.;31;0;0;0;0;0;0;0;0;0;0;0;0;1;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;7;0
;;14;Verhart, C.G.J.;17;4;0;0;1;0;0;1;5;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Hoogveld, A.J.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0
;;16;Lokhorst - Van Nieuwenhuizen, C.M.;24;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;2;1;5;0;3;1;0;0;0;0;1;0;0;0;6
;;17;Ruijling, H.F.M.;29;0;0;1;0;0;0;0;0;0;3;3;3;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;5;0;0;0
;;18;Rombouts - Uitterhoeve, C.M.A.;18;0;0;0;0;0;1;0;0;0;0;0;0;0;4;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;0;0;3;1
;;19;Martens, M.T.;69;12;0;7;2;0;2;0;4;3;13;4;1;2;1;0;0;1;0;0;0;1;0;0;0;2;1;1;2;0;0;0;2;6;2;0
;;20;Tuijnman, E.;38;6;2;2;1;2;3;0;4;0;1;1;2;1;2;0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
6;Burgerbelangen OverBetuwe (BOB);;;2272;156;56;73;51;39;91;88;132;48;76;90;105;87;70;49;97;52;19;58;94;78;58;40;38;44;13;2;86;65;31;26;82;88;56;34
;;1;op de Weegh, G.J.M.;872;53;20;28;21;16;26;37;57;26;27;35;49;34;26;14;40;9;7;25;35;31;20;13;22;19;8;2;28;26;9;8;34;34;23;10
;;2;Noordermeer, A.;125;13;2;4;1;0;9;5;9;2;2;8;10;14;2;0;1;0;1;2;2;3;0;1;0;2;0;0;6;7;0;3;6;4;2;4
;;3;Vennis, D.J.M.;302;25;9;8;11;10;19;5;30;9;16;18;12;13;4;3;2;2;2;12;13;10;2;2;1;4;2;0;9;11;1;3;17;15;1;1
;;4;Janssen, D.J.T.;80;4;3;7;0;2;1;2;3;5;3;11;13;3;2;1;1;0;0;0;1;1;1;0;1;0;0;0;2;2;0;0;5;4;2;0
;;5;Heinen, P.G.A.;39;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;2;27;1;0;2;0;1;0;0;2;1;0;0;0;0;0;0
;;6;Meboer, A.;39;2;2;2;4;0;0;0;1;0;3;0;5;1;1;2;4;0;0;0;0;1;0;1;0;0;0;0;2;2;2;0;0;2;0;2
;;7;Lagerweij, A.J.A.M.;62;7;6;4;2;0;2;1;3;1;5;2;0;0;0;0;1;1;0;1;3;0;1;0;0;1;0;0;5;2;3;0;3;8;0;0
;;8;Wouters, L.;129;7;5;3;4;3;7;8;8;3;8;4;7;10;3;0;2;7;1;2;3;4;4;2;1;0;1;0;8;3;2;1;1;3;2;2
;;9;Peilouw, A.J.J.;135;20;4;5;1;2;16;21;9;0;2;3;3;6;0;0;0;0;0;5;1;2;0;0;0;0;0;0;13;4;0;0;8;9;1;0
;;10;Muller, B.;86;2;0;1;0;0;1;0;0;0;1;0;1;0;1;0;46;30;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Swaan, E.;56;8;3;2;4;1;5;2;5;1;4;2;1;3;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2;3;0;0;3;2;0;0
;;12;Rem, A.;71;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;22;25;0;0;1;0;0;0;0;0;9;0;0;0;10
;;13;Evers, S.M.;18;0;1;3;1;0;1;0;1;0;2;1;1;1;0;1;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Groot, A.;100;0;0;0;0;0;0;1;0;0;0;0;0;0;31;28;0;0;2;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;24;0
;;15;Overhand, F.A.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;12;0;0;0;0;0;2;1;0;0;0
;;16;Evers, B.;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;3;0;0;0;0;0;0;0;0;0;2
;;17;Meijer, J.;33;4;0;2;1;3;2;1;4;0;1;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;2;0;0;0;3;1;0
;;18;Luijpen, A.G.J.;35;4;1;1;1;1;1;2;0;1;2;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;5;2;0;0;4;3;0;0
;;19;de Leeuw, G.;39;6;0;3;0;1;0;3;2;0;0;2;1;1;0;0;0;0;1;4;2;1;4;0;0;1;2;0;1;0;0;0;0;1;0;3
7;Partij van de Arbeid (P.v.d.A.);;;887;83;7;18;8;17;18;17;37;5;18;28;32;22;36;35;35;9;14;36;42;25;24;14;13;13;10;0;32;24;38;25;32;38;44;38
;;1;Elbers, E.A.W.;404;45;5;8;5;10;7;14;7;5;9;18;15;16;11;10;18;6;6;19;16;12;11;8;5;7;4;0;16;9;21;7;16;19;6;13
;;2;van den Berg, D.D.E.D.;160;9;2;2;1;2;3;0;7;0;4;7;9;0;4;1;8;0;3;15;24;4;3;6;5;3;3;0;4;5;0;6;2;6;5;7
;;3;Schoemaker, J.;10;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1
;;4;Stevens, E.M.G.;51;9;0;2;1;0;3;1;2;0;2;1;4;2;0;0;0;0;1;0;0;1;1;0;0;1;2;0;5;0;1;1;3;5;2;1
;;5;Penning de Vries, G.M.;84;17;0;4;0;3;3;1;17;0;2;0;3;2;0;1;0;0;0;0;1;2;0;0;1;0;1;0;4;7;0;0;7;6;0;2
;;6;de Boer, C.E.M.;100;0;0;0;0;0;1;1;0;0;1;1;1;1;16;21;3;0;4;0;0;0;1;0;0;0;0;0;0;1;15;0;0;1;31;1
;;7;Brukx, F.R.M.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Berg, T.A.J.;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Hofs, H.P.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;1;0;0;5
;;10;Crowe, P.R.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0
;;11;Saedt, J.M.;29;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;1;0;0;0;0;0;5;0;0;0;8
;;12;Dries, H.A.M.;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Berendsen, S.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;de Boer, G.H.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
8;ChristenUnie;;;784;15;5;9;7;8;4;9;21;1;11;13;8;12;55;57;32;7;98;22;21;69;39;15;22;18;4;3;17;12;25;30;16;15;29;55
;;1;Maaijen, G.;557;8;4;8;5;5;2;5;11;0;6;9;5;9;43;44;30;2;75;11;14;44;20;15;18;16;4;3;13;8;24;20;11;10;23;32
;;2;Bruggema, H.M.;54;4;0;0;1;2;1;3;7;0;2;2;1;2;0;2;1;1;4;1;2;1;1;0;0;0;0;0;3;4;0;1;4;3;0;1
;;3;Veijer, H.G.;18;1;1;1;1;0;0;0;2;0;1;1;1;1;2;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;4;Luursema, J.R.;9;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;5;Wieringa-van As, M.C.;56;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;15;11;0;2;0;0;0;0;0;1;5;0;1;0;13
;;6;Westerink-Petersen, J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;7;Plieger-Bos, A.P.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;4
;;8;Haanappel, N.W.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;Stalman, R.C.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;5;1;0;0;0;0;0;0;0;0;4;0;0;0;1
;;10;Sanders, R.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Budding, G.J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Schaaij, W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1
;;13;Haveman-Nies, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Booij, S.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1
9;Staatkundig Gereformeerde Partij (SGP);;;484;6;1;0;0;1;2;2;4;3;2;2;2;0;11;8;6;1;109;4;26;71;39;41;22;9;20;3;6;2;5;28;4;3;10;31
;;1;van Nifterik, A.C.;300;5;1;0;0;1;1;0;3;2;0;2;1;0;9;2;3;0;77;2;10;43;22;22;12;6;8;1;4;2;2;22;0;1;10;26
;;2;van Westreenen, H.;41;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;1;0;2;11;8;4;2;1;2;1;0;0;1;2;0;0;0;1
;;3;Bunt, J.;18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;8;0;0;3;0;0;0;0;0;0;0;0;0
;;4;van de Sluis, M.;18;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;3;1;0;1;1;0;0;0;0;0;3;0;0;0;1
;;5;Hol, H.H.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;6;Simons, A.;23;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;2;4;3;5;0;0;4;0;0;0;0;0;0;0;0;0
;;7;van Manen, G.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;de Vree, S.H.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0
;;9;Hakkert, G.H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;10;Brons, A.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2
;;11;Bunt, F.W.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;3;0;1;0;0;0;0;0;0;0
;;12;Ruijgrok, L.B.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;13;Put, T.;12;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;4;2;0;0
;;14;van de Kolk, D.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;van Meerten, J.W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
