Verkiezing;;Gemeenteraad Overbetuwe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Overbetuwe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Helster 1;Helster 2;Helster 3;Kruisakkers 1;Kruisakkers 2;Kruisakkers 3;Overbetuwe College;Spero;Onder de Toren;Westeraam 1;Westeraam 2;Westeraam 3;Binnenveld 1;Binnenveld 2;Oldenburg Driel;RKSV Driel;MFA de Haar Randwijk;Dorpshuis de Schakel Oosterhout;Verenigingsgebouw Valburg;De Wanmolen 1;De Wanmolen 2;Verenigingsgebouw de Poort Andelst;Hoendrik 1;Hoendrik  2;dorpshuis Beatrix (13-21 uur);mobiel Liefkenshoek en Tertzio;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;1405;1406;1414;1421;1505;1506;1514;1521
Postcode;;;;;6661 EH;6661 AW;6661 AW;6661 AW;6662 DV;6662 DV;6662 DV;6662 VZ;6662 BK;6661 DA;6661 TZ;6661 TZ;6661 TZ;6666 CR;6666 CR;6665 DH;6665 CB;6668 AS;6678 BT;6675 BR;6671 BR;6671 BR;6673 BM;6674 BW;6674 BW;6677 PG;6661 EH;6662 DV;6662 DV;6666 CR;6671 BR;6662 DV;6662 DV;6666 CR;6671 BR
;;19;Schimmel, H.;14;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;1;1;0;1
;;20;de Jonge-Crum, L.;68;0;0;0;0;1;1;0;3;0;1;0;0;1;0;0;19;30;0;1;1;1;0;0;0;0;0;0;1;0;3;0;0;0;5;0
;;21;Meijer, W.;6;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;22;van den Boogaart, M.J.M.;16;2;0;0;0;1;2;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;2;0;0;0
;;23;Koster-Jansen, E.C.W.M.;42;5;2;4;0;1;3;0;1;0;1;2;3;8;0;0;5;0;1;2;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
;;24;Schimmel-de Haan, S.M.;18;7;1;3;0;1;0;0;0;0;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Penning, M.W.;48;0;0;0;0;3;0;0;0;0;0;12;0;0;0;0;3;0;2;1;0;7;11;0;0;1;0;0;0;0;0;0;0;0;0;8
;;26;Knol, M.A.;59;5;3;2;2;2;2;2;3;3;0;1;6;4;0;0;0;1;0;3;1;2;0;2;0;0;1;0;0;0;0;1;6;6;0;1
;;27;Dengerink, A.B.;32;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;7;6;0;2;0;0;0;1;0;0;4;0;0;2;3
3;GROENLINKS;;;1902;118;43;23;24;31;65;45;113;35;46;104;83;66;35;50;75;34;96;145;70;84;61;29;33;45;29;0;47;41;25;38;49;45;34;41
;;1;van den Dam, A.T.L.;455;23;5;2;8;7;13;11;18;7;12;15;10;4;7;13;27;12;18;29;26;45;29;9;12;18;7;0;5;8;6;15;4;6;10;14
;;2;Bruinsma, C.J.;753;57;17;13;9;15;32;14;57;19;22;60;39;38;12;13;32;16;27;33;17;21;13;9;13;10;8;0;29;18;2;11;29;28;6;14
