Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;CBS 'Dok 19';Sociaal Centrum 'De Kiekmure';Mehmet Akif Moskee;Leonardo Harderwijk;Gebouw Stedelijke Harmonie;CBS 'Willem-Alexander';Unitas;Centrum 'De Zin';CBS 'Het Baken';Ontmoetingstuin 'De Rietmeen';Dorpskerk' Hierden;Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Sporthal Drielanden (1);Sporthal Drielanden (2);Sporthal Drielanden (3);Kerkelijk Centrum 'De Regenboog' (1);Kerkelijk Centrum 'De Regenboog' (2);Drive-In op parkeerplaats P2;Mobiel Stembureau;Station Harderwijk;Drive-in Stadsbedrijf
Gebiednummer;;;;;101;106;111;112;115;117;119;127;128;131;132;201;206;211;212;215;217;219;227;228;231;232;1;2;4;6;8;9;10;11;12;14;15;16;17;19;20;21;22;24;27;28;30;31;32
Postcode;;;;;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3841 KK;3842 GA;3842 GV;3844 EL;3842 GD;3843 BG;3844 AC;3841 DA;3844 NC;3844 HW;3849 AD;3849 BL;3848 DE;3845 GC;3845 GC;3845 GC;3845 KA;3845 KA;;;3844 KR;3843 AK
;;4;Kisjes, A.C.;66;0;0;1;0;2;1;1;0;0;0;0;1;0;2;2;4;0;2;1;0;0;0;2;1;0;0;0;1;2;2;1;7;4;4;0;6;6;6;3;0;1;0;0;1;2
;;5;Foppen, L.;81;8;2;1;2;0;0;0;0;0;0;0;1;2;4;2;2;0;0;2;3;0;0;5;11;6;2;0;0;1;1;4;1;0;1;1;13;2;1;1;0;0;0;0;0;2
;;6;van der Woude-Larooij, W.W.;79;1;0;1;2;1;1;0;1;0;2;0;2;0;2;1;2;0;2;1;0;0;3;2;0;5;1;2;2;4;4;2;15;8;1;0;6;0;1;3;0;0;0;0;1;0
;;7;Companjen, M.E.;406;8;1;1;7;6;0;9;12;3;3;4;11;2;7;6;8;1;16;6;3;2;0;20;3;35;0;13;31;24;15;11;13;22;6;5;24;14;14;10;8;4;6;3;4;5
;;8;van der Veen, R.;59;0;1;2;1;0;0;0;4;0;0;0;6;2;4;1;0;0;3;0;0;2;0;1;3;7;0;0;9;2;1;2;2;2;0;1;0;0;1;1;0;0;0;0;1;0
;;9;Veldman, H.E.;60;0;0;0;1;0;0;3;0;0;2;3;2;0;1;0;1;0;0;2;0;0;0;3;3;6;5;0;0;0;1;0;5;0;1;0;4;7;1;3;2;3;0;0;1;0
;;10;Wijnholds, B.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;2;0;1;1;0;1;1;0;0;1;5;0;0;2;0;0;1;1;1;0;0;1;0
;;11;Veldman, M.C.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;3;0;0;0;0;0;1;0;1;0;0;0;0;0
;;12;van Gils, J.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kats, C.H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;14;van de Fliert, M.J.;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3;0;0;0;5
;;15;Scheepstra, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Maas-van den Hazel, E.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Wijnhorst, J.T.;24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;1;0;4;2;0;2;2;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;0
;;18;Companjen, J.;34;0;0;0;0;1;0;0;0;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;0;8;0;0;2;0;0;0;2;4;1;0;0;6;3;0;0;0;0;1;0;0
;;19;Timmer, P.;27;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;1;0;0;0;0;2;1;13;0;2;0;0;0;0;1;0;0;0;0
;;20;Goosensen-Foppen, E.;25;0;0;0;0;0;0;4;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;5;0;1;2;3;0;0;0;0;1;1;2;0;0;0;3;0;0;0;0;0
;;21;van Dijken, P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
;;22;Venema, H.B.;23;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;3;0;8;0;0;1;0;0;0;0;0;0
;;23;de Lange, P.W.;13;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;4;0;0;2;0;0;0;0;0;0
;;24;Fikse-Dannenberg, J.G.;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;25;Veldman, G.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
;;26;Kroese, F.J.;13;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0
;;27;de Graaf, J.M.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;28;Scherff, G.W.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;1;0;1;0;1;0;0;0;0;1;2;0;1;1;0;0;0;0
;;29;van den Berg-Verboom, G.A.;38;0;0;0;0;0;3;0;0;0;0;0;1;1;0;1;1;3;2;1;0;0;0;0;0;3;0;0;2;0;0;0;1;1;6;3;4;4;1;0;0;0;0;0;0;0
;;30;Teeninga, P.;14;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0
4;CDA;;;2084;73;15;15;46;15;4;50;51;5;6;12;67;13;17;39;31;17;57;94;12;12;19;113;36;170;28;24;95;71;47;64;56;49;97;38;125;71;85;86;53;51;27;8;8;12
;;1;Mazier, W;1059;33;7;7;17;8;3;26;32;2;5;5;37;9;12;25;10;11;32;37;6;5;8;64;23;101;17;8;55;34;25;27;24;17;53;17;72;37;36;47;26;17;9;5;2;6
;;2;Oosting-Klock, AR;246;2;1;0;1;2;1;7;8;2;1;3;3;0;1;3;5;1;3;17;1;2;2;7;0;19;2;2;5;7;8;15;8;11;6;2;11;13;17;10;15;15;4;1;0;2
;;3;Morren-Holstege, GJ;224;17;2;4;13;3;0;2;2;0;0;2;12;0;0;4;5;1;5;7;2;2;0;20;2;15;2;6;7;4;4;8;9;9;2;9;16;2;7;9;2;5;1;0;1;1
;;4;Bruinink, A;150;0;3;0;4;0;0;6;2;0;0;0;3;1;1;1;1;2;4;11;0;0;8;6;2;10;2;0;12;4;0;2;0;2;27;9;4;5;3;9;1;0;4;1;0;0
;;5;Kleyberg, E;50;0;0;0;6;0;0;0;0;0;0;0;4;0;0;3;0;0;0;7;2;0;0;3;0;3;0;1;2;2;4;2;2;1;2;0;0;1;1;0;0;0;1;1;2;0
;;6;de Paauw, M;19;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;2;2;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0
;;7;Korevaar, CJ;50;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;3;4;0;1;0;3;2;8;0;0;1;1;1;2;0;1;1;0;2;3;5;2;1;4;0;0;0;0
;;8;Hop, GA;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Maarleveld-Kampherbeek, OT;71;4;1;1;1;0;0;4;2;0;0;0;2;0;3;1;3;2;2;3;0;0;1;3;1;2;1;1;6;4;1;4;1;0;1;1;7;1;1;0;0;1;3;0;0;2
;;10;Odinot, JC;14;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;1;0;0;0;0;1;1;1;0;0;0;0
;;11;Werkman, A;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;1;3;2;0;0;1;0
;;12;Moggré, MA;18;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;0;0;1;2;1;0;0;0;0;1;0
;;13;de Vries, WR;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;5;2;0;0;2;2;0;0;2;3;0;0;1;0;0;0;0
;;14;Hammenga, R;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;15;van der Heide, JE;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Mazier-de With, SE;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
;;17;Eendebak, H;11;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0
;;18;Potters, DR;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Luxemburg-de Hoop, AG;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0
;;20;ter Steeg, J;12;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Heer, AC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;22;Verhagen, PJ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
;;23;Zimmer, M;8;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;24;Buitenhuis, W;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;25;den Besten, P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Sels, PJ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0
;;27;Koning, D;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;28;Stoevelaar-Zijlstra, I;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
;;29;de Jong, JL;41;5;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;3;0;4;1;0;2;1;0;2;5;0;2;0;1;2;1;1;0;1;4;0;0;1
5;D66;;;1489;39;3;23;16;25;4;18;23;11;8;4;75;6;26;19;33;13;20;34;19;15;11;169;12;69;13;37;42;53;57;45;75;54;38;21;56;59;52;46;29;33;45;4;18;17
;;1;Pijnenburg, M.;623;11;2;11;11;11;2;9;8;6;4;2;33;5;11;7;13;8;12;10;8;6;3;59;2;33;7;14;18;27;27;15;36;14;15;5;31;25;26;16;10;17;20;2;7;4
;;2;Buurman-Kuiper, A.;392;13;0;4;4;5;1;5;11;4;2;2;15;0;7;1;11;0;2;10;3;4;4;47;3;19;3;9;12;20;13;15;14;19;12;3;15;13;12;15;9;6;14;1;6;4
;;3;Melkert, T.C.M.;46;0;1;0;0;1;0;0;2;0;0;0;2;0;1;0;1;0;0;0;1;3;0;0;1;2;0;2;2;0;6;3;2;3;0;0;2;4;0;4;0;2;0;0;1;0
;;4;Zuijdwijk-Lange, M.A.;77;1;0;3;1;1;1;1;2;0;0;0;1;1;0;1;1;4;1;2;2;0;0;6;0;0;1;2;1;2;2;1;5;4;8;4;1;6;0;0;4;1;2;1;0;3
;;5;Bruinewoud, M.;29;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;1;1;0;1;0;7;0;0;0;2;0;1;0;1;2;1;0;1;1;0;0;2;0;1;2;0;0;0
;;6;Ruiter, H.;34;3;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;3;0;1;0;8;0;3;0;0;0;0;1;0;0;3;0;0;1;2;0;1;0;0;0;0;0;0
;;7;van Moerkerk, T.J.;38;5;0;0;0;2;0;0;0;0;0;0;3;0;0;0;3;0;3;2;0;0;0;5;2;1;0;1;0;0;1;1;2;0;1;0;0;2;1;0;1;2;0;0;0;0
;;8;Bosch, R.T.;89;3;0;0;0;1;0;0;0;0;0;0;3;0;2;1;3;0;0;1;3;0;1;11;2;7;2;2;1;1;0;1;4;3;1;8;0;4;7;4;2;0;4;0;3;4
;;9;Smit, D.R.;16;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;1;4;2;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Star, M.E.;18;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;7;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Seijerlin, L.A.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Tuin, D.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0
;;13;Leemeijer, R.;16;0;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
;;14;Brassien, S.L.;17;0;0;1;0;0;0;2;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0
;;15;Eysink, J.R.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Buurman, B.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Brassien, A.N.;13;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Lantink, P.J.;9;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;19;Visser, A.;11;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;3;0;0;1;0;0;0;0
;;20;Simbula, M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;2;0;1;0;0;2;0;1;1;1;1;1;0;0;0
;;21;Nijman, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Mulder, P.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Dirksen, M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Liempt, D.L.J.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Walsem, J.;12;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1362;42;29;16;31;50;3;19;26;9;11;2;55;33;18;24;50;5;20;34;15;7;9;75;17;98;33;38;70;55;27;36;37;82;18;11;36;39;46;47;18;19;19;9;8;16
;;1;Bos, W.E.C.;641;25;2;9;21;17;1;11;10;7;10;1;26;9;7;11;28;2;8;22;6;4;2;40;16;48;5;19;30;28;9;22;22;39;8;1;18;20;15;25;5;7;6;7;3;9
;;2;Ferwerda, M.;46;0;1;1;1;2;0;0;2;0;0;0;2;1;1;0;0;0;1;0;0;0;0;1;0;4;1;1;0;1;0;0;0;6;0;5;5;1;2;3;0;2;0;0;1;1
;;3;van Noordennen, J.;239;4;2;3;7;9;1;2;7;2;1;1;11;3;4;4;6;1;3;1;2;2;3;14;1;21;3;2;18;15;11;4;7;10;4;2;7;10;12;3;4;4;5;1;0;2
;;4;Oosterhuis, M.;24;2;0;0;0;3;0;1;2;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;5;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
;;5;Varna, N.;181;4;23;0;0;8;0;1;3;0;0;0;3;17;3;1;9;0;0;0;3;1;2;9;0;11;24;3;10;3;2;2;4;8;0;0;1;4;10;5;2;3;1;0;1;0
;;6;van den Berg, M.;17;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;1;2;1;1;0;1;0;0;1;0;0;0;1
;;7;van Ommen, A.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;2;0;0;1;1;0;0;0;0;1;1;0;1;1;2;0;0;0
;;8;van der Bijl-Karssen, M.;30;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;2;0;1;0;0;2;0;3;3;1;0;0;0;0;1;0;0;1;0;1;5;0;4;0;0;0
;;9;Hoogland, P.E.;14;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0
;;10;Goosen, T.W.M.G.M.;47;3;0;1;1;5;0;0;0;0;0;0;3;2;0;1;2;0;2;3;2;0;0;0;0;2;0;0;0;1;0;3;1;8;1;0;0;0;2;3;0;0;0;0;0;1
;;11;Karssen, D.;8;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
;;12;de Kleine, L.A.;36;3;0;0;1;3;0;0;0;0;0;0;2;0;0;3;1;2;3;1;0;0;0;1;0;3;0;3;1;2;1;1;0;2;1;0;0;0;0;0;0;0;0;0;1;1
;;13;Brinkhuis, M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;14;Maas, H.J.M.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0
;;15;van der Meer, P.O.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Jannink, H.A.J.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;17;Lankester, S.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0
;;18;Bos-de Blauw, K.L.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kram, J.A.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Huijzendveld, C.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
;;21;Kooijman, C.H.;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Schoonenberg-Ferwerda, I.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;23;Meijering, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Sondern, G.E.;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Burgh, C.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Schipper, H.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
7;GROENLINKS;;;1157;31;6;7;17;22;4;13;19;4;8;4;29;5;22;22;24;6;13;31;3;20;9;101;17;66;16;33;57;43;42;46;71;72;22;5;34;21;40;38;16;23;27;1;32;15
;;1;Hollanders, W.;754;20;4;2;10;16;3;7;15;1;3;3;16;2;9;15;19;4;11;24;3;15;6;67;11;45;11;21;41;29;25;32;48;41;12;3;25;15;29;26;11;13;15;1;15;10
;;2;Hofstee, C.F.;80;6;0;1;2;0;0;3;0;0;2;0;4;1;2;3;0;0;0;2;0;1;0;8;0;9;1;4;5;1;0;5;6;5;1;0;0;0;0;1;0;3;0;0;4;0
;;3;Beek, A.R.;47;0;0;2;0;0;0;0;1;1;0;0;6;0;0;1;1;0;0;1;0;0;1;3;0;1;0;0;2;3;0;1;2;8;0;1;1;1;0;5;1;2;1;0;1;0
;;4;Bockting, M.H.G.;11;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;1;0
;;5;Lubbersen, G.L.;74;2;0;1;1;2;0;0;1;0;0;0;0;0;3;2;1;0;1;1;0;0;1;8;3;2;1;3;1;3;4;1;3;3;3;1;2;2;4;0;1;2;5;0;2;4
;;6;van Hulsen, S.C.;39;0;0;0;1;3;0;2;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;2;1;1;0;1;1;2;2;0;1;6;2;0;2;0;0;2;0;2;0;0;3;0
;;7;de Vries, N.K.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Cremers, A.;32;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;3;0;1;0;1;1;0;0;2;7;2;0;0;1;1;0;1;0;1;1;0;2;0
;;9;Hollanders, C.L.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;2;0;0;1;2;0;0;0;0;0;1;0
;;10;Hartman, K.S.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;11;Hellingman, C;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
