Verkiezing;;Gemeenteraad Zutphen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zutphen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Zutphen;Walburgiskerk;Gemeente Zutphen/GelreWerkt!;Gymzaal Mozaïk;Waterkracht;OBS De Waaier;Emmanuelkerk;Hanzehof ingang Buitensociëteit;Kerk De Wijngaard;Rode Kruis De Graafschap;St. Elisabeth;School Theo Thijssen (gymzaal);Serviceflat De IJssel;School De Parel (gymzaal);Buurthuis De Uitwijk;Vrije School Zutphen VO;Lea Dasbergschool (1);Lea Dasbergschool (2);De Mene (1);De Mene gymzaal (2);CBS Arcade;Isendoorn College;’t Warnshuus;Optisport Health Club Warnsveld;Nutsgebouw;Schildersvakopleiding Zutphen;DWK gebouw;Bibliotheek Zutphen;Rode Kruis De Graafschap;Buurthuis De Uitwijk;’t Warnshuus;Bibliotheek Zutphen;Rode Kruis De Graafschap;Buurthuis De Uitwijk;’t Warnshuus
;;16;Dolfing, M.;26;0;6;0;4;1;0;0;0;0;0;0;2;0;0;2;0;1;0;2;0;2;0;2;0;0;0;0;1;0;1;1;1;0;0;0
;;17;Bontje, M.B.;15;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;1;2;0;1;1;0;0;0;0;0
;;18;Overbeek, F.J.;17;2;1;0;1;1;0;1;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;1;0;0
;;19;Hartman, R.A.L.;9;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;20;Schepers, L.;17;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;2;0;0;0;3;0;0;1
;;21;Lodder, W.C.;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;0;0;0;0
;;22;Moor, T.;22;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;7;0;0;0;0;1;4;0;0;0;0
;;23;Vos, E.;10;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0
;;24;Putker, A.J.A.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
;;25;Jacobs, E.;11;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0
;;26;Meijer, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Luesink, L.;31;4;3;0;0;1;1;1;0;2;0;0;2;1;0;1;0;1;0;1;1;0;1;3;0;2;1;3;1;0;0;0;1;0;0;0
;;28;Withagen, P.C.M.;18;0;0;0;0;5;0;0;2;0;0;1;2;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;0;0
;;29;de Boer, W.T.;10;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0
2;SP (Socialistische Partij);;;2014;32;74;9;73;178;45;96;11;27;44;21;108;47;91;123;28;42;53;34;44;60;16;129;18;63;2;84;57;18;102;87;47;25;63;63
;;1;de Ridder, M.;986;12;37;2;36;100;25;49;5;15;20;12;59;23;48;68;17;20;31;17;23;37;8;56;7;26;1;43;18;7;36;35;21;9;33;30
;;2;de Groen, S.G.J.G.;58;0;3;0;2;7;0;3;0;1;2;1;5;1;2;3;2;2;1;1;1;2;0;1;0;1;0;1;3;0;4;2;1;0;3;3
;;3;Müller, G.J.H.;124;1;1;0;4;4;1;5;1;1;3;0;2;1;0;4;0;0;1;2;5;4;3;24;3;7;0;4;6;1;5;21;1;1;2;6
;;4;Kluin, P.J.;282;8;11;1;14;19;7;9;1;4;8;4;11;9;7;20;2;6;8;5;1;6;1;13;1;11;1;19;9;5;10;15;12;9;11;4
;;5;Verhoog, E.C.L.;87;3;4;1;1;3;1;3;2;2;4;1;7;2;5;7;1;1;3;1;2;2;0;3;0;0;0;1;6;0;7;2;3;3;2;4
;;6;Vallentgoed, T.R.;30;1;1;0;2;0;2;2;0;0;0;0;3;1;1;0;1;2;0;1;0;0;0;0;0;0;0;4;0;0;7;1;0;0;1;0
;;7;Müller, E.;82;1;0;1;3;6;0;7;1;2;0;1;1;1;2;6;0;2;4;3;1;3;0;10;4;1;0;3;6;0;8;3;0;0;1;1
;;8;van Dijk, D.;23;2;2;0;1;2;0;0;0;0;1;0;0;1;3;2;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1
;;9;Giesen, H.M.H.;26;0;2;0;0;9;0;0;0;0;0;0;0;2;0;3;1;3;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;2
;;10;Müller, G.J.N.;36;2;1;0;1;1;1;4;0;0;1;0;4;2;4;2;0;0;0;0;2;1;0;0;0;3;0;0;0;0;5;0;0;0;0;2
;;11;Oremus, E.G.M.;33;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;1;1;1;0;7;0;7;0;0;0;0;1;5;0;0;0;3
;;12;Kuiper, R.;7;0;0;0;0;3;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Baars, J.;24;0;2;0;0;3;0;0;0;0;0;0;3;0;7;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0
;;14;Berendsen, B.J.;14;0;0;0;0;5;0;2;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
;;15;Piek, C.L.M.;12;1;0;1;1;4;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;16;Bomhof-Bak, T.;11;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;2
;;17;Veldhuis, J.;19;0;1;0;1;0;0;3;0;0;0;0;0;1;0;1;0;1;2;0;2;0;1;1;0;0;0;0;0;0;4;0;0;0;1;0
;;18;van Gelder, A.C.G.;6;0;0;2;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Leeuw, L.H.;20;0;3;0;1;3;2;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0
;;20;ten Broeke, M.J.;134;0;4;1;6;6;5;5;1;0;4;1;8;3;9;2;1;0;2;1;4;3;1;13;1;5;0;7;7;5;9;3;6;3;4;4
3;Partij van de Arbeid (P.v.d.A.);;;2488;75;158;25;68;115;26;74;30;51;69;43;103;47;71;152;47;55;73;54;62;50;15;132;27;84;25;122;82;56;113;118;79;43;84;60
;;1;Bloem, J.;1121;29;69;10;34;58;13;38;6;19;24;27;40;24;43;80;17;22;36;18;35;17;4;63;7;35;11;39;30;17;61;60;39;13;45;38
;;2;Manders, F.J.G.M.;184;5;9;0;5;7;1;4;6;2;12;3;9;4;0;4;2;2;7;3;3;2;1;5;2;4;2;38;7;13;2;2;2;9;4;3
;;3;Moester, M.M.M.;485;16;36;7;14;21;3;14;6;12;17;6;16;3;12;20;11;12;15;9;10;10;6;25;5;20;6;18;15;15;22;23;20;12;12;16
;;4;Mehdi, T.;126;7;7;1;0;7;0;0;0;1;4;0;4;3;5;19;6;6;0;4;1;2;0;4;3;6;3;3;4;0;13;6;0;1;6;0
;;5;Bouma, H.L.A.;122;1;11;1;3;4;2;6;8;1;6;5;6;1;2;9;5;4;0;3;3;1;0;1;0;0;0;17;0;8;2;4;3;3;2;0
;;6;Ritzema, H.A.A.;119;4;6;2;1;3;2;1;2;2;1;2;2;3;1;6;1;4;5;9;5;12;1;6;2;7;3;2;10;1;1;5;2;1;3;1
;;7;Krommenhoek, H.;31;2;5;0;0;2;0;2;1;3;1;0;2;1;0;2;0;0;1;0;0;0;2;2;0;1;0;1;0;0;3;0;0;0;0;0
;;8;Prent, J.;16;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;2;0;0;0;4;0;1;0;0;0;0;0;0;3;0;1;0
;;9;de Heer, J.;16;0;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;3;0;1;0
;;10;Vermeulen, J.P.M.;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Dijkstra, N.N.W.;57;1;1;1;3;2;0;4;1;3;1;0;3;1;1;1;0;1;3;2;2;3;0;1;4;2;0;4;1;0;0;5;5;0;1;0
;;12;Jeurink, H.K.;19;1;1;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;1;0;1;0;2;1;0;0
;;13;de Geus, S.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
;;14;ter Horst, D.N.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Heitling, F.J.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;4;1;2;0;0;1;0;0;3;0;0;1;0
;;16;Pronk, M.;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hatzman, F.;14;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;2;2
;;18;Nikkels-Boerman, A.D.;34;2;1;0;0;1;1;1;0;0;0;0;17;0;2;0;0;0;2;0;1;0;0;2;0;1;0;0;0;0;0;3;0;0;0;0
;;19;Borgonjen, G.H.J.;22;3;4;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;1;2;0
;;20;Homans, S.P.;9;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Wolbert, A.G.;7;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;22;Hissink, H.W.;37;0;1;0;6;2;0;0;0;0;0;0;1;5;1;4;0;2;0;1;0;0;0;1;0;2;0;0;0;0;5;4;0;0;2;0
;;23;de Jonge, A.;30;2;2;1;0;1;1;0;0;0;0;0;1;0;4;3;0;0;3;1;0;0;0;3;1;1;0;0;2;0;0;1;0;2;1;0
4;Burgerbelang;;;3104;71;137;27;82;147;53;73;26;38;84;42;124;37;95;133;32;107;106;152;152;160;27;264;41;156;20;84;54;37;97;200;60;18;52;116
;;1;Verschure, H.J.M.;1399;30;65;14;55;48;9;35;11;18;53;16;58;28;48;56;11;46;56;61;68;76;13;109;15;60;5;45;21;25;47;77;27;10;26;57
;;2;Roerdink, M.;510;24;27;6;12;16;10;16;7;5;14;14;24;4;12;26;7;19;15;21;27;29;1;27;3;18;12;17;18;8;15;18;17;2;13;6
;;3;Boersbroek, P.A.C.P.;207;0;3;3;2;4;0;0;0;0;0;3;2;1;10;2;3;11;7;11;8;17;2;36;2;19;0;2;1;0;2;35;2;1;0;18
;;4;Garritsen, A.;226;2;8;0;4;7;2;6;1;5;6;0;3;3;9;11;5;15;14;34;25;1;4;9;5;5;0;6;2;0;13;15;1;1;3;1
;;5;Yildirim, E.;152;1;4;0;4;52;28;6;3;0;1;0;1;0;2;7;0;4;1;3;5;1;0;1;1;4;0;4;0;0;11;4;2;0;0;2
;;6;Bennink, A.J.;115;0;6;0;0;4;1;3;0;2;0;0;4;1;2;3;1;2;3;5;1;6;0;21;2;15;0;1;2;1;4;10;1;1;1;12
;;7;Siemes, M.G.S.;46;0;5;0;0;3;0;0;0;0;2;0;20;0;1;2;0;1;2;2;0;1;0;1;0;1;0;0;0;0;0;4;0;0;0;1
;;8;Sueters, R.C.M.;128;6;3;0;0;1;0;4;2;0;3;1;2;0;4;1;0;3;3;4;6;12;5;23;5;13;0;1;1;1;0;14;0;0;1;9
;;9;van der Velde, C.C.J.;78;0;3;0;3;2;0;0;0;0;1;0;0;0;1;5;0;0;1;1;2;11;0;13;1;12;0;0;2;0;2;14;0;1;0;3
;;10;van Wijk, K.A.;16;0;1;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;0;0;0;1;0;0;0;3;1
;;11;Oosterveld, H.;19;1;1;0;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;4;3;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0
;;12;Imhoff, W.H.;34;2;0;2;0;3;1;0;0;0;1;0;5;0;0;1;0;0;0;2;0;0;0;4;2;1;0;0;4;0;0;0;1;1;3;1
;;13;Verhoeve, F.T.D.;50;2;2;0;1;3;1;1;1;4;3;0;0;0;1;6;0;1;0;1;1;3;0;1;2;1;1;2;1;2;0;4;3;1;0;1
;;14;Poort, A.M.E.;31;1;1;1;0;2;0;0;0;0;0;0;2;0;3;1;3;2;1;1;1;1;0;6;0;0;1;0;1;0;1;2;0;0;0;0
;;15;Schriks, M.E.;93;2;8;1;1;1;1;1;1;2;0;5;1;0;1;12;2;3;3;2;3;1;1;11;2;6;1;5;1;0;1;3;5;0;2;4
5;D66;;;2254;77;139;28;46;44;22;28;53;54;67;33;86;25;36;96;29;62;67;78;86;74;24;149;23;139;32;109;104;23;58;137;80;18;43;85
;;1;ten Holder, Y.J.A.;1382;35;83;20;29;27;15;18;34;33;34;24;46;14;23;63;14;44;37;56;62;45;15;80;9;68;21;56;59;18;48;86;64;13;31;58
;;2;Sommer, B.W.;127;13;10;1;4;4;1;2;2;3;7;2;4;2;2;4;0;1;3;4;4;5;2;2;0;5;3;7;12;1;0;5;5;2;3;2
;;3;Elshof, M.;248;12;4;2;4;3;0;1;2;6;9;1;5;2;2;5;4;9;5;9;4;16;0;30;9;41;1;6;7;0;1;25;2;2;1;18
;;4;van der Hammen, P.F.;45;2;5;0;0;1;0;0;1;1;0;2;3;2;0;2;0;1;1;0;1;1;0;4;0;10;0;2;5;0;0;0;1;0;0;0
;;5;van Dijk, I.W.;59;0;6;5;2;2;0;2;1;1;4;0;2;0;1;4;1;1;2;0;1;0;0;0;0;0;3;5;5;1;1;7;1;0;1;0
;;6;ten Have, A.S.;31;0;2;0;0;0;0;0;0;0;1;0;0;1;0;5;4;3;3;0;1;2;0;2;0;2;1;2;1;0;1;0;0;0;0;0
;;7;Freriksen, M.M.;54;3;7;0;0;2;0;1;0;3;2;0;19;0;0;1;0;1;1;1;2;0;1;1;0;1;0;3;1;1;1;1;0;0;0;1
;;8;Slot-Freeve, M.M.;82;2;9;0;0;1;0;1;6;3;4;0;4;1;2;1;1;0;1;1;2;0;1;4;1;4;0;15;7;1;2;3;1;0;2;2
;;9;Rutten, R.G.M.;23;1;1;0;0;2;0;1;1;0;1;2;0;0;0;0;0;0;1;0;3;0;0;1;0;0;1;3;2;0;1;0;2;0;0;0
;;10;Wolf, Y.H.B.;25;2;1;0;2;1;1;0;1;0;1;1;0;0;0;0;1;0;2;4;3;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0
;;11;Özkan, S.;49;4;4;0;2;0;4;0;0;1;1;0;3;0;3;0;1;0;3;0;1;2;2;3;2;3;1;2;0;1;1;2;0;1;0;2
;;12;van der Linden, F.;19;2;1;0;0;1;1;0;1;2;1;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;2;2;0;1;0;0;0;0;0
;;13;Brouwer, H.;11;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0
;;14;van der Heiden, P.C.;11;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;2
;;15;Heyliger-Wolters, J.H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;4;1;2;0;0;1;0;0;1;0;0;0;0
;;16;Vos, B.M.W.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;3;0;0;0;0
;;17;Vrakking, M.J.J.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;18;Willeumier-Noordhoff, E.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;19;Koopmans, C.;10;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Dijk, C.L.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;1;0
;;21;Lammers, C.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Korenromp, T.H.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Hattink, M.J.M.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
;;24;Arkesteijn-van Willigen, M.J.;6;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Kupers, M.L.A.;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;0;0;1;0;1;0;0;2;0;0;0;0
6;VVD;;;2217;54;115;32;63;54;8;33;54;35;53;32;132;39;39;115;16;50;80;114;96;107;29;169;28;116;28;81;50;20;64;106;60;12;52;81
;;1;Werger, L.J.;1295;31;79;23;39;32;7;22;30;20;30;20;40;23;25;79;8;34;48;78;60;49;12;105;14;47;14;52;33;13;39;62;38;8;40;41
;;2;Lok, J.;330;7;10;1;7;13;0;6;8;1;8;8;78;6;2;16;3;7;13;10;8;15;6;5;6;12;6;14;9;3;8;13;9;1;2;9
;;3;Hissink, H.;215;3;12;1;0;3;0;1;2;3;7;1;6;2;0;5;1;4;6;8;11;19;7;37;2;23;1;4;1;2;4;17;2;1;3;16
;;4;Hulleman, H.J.;88;1;2;1;3;0;0;0;3;0;1;0;1;0;2;3;0;1;5;2;3;18;1;7;1;10;0;0;0;0;3;7;2;0;2;9
;;5;Koning, M.;99;3;5;0;4;0;0;1;2;1;5;2;2;4;2;6;2;3;2;8;3;3;0;6;2;7;2;5;4;2;4;1;3;1;4;0
;;6;Kossen, M.F.;54;5;0;2;2;2;0;0;4;2;1;0;2;2;2;1;0;0;1;3;3;1;1;3;3;2;2;0;0;0;5;1;3;0;1;0
