Verkiezing;;Gemeenteraad Lingewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lingewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige raadzaal;'t Koelhuis;De Valom (ma 14-03-2022);De Valom (di 15-03-2022);Gemeenschapshuis Huissen Zand;Medisch Centrum Loovelden;Sporthal De Brink 1;Sporthal De Brink 2;Theaterkerk;Cultureel centrum de Kinkel 1;Cultureel centrum de Kinkel 2;Gemeentehuis (ma 14-03-2022);Sporthal De Bongerd;De Klok Horeca (di 15-03-2022);De Klok Horeca (ma 14-03-2022);De Klok Horeca;S.K.C. De Leemhof;Sporthal Walburgen;Dorpshuis Angeren;Dorpshuis Angeren (di 15-03-2022);Ontmoetingscentrum Doornenburg;Ontmoetingscentrum Doornenburg (ma 14-03-2022);Schuttersgebouw;Dorpshuis De Tichel;Gemeentehuis (di 15-03-2022);De Valom;Mobiel stembureau
;;8;Peters-Bruger, M. W. L.;74;0;0;0;1;0;6;2;0;2;2;1;2;1;7;3;3;9;1;1;0;24;2;7;0;0;0;0
;;9;Rensen, A. R. J.;45;1;0;0;0;0;0;0;1;0;0;1;0;0;15;1;6;14;1;0;0;4;0;0;1;0;0;0
;;10;Kemperman, P. G. G.;43;3;0;1;2;0;0;1;0;0;6;3;2;7;0;1;0;1;3;0;0;0;0;0;3;10;0;0
;;11;Puplichuizen, M. S.;69;1;0;2;2;2;6;2;0;0;0;0;1;0;2;0;0;5;0;27;9;1;1;1;0;0;7;0
;;12;Vermeulen, I. B.;35;0;0;0;0;0;0;2;0;9;7;2;1;3;0;0;0;0;1;0;2;0;0;0;2;5;1;0
;;13;Jansen, R. A.;49;1;0;0;0;1;0;0;0;7;13;14;4;0;0;0;0;0;2;0;0;0;0;0;0;7;0;0
;;14;Sparnaaij, N.;37;0;0;0;0;0;1;0;0;1;0;0;8;1;4;1;14;6;0;0;0;0;1;0;0;0;0;0
;;15;Derksen, D. H. G.;25;1;1;0;2;0;0;0;0;8;2;2;0;3;0;1;0;1;0;0;0;0;0;0;1;2;1;0
;;16;van Engen, A. H. A. P.;21;0;0;0;0;0;0;0;0;6;5;3;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;17;Rasing, R.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;3;0;0;1;0;0;0
;;18;Ploeg, W. F.;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Wolff, G. S. M.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;1;2;0
;;20;Gijsman, R. N. A.;6;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;21;Jeurissen-Berends, W. J. M.;21;4;0;0;1;0;7;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0
;;22;Rijsemus, T. G. C. M.;6;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;23;Jansen, B. W. P.;11;0;0;0;0;0;0;0;0;1;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Hendriksen, J. G. W.;9;0;0;0;0;0;1;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;1;1;0
;;25;Witjes, H. W. M.;70;1;0;1;3;1;1;2;2;4;0;2;1;2;3;0;3;7;0;1;1;17;1;9;1;2;4;1
2;SP (Socialistische Partij);;;1661;98;28;39;55;32;82;88;73;180;74;108;72;79;48;44;46;92;8;53;24;61;22;19;87;83;53;13
;;1;Claassen, C.B.P.;1166;54;18;29;43;19;53;52;46;146;56;91;55;52;28;35;26;58;6;39;19;51;16;13;56;67;31;7
;;2;Claassen, B.J.A.;68;4;0;0;1;3;3;4;1;8;4;1;3;4;2;1;3;4;1;3;1;2;0;1;2;4;7;1
;;3;van 't Hullenaar, H.A.;51;3;1;1;1;1;1;0;1;15;3;3;3;3;0;1;1;4;0;1;0;1;1;0;1;4;1;0
;;4;Janssen, M.A.C.;63;2;1;0;3;0;0;3;1;6;7;5;5;15;3;0;0;3;0;0;1;0;1;1;1;4;1;0
;;5;Storms, M.C.M.;9;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0
;;6;Kock, P.J.W.;71;13;6;4;4;4;12;12;6;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;3;3
;;7;Rijnberg, P.M.M.;54;0;0;1;0;0;0;2;1;0;2;0;1;0;9;4;13;18;0;0;0;0;0;1;0;0;0;2
;;8;Houtzager, A.A.A.;14;3;0;0;0;1;2;1;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Rohde, S.N.;38;9;1;3;2;1;8;7;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;10;Reuvers, J.;9;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;0;0;1;0;1;0
;;11;Visser, J.N.L.;28;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;23;2;0;0
;;12;Peeters, P.M.M.;6;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;13;van 't Hullenaar-Spanbroek, A.J.G.;6;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0
;;14;Kaplan, S.;17;1;0;0;0;0;1;4;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;15;Prodbamrung-van de Weygaert, S.L.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;1;0;0;0;0
;;16;van Aalten, A.S.M.;10;3;0;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Bruijn, M.T.J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Frensen, C.G.M.;5;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;19;Zaunbrecher, F.J.T.;3;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Claassen, H.C.H.;12;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;2;1;0;0;1;0
;;21;Jelsma, R.L.;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Reijmers, B.J.;17;0;0;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;8;2;0;0;0;0;1;0;0
3;Lokaal Belang Lingewaard;;;3220;199;53;81;130;51;163;162;95;157;76;115;43;59;140;106;243;248;57;172;59;214;73;148;77;90;199;10
;;1;Sluiter, J.H.A.P.;994;121;23;55;68;25;75;85;51;41;37;36;14;16;19;12;24;43;5;42;15;25;5;12;21;15;106;3
;;2;Derksen, R.T.H.M.;480;11;0;4;2;1;6;4;1;12;2;2;2;1;68;54;112;121;24;4;0;14;2;5;15;3;9;1
;;3;Remerij, A.;341;9;1;2;10;3;21;17;11;26;6;17;6;6;5;7;2;9;5;93;36;4;0;7;11;11;15;1
;;4;Klaassen, J.H.L.;202;4;0;1;0;0;1;3;0;8;5;3;1;4;6;6;11;14;1;0;1;49;19;47;7;6;4;1
;;5;Rasing, S.A.G.;96;10;3;2;8;3;9;6;0;5;5;5;0;3;1;2;1;0;0;16;7;3;0;2;0;3;2;0
;;6;van Ditshuizen, C.H.;156;12;8;9;11;5;29;25;15;3;2;4;0;1;2;0;0;1;0;3;0;0;0;2;2;5;17;0
;;7;Rensen, J.J.C.;47;4;4;0;11;2;2;3;0;3;0;4;0;0;1;0;1;0;0;1;0;0;0;0;5;0;6;0
;;8;Minkhorst, H.;190;0;0;0;0;0;0;0;1;48;13;36;14;25;0;2;1;0;0;1;0;1;0;0;3;41;0;4
;;9;Geveling, B.;172;1;1;0;3;1;1;0;0;0;1;2;2;2;24;16;58;37;12;1;0;3;2;0;3;1;1;0
;;10;Joosten, J.A.W.;149;1;0;0;0;0;0;0;0;3;0;2;0;0;1;2;2;5;3;5;0;62;27;31;2;1;2;0
;;11;Bouwman, H.W.A.;91;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;36;16;32;1;0;0;0
;;12;van Onna, D.;65;9;3;2;5;2;11;6;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;19;0
;;13;Joosten, H.J.H.M.;25;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5;2;1;0;0;10;0;3;0;0;1;0
;;14;Witjes, S.;65;1;0;1;0;1;1;2;2;2;1;0;1;1;9;3;15;10;5;1;0;0;0;2;3;2;2;0
;;15;Hegeman, L.W.;10;0;0;3;3;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;van Groningen-Niels, H.W.M.;8;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;17;Wellink, J.P.A.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Jeurissen, J.H.H.;19;4;4;1;5;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;19;Joosten, G.J.T.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
;;20;Schrijver, P.J.;7;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;21;Huisman-te Boekhorst, C.H.C.M.;22;2;3;0;0;2;2;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
;;22;Hoogveld, J.A.J.G.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;5;0;0;0;0;0;0
;;23;van Dalen, B.G.H.;6;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Peeters, P.G.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;25;Suilen, P.W.H.A.;3;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Roelofs, B.J.A.M.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;27;Bouwmeister, G.H.M.;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Janssen, J.W.G.M.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;8;0
;;29;Hoogveld, J.J.J.M.;15;0;1;0;0;0;0;0;1;0;0;2;1;0;0;1;4;4;0;0;0;0;0;0;0;1;0;0
;;30;Bouwmeister-Bremer, M.J.;21;2;0;1;1;1;0;4;3;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0
4;CDA;;;1674;92;21;51;66;25;60;55;33;154;67;68;48;48;61;34;90;110;30;157;53;79;22;41;63;59;69;18
;;1;Slob, A.;710;52;13;25;34;14;16;26;14;75;29;29;24;10;32;13;35;45;3;27;12;47;13;29;25;29;29;10
;;2;Raes, B.H.L.;217;22;4;9;16;4;30;20;14;12;10;5;4;2;0;0;2;5;1;9;2;4;1;1;3;10;26;1
;;3;Arends, H.J.J.;118;5;1;1;7;0;2;0;0;1;0;1;1;3;0;0;4;0;1;57;23;4;1;1;0;2;1;2
;;4;Mettrop, A.;35;1;0;2;0;0;0;0;0;1;0;1;0;0;4;2;7;12;1;0;0;0;0;0;0;0;4;0
;;5;Groenenberg, E.;60;0;0;1;2;2;3;0;0;10;7;6;0;8;1;0;1;2;1;1;3;0;0;0;2;10;0;0
;;6;Wenting, W.T.H.;60;0;0;0;0;0;0;0;0;22;2;8;8;11;0;0;0;0;0;0;0;2;0;0;1;3;0;3
;;7;Milder, N.W.G.;145;1;0;1;0;0;0;0;0;2;2;1;1;4;18;15;30;35;15;0;0;13;2;2;3;0;0;0
;;8;Borgers, W.T.M.;40;0;0;2;0;0;0;0;0;14;5;4;3;4;0;0;1;0;0;0;0;0;0;0;4;3;0;0
;;9;Giesen, J.G.J.;102;0;0;1;0;1;0;0;1;1;1;4;0;4;1;0;1;3;3;55;10;1;2;5;3;0;5;0
;;10;Karimi, F.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0
;;11;Joosten, C.;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;1;19;1;0;1
;;12;van Workum, T.A.M.;17;0;0;0;2;0;3;0;0;3;0;0;1;0;0;2;3;0;2;0;0;0;1;0;0;0;0;0
;;13;Kamps, M.J.W.;15;4;2;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Janssen, D.H.W.E.;5;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Oosterink, J.G.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;2;0;0;0;0;0;0
;;16;Leenders, J.H.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0
;;17;Groenen, H.M.P.;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;18;van Olst, W.J.;14;0;0;0;0;0;0;0;0;4;4;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;Lammerts van Bueren, Y.S.S.;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Leenders-van Heck, J.J.A.M.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0
;;21;Balk, F.A.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
;;22;Willemsen, T.A.J.;14;2;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0
;;23;van Alst, N.G.M.;7;0;0;0;0;1;0;0;0;1;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
;;24;Visser, T.G.M.;5;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Palstra, J.T.M.;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Boeijen, P.J.M.;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;27;Gertsen, H.G.;11;4;0;1;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Gerritsen, P.F.A.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Broex, N.J.G.;4;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Heck, F.A.S.T.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;31;Wismans, J.H.C.;11;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;2;0;0;0;1;0;0;3;0;0;0
;;32;Prent, J.;9;0;0;2;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;GROENLINKS;;;2553;169;44;117;104;38;221;177;158;287;131;189;60;112;40;32;60;82;20;62;14;49;15;42;84;122;122;2
;;1;Sloot, I.;1232;104;26;64;73;28;147;119;92;107;43;52;10;30;17;8;24;47;7;40;9;23;14;19;24;26;78;1
;;2;Crijns, C.C.N.;320;5;2;4;2;1;6;5;5;68;31;57;19;44;1;1;3;5;2;4;0;2;0;4;12;30;6;1
;;3;Duiven, L.G.;315;12;2;18;8;2;7;7;9;54;34;56;15;16;2;1;3;5;0;3;2;7;0;2;6;29;15;0
;;4;Zonnenberg, T.;138;21;2;12;8;5;17;15;14;8;2;2;1;2;0;1;3;3;0;2;0;1;0;1;3;1;14;0
;;5;van Herwijnen, F.;87;15;3;7;3;1;16;9;14;4;0;1;1;1;1;1;0;0;0;2;1;1;1;1;0;3;1;0
;;6;Nas, J.C.E.M.;54;1;0;0;2;0;1;0;1;10;8;9;6;5;0;0;0;1;1;1;0;0;0;1;1;6;0;0
;;7;Verlaan, C.M.;83;1;0;0;0;0;2;1;0;2;2;1;0;1;14;12;13;16;3;3;1;5;0;4;0;1;1;0
;;8;Kitzen, M.A.M.;7;1;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Kroeze, N.C.M.;44;0;0;0;3;1;1;1;0;2;1;2;0;1;2;5;4;0;0;1;0;7;0;8;4;0;1;0
;;10;Hagemeier, N.E.M.;44;0;0;0;0;0;2;1;2;3;1;2;1;1;0;0;0;1;0;0;0;0;0;0;30;0;0;0
;;11;de Koning, O.B.W.;22;0;0;0;0;0;0;1;1;3;1;2;2;1;0;0;1;1;0;0;0;0;0;0;0;9;0;0
;;12;Harskamp, I.;35;4;4;1;0;0;5;4;8;1;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;0;2;0
;;13;van der Torren, P.T.;10;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;2;0;0;0;0
;;14;Egging, B.;4;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Heijden, S.M.;16;0;1;2;0;0;4;3;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
;;16;Duifhuizen, A.J.M.;26;0;0;0;0;0;0;0;0;10;2;1;2;4;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;;17;Brûens, J.E.M.;16;0;0;0;0;0;2;0;0;0;0;0;0;0;2;3;4;3;1;0;0;0;0;0;0;1;0;0
;;18;Hendriks, C.J.;14;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0
;;19;van Leeuwe, C.M.;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Nooij, R.J.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hoes, E.A.;12;1;0;0;3;0;1;1;1;1;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0
;;22;Geuze, F.I.;5;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;23;Arbouw, F.N.;5;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;van Kol, J.C.J.T.M.;11;0;0;0;0;0;0;0;0;4;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;25;Vanweersch, N.J.W.M.;9;1;2;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;26;de Haan, M.M.;9;0;0;0;2;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;27;Eeuwes, M.T.M.;12;0;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0
;;28;Crebas, E.C.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Goldschmeding, D.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Rauschenberg, H.;14;0;0;8;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
6;B06;;;1713;109;57;50;79;30;122;83;72;132;52;58;29;48;27;32;50;64;6;46;12;98;18;57;184;67;128;3
;;1;Hegeman, P.A.T.W.;651;75;36;33;49;18;75;60;45;24;18;15;6;10;5;7;11;10;0;19;4;10;0;4;15;16;86;0
;;2;Tiggers, E.J.;237;4;6;0;1;1;4;2;0;72;17;29;11;30;0;0;1;0;0;5;2;0;0;1;22;24;5;0
;;3;Joosten, H.W.J.;124;0;0;1;0;0;3;3;1;6;7;5;0;1;1;7;0;7;0;1;0;0;0;0;68;12;0;1
;;4;Geurtz, P.B.H.;80;1;0;0;0;0;1;0;0;0;0;0;0;2;9;11;15;25;5;2;0;4;0;1;4;0;0;0
;;5;Welk van der, J.H.M.;167;2;5;1;0;0;2;0;2;1;0;0;0;0;6;1;2;5;0;1;0;80;13;41;3;2;0;0
;;6;Wening, E.A.T.;96;6;3;4;7;1;10;7;9;4;0;2;2;0;0;0;1;2;0;11;6;0;0;3;2;1;13;2
;;7;Appeldoorn van, R.H.H.;26;2;0;0;1;3;6;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;6;0
;;8;Leissner, T.A.H.;100;1;0;0;2;0;0;0;1;13;2;2;0;2;0;2;4;3;0;1;0;0;0;2;62;1;2;0
;;9;Burgers, A.H.M.;19;1;0;0;0;0;3;0;2;0;3;1;0;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0
;;10;Janssen, M.J.W.M.;18;1;0;0;0;0;0;0;0;5;1;2;1;3;0;2;0;1;0;0;0;0;0;0;0;2;0;0
;;11;Roelofs, J.T.W.M.;45;9;2;7;6;4;2;3;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;7;0
