Verkiezing;;Gemeenteraad Renkum 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Renkum;;;;;;;;;;;;;;;;;;;;
Nummer;;0274;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gymzaal Van Spaenweg;Vredebergkerk;Parkflat De Valkenburcht;Ontmoetingskerk;Ons Middelpunt;Sporthal Doorwerth;Gymzaal Wolfheze;Kerkje op de heuvel;Serviceflat Hoog Heelsum;Broedplaats;MFC Doelum;Huis van Renkum;Mobiel stembureau;Gemeentehuis (maandag);Gemeentehuis (dinsdag);MFC Doelum (maandag);MFC Doelum (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;6861 GG;6862 XH;6862 EB;6861 AJ;6865 WC;6865 GB;6865 CZ;6874 AJ;6866 NM;6871 ED;6871 DD;6871 JK;6871 ZA;6874 AD;6861 GG;6861 GG;6871 JK;6871 JK
;opgeroepenen;;;25857;1920;1967;1820;1620;1780;1524;1761;1493;1535;1837;2114;1880;2124;2482;0;0;0;0
;geldige stempas;;;14148;1717;781;846;588;828;936;584;694;723;630;351;1122;1016;105;801;1124;570;732
;geldig volmachtbewijs;;;1583;221;103;87;72;102;103;56;72;78;65;44;154;110;2;63;128;54;69
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15731;1938;884;933;660;930;1039;640;766;801;695;395;1276;1126;107;864;1252;624;801
;geldige stembiljetten;;;15652;1926;880;928;654;924;1033;637;759;800;688;393;1272;1118;107;865;1247;622;799
;blanco stembiljetten;;;54;7;4;4;4;4;2;2;3;4;2;2;3;8;0;0;4;1;0
;ongeldige stembiljetten;;;28;5;0;1;1;2;4;1;3;0;5;0;1;0;0;0;1;1;3
;aangetroffen stembiljetten;;;15734;1938;884;933;659;930;1039;640;765;804;695;395;1276;1126;107;865;1252;624;802
;meer stembiljetten dan toegelaten kiezers;;;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;geen verklaring;;;5;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;2961;421;255;223;70;177;171;104;124;146;102;54;227;210;21;176;254;74;152
;;1;Vink, E.L.;1803;277;168;160;53;85;74;52;63;82;66;30;127;122;18;112;196;39;79
;;2;Mergen-Metz, N.L.;144;12;4;7;5;18;20;6;6;13;4;3;6;7;1;18;7;5;2
;;3;Jansen, L.A.;136;8;4;4;2;17;30;8;9;7;10;3;7;7;0;8;6;5;1
;;4;Engelsma, S.R.E.;229;49;24;21;3;9;8;7;7;17;4;3;21;17;0;13;15;6;5
;;5;van Seters, I.;54;7;4;4;2;9;4;3;2;0;1;3;2;3;0;3;2;3;2
;;6;Miedema, E.H.;114;2;2;0;0;0;0;0;3;4;4;5;27;28;0;1;2;5;31
;;7;Biemans, M.;78;3;3;3;2;6;10;19;1;5;2;1;6;7;0;3;3;0;4
;;8;van den Berg, M.;76;13;11;3;1;4;3;4;4;3;3;0;6;6;0;3;3;3;6
;;9;de Roo, C.B.B.;30;4;3;3;2;0;4;0;2;1;0;1;0;1;0;5;1;0;3
;;10;Heitink, Y.M.;31;8;5;6;0;3;1;1;0;0;0;1;1;0;0;1;2;2;0
;;11;Ruwhof, A.D.;18;3;0;0;0;3;2;2;0;0;1;1;1;0;0;2;1;1;1
;;12;van Uitert, D.H.;12;4;2;3;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
;;13;Köhler-Hoegen, E.H.;33;1;1;1;0;17;6;2;0;0;0;1;2;0;0;1;1;0;0
;;14;Berkelder, J.;30;1;1;1;0;0;1;0;22;1;0;0;0;0;1;1;1;0;0
;;15;Mekking-Poel, M.;18;1;6;1;0;1;3;0;0;0;1;0;0;0;0;0;1;0;4
;;16;Meeuwissen, M.A.T.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hanemaaijer, M.H.;10;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0
;;18;Boon, H.J.;18;0;1;0;0;0;0;0;0;2;0;2;4;2;0;0;0;1;6
;;19;van Gerwen, M.H.F.M.;8;4;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
;;20;Driessen, P.M.J.;17;6;1;1;0;0;2;0;2;0;1;0;0;0;1;1;2;0;0
;;21;Rodenburg, T.B.;21;2;0;0;0;1;0;0;0;9;1;0;3;2;0;1;0;0;2
;;22;Erkens, C.L.M.;14;0;0;0;0;1;0;0;0;0;0;0;1;5;0;0;1;3;3
;;23;de Roo, C.B.;17;4;1;1;0;0;0;0;2;0;2;0;2;0;0;1;4;0;0
;;24;Maouche, J.;48;8;11;3;0;3;3;0;1;0;2;0;9;2;0;1;2;0;3
2;GemeenteBelangen Renkum;;;5288;480;209;223;193;345;433;190;276;266;291;161;548;443;33;239;344;286;328
;;1;van Bentem, C.D.;2095;201;80;92;72;180;281;124;68;107;107;50;148;138;15;100;153;88;91
;;2;Bartels, T.H.J.;846;27;15;20;20;23;27;12;11;49;64;63;122;150;2;16;24;97;104
;;3;Velthuizen, O.P.;556;14;4;5;2;17;15;8;3;33;63;28;155;83;0;9;6;46;65
;;4;Janssen, P.G.;261;65;35;29;22;1;2;5;7;3;5;1;4;3;0;26;48;2;3
;;5;Modderkolk, T.N.H.;112;4;2;2;1;3;4;1;3;34;15;1;14;7;0;4;1;5;11
;;6;Jansen, M.;265;68;18;32;20;2;8;0;9;2;3;0;8;7;0;29;51;3;5
;;7;Litjens, Y.J.E.M.;112;6;2;2;5;29;29;8;4;0;4;1;1;2;1;3;4;6;5
;;8;Huizinga, F.R.;100;19;22;7;6;4;2;4;3;7;0;0;2;4;0;12;8;0;0
;;9;de Kruijf, J.;134;5;2;2;2;7;9;2;9;14;16;6;25;12;0;2;3;6;12
;;10;van der Straaten, J.W.;90;28;8;13;17;0;2;1;0;1;0;0;0;0;0;8;12;0;0
