Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportaccommodatie ‘t Timpke;Sportzaal Noord;Wijkgebouw De Koppel;Dorpshuis De Zunnekamp;Dorpshoes Gelster;Kulturhus 't Stieltjen;Sportzaal bij de Kerst Zwartschool;Zwembad De Meene;OBS De Driesprong;Café-Restaurant De Tapperij;Zalencentrum de Huve;De Oude Mattheüs;Voormalige RK Basisschool De Regenboog;De Pickerhal kantine;AvB Sports / Voormalige Hemstea Kerk;Centrum d'n Hof;Sporthal de Sonders (zaal);Kulturhus Beltrum;Grote Kerk;Van Gellicumzaal;Natuurpark Kronenkamp;Sportzaal Oranjelaan;De Olde Mölle;Dorpsaccommodatie Rietmolen;Dorpshuis 't Haarhoes;De Pickerhal;Kulturhus Ruurlo;Gemeentehuis (14/3);Gemeentehuis (15/3);Zalencentrum de Huve (14/3);Zalencentrum de Huve (15/3);Natuurpark Kronenkamp (14/3);Natuurpark Kronenkamp (15/3);Kulturhus Ruurlo (14/3);Kulturhus Ruurlo (15/3)
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;47;48;49;50;51;52;53;54
Postcode;;;;;7271 AX;7271 BT;7271 XH;7271 GN;7274 AX;7275 AH;7273 SL;7261 GH;7261 HV;7261 SN;7261 BB;7151 BD;7151 BD;7151 XV;7151 BW;7152 BD;7157 AL;7156 MH;7156 MG;7161 DP;7161 CR;7161 HR;7161 CT;7161 MH;7165 AL;7161 MX;7151 BW;7261 NL;7271 AX;7271 AX;7151 BD;7151 BD;7161 HR;7161 HR;7261 NL;7261 NL
;;5;Hofman, R.J.P.;49;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;6;4;8;2;5;0;1;1;0;0;1;0;3;4;7;3;0
;;6;Pelle, H.;194;1;1;0;1;0;1;3;0;0;0;2;17;10;33;20;27;5;3;4;0;1;2;0;3;0;0;13;3;0;1;12;28;0;0;3;0
;;7;Achterhuis, K.R.;109;4;0;3;1;2;1;2;1;0;2;1;5;7;9;5;7;6;0;2;2;2;0;1;2;0;1;12;2;0;0;7;14;0;2;2;4
;;8;van Eijkel Brouwer-Janszen, S.;82;9;7;17;19;3;2;3;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;9;0;0;0;1;1;2
;;9;Fleischeuer, M.R.;78;0;0;0;1;0;0;0;7;2;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;1;0;0;0;0;0;10;13
;;10;Sium, M.;18;0;1;0;0;0;0;0;0;0;2;0;1;3;8;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Atema, H.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0
;;12;Vogel, R.;13;0;0;0;4;4;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;13;ten Berge-Tukker, J.T.;6;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Konijnenberg, H.M.;15;3;2;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;Bakker, E.;8;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;16;Gesink, H.W.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Meijerink, D.;15;0;1;1;0;0;1;0;0;0;0;0;0;1;3;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0
;;18;Schulp, M.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Wormgoor, G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Bos, A.;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0
6;GROENLINKS;;;1433;71;31;48;54;51;30;28;52;10;31;79;47;45;42;33;66;90;5;16;37;31;17;23;37;19;19;31;71;40;35;37;53;9;27;48;70
;;1;Eisink-Weg, A.;870;40;15;28;36;41;26;18;47;9;26;58;23;20;20;15;28;47;2;13;19;14;8;5;23;14;12;14;48;23;15;20;29;6;12;40;56
;;2;Morren, L.;93;19;8;9;13;3;2;2;0;0;0;3;0;1;1;1;2;0;1;0;1;0;0;1;2;0;0;0;3;3;9;3;2;0;1;3;0
;;3;Duin, P.;145;3;0;8;1;2;1;3;2;0;3;2;1;1;4;0;10;1;0;3;13;13;6;12;11;3;3;1;6;4;6;2;3;3;10;2;2
;;4;Hulshof, H.J.A.;115;2;0;0;0;0;0;0;0;0;0;3;13;15;10;9;16;5;2;0;0;1;3;1;0;1;0;9;2;3;0;8;11;0;1;0;0
;;5;Lenselink, J.;13;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;3
;;6;Zonneveld, G.J.W.;11;1;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
;;7;Sampiemon, A.H.;32;1;1;1;1;2;0;2;1;1;1;4;0;1;0;0;0;2;0;0;0;0;0;1;0;1;2;1;3;2;0;0;0;0;0;2;2
;;8;Bokhoven, T.;10;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;1
;;9;Plooij, A.R.;5;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Loman, B.P.;12;1;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
;;11;Jansen, P.F.;5;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Karnebeek, J.E.M.;47;1;2;0;0;0;1;0;0;0;0;1;5;5;4;4;6;1;0;0;1;0;0;2;0;0;1;4;0;0;0;2;4;0;1;0;2
;;13;Sieben, H.M.;55;0;0;0;0;0;0;0;0;0;0;0;4;0;3;3;4;33;0;0;2;0;0;0;0;0;0;2;0;0;0;1;2;0;1;0;0
;;14;Wierda, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3
;;15;Knuvers, P.T.M.;13;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;1;0;1;0;1
7;OBL (Ondernemend Berkelland);;;3984;111;79;121;164;171;74;77;92;41;157;134;148;99;186;130;174;163;111;177;126;77;144;107;143;94;137;127;146;35;64;38;114;49;84;36;54
;;1;Morsink, B.H.J.M.;1547;33;26;43;46;33;15;25;33;15;57;49;59;23;71;46;50;93;51;77;53;35;67;68;72;61;50;52;60;12;22;15;42;21;41;17;14
;;2;Daalwijk, E.;910;37;19;38;60;123;18;18;27;17;63;32;18;10;23;12;13;20;27;42;17;18;20;8;30;9;52;11;39;7;19;1;9;8;13;13;19
;;3;van de Steeg, E.M.;196;12;13;7;31;6;2;10;2;1;3;2;3;2;5;4;4;1;6;16;7;0;1;0;2;3;3;1;16;7;15;0;7;0;2;0;2
;;4;Winters, B.R.;203;5;7;11;6;0;0;2;4;0;9;5;2;6;5;4;9;2;4;6;21;12;27;9;14;2;6;3;3;0;2;0;0;6;8;0;3
;;5;Geerdink, W.A.M.;47;3;0;3;1;0;1;1;0;0;1;0;0;0;2;1;0;1;1;2;2;2;7;5;6;0;3;0;0;0;0;0;0;2;3;0;0
;;6;Morsink, I.;192;3;1;4;4;1;1;2;1;1;5;1;7;4;7;6;7;8;4;3;15;8;14;11;13;8;9;7;1;4;1;3;3;9;14;1;1
;;7;Langelaar, G.;49;1;1;0;1;0;0;10;0;0;0;3;2;1;4;4;2;1;2;2;1;0;0;0;1;2;1;0;1;2;1;0;5;0;0;0;1
;;8;Pragt, E.C.;60;5;6;3;9;1;0;1;1;0;3;5;1;0;2;0;1;3;0;1;2;1;0;2;0;2;0;1;5;0;2;0;1;0;0;0;2
;;9;van der Holst, A.G.M.;259;1;0;4;0;0;0;0;0;0;1;0;23;30;30;25;45;11;4;14;1;0;1;1;0;0;0;25;1;0;0;14;28;0;0;0;0
;;10;Geerdink, L.R.;129;3;4;7;2;6;37;7;1;1;0;1;7;1;1;1;2;7;7;6;3;0;2;1;2;2;8;0;2;0;2;1;2;1;0;0;2
;;11;Beusink, B.B.J.;78;0;0;0;0;0;0;0;0;0;0;1;10;11;11;9;9;4;2;2;1;0;0;0;0;0;2;6;0;0;0;2;8;0;0;0;0
;;12;Jansink, R.;172;0;1;0;3;0;0;1;0;0;0;0;16;11;25;18;31;12;2;4;2;0;3;2;1;4;1;21;1;0;0;2;8;0;3;0;0
;;13;Roosenboom, R.G.J.E.;142;8;1;1;1;1;0;0;23;6;15;35;0;0;0;0;1;0;1;2;1;1;2;0;2;1;2;0;17;3;0;0;1;2;0;5;10
8;Berkellandse Burgerpartij;;;1363;46;28;61;42;43;13;23;65;25;48;46;50;29;54;31;76;28;12;35;52;32;45;33;35;15;18;35;62;30;39;19;53;33;20;35;52
;;1;Zappeij, J.J.W.;804;24;19;43;26;28;3;18;52;24;48;26;24;17;25;18;37;17;11;23;26;13;13;14;15;7;8;23;39;16;29;9;21;13;8;27;40
;;2;Jonkers, E.L.;137;1;1;1;1;1;0;0;0;0;0;3;6;1;1;0;3;1;0;1;15;12;26;15;14;2;4;0;2;0;2;0;3;12;6;2;1
;;3;Ravnjak - Brockötter, C.M.B.;157;4;2;4;1;4;0;2;0;0;0;2;9;6;14;10;23;5;0;3;2;2;3;1;2;3;1;9;8;2;1;5;20;4;1;3;1
;;4;Westra, G.A.;25;0;0;1;0;4;7;2;0;0;0;1;0;0;1;0;0;1;0;1;2;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;5;Lokerse - Dorrestijn, E.J.;93;4;1;0;1;3;3;0;0;0;0;1;9;2;7;2;10;3;1;1;6;1;2;1;2;1;4;2;1;2;4;5;7;4;1;2;0
;;6;Beekmann, F.W.J.;33;2;0;0;0;1;0;0;7;1;0;4;0;0;0;0;1;0;0;1;1;1;0;0;2;0;0;1;3;1;0;0;1;0;0;1;5
;;7;van Ooijen, A.J.M.;54;10;5;12;13;2;0;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0
;;8;van Bommel, J.W.;27;0;0;0;0;0;0;0;4;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;5
;;9;van Eeuwijk, L.M.J.;16;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;2;0;2;1;0;0;1;0;0;0;0;4;0;0
;;10;Goeree, A.;17;1;0;0;0;0;0;0;0;0;0;1;2;2;5;1;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
