Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportaccommodatie ‘t Timpke;Sportzaal Noord;Wijkgebouw De Koppel;Dorpshuis De Zunnekamp;Dorpshoes Gelster;Kulturhus 't Stieltjen;Sportzaal bij de Kerst Zwartschool;Zwembad De Meene;OBS De Driesprong;Café-Restaurant De Tapperij;Zalencentrum de Huve;De Oude Mattheüs;Voormalige RK Basisschool De Regenboog;De Pickerhal kantine;AvB Sports / Voormalige Hemstea Kerk;Centrum d'n Hof;Sporthal de Sonders (zaal);Kulturhus Beltrum;Grote Kerk;Van Gellicumzaal;Natuurpark Kronenkamp;Sportzaal Oranjelaan;De Olde Mölle;Dorpsaccommodatie Rietmolen;Dorpshuis 't Haarhoes;De Pickerhal;Kulturhus Ruurlo;Gemeentehuis (14/3);Gemeentehuis (15/3);Zalencentrum de Huve (14/3);Zalencentrum de Huve (15/3);Natuurpark Kronenkamp (14/3);Natuurpark Kronenkamp (15/3);Kulturhus Ruurlo (14/3);Kulturhus Ruurlo (15/3)
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;47;48;49;50;51;52;53;54
Postcode;;;;;7271 AX;7271 BT;7271 XH;7271 GN;7274 AX;7275 AH;7273 SL;7261 GH;7261 HV;7261 SN;7261 BB;7151 BD;7151 BD;7151 XV;7151 BW;7152 BD;7157 AL;7156 MH;7156 MG;7161 DP;7161 CR;7161 HR;7161 CT;7161 MH;7165 AL;7161 MX;7151 BW;7261 NL;7271 AX;7271 AX;7151 BD;7151 BD;7161 HR;7161 HR;7261 NL;7261 NL
;;7;Slutter, A.;169;18;18;22;43;5;0;5;2;0;3;0;0;0;0;1;3;0;2;3;1;0;2;0;0;1;1;1;5;12;11;2;4;0;0;1;3
;;8;Winkelhorst-Nienhaus, C.B.M.;174;0;1;1;0;0;0;0;0;0;0;0;5;6;0;6;4;138;0;0;1;0;0;0;0;1;0;3;0;0;0;1;6;0;1;0;0
;;9;Klein Braskamp, B.;159;10;9;3;6;9;97;0;1;0;0;0;1;1;0;2;1;0;0;0;1;2;1;0;0;0;6;1;0;3;4;0;1;0;0;0;0
;;10;de Ruiter, G.W.;98;4;1;1;2;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;9;10;7;8;18;4;12;0;1;3;2;0;0;5;5;0;0
;;11;Groot Zevert, A.F.L.;424;8;6;2;3;0;0;2;3;0;13;0;2;1;2;0;2;4;168;186;0;1;0;0;2;0;2;3;2;1;0;1;3;1;0;0;6
;;12;Hoftijzer, C.;243;0;2;0;1;0;0;4;0;0;8;0;31;20;27;15;45;25;0;0;0;2;0;0;0;2;0;20;2;1;2;4;31;0;1;0;0
;;13;Oostendarp, P.;52;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;4;4;9;10;0;4;0;0;0;2;0;0;4;4;0;0
;;14;Meijerink, R.;58;3;0;1;0;1;0;35;0;0;0;0;2;0;2;0;0;1;0;0;1;1;2;0;2;0;0;2;1;1;2;0;0;1;0;0;0
;;15;Podde, A.H.;39;6;3;10;3;2;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;3;0;1;0;0;0;0
;;16;Dijkman, M.;49;1;0;0;0;0;0;0;8;3;12;5;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;4;1;0;0;1;0;0;3;6
;;17;ten Beitel, A.H.;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;3;0;66;0;0;1;0;1;0;0;0;0;0;0
;;18;Kolbeek-Goncharova, N.S.;20;0;0;0;0;0;0;1;0;0;0;0;3;1;1;1;4;1;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0
;;19;Schot, J.;93;0;0;0;0;0;0;0;0;0;0;0;14;5;4;14;19;4;2;0;0;1;0;0;2;0;0;11;1;0;0;2;14;0;0;0;0
;;20;Oltvoort, B.W.;18;0;2;3;1;0;4;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
;;21;te Raa, G.A.;55;0;0;0;0;0;0;1;0;0;0;0;3;5;13;5;12;4;1;0;0;0;0;0;0;0;0;1;0;0;0;5;5;0;0;0;0
;;22;Bos, S.H.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Koens, A.;6;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Heutinck, M.T.H.J.;56;1;1;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;18;28;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;25;Cornelissen-Nijenhuis, J.M.E.;31;0;0;0;0;0;0;0;2;1;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;5;4
;;26;Bolster-ter Woerds, A.G.M.;22;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0
;;27;Gunnewijk-Veer, A.A.M.;44;0;0;0;2;0;0;0;0;0;3;0;0;0;0;2;1;1;9;20;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1
;;28;Kasteel, H.A.J.;58;1;0;0;0;0;0;0;12;1;5;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;6;6
2;Gemeentebelangen Berkelland;;;2071;185;119;166;192;40;29;38;65;21;27;105;48;44;66;34;54;77;8;17;61;59;38;54;37;9;37;33;95;55;73;27;39;18;25;26;50
;;1;Bosman, H.J.;653;73;43;47;54;16;6;12;13;5;8;30;22;8;15;15;16;8;4;13;24;17;16;18;16;5;11;11;14;26;27;9;15;4;11;9;12
;;2;van Dijk, I.;247;2;4;5;9;4;0;7;23;10;13;40;6;3;3;0;1;1;2;0;2;3;3;6;2;1;1;3;45;1;2;1;3;3;0;14;24
;;3;van de Esschert, R.;152;17;8;35;28;4;1;4;4;1;0;0;2;0;3;1;2;3;0;0;2;3;0;5;1;0;1;0;3;12;11;0;0;1;0;0;0
;;4;Hulshof, G.H.P.;141;8;7;8;1;3;2;5;1;0;0;0;0;1;1;0;4;1;0;1;13;16;11;9;9;2;21;1;3;1;0;1;1;5;5;0;0
;;5;van Bijsterveld, D.M.M.;139;14;12;24;35;5;0;6;1;0;0;1;0;0;2;2;0;0;1;1;5;2;0;1;2;0;2;2;1;4;10;1;3;0;2;0;0
;;6;Kuenen-Berentsen, D.J.G.;101;2;0;3;0;0;0;0;0;0;0;0;5;4;7;1;3;62;1;0;1;1;0;2;0;0;0;4;0;0;0;3;1;1;0;0;0
;;7;van der Stelt, P.A.;23;7;0;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0
;;8;Pot, A.A.H.;57;13;6;11;5;0;1;0;0;1;0;2;0;1;2;0;0;0;0;1;1;1;0;1;0;0;0;1;4;1;3;0;0;1;0;1;0
;;9;Siebers, H.H.;18;1;0;2;3;4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0
;;10;Stoltenberg, A.G.;23;0;2;0;0;0;18;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Terleth, C.;13;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0
;;12;Kuijk, M.E.M.;125;1;0;0;0;0;0;1;0;0;0;2;12;19;24;8;20;1;0;0;1;2;1;2;1;0;0;9;0;0;0;5;12;2;2;0;0
;;13;Meulenveld, P.;160;21;20;8;20;0;0;0;18;4;4;17;0;0;0;2;1;0;0;0;2;4;2;0;0;0;0;0;17;0;6;1;1;0;0;0;12
;;14;Ordelman, H.J.;40;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;7;7;5;9;3;0;0;0;0;0;0;0;0;1;4;0;0
;;15;Kion, A.J.;25;0;0;0;0;0;0;0;0;0;0;0;1;4;6;1;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;5;3;0;0;0;0
;;16;Pot-Klumper, J.A.;39;4;6;3;9;3;0;0;0;0;0;1;0;1;1;2;3;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0
;;17;Garritsen, I.S.;12;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Ribbers, A.;103;19;10;11;16;0;0;0;3;0;2;11;0;3;0;1;2;0;0;0;3;2;0;0;0;1;1;0;8;5;3;0;0;0;0;0;2
3;D66;;;3482;83;71;82;92;87;41;48;88;33;34;102;121;80;102;91;168;68;22;31;206;200;194;230;192;43;88;64;108;46;73;74;112;114;152;51;91
;;1;Boer, J.B.;2008;38;37;46;60;40;23;33;23;8;15;40;65;37;39;53;83;44;10;19;154;153;136;172;132;27;63;16;37;30;36;45;58;83;109;16;28
;;2;ter Braak, R.J.;390;13;9;7;6;7;10;5;5;1;6;10;11;11;8;9;9;10;3;4;29;19;22;21;28;0;14;12;12;9;7;5;5;18;29;4;12
;;3;Berends, M.J.H.;244;1;1;0;1;2;1;1;2;0;0;1;29;24;35;20;43;2;0;0;2;2;3;1;1;0;1;27;1;0;1;13;25;2;1;1;0
;;4;van der Noordt, J.;189;4;0;0;1;0;0;0;27;20;6;35;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;40;1;1;0;0;0;0;17;35
;;5;Somsen, D.;92;0;1;2;1;0;0;0;0;0;0;0;8;3;6;5;26;4;1;0;0;2;1;0;3;0;0;3;0;0;0;10;16;0;0;0;0
;;6;ten Berge, F.H.G.;49;2;0;2;1;31;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;1;0;3;0;0;0;0;0;2
;;7;Leferink, P.W.M.;166;4;2;4;1;2;4;4;1;0;0;2;2;4;9;3;4;3;1;1;10;18;19;21;9;2;4;2;2;1;2;1;5;8;8;0;3
;;8;de Brouwer, J.J.M.;25;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;5;2;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
;;9;Voordouw, J.G.;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;4;1;11;0;0;0;0;0;1;0;0;0;0;0;0
;;10;van Lanschot, M.L.;88;2;2;1;3;1;0;0;25;2;6;9;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;10;0;2;0;0;0;0;11;9
;;11;Heutinck, P.P.M.;85;14;12;14;10;1;2;0;2;0;0;3;0;0;2;0;0;0;2;4;0;1;0;0;1;0;0;1;0;3;12;0;0;0;0;1;0
;;12;Daale, H.H.;7;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0
;;13;van Woudenberg, H.J.;29;0;4;2;6;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;1;5;0;0;0;2;0;1
;;14;te Raa, A.;11;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;2;0;0;0
