Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Doetinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Gymzaal Terborgseweg;OC De Daele;Het Trommelslag;OBS Hogenkamp;Speeltuin Schoneveld;OC De Achterhoek;MFA De Zonneboom;Bs te IJzevoorde;Gymzaal Ottawastraat;OBS Hagen;IKC Het Noorderlicht;OR Gereformeerde Gemeente;Sporthal De Pol A;Sporthal De Pol B;OBS Wis en Wierig;BS OCTA;OBS De Huet;Waterschapsgebouw;Sporthal De Bongerd A;Sporthal De Bongerd B;IKC Plattenburg;KC De Wingerd;Stadsmuseum en Borghuis;vv VIOD;App Waterrijk;Het Raadhuis;VG Ons Huis;DA De Horst;SO Isselborgh;Brandweer Wehl;BS Dichterbij;Stadhuis ma;Waterschapsgebouw ma;Het Raadhuis ma;Sporthal De Pol ma;OR Gereformeerde Gemeente ma;MFA De Zonneboom ma;KC De Wingerd ma;vv VIOD ma;Stadhuis di;Waterschapsgebouw di;Het Raadhuis di;Sporthal De Pol di;OR Gereformeerde Gemeente;MFA De Zonneboom di;KC De Wingerd di;vv VIOD di
;;3;Steintjes, L.T.M.;427;5;1;3;0;2;2;1;4;2;0;4;0;1;3;10;0;1;0;4;0;0;4;5;2;4;2;66;110;69;1;50;1;1;1;22;2;0;1;1;1;3;1;33;0;0;0;4;0
;;4;Hilferink, P.G.M.;88;12;0;4;3;3;5;0;1;1;0;6;0;9;1;1;0;1;1;3;0;2;1;3;1;0;2;1;0;1;0;1;1;4;0;1;1;6;0;0;2;2;1;0;1;3;1;1;1
;;5;Mons-Vuulink, J.J.;175;9;0;4;1;1;4;0;1;1;1;0;1;1;27;32;17;0;0;4;1;2;4;1;2;3;0;1;0;1;0;4;0;1;1;0;10;1;0;3;0;2;1;1;22;0;1;7;2
;;6;Veldkamp, R.B.J.;422;2;0;0;2;1;2;0;3;1;2;0;0;0;113;122;36;1;1;0;1;1;0;2;1;0;2;0;3;0;1;0;1;2;0;0;46;0;0;0;0;3;0;0;70;0;2;1;0
;;7;van Hal, D.J.M.;68;0;0;0;3;0;0;0;0;0;0;0;0;0;19;23;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;1;0;9;0;1;2;0
;;8;Spit, G.;96;10;3;2;1;2;5;0;6;1;3;3;0;0;2;0;0;0;1;6;6;2;3;0;3;6;4;0;2;0;2;0;0;4;0;0;2;1;0;0;4;5;1;1;0;1;2;0;2
;;9;te Kampe, W.;58;1;1;0;2;0;1;0;1;0;0;1;1;0;2;0;0;2;0;3;4;0;13;3;1;1;0;1;3;0;4;1;1;0;0;0;0;0;0;3;0;1;0;0;3;0;0;4;0
;;10;Leijten, H.A.J.M.;81;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;32;13;0;8;0;0;0;3;0;0;0;0;0;1;0;15;2;0;0;0;1
;;11;Veenes-Tomesen, I.B.W.M.;78;3;0;1;2;0;0;2;4;3;2;0;1;2;0;1;1;0;0;5;5;0;2;5;2;4;8;0;2;1;0;3;2;0;0;0;0;0;0;3;1;3;2;0;0;1;0;2;5
;;12;Bouwens, C.H.;38;0;0;2;1;0;1;1;1;1;2;0;0;0;0;1;0;1;1;6;3;1;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;2;0;2;1;0;3;1
;;13;Hendriks, H.J.;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
