Verkiezing;;Gemeenteraad Heumen 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Heumen;;;;;;;;;;;;
Nummer;;0252;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Malderburch Malden;Multifunctioneel centrum Maldensteijn Malden;Sportcentrum Malden;Verenigingsgebouw Terp Heumen;Verenigingsgebouw Overasselt;Verenigingsgebouw Ons Huis Nederasselt;Multifunctioneel centrum Maldensteijn Malden - maandag;Multifunctioneel centrum Maldensteijn Malden - dinsdag;Verenigingsgebouw Overasselt - maandag;Verenigingsgebouw Overasselt - dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;21;22;51;52
Postcode;;;;;6581 AC;6581 AC;6581 TC;6582 AL;6611 CE;6612 BA;6581 AC;6581 AC;6611 CE;6611 CE
;opgeroepenen;;;13626;1947;4649;2617;1479;2255;679;0;0;0;0
;geldige stempas;;;7270;728;1364;1270;679;734;314;659;1006;186;330
;geldig volmachtbewijs;;;828;94;169;131;80;89;42;61;116;17;29
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8098;822;1533;1401;759;823;356;720;1122;203;359
;geldige stembiljetten;;;8066;817;1528;1395;758;821;352;716;1121;201;357
;blanco stembiljetten;;;13;2;0;3;0;1;1;2;1;2;1
;ongeldige stembiljetten;;;18;1;5;4;1;1;2;2;1;0;1
;aangetroffen stembiljetten;;;8097;820;1533;1402;759;823;355;720;1123;203;359
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;1;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;2;0;0;0;0;1;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;1;0;0
;geen verklaring;;;4;2;0;1;0;0;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0
1;Democraten Gemeente Heumen;;;2819;220;415;393;493;384;156;204;304;98;152
;;1;Arts, V.F.G.;1229;89;152;136;308;160;53;77;125;56;73
;;2;Jansen, L.A.;240;49;52;43;6;5;4;34;47;0;0
;;3;Ebben, B.M.;390;20;58;72;30;92;6;20;38;17;37
;;4;Hunse, R.;64;7;21;19;0;0;0;5;12;0;0
;;5;Hermens, M.S.;25;2;6;9;0;0;0;4;4;0;0
;;6;Dikkers, H.;55;9;8;22;2;0;0;6;7;1;0
;;7;Noy, T.C.M.;128;0;9;6;92;5;0;3;6;1;6
;;8;Poelert, L.A.C.;15;2;3;3;0;2;0;0;4;0;1
;;9;Jansen, D.J.A.;49;0;3;3;1;30;0;0;1;7;4
;;10;Wink, W.;66;2;2;3;1;1;52;0;2;0;3
;;11;Nillessen, M.;126;14;42;32;2;0;0;14;21;0;1
;;12;Borghans - de Sévaux, B.J.C.M.;40;3;13;12;0;0;0;7;5;0;0
;;13;Jilesen - Wevers, W.C.G.J.H.;36;2;1;1;3;13;0;2;1;5;8
;;14;Heezemans, R.D.P.;3;0;1;2;0;0;0;0;0;0;0
;;15;van Elten-Bliekendaal, A.M.J.;28;0;1;0;1;0;26;0;0;0;0
;;16;Wijnakker - Kuhnen, I.I.J.;29;3;2;0;21;2;0;0;1;0;0
;;17;Thelosen, H.P.J.;32;0;1;2;0;23;1;0;0;1;4
;;18;Blom - Kruyt, J.M.;5;0;1;1;0;0;0;3;0;0;0
;;19;Gerrits, A.M.;30;1;0;0;0;18;1;1;0;4;5
;;20;Katteler, H.A.;17;1;2;3;1;0;0;5;5;0;0
;;21;van Eldijk - Derks, J.M.;1;0;0;0;0;0;1;0;0;0;0
;;22;Straten-Theunissen, T.T.M.;29;5;11;2;1;0;0;2;7;0;1
;;23;Teunissen, T.A.G.;9;0;3;1;0;0;0;2;3;0;0
;;24;van Beuningen, P.A.;1;0;0;0;0;1;0;0;0;0;0
;;25;Bevoort, J.P.;2;0;0;1;0;0;0;1;0;0;0
;;26;Laurant, H.J.;11;0;1;0;0;7;0;0;0;0;3
;;27;Himi, K.;21;2;4;4;0;0;4;2;5;0;0
;;28;van Loveren, M.B.;5;1;1;2;0;0;0;0;1;0;0
;;29;Kremers, E.A.P.;10;0;0;0;1;4;0;3;0;2;0
;;30;Verhoeven, P.W.H.M.;9;1;0;0;8;0;0;0;0;0;0
;;31;Wijnsma, M.;1;1;0;0;0;0;0;0;0;0;0
;;32;Slort, R.;2;0;1;0;0;0;0;1;0;0;0
;;33;Hilbrands, F.;8;0;0;1;0;4;0;1;0;1;1
;;34;van Rijn - Klaassen, B.H.M.J.;4;0;2;2;0;0;0;0;0;0;0
;;35;Lemmens, W.B.M.;2;0;0;0;0;1;0;0;0;1;0
;;36;Barten-Klaassen, A.J.;2;0;0;1;0;0;0;0;1;0;0
;;37;van Loveren, W.J.;9;0;2;0;0;0;0;2;5;0;0
;;38;de Graaff - Ter Horst, M.R.L.;17;0;0;0;1;8;3;0;1;1;3
;;39;Lelieveld, J.T.;4;0;0;2;0;0;0;2;0;0;0
;;40;Bruijsten, M.G.M.;7;0;0;0;0;0;5;1;1;0;0
;;41;De Abreu, R.A.;8;2;3;0;0;0;0;2;1;0;0
;;42;Banning, G.J.M.;12;0;0;0;7;5;0;0;0;0;0
;;43;Thijssen, G.A.C.M.;6;0;4;2;0;0;0;0;0;0;0
;;44;Haex, G.J.G.;1;0;0;0;1;0;0;0;0;0;0
;;45;Lamers-Wijers, E.M.G.;6;0;0;0;0;2;0;2;0;1;1
;;46;Schambach, E.F.;7;3;3;1;0;0;0;0;0;0;0
;;47;Bourgondiën, H.D.J.W.J.;5;0;0;0;5;0;0;0;0;0;0
;;48;Wijnakker, J.M.;1;1;0;0;0;0;0;0;0;0;0
;;49;van Zinderen, W.;5;0;1;2;0;0;0;1;0;0;1
;;50;Ebben, J.W.H.;7;0;1;3;1;1;0;1;0;0;0
2;VVD;;;976;121;236;154;62;56;58;98;155;9;27
;;1;Claassen, E.W.J.A.;407;40;84;55;35;26;23;50;68;6;20
;;2;Smeets, H.J.J.M.;180;19;61;36;5;7;3;12;31;3;3
;;3;Verbiesen, C.;222;35;63;41;11;8;5;22;35;0;2
;;4;Verbeek, E;26;4;3;7;1;5;0;2;4;0;0
;;5;Bouman, PC;40;13;11;4;5;0;0;4;3;0;0
;;6;Waas, RJM;47;1;1;2;3;10;24;1;3;0;2
;;7;Keemers, P;22;8;2;2;0;0;1;2;7;0;0
;;8;van Walbeek, R;8;0;5;1;0;0;0;0;2;0;0
;;9;Coppens, AJB;3;0;1;1;0;0;1;0;0;0;0
;;10;van Merode- Peters, AWP;21;1;5;5;2;0;1;5;2;0;0
3;CDA;;;881;93;96;94;41;174;50;78;121;43;91
;;1;de Graaf, R.G.;420;67;57;54;22;33;29;58;80;6;14
;;2;Meij, S.;52;5;16;11;1;2;0;4;11;1;1
;;3;Verkaaik, D.M.E.M.;98;5;6;5;2;31;4;6;9;12;18
;;4;Derks-Toonen, M.H.H.;177;4;1;2;7;87;14;0;3;13;46
;;5;Duinkerken, M.;20;1;2;3;1;4;1;0;1;1;6
;;6;Schoenaker, M.F.M.;28;1;3;7;0;0;1;8;6;0;2
;;7;de Groot-Vos, E.H.;19;5;3;6;0;1;0;1;3;0;0
;;8;van Gorp-Zwiers, T.M.B.;12;0;0;0;0;3;0;0;0;7;2
;;9;van Iperen, N.;7;2;1;0;3;0;0;0;1;0;0
;;10;Kuijpers-Kwant, F.J.;3;0;0;0;3;0;0;0;0;0;0
;;11;Gerrits, P.J.J.;12;0;1;0;0;9;1;0;0;0;1
;;12;Zwart, H.A.E.;6;0;2;4;0;0;0;0;0;0;0
;;13;de Jong, E.;5;0;0;1;0;0;0;1;3;0;0
;;14;van Wijk, F.J.A.M.;0;0;0;0;0;0;0;0;0;0;0
;;15;de Blois, L.;3;0;0;0;0;0;0;0;3;0;0
;;16;Crul-Lockefeer, A.F.M.E.;1;0;1;0;0;0;0;0;0;0;0
;;17;Kesseler, G.;4;0;2;0;1;1;0;0;0;0;0
;;18;de Wildt, L.P.G.;5;0;0;0;0;3;0;0;0;2;0
;;19;van der Burgt, J.M.M.;3;0;0;1;0;0;0;0;0;1;1
;;20;van den Broek, A.J.H.;6;3;1;0;1;0;0;0;1;0;0
4;GROENLINKS;;;1069;99;265;288;39;76;26;79;155;13;29
;;1;Glastra, M.;290;25;68;88;8;13;11;21;47;5;4
;;2;Tuinder, S.;386;41;109;112;15;13;9;22;57;3;5
;;3;van Leeuwen, P.P.F.;69;5;22;13;6;4;0;7;11;0;1
;;4;van der Cruijsen, W.G.A.M.;32;0;0;0;1;21;1;0;0;2;7
;;5;van der Heijden, L.E.;34;5;10;15;0;0;0;2;2;0;0
;;6;Flohr, J.;89;11;17;13;4;20;2;9;8;2;3
;;7;Schuurman, L.;9;0;4;4;0;1;0;0;0;0;0
;;8;Vermetten, V.;33;3;6;9;1;0;0;4;10;0;0
