Verkiezing;;Gemeenteraad Winterswijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Winterswijk;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0294;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor;Gemeentekantoor;Gemeentekantoor;De Ontmoeting;De Ontmoeting;De Ontmoeting;Wamelinkhof;IJs-en skeelercomplex WIJV;Gymlokaal de Bargerpaske;FC Winterswijk kantine;Gymlokaal de Stegeman;Sporthal de Vlier;Sportzaal de Alma;Clubgebouw Fietstourclub Wenters;Molukse Samenwerkende Kerken Immanuel;Stemstraat Brandweerkazerne;Zalencentrum Reuselink;Restaurant 'de Schoppe';Gebouw Marijke;Gymlokaal Meddo;Mobiel stembureau 1 (met beperkte toegang);Mobiel stembureau 2 (met beperkte toegang);Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;7101 GH;7101 GH;7101 GH;7101 DP;7101 DP;7101 DP;7101 JT;7101 PA;7103 AW;7103 AV;7101 BG;7101 TR;7102 CX;7101 JL;7101 TX;7102 AM;7115 AG;7109 AH;7113 AE;7104 BB;7101 GH;7101 GH;7101 GH
;;22;Vreman-Visser, M.J.W.;17;3;1;1;2;1;0;0;0;4;0;0;1;1;0;0;2;0;0;0;0;0;1;0
2;Winterswijks Belang;;;1587;53;100;176;47;58;71;87;72;214;57;75;124;90;53;109;55;40;25;19;40;7;8;7
;;1;te Selle, E.J.W.;651;24;47;57;19;23;27;35;24;108;25;33;58;33;21;41;21;14;7;9;16;1;5;3
;;2;Jonker, T.B.;86;1;5;13;1;1;5;5;5;11;3;1;0;4;1;7;7;7;2;1;3;1;0;2
;;3;Oonk-Toebes, G.;96;2;8;7;4;5;4;9;3;14;5;4;3;5;3;8;3;1;1;1;5;0;1;0
;;4;Pleiter, J.;129;4;7;15;1;1;7;12;12;15;3;6;2;10;7;7;10;2;5;0;2;0;1;0
;;5;van Harten, A.E.;70;3;5;8;0;5;2;2;3;6;1;4;7;4;3;2;2;3;5;0;3;1;0;1
;;6;Meinen, R.;23;1;2;5;1;1;2;0;1;4;0;1;3;1;0;0;0;0;0;0;0;0;1;0
;;7;Oonk, M.D.;20;2;0;2;2;0;0;0;0;3;0;2;1;1;0;4;2;0;0;1;0;0;0;0
;;8;te Winkel, B.H.W.;15;2;0;2;2;1;1;0;0;1;0;0;1;0;0;2;1;0;0;2;0;0;0;0
;;9;Çakir, M.;73;3;3;13;1;1;1;3;1;7;2;0;17;8;3;6;0;1;1;1;0;1;0;0
;;10;Tannemaat, H.J.;106;3;8;16;3;8;9;8;5;3;3;5;9;3;2;8;2;3;0;0;8;0;0;0
;;11;Aalderink, D.W.;40;0;5;1;3;0;3;4;0;2;0;0;5;6;3;1;1;2;1;2;0;1;0;0
;;12;de Pree, M.M.;24;3;2;2;2;2;3;0;1;1;2;3;1;0;0;2;0;0;0;0;0;0;0;0
;;13;Streppel, S.A.J.;4;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Mes, I.;28;1;0;9;0;3;0;1;0;5;2;3;2;1;0;1;0;0;0;0;0;0;0;0
;;15;ten Hagen, P.L.;40;3;0;2;3;2;1;3;1;8;3;3;3;2;1;3;2;0;0;0;0;0;0;0
;;16;Bakker, A.J.M.;7;0;0;0;0;2;0;0;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0
;;17;Gijsbers, L.;19;0;0;0;0;1;0;2;1;4;4;2;0;1;2;1;0;0;0;0;1;0;0;0
;;18;Ligtenbarg, J.W.;29;1;2;6;2;2;0;0;6;0;1;2;0;2;3;1;0;0;0;0;0;0;0;1
;;19;Holders-Lammers, J.W.;10;0;0;1;0;0;1;1;1;1;0;2;1;0;0;0;0;0;2;0;0;0;0;0
;;20;de Graaff, H.W.A.;20;0;1;0;0;0;2;0;3;1;0;1;1;1;0;7;1;1;0;0;1;0;0;0
;;21;Oonk, G.F.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van der Meulen, R.;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Grijsen, H.M.;11;0;0;0;0;0;0;0;2;0;0;1;3;1;0;0;0;2;0;2;0;0;0;0
;;24;van den Berg, W.A.B.;13;0;2;2;0;0;0;0;1;3;0;0;0;2;0;1;0;0;0;0;1;1;0;0
;;25;Meerdink, A.;10;0;1;3;0;0;0;1;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;26;de Roos, H.J.G.;5;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;27;Maas, R.;5;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;28;Meerdink, D.;16;0;1;7;0;0;2;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0
;;29;Garritsen, H.A.;15;0;0;2;0;0;1;0;1;7;2;0;1;1;0;0;0;0;0;0;0;0;0;0
;;30;Mees-de Blaeij, M.J.;12;0;0;0;2;0;0;1;0;0;0;1;2;0;0;4;0;1;0;0;0;1;0;0
;;31;Koole, M.J.;5;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
3;VVD;;;1212;87;74;135;32;63;32;46;60;108;50;85;75;53;22;29;40;53;40;40;58;9;4;17
;;1;klein Gunnewiek, I.T.F;690;53;43;81;17;29;16;28;39;62;14;40;32;25;9;17;18;39;29;35;46;5;3;10
;;2;Sonderen, C.;162;8;9;16;3;14;2;3;6;16;9;24;18;8;7;1;7;3;3;0;1;2;1;1
;;3;van der Linden - Plass, T.E.K.A.;50;7;3;2;4;4;1;1;4;4;1;4;0;0;3;1;5;2;0;0;2;1;0;1
;;4;Morad, N.;35;2;2;4;4;3;0;2;3;1;1;0;3;3;0;3;0;3;0;0;1;0;0;0
;;5;Garvelink, R.J.K.;15;0;3;0;0;0;0;0;0;3;0;1;0;0;0;3;3;1;0;1;0;0;0;0
;;6;Nijman, D.;93;7;2;16;3;6;4;1;2;7;9;4;14;5;0;2;0;0;1;2;2;1;0;5
;;7;Bos, E.A.K.;12;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;2;1;3;0;0;0;0;0
;;8;Rootinck, D.C.A.;38;0;0;6;1;4;1;8;3;3;3;4;2;2;0;0;0;0;0;0;1;0;0;0
;;9;Hemink, G.W.;22;0;2;2;0;1;5;0;0;1;1;2;0;5;0;0;1;0;2;0;0;0;0;0
;;10;Lobato, O.F.;7;0;0;2;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
;;11;Bruining, R.L.;9;2;1;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;12;Hertgers - ten Have, M.J.M.;13;2;3;1;0;0;0;1;0;1;0;0;0;2;0;0;1;0;0;0;2;0;0;0
;;13;Obelink, A.;10;4;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0
;;14;ten Dolle, J.A.G.;32;1;1;1;0;0;2;0;0;3;9;0;2;2;2;2;3;0;0;2;2;0;0;0
;;15;Şen - Nijhuis, C.T.;11;1;1;0;0;1;1;2;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Eggink - de Boo, A.J.;13;0;3;2;0;0;0;0;0;0;2;1;0;0;0;0;0;3;2;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1608;102;123;154;58;54;69;71;45;242;50;81;141;71;43;93;35;32;24;19;58;4;23;16
;;1;Schepers-Janssen, E.S.F.;791;49;61;79;34;27;34;37;21;102;30;38;87;30;27;32;18;18;16;10;16;4;13;8
;;2;Lammers, W.G.W.;116;9;10;11;3;0;5;8;7;14;3;7;7;10;2;5;3;3;1;3;1;0;1;3
;;3;van Eck, M.;202;11;17;23;5;9;11;5;5;37;2;8;19;9;5;16;4;3;5;3;2;0;1;2
;;4;Pampiermole, Q.;107;6;7;11;4;4;4;5;4;21;3;9;4;4;3;4;3;1;2;2;4;0;0;2
;;5;Kortschot, G.J.;58;3;0;2;2;1;2;1;1;4;0;1;3;2;1;3;1;1;0;0;27;0;3;0
;;6;ten Pas, M.;58;2;7;5;2;0;3;1;0;13;2;3;3;6;1;4;1;1;0;1;3;0;0;0
;;7;Hietkamp, M.;44;0;5;2;0;3;1;2;0;10;0;1;4;3;1;5;0;3;0;0;4;0;0;0
;;8;Hakstege, J.W.;24;0;3;2;0;1;0;0;3;9;0;1;2;0;0;2;0;0;0;0;0;0;1;0
;;9;de Maar, A.M.;22;4;1;1;0;2;1;3;1;1;0;0;4;0;1;2;1;0;0;0;0;0;0;0
;;10;Flipse, H.;32;1;2;1;0;1;1;2;0;8;3;2;4;0;0;6;0;1;0;0;0;0;0;0
;;11;Zuiderveld, U.;44;6;5;2;3;2;3;1;0;5;2;1;0;3;1;5;3;0;0;0;0;0;1;1
;;12;Krosenbrink, M.;22;2;2;3;2;2;0;0;1;6;0;0;1;2;0;1;0;0;0;0;0;0;0;0
;;13;de Koning, G.W.;5;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Muis, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Taihuttu, J.H.J.;29;2;2;6;0;1;2;4;0;5;2;0;1;0;0;2;1;0;0;0;0;0;1;0
;;16;Limbeek, N.H.P.;18;2;1;3;1;0;1;0;2;2;1;3;0;1;0;0;0;0;0;0;0;0;1;0
;;17;Sieders-Wassink, B.G.;15;0;0;0;0;0;0;1;0;4;2;2;1;1;0;3;0;0;0;0;0;0;1;0
