Verkiezing;;Gemeenteraad Tiel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Verenigingsgebouw AVGN;Stembureau Verenigingsgebouw KTVM;Stembureau Centrum Oosthonk;Stembureau De Vier Gravinnen;Stembureau Clubhuis Tiel;Stembureau Betuwe Sporthal;Stembureau Activiteitengebouw kerk Wadenoijen;Stembureau Drumptse Hof;Stembureau Wielersportcentrum de Betuwe;Stembureau Centrum Westroyen;Stembureau Clubhuis Theole;Stembureau Schoolwoningen Passewaaij;Stembureau Voetbalclub RKTVC;Stembureau Hondensportvereniging Tiel;Stembureau Kantoor BSR;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Mobiel stembureau in touringcar
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4001 WJ;4001 HZ;4005 VR;4001 RZ;4005 BC;4006 AJ;4014 MB;4003 GA;4006 MC;4003 AL;4002 AH;4007 HD;4006 AW;4006 PD;4001 CE;4001 MV;4001 MV
;;9;Groenendaal, H.A.;124;3;2;5;2;4;3;4;8;3;1;4;4;2;0;5;7;27;7;6;7;7;3;5;4;0;1
3;D66;;;1819;51;9;32;55;57;18;31;82;92;67;92;108;79;28;65;54;185;110;89;98;168;49;116;61;4;19
;;1;Stultiens, H.J.M.;542;22;3;6;21;19;2;12;34;30;18;11;17;14;3;14;20;59;49;25;33;53;14;36;20;1;6
;;2;Verspuij, L.;416;7;2;13;18;13;6;4;15;23;17;15;13;14;7;13;10;43;21;29;23;42;14;31;18;2;3
;;3;Henning, F.A.G.;15;3;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;3;0;1;0;1;0;0;0;1;1
;;4;Yüce, M.;314;3;2;4;0;3;5;8;5;6;14;51;56;36;15;21;5;12;3;21;4;16;5;11;8;0;0
;;5;van Gelderen-Elbertse, M.;78;1;0;3;4;4;0;1;6;2;0;3;1;3;1;1;10;9;2;2;5;4;2;6;4;0;4
;;6;Kurvers, K.;12;1;0;0;0;0;0;1;0;0;0;0;2;1;0;2;0;1;3;1;0;0;0;0;0;0;0
;;7;van Dodewaard, E.J.;5;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;8;Vermeulen, K.;45;0;1;0;2;4;0;0;6;2;1;4;3;2;0;1;1;3;3;0;4;3;0;4;0;0;1
;;9;van Bekkum, M.F.M.;36;4;0;0;0;2;2;0;0;3;4;1;3;0;1;3;0;2;1;3;1;3;0;3;0;0;0
;;10;Schemkes, K.D.C.;46;2;1;1;0;4;0;1;0;6;3;0;0;1;0;0;3;8;2;0;2;7;2;2;1;0;0
;;11;van Oostveen, M.P.;84;3;0;1;3;2;0;1;1;5;3;3;4;1;0;1;2;11;7;2;13;12;2;2;3;0;2
