Verkiezing;;Gemeenteraad Oost Gelre 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oost Gelre;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1586;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Den Diek;De Hamalandhal;De Schoppe;De Swite;De Treffer;De Zandschoppe 1;De Zandschoppe 2;CityLido;De Mattelier 1;De Mattelier 2;Vincentiushuis;oude Willibrordusschool;Dorpshuis 't Kempken;Bernard Vos Clubhuus;BMV Mariënvelde;MFA De Bult;Het Witte Paard;Het Reirinck;Gemeentehuis ma14maart;Gemeentehuis di15maart;De Mattelier ma14maart;De Mattelier di15maart;Mobiel stembureau met beperkte toegang
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;101;102;110;111;120
Postcode;;;;;7131 BJ;7131 DP;7131 EN;7131 SB;7131 ZT;7131 CM;7131 JA;7131 JA;7141 BA;7141 BP;7141 BP;7141 KB;7141 WH;7135 JD;7137 MD;7263 RX;7134 NJ;7136 LG;7141 HE;7131 BJ;7131 BJ;7141 BP;7141 BP;7131 BJ
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3894;232;207;46;99;214;99;99;117;129;141;105;92;165;408;249;227;304;466;82;80;142;64;105;22
;;1;Leemreize, W.J.W.M.;885;99;81;7;40;80;42;32;31;25;16;18;22;29;24;82;5;52;55;20;30;48;15;22;10
;;2;Gerretsen, J.;283;5;1;0;1;1;3;1;2;42;50;32;23;40;1;9;0;0;4;9;0;3;19;36;1
;;3;Rotink, J.M.;291;33;29;10;10;30;10;13;22;6;6;5;10;10;3;23;2;6;19;2;11;20;5;6;0
;;4;Krabbenborg, R.W.M.;230;6;8;0;3;9;8;2;2;0;1;2;3;4;1;4;5;2;145;0;5;16;0;1;3
;;5;van Loon, D.J.H.;409;16;12;4;6;26;8;7;10;5;0;9;1;7;21;16;192;15;35;1;13;4;0;0;1
;;6;Schenk, A.B.;119;18;27;6;10;11;3;4;5;1;3;1;0;5;1;6;1;2;3;0;3;6;2;1;0
;;7;Schutten, A.C.A.;474;12;6;1;1;5;3;12;9;0;2;0;0;2;341;10;12;6;40;0;4;4;0;1;3
;;8;Stortelder, F.H.A.;184;4;4;0;2;2;4;2;1;16;27;17;12;32;0;11;2;1;4;8;2;4;9;19;1
;;9;Heming, E.H.J.M.;109;1;3;0;0;2;0;1;1;9;5;3;8;7;0;18;0;3;0;36;0;0;6;5;1
;;10;Polman, B.M.;169;13;13;8;14;23;9;15;20;3;0;1;1;5;3;9;0;2;6;2;7;13;0;2;0
;;11;Schut, W.C.M.;26;0;2;1;1;3;0;3;3;0;0;0;0;2;2;4;0;0;1;0;0;3;0;1;0
;;12;Smeitink, B.J.;23;0;2;2;0;2;0;0;1;0;0;0;0;0;0;7;0;4;0;1;2;2;0;0;0
;;13;Wolters, G.M.V.H.;40;1;2;0;0;0;0;0;0;7;7;9;2;5;0;3;0;1;1;0;0;0;0;2;0
;;14;Ribbers, E.H.M.;302;4;11;1;2;9;3;1;7;1;2;0;1;2;6;21;0;208;10;1;1;5;1;3;2
