Verkiezing;;Gemeenteraad Apeldoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Apeldoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau ACEC;Stembureau Parochiecentrum Emmaüshuis;Stembureau Nieuw-Apostolische Kerk Apeldoorn;Stembureau De Grote Kerk;Stembureau Kerk de Koningshof;Stembureau Gereformeerde Gemeente Apeldoorn;Stembureau Scheidsrechtersvereniging;Stembureau Gymzaal Buys-Ballotstraat;Stembureau Wijkcentrum De Groene Hoven;Stembureau Orpheus;Stembureau Gymzaal Burglaan;Stembureau Scouting SWIII/LBP;Stembureau ALTV Daisy;Stembureau Gymzaal Jupiterlaan;Stembureau Sporthal Sprengeloo 1;Stembureau Sporthal Sprengeloo 2;Stembureau Duivensportcentrum;Stembureau Goede Herderkerk;Stembureau Victorkerk;Stembureau Gymzaal Germanenlaan;Stembureau Wijkcentrum Orca;Stembureau 't Buurtpalet (kindervreugd);Stembureau Wijkcentrum Vrijzicht;Stembureau Postduivenvereniging Holthuizen;Stembureau a.v.v. Columbia;Stembureau Denksportcentrum Apeldoorn;Stembureau Buurthuis Maasstraat;Stembureau DokZuid;Stembureau Sporthal Zuiderpark 1;Stembureau Sporthal Zuiderpark 2;Stembureau De Hofstad;Stembureau Buurthuis 't Vogelnest;Stembureau Gymzaal Groenlingweg;Stembureau ROC Aventus;Stembureau Gymzaal Glazeniershorst;Stembureau Gymzaal Eekschillersdreef;Stembureau Gymzaal Voldersdreef;Stembureau Gymzaal Burgersveld;Stembureau Gymzaal Edelenveld;Stembureau Gymzaal Matenpark;Stembureau Gymzaal Rederijkershoeve;Stembureau s.v. Groen Wit '62;Stembureau Gymzaal Valkeniersdonk;Stembureau Gymzaal Steenhouwersdonk;Stembureau Gymzaal Warenargaarde;Stembureau Omnisport 1;Stembureau Omnisport 2;Stembureau Het Bolwerk;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Gymzaal Fortlaan;Stembureau Gymzaal Keerkring;Stembureau Gymzaal Aristotelesstraat;Stembureau CGK Andreaskerk;Stembureau Gymzaal Citroenvlinder;Stembureau Sporthal Zuidbroek 1;Stembureau Sporthal Zuidbroek 2;Stembureau Jeu de Boules Vereniging 't Zwijntje;Stembureau Gymzaal Gentiaanstraat;Stembureau Kruispunt 1;Stembureau Kruispunt 2;Stembureau Gymzaal Tormentilstraat;Stembureau Sporthal Welgelegen 1;Stembureau Sporthal Welgelegen 2;Stembureau Buurthuis Ons Huus;Stembureau Voetbalvereniging WWNA;Stembureau Kapel Hoog Soeren;Stembureau Sporthal De Schier 1;Stembureau Sporthal de Schier 2;Stembureau De Bronkerk;Stembureau Ugchelens Belang;Stembureau Gymzaal Klingelbeek;Stembureau 't Dorpshuus;Stembureau De Hoge Weye;Stembureau V.V. Beekbergen;Stembureau Het Trefpunt (PKN);Stembureau Dorpscentrum De Brink;Stembureau Gymzaal De Kempe;Stembureau Kerk Klarenbeek;Stembureau School De Bundel;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen;Stembureau Groot Schuylenburg;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1400;1401;1405;1420;1426;1427;1446;1450;1460;1466;1475;1499;1500;1501;1505;1520;1526;1527;1546;1550;1560;1566;1575
Postcode;;;;;7311 LG;7311 CD;7311 KB;7311 HS;7315 AB;7316 CE;7316 EG;7316 JC;7316 LD;7315 EE;7314 BZ;7314 BM;7313 CP;7313 GA;7314 KS;7314 KP;7314 KP;7312 AA;7312 CS;7312 CJ;7312 HX;7312 JJ;7312 PT;7335 AW;7335 GT;7334 CM;7333 NJ;7333 JG;7333 GZ;7331 MZ;7331 MZ;7331 KE;7331 GV;7331 EB;7331 VZ;7328 TK;7328 LA;7328 CA;7327 CA;7327 EH;7329 BZ;7326 TH;7327 GN;7326 KP;7326 MK;7329 GD;7321 MA;7321 MA;7325 NT;7325 AG;7325 ZN;7325 EA;7323 NM;7323 AB;7323 RC;7324 BM;7324 BM;7323 AN;7322 BN;7322 GK;7322 GK;7322 KH;7322 JS;7322 JS;7341 PB;7345 AB;7346 AJ;3888 LA;3888 LA;7339 GH;7339 AN;7339 LD;7351 AG;7361 AV;7361 TA;7364 BH;7371 AC;7371 BT;7381 BB;7321 HG;;7311 LG;7315 AB;7312 CJ;7334 CM;7333 NJ;7329 GD;7325 AG;7322 GK;7345 AB;7361 BH;7325 BA;;7311 LG;7315 AB;7312 CJ;7334 CM;7333 NJ;7329 GD;7325 AG;7322 GK;7345 AB;7361 BH
;opgeroepenen;;;135460;2103;1763;2052;1556;1041;1018;2109;1342;1574;2321;1804;1496;737;978;1897;909;909;1438;1829;1740;1443;1395;2192;2056;2377;1994;1718;2218;1371;1138;1137;1880;1488;2243;2493;2394;1689;1634;1221;1892;1157;1881;2137;2370;2602;1194;2167;2167;1871;2658;1761;2524;2427;2306;2737;1108;1107;2161;2047;1104;1103;2370;1367;1376;754;1670;328;1237;1236;1914;1458;2001;1203;2220;1306;1737;1553;1302;1384;1866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;61318;1399;509;683;342;1400;675;342;323;536;1456;443;369;401;665;540;170;142;897;978;979;277;860;248;767;926;532;404;744;582;180;479;890;303;457;668;846;589;711;593;513;536;1030;706;654;754;546;380;335;511;1097;564;838;584;1153;1270;180;185;347;657;574;424;367;522;493;428;581;227;712;554;921;1102;702;577;952;331;602;778;468;590;725;101;678;933;647;348;315;563;507;760;161;192;37;88;831;1173;718;377;353;736;645;832;236;312
;geldig volmachtbewijs;;;7266;97;58;67;0;162;114;54;35;59;168;43;39;40;103;55;16;20;104;115;144;41;107;35;66;127;70;58;101;75;18;50;104;43;63;66;79;59;77;68;54;65;133;6;76;79;53;51;41;57;151;64;141;77;162;205;33;21;41;96;66;46;43;67;78;64;100;15;159;111;147;159;90;81;115;45;77;93;54;88;78;6;73;82;57;32;32;50;38;77;16;48;0;4;92;1;86;40;38;93;68;77;31;43
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;68584;1496;567;750;342;1562;789;396;358;595;1624;486;408;441;768;595;186;162;1001;1093;1123;318;967;283;833;1053;602;462;845;657;198;529;994;346;520;734;925;648;788;661;567;601;1163;712;730;833;599;431;376;568;1248;628;979;661;1315;1475;213;206;388;753;640;470;410;589;571;492;681;242;871;665;1068;1261;792;658;1067;376;679;871;522;678;803;107;751;1015;704;380;347;613;545;837;177;240;37;92;923;1174;804;417;391;829;713;909;267;355
;geldige stembiljetten;;;68365;1489;566;747;342;1549;789;395;357;592;1617;486;409;441;764;595;183;162;1001;1088;1121;316;957;281;832;1052;598;461;842;655;198;526;992;341;519;734;921;647;787;659;563;598;1160;707;725;831;599;429;375;564;1243;624;972;659;1314;1474;212;206;387;748;639;470;408;589;572;491;679;242;870;665;1064;1256;789;657;1059;375;677;870;521;675;802;107;751;1012;704;380;345;612;544;836;177;240;37;91;919;1170;801;417;390;825;713;906;266;351
;blanco stembiljetten;;;126;1;0;1;0;12;0;1;1;0;4;0;0;0;4;0;3;0;0;4;0;1;4;0;0;1;3;0;1;1;0;0;1;5;1;0;3;1;0;0;2;3;0;3;3;1;0;1;0;1;4;0;7;2;1;0;0;0;1;1;0;1;2;0;0;1;2;0;1;0;2;4;1;1;4;1;2;0;1;3;0;0;0;1;0;0;1;1;0;1;0;0;0;1;2;1;1;0;0;3;0;1;1;3
;ongeldige stembiljetten;;;93;4;1;2;0;1;0;0;0;3;3;0;0;0;0;0;0;0;0;1;2;1;5;2;1;0;1;1;2;1;0;3;2;0;0;0;1;0;1;1;2;0;4;3;1;1;0;1;1;3;2;4;0;0;0;1;1;0;0;3;1;0;0;0;1;0;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;3;2;0;1;1;0;2;0;1
