Verkiezing;;Gemeenteraad Putten 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Putten;;;;;;;;;;;;;;;;;;;;
Nummer;;0273;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultureel Centrum Stroud;Andreaskerk;Nieuwe Kerk;Gemeentehuis;Zuiderkerk;Verenigingsgebouw Stenenkamer;School de Akker;School de Pelikaan;Sporthal Putter Eng;Sporthal de Meeuwen;School de Schuilplaats;Wijkgebouw De Arendshof;De Samaritaan;Clubhuis Scouting Kon-Tiki;Gemeentehuis 14-03-2022;Wijkgebouw de Arendshof 14-03-2022;Gemeentehuis 15-03-2022;Wijkgebouw de Arendshof 15-03-2022
;;20;van Bemmel, V.A.C.M.;3;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;21;Friedel, A.;20;3;0;0;8;1;0;1;0;1;1;0;0;1;0;3;0;1;0
;;22;Haanschoten, T.A.;12;1;1;0;3;0;0;1;1;0;1;0;1;1;0;1;0;1;0
;;23;Kampert, J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kroon, E.A.;8;0;0;0;0;0;1;0;1;3;1;1;0;0;0;1;0;0;0
;;25;van der Haar, G.J.;6;2;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
;;26;van Soest, G.M.;31;3;2;1;2;2;0;5;1;2;0;5;0;0;1;3;0;2;2
;;27;Heetebrij, S.;9;0;0;1;0;2;0;0;1;0;0;3;0;1;0;1;0;0;0
;;28;Sickmann, A.E.M.;10;1;2;0;0;4;0;0;1;1;1;0;0;0;0;0;0;0;0
;;29;van Hagen, D.;7;1;0;0;0;1;1;1;0;0;0;2;1;0;0;0;0;0;0
;;30;Witteveen, E.D.B.;14;1;0;1;3;0;0;0;0;3;0;1;0;0;2;1;0;0;2
;;31;van Dijk, C.;4;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Born, T.;22;3;0;2;2;0;0;1;1;0;1;1;3;2;0;2;2;2;0
;;33;Bus, A.;5;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0
;;34;Sonnega, P.;5;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0
;;35;Zeevat, H.;8;0;1;0;2;0;0;1;0;0;0;0;1;0;0;3;0;0;0
;;36;van Gessel, J.H.B.;11;2;1;1;2;0;0;1;0;0;2;0;0;0;2;0;0;0;0
;;37;Mellema, A.J.S.;8;0;0;0;3;0;0;0;0;3;0;0;0;2;0;0;0;0;0
;;38;Roos, M.;11;1;1;1;3;1;0;1;0;0;0;0;1;1;0;0;0;1;0
;;39;Hooijer, B.;7;0;0;1;0;0;0;1;0;0;0;1;0;2;1;0;0;1;0
;;40;Drouven, A.M.;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;de Vreeze, A.M.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;42;Bonzet, A.K.;7;1;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0
;;43;van Loon, H.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Luijt, E.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;45;Aapkes, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Dekker, J.;4;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;47;Koekkoek, M.;12;0;1;2;0;0;0;3;0;0;1;0;0;2;0;0;0;1;2
;;48;van Nieuwenhuizen, P.;6;0;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;49;Tigchelaar, B.A.J.;20;3;0;1;1;2;0;2;0;0;0;2;0;0;4;0;0;4;1
;;50;Obbink, G.L.;12;0;0;1;1;2;1;0;1;0;0;0;2;0;0;0;0;2;2
2;ChristenUnie;;;2051;164;133;165;146;110;92;160;52;176;62;117;149;128;37;66;54;144;96
;;1;van Ooijen, T.J.;923;69;61;82;72;36;44;74;33;70;25;58;66;57;22;36;27;59;32
;;2;van Hemel, E.A.;213;8;13;25;8;35;3;11;2;27;5;13;12;13;2;2;7;16;11
;;3;van de Langemheen, W.;119;7;4;9;8;4;2;12;0;17;5;6;10;12;0;4;5;10;4
;;4;de Graaf-Bakker, S.;216;22;16;5;11;11;16;20;3;17;8;17;15;14;5;5;2;15;14
;;5;Posthouwer, A.;181;25;18;12;15;11;15;7;1;14;3;5;7;9;4;7;4;12;12
;;6;van den Hazel, G.E.;35;0;1;2;2;1;1;6;1;6;2;1;1;0;2;0;3;3;3
;;7;Grevengoed-van den Heuvel, J.G.;56;3;6;3;6;1;1;8;3;5;2;3;5;3;0;2;1;3;1
;;8;Schuurman-Nap, A.;21;2;0;0;2;0;0;4;2;0;0;0;4;3;0;1;1;1;1
;;9;de Ruiter-Tom, J.F.;10;0;0;3;1;0;0;0;0;0;0;1;2;2;0;0;0;0;1
;;10;van 't Veld, M.M.;17;1;4;4;0;2;0;2;0;0;0;1;0;1;0;0;0;1;1
;;11;Nooteboom, T.;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;12;Kleijer-Schuit, D.M.;9;0;2;0;0;0;0;1;0;1;0;1;0;2;0;0;1;0;1
;;13;van Oostende, W.L.;18;2;0;6;1;0;0;1;0;0;2;0;2;0;1;0;0;2;1
;;14;van den Brandhof, G.J.;17;0;0;3;0;0;0;2;3;1;1;2;0;3;0;0;0;1;1
;;15;Kiezebrink, S.H.;30;4;0;2;4;0;1;1;1;0;3;0;4;0;0;0;0;4;6
;;16;van den Bor-de Jager, M.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Heuveling, A.N.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;18;Bleijenberg-Schuit, W.J.;9;1;0;1;1;0;0;0;0;1;1;1;2;1;0;0;0;0;0
;;19;van Stuijvenberg, M.E.;3;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;20;Overweg, A.;15;2;1;2;1;0;0;1;0;2;3;0;0;0;0;1;0;2;0
;;21;Bos, C.;5;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;1;0
;;22;Schouten, A.J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van de Vliert, J.;16;0;0;1;2;6;0;0;0;1;0;2;0;2;0;1;0;0;1
;;24;van den Heuvel, G.P.L.;19;1;1;2;1;1;2;1;0;1;0;2;2;0;1;2;0;2;0
;;25;van Ommen, J.;25;9;1;0;2;0;0;0;0;5;0;0;1;1;0;3;1;2;0
;;26;Brink, P.E.;8;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;1;2
;;27;van de Geer, J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kleijer, W.;4;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;29;Hakkenberg, B.;12;1;2;0;2;0;0;1;1;1;0;0;0;1;0;0;1;1;1
;;30;Lubbertsen-Ruiter, J.;4;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
;;31;Drost, W.;7;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;3;0
;;32;Cornelissen, B.;25;1;3;2;1;0;3;3;0;2;0;0;3;3;0;0;0;2;2
;;33;de Graaf, E.H.;19;3;0;0;4;1;0;2;1;1;1;0;1;0;0;1;0;3;1
;;34;Priem, G.A.;6;0;0;0;1;0;2;0;0;0;1;0;2;0;0;0;0;0;0
3;CDA;;;1763;142;97;109;120;129;200;119;82;103;62;88;88;111;38;61;35;116;63
;;1;van de Koot, W.;869;72;45;55;55;75;111;61;47;63;19;43;41;44;16;27;18;53;24
;;2;Elsenaar-van Rooijen, G.;168;14;4;9;14;11;12;12;2;5;8;7;13;24;3;12;6;8;4
;;3;van Meerveld, J.;45;6;3;0;4;4;2;1;2;2;3;2;1;3;1;2;0;6;3
;;4;Kemp-van de Brug, J.M.;184;8;15;10;15;15;6;22;6;13;10;12;9;12;5;7;3;12;4
;;5;van Beek, T.C.;21;1;3;0;5;0;3;2;0;0;0;2;1;1;0;0;1;2;0
;;6;Timmer, E.R.;96;3;11;6;5;4;19;2;3;3;4;5;4;10;0;3;2;8;4
;;7;Hagen, J.W.;51;6;4;9;3;4;1;2;1;1;4;0;4;4;0;3;0;3;2
;;8;Boeve-van den Brink, E.;30;1;0;3;4;2;2;0;2;1;0;2;2;1;1;1;0;5;3
;;9;Mosterd, H.G.;61;6;2;2;2;3;16;3;1;6;2;0;3;3;4;0;1;3;4
;;10;van Winkoop-van Winkoop, J.;39;4;1;1;1;2;10;0;6;2;3;0;2;2;0;0;2;2;1
;;11;Deetman, A.G.;16;2;0;0;0;1;3;2;5;0;1;0;0;2;0;0;0;0;0
;;12;Nap, C.;18;5;0;2;4;0;0;0;1;2;0;1;0;0;0;2;0;1;0
;;13;van de Pol, E.J.;10;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;4;0
;;14;Kager, H.T.C.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Putten, G.J.;12;0;0;0;3;0;1;1;1;2;0;1;1;1;0;0;0;0;1
;;16;Velten, E.J.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;17;Grevengoed, A.;16;2;2;0;2;0;1;0;3;1;0;1;1;0;0;0;0;1;2
;;18;van de Brug-van de Kamp, J.;16;1;2;0;0;2;2;2;0;0;1;3;1;0;1;0;0;0;1
;;19;Aalten, G.;9;1;1;1;0;1;3;0;0;1;0;1;0;0;0;0;0;0;0
;;20;Kraai, R.;23;2;0;0;0;0;2;4;1;0;3;2;0;2;2;0;0;0;5
;;21;Simmelink, B.J.;4;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0
;;22;van de Brug, M.;5;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0
;;23;Beukema, J.;6;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0
;;24;De Lange-Houtman, J.N.;7;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4
;;25;van den Ham, G.;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Trouw, H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Angenent, G.J.;10;0;1;0;0;0;1;0;0;0;2;0;0;0;2;1;2;1;0
;;28;Gijlers, A.H.;8;1;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;29;Fabriek, F.W.;9;2;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0
;;30;Mosterd, A.;22;2;1;2;0;4;0;1;0;1;1;0;3;2;2;1;0;2;0
4;GEMEENTEBELANGEN;;;2170;215;145;89;141;151;96;148;149;158;83;106;125;154;71;71;46;139;83
;;1;Hoogendijk, R.;771;69;53;29;56;52;35;50;45;61;27;42;46;42;25;20;19;74;26
;;2;Koornneef, H.;100;20;1;5;7;2;2;1;7;5;3;6;3;16;4;2;8;2;6
;;3;van Dam, E.;336;37;21;10;17;31;12;24;23;22;9;21;16;32;10;11;6;28;6
;;4;van Nieuwenhuizen, P.A.;110;12;10;2;6;6;6;11;5;5;5;8;5;4;3;5;4;5;8
;;5;Lange, R.S.;9;0;1;2;0;0;0;0;1;0;0;0;0;3;0;1;0;1;0
;;6;van de Poll, E.S.;88;6;3;1;8;1;3;5;14;2;1;7;9;13;1;6;1;0;7
;;7;Zwart, A.J.;53;4;3;6;0;4;3;6;4;2;5;0;7;1;1;1;0;3;3
;;8;Pansier, G.;16;1;0;2;0;1;0;4;1;2;0;1;1;1;0;0;0;2;0
;;9;Kubiak-Peters, K.J.;53;9;10;0;2;2;0;4;3;5;1;1;3;2;4;2;1;2;2
;;10;Helsdingen, R.;72;4;6;1;6;8;2;12;3;4;4;4;1;8;1;2;2;4;0
;;11;Bos, J.;10;1;0;0;0;0;0;2;0;5;0;0;0;0;0;0;2;0;0
;;12;van de Langemheen, R.;168;10;13;11;13;7;7;12;20;19;13;5;9;8;4;4;0;9;4
;;13;Hop, G.;24;1;0;0;3;1;9;2;1;1;2;0;0;2;1;0;0;1;0
;;14;van Batenburg, R.;33;2;3;4;2;0;2;3;6;3;0;1;6;0;0;0;0;0;1
;;15;Pansier-van den Broek, B.W.J.;28;2;3;4;1;1;0;0;2;2;0;1;2;4;0;3;0;0;3
;;16;van Dompseler-van Steeg, C.;15;5;2;1;1;0;0;1;2;0;0;1;1;0;0;0;0;0;1
;;17;van Looijengoed, H.;53;4;3;1;2;2;3;2;1;5;4;1;5;6;4;9;0;0;1
;;18;Petersen, A.;75;13;10;7;6;6;1;2;7;6;0;2;2;2;3;4;0;2;2
;;19;Vliek, C.;36;1;0;0;0;15;6;2;0;2;3;0;0;2;1;0;0;2;2
;;20;Hartman, J.;10;0;0;0;1;0;1;0;0;1;1;0;2;1;0;0;0;0;3
;;21;van de Koot, J.;6;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0
;;22;van Winkoop, G.;15;0;0;1;3;2;2;0;1;0;0;2;1;2;1;0;0;0;0
;;23;van Diest-Schreuder, J.;9;1;1;1;0;0;1;3;0;0;0;0;0;1;0;0;1;0;0
;;24;van Nieuwenhuizen, J.;4;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
;;25;van Dongen, A.J.;4;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0
;;26;Werkman, G.M.;6;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;2
;;27;Hoogendijk, A.;13;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2;1;3
;;28;Zwart, S.A.;12;0;0;0;1;0;1;0;0;0;2;2;3;2;0;0;0;0;1
;;29;van de Koot, M.L.;14;2;0;1;1;2;0;0;0;1;1;1;0;0;5;0;0;0;0
;;30;van der Werf, K.;27;6;2;0;2;6;0;0;2;3;0;0;2;0;1;0;0;1;2
5;Staatkundig Gereformeerde Partij (SGP);;;2028;136;113;150;128;291;193;140;43;101;79;66;102;150;29;97;44;107;59
;;1;'t Jong, E.T.;1170;79;66;102;74;126;97;89;29;67;48;39;70;73;19;65;24;70;33
;;2;ten Klooster, J.;231;23;13;17;22;26;18;14;5;7;12;7;8;31;2;3;3;14;6
;;3;de Goffau, C.J.;33;3;3;1;0;1;2;3;2;6;3;0;0;1;0;1;3;2;2
;;4;van den Brink, J.;250;4;3;7;9;88;45;10;2;7;6;9;5;14;5;13;6;9;8
;;5;de Jong, D.A.;76;7;3;6;6;10;5;8;1;0;3;3;2;17;0;2;2;0;1
;;6;Reijersen van Buuren, J.G.;21;0;2;0;0;8;4;0;0;0;1;0;2;1;0;2;1;0;0
;;7;Links, F.;4;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;8;Prins, L.A.;15;1;2;1;0;2;2;1;0;1;0;1;1;0;0;1;0;1;1
;;9;Muis, E.H.;38;2;2;3;3;4;8;2;3;3;3;0;1;1;0;0;0;1;2
;;10;Grotenhuis, E.G.H.;5;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0
;;11;Schaap, C.A.;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;12;van Lagen, G.;18;1;0;3;3;3;1;0;0;1;0;3;1;0;2;0;0;0;0
;;13;de Jong, H.A.;12;0;2;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;3
;;14;den Braber, H.T.;23;3;0;1;1;8;6;0;0;0;1;0;1;1;1;0;0;0;0
;;15;Bloed, C.;14;1;2;3;0;0;1;0;0;0;1;0;4;1;0;1;0;0;0
;;16;van Driel, G.B.;7;1;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
;;17;Remijn, H.W.;13;6;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;2;0
;;18;Hazeleger, E.;7;3;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;van Loo, H.J.;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;van den Hoorn, J.N.;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Garde, W.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Rhee, W.;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;23;van Rijn, B.J.;9;1;0;0;2;0;0;0;0;0;0;0;1;0;0;2;2;0;1
;;24;van Sligtenhorst, T.J.;4;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;25;Blok, A.;8;0;0;0;1;0;2;3;0;0;0;0;0;0;0;2;0;0;0
;;26;van Doleweerd, A.H.K.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;27;Westerbroek, D.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Veldhuizen, G.J.;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Rozendaal, D.;18;0;5;0;0;8;2;1;0;0;0;0;0;1;0;1;0;0;0
;;30;Jansen, R.H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Schoonewelle, J.H.T.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;32;Bloed, P.;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3;0
;;33;Clements, F.W.;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;34;Morren, T.G.;5;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0
;;35;van Moorselaar, K.;6;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;36;Westerdijk, B.F.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Gerritsen, N.;7;0;0;0;0;0;0;4;0;1;0;0;0;0;0;1;0;1;0
6;VVD;;;1628;218;95;43;147;102;54;89;56;69;55;67;88;145;76;97;24;137;66
;;1;de Bruin, A.W.;842;118;49;28;69;49;31;61;31;39;25;35;40;62;45;43;7;73;37
;;2;Heinen, G.J.;185;24;7;4;15;9;3;13;6;11;5;8;14;11;7;16;6;17;9
;;3;ten Bolscher-Pijffers, M.;211;21;9;3;18;16;4;6;8;9;7;5;13;41;8;16;3;21;3
;;4;Kingma, R.;48;2;0;0;1;1;1;0;2;2;3;5;8;12;0;2;0;3;6
;;5;van Houwelingen, N.F.D.;51;8;2;1;5;2;2;2;2;2;3;1;3;2;7;3;1;4;1
;;6;Markus, G.J.;13;2;2;0;0;4;0;0;0;0;0;0;0;0;1;1;0;2;1
;;7;Wassink, H.W.;27;8;0;0;4;2;2;1;0;0;0;0;1;1;1;2;1;3;1
;;8;Mabelis, M.P.;40;4;4;3;6;1;0;0;0;1;4;3;1;4;2;4;0;1;2
;;9;van Koot, G.G.;29;2;8;0;5;1;2;1;1;0;1;0;0;1;1;0;2;1;3
;;10;Heinen, J.R.;35;3;2;2;3;2;1;1;2;2;0;5;1;6;0;2;1;1;1
;;11;de Bruin, M.T.;25;1;4;1;3;3;0;2;1;0;0;1;3;2;1;1;0;2;0
;;12;Schuurman, M.;9;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0
;;13;Kniestedt, C.W.;54;17;6;1;5;8;3;1;1;2;0;1;0;0;2;2;1;4;0
;;14;Bruggeman, D.M.;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
;;15;Voormolen, W.P.;29;5;0;0;6;2;2;0;0;0;5;0;1;0;0;4;0;4;0
;;16;Molnár, G.S.;15;2;0;0;2;0;0;1;1;1;0;1;2;1;1;1;0;1;1
;;17;ter Borg-Guliker, A.;12;1;1;0;4;2;2;0;0;0;0;0;0;1;0;0;0;0;1
