Verkiezing;;Gemeenteraad Ede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Raadhuis, Hoofdingang;Stembureau Bethanië, Ingang kerkzaal;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Vilente Sint Barbara;Stembureau De Doelen;Stembureau Petrakerk;Stembureau Cultura;Stembureau de Proosdijkerk (aan de rotonde);Stembureau Buurtcentrum De Kolk;Stembureau Speeltuin De Korenbloem;Stembureau Verzorgingshuis Het Maanderzand;Stembureau De Gelderhorst;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Vilente De Pleinen;Stembureau De Ark;Stembureau Wijkcentrum De Velder;Stembureau De Open Hof;Stembureau Het Kernhuis;Stembureau Bethelkerk;Stembureau Koepelschool;Stembureau Dulon College/ROC-A12;Stembureau 't Kerkheem;Stembureau Walraven;Stembureau De Brink;Stembureau Sporthal Soetendaal;Stembureau Tennisvereniging Keltenwoud;Stembureau de School met de Bijbel;Stembureau De Honskamp;Stembureau Westhoffhuis;Stembureau Buurtcentrum De Schakel;Stembureau Tennis Club Lunteren;Stembureau Nederwoudschool;Stembureau Basisschool De Valk;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;"Stembureau 's Heeren Loo ""Het Hart""";Stembureau Dorpshuis De Aanloop;Stembureau NS-station Ede-Wageningen;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Sporthal Kernhem;Stembureau Pathé;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Gymzaal Enka;Stembureau Dulon College/ROC-A12;Stembureau Ericakerk;Stembureau Sportzaal Koning Davidschool;Stembureau Zaal Sint-Antonius van Paduakerk;Stembureau Luthers Gemeentecentrum;Stembureau Schaapskooi de Maanderbuurt;Stembureau Dependance CNS De Vuursteen (gymzaal);Stembureau Sporthal Kernhem;"Stembureau ""Eigen Gebouw""";Stembureau Gymzaal Bettekamp;Stembureau Beatrixkerk;Stembureau Pathé Ede;Stembureau Gymzaal Blijdestein;Stembureau Ontmoetingskerk;Stembureau De Stek;Stembureau Gymzaal Essenburg;Stembureau Gymzaal Enka;Stembureau Gymzaal Verlengde Parkweg;Stembureau Cami & Moskee;Stembureau Sportzaal Maandereng;Stembureau Sionskerk;Stembureau Gymzaal Platanenlaan;Stembureau Boerderij Hoekelum, locatie de Barg;Stembureau De Broek-Akker;Stembureau Sportzaal Kerkhoflaan;Stembureau Maranathakerk;Stembureau Stichting Ana-Upa;Stembureau Voetbalvereniging Advendo '57;Stembureau Hervormd Centrum Het Anker;Stembureau De Waldhoorn
;;12;Bouw, G.;117;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;17;9;2;10;1;25;1;1;0;0;0;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;1;0;6;2;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;6;9;0;1;0;0
;;13;Westeneng, G.;54;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;3;0;0;1;1;16;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;2;0;1;0;0;6;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;14;van 't Land, J.A.;106;1;0;0;0;0;7;5;3;5;1;0;0;1;0;2;0;0;7;4;0;0;0;0;2;1;1;0;0;5;2;0;0;1;9;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;1;3;0;0;0;0;0;0;5;0;0;12;0;0;1;0;0;2;0;1;0;1;0;0;0;1;0;0;2;2;0;3;2;1;0;0;2;2;0;2;0;0
;;15;van Wijk, N.D.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;16;Teunissen, C.;41;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;7;5;2;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, C.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;3;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;0;0
;;18;van Veldhuizen, G.G.;22;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;19;Siebelink, J.;32;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;20;Kampert, G.H.;30;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;2;1;7;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van den Herik, G.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Koning, A.;15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Anker, J.C.;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;24;Jansen, G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Dikkenberg, J.;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;8;0;0;4;0;7;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Verwoerd, C.;15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;27;Kisteman, L.;26;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schut, B.;27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;29;Verheij, D.N.;51;0;0;0;0;0;2;2;0;2;0;0;0;0;0;1;0;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;3;0;14;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;van Laar, J.C.;27;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Roekel, T.;30;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;2;0;0;0;0;1;0;0;2;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;32;Folmer, T.E.;73;0;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;3;2;30;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0
;;33;Kool, P.;118;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;6;0;17;10;6;18;5;8;0;0;0;1;0;0;0;0;0;2;0;8;0;0;1;0;0;0;0;0;0;0;9;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;7;5;0;1;0;0
2;ChristenUnie;;;7861;108;15;133;14;75;82;184;163;64;108;9;9;116;10;259;100;126;186;289;70;94;180;26;139;111;84;103;7;198;57;51;44;35;149;32;60;4;48;34;122;67;99;140;69;131;81;27;5;5;12;140;76;153;182;113;160;89;60;13;22;16;110;73;128;130;81;37;89;72;17;94;76;104;63;139;140;99;74;51;126;18;114;69;24;113;108;86;81;35;32;71;11;3;24;11
;;1;Otter-van den Bosch, C.;4080;55;12;65;10;28;31;80;63;36;55;7;6;61;6;112;39;55;63;155;41;44;122;18;88;75;50;69;2;102;29;15;24;17;81;20;37;2;36;16;68;36;59;81;43;98;54;9;2;5;7;71;43;81;94;49;117;38;33;9;10;8;42;38;74;74;41;18;37;38;8;46;30;32;32;75;74;47;34;21;52;8;58;28;8;55;69;49;49;26;13;33;7;3;11;8
;;2;van der Beek, B.W.;407;9;1;11;2;3;7;11;12;1;2;0;1;5;1;11;4;6;15;18;3;5;3;2;0;1;1;4;0;6;2;2;3;2;10;1;4;0;2;1;10;4;3;7;2;0;2;0;0;0;0;11;11;15;6;7;2;5;3;1;5;2;9;8;6;7;3;2;8;3;1;5;1;9;4;11;3;8;2;6;0;1;13;6;2;4;3;0;4;0;2;6;0;0;2;0
;;3;van den Brink, H.M.;96;0;0;2;0;2;0;6;2;1;2;0;0;1;0;4;1;1;6;8;0;3;0;0;1;1;0;1;0;0;1;0;0;1;1;2;0;0;1;0;0;2;3;0;2;0;0;0;1;0;0;1;1;3;2;0;0;1;0;0;2;0;0;0;1;2;1;0;4;0;0;9;1;1;0;0;0;0;1;0;1;0;0;0;0;5;0;0;0;1;0;2;0;0;1;0
;;4;Stam-Hoogstrate, C.J.M.;806;7;0;18;0;18;8;26;21;7;16;0;0;3;0;48;18;21;50;29;3;4;8;0;7;4;6;8;0;7;4;5;3;2;5;0;6;2;2;4;14;6;5;17;11;4;2;1;0;0;0;22;3;9;28;24;6;4;3;0;4;3;19;7;4;12;5;11;8;7;0;8;18;26;3;17;20;13;10;5;18;6;14;7;1;10;2;10;8;0;1;0;0;0;0;0
;;5;Barendrecht, A.;125;1;0;1;0;0;1;5;3;0;0;0;0;3;0;0;0;2;3;4;0;2;6;1;6;1;3;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;3;3;0;5;1;1;0;0;0;2;1;5;1;1;1;4;0;0;0;0;3;2;0;2;0;1;2;3;0;0;0;1;2;0;3;0;1;0;4;0;2;4;0;2;6;9;2;1;0;0;0;0;1;0
;;6;Weststrate, D.J.;312;1;1;2;0;3;7;4;8;3;4;0;0;6;1;6;3;12;3;16;1;8;3;0;3;2;2;9;0;5;0;1;1;1;1;0;4;0;1;2;5;1;4;5;0;1;0;0;0;0;1;4;2;7;16;7;2;0;2;0;0;0;2;2;4;2;4;1;2;4;0;9;4;3;9;6;8;3;9;2;25;2;2;5;2;11;3;1;1;1;4;0;0;0;0;0
;;7;Middelesch, J.W.;44;0;0;1;0;0;0;1;3;0;2;0;0;1;0;2;0;0;1;1;0;1;0;0;1;0;0;4;0;1;0;1;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;5;1;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Smits, J.G.;171;1;0;1;0;2;2;0;2;1;0;0;1;1;0;0;0;0;2;0;2;3;11;0;23;12;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;0;0;0;0;0;1;1;5;3;0;22;1;0;0;0;0;0;1;1;2;4;0;0;1;2;0;0;2;0;1;0;2;0;0;0;0;2;0;0;2;7;8;7;5;0;0;0;0;0;0
;;9;Slings, G.H.;153;2;0;3;0;1;6;1;1;1;0;0;0;1;1;1;0;0;0;4;0;1;1;0;0;0;0;0;0;25;8;8;6;1;3;0;6;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;3;3;0;0;18;1;0;0;0;2;0;0;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;7;14;3;0;2;0
;;10;van 't Hul, N.;179;0;0;6;0;4;0;6;7;5;4;0;0;3;0;5;3;4;7;8;4;8;5;0;0;2;1;1;1;0;0;0;0;0;2;2;0;0;0;2;0;2;4;1;0;1;1;1;0;0;1;5;1;2;0;4;0;2;1;0;0;0;3;5;4;1;4;0;2;1;1;4;2;0;1;5;3;3;0;2;4;0;3;3;4;4;2;0;0;0;0;0;0;0;2;0
;;11;Don, J.N.;47;0;0;1;0;0;0;0;0;1;0;0;0;1;1;12;3;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;1;5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;12;Veneberg, E.;35;4;0;4;0;0;0;0;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;4;0;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Zandberg, E.Y.M.;28;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;2;0;1;1;1;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;1;2;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0
;;14;Smit, I.;41;1;0;1;0;0;1;4;3;0;0;0;0;0;0;1;0;3;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;3;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;15;Schuurman-Baanstra, S.C.;102;0;0;0;0;1;3;0;2;0;0;0;0;0;0;0;0;2;1;2;2;0;1;1;1;0;0;0;2;28;5;7;0;3;2;0;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0;3;0;0;0;0;2;10;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;2;0;4;5;0;0;0;0
;;16;Wijnberger, M.H.;25;0;0;0;0;1;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Plug, P.;42;0;1;1;0;0;2;4;0;0;1;0;0;3;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;18;Bunk-Visscher, H.R.;52;0;0;2;0;1;0;0;2;0;1;0;0;1;0;3;2;0;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;1;0;3;1;1;0;0;2;0;1;0;0;0;1;1;0;0;3;2;1;4;1;0;0;0;0;1;0;0;0;0;0;0;0
;;19;van Leeuwen, B.;46;0;0;2;0;1;0;2;0;0;1;0;0;1;0;0;0;1;2;0;0;0;1;0;1;1;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;2;2;0;2;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;2;1;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0
;;20;de Roode-Hof, N.M.;31;0;0;0;0;0;0;1;1;2;0;0;0;1;0;1;1;0;2;2;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Slotman, H.R.;50;1;0;0;0;0;0;0;0;0;2;0;0;5;0;1;1;1;1;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;3;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;2;0;0;1;2;0;0;0;0;2;0;1;0;0;0;0;3
;;22;Gerritsen, A.;47;1;0;0;0;2;1;2;3;1;0;0;0;0;0;1;2;3;0;3;1;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0;4;2;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0
;;23;van de Pol, R.A.;30;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;0;0;2;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
;;24;Schilder, M.;159;5;0;4;0;2;2;12;6;1;2;0;0;0;0;15;12;4;5;2;1;0;3;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;2;3;0;2;4;0;0;0;0;0;0;5;2;1;1;6;0;0;1;0;0;0;8;0;1;1;2;0;1;3;0;0;2;5;5;7;3;1;2;2;0;0;4;0;1;2;1;0;0;0;0;0;0;0;0;0
;;25;van Eck, W.;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Harten, S.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Vernhout, N.J.;32;0;0;2;0;0;0;2;0;0;0;0;0;3;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;3;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;28;Vos, H.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Druijff-van de Woestijne, G.B.;28;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0
;;30;Visser, C.;23;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;31;Smits-van Veen, A.M.;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0
;;32;van der Horst-Schouten, W.E.A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0
;;33;Fountain, A.C.;26;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;5;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Eck-Haanschoten, H.;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;7;6;4;0;5;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0
