Verkiezing;;Gemeenteraad Lansingerland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lansingerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hervormde Kerk I;Gemeentehuis Lansingerland;Sportkantine BVCB;GKV Het Baken;Jongeren Centrum Spectrum I;CBS De Acker;Basisschool PJF I, Oudelandselaan;Hergerborch;Gebouw de Bron;Wijkgebouw Rodenrijs;Wijnstokgemeente;Gereformeerde Kerk Bleiswijk Open Hof I;Sporthal de Lijsterlaan I;Brandweerkazerne Bleiswijk;CBS Prinses Maximaschool;'t Manneke I;Basisschool De Klipper, Gouden Uillaan;Jongeren Centrum Spectrum II;Hangout Pecto's;Sterrenhal I;Sterrenhal II;'t Manneke II;De Beren Bleiswijk;IJsclub Bleiswijk;De Klaver;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau I, maandag;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs I;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau II, dinsdag
Gebiednummer;;;;;1;2;4;6;7;8;10;13;14;15;16;19;20;22;23;25;26;28;30;34;35;40;60;61;62;101;102;115;122;125;191;201;202;215;222;225;291
Postcode;;;;;2661 CB;2662 SB;2661 GV;2661 TP;2661 AL;2661 SX;2652 ER;2651 DA;2651 BN;2651 PG;2651 BS;2665 BJ;2665 TK;2665 JA;2652 HJ;2651 CL;2652 KJ;2661 AL;2665 KP;2651 TA;2651 TA;2651 CL;2665 LA;2665 KT;2662 DJ;2661 CB;2662 SB;2651 PG;2665 JA;2651 CL;2662 SB;2661 CB;2662 SB;2651 PG;2665 JA;2651 CL;2662 SB
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;23360;1435;802;351;689;655;794;1167;724;932;930;697;964;555;865;867;562;567;424;358;1129;1066;561;269;410;334;486;245;302;472;635;19;725;413;394;694;791;77
;geldig volmachtbewijs;;;3094;189;138;54;102;70;83;176;94;142;104;105;124;68;137;131;72;82;38;50;175;138;85;46;52;42;46;36;29;48;77;3;67;37;54;86;110;4
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;26454;1624;940;405;791;725;877;1343;818;1074;1034;802;1088;623;1002;998;634;649;462;408;1304;1204;646;315;462;376;532;281;331;520;712;22;792;450;448;780;901;81
;geldige stembiljetten;;;26318;1614;940;403;787;721;875;1335;808;1067;1027;802;1080;621;998;993;632;646;460;405;1292;1196;643;312;460;373;531;279;330;520;710;22;787;446;447;777;898;81
;blanco stembiljetten;;;65;6;1;1;2;1;2;6;1;3;4;0;3;2;0;1;2;2;0;3;8;4;2;0;1;0;0;0;0;0;0;0;1;4;1;0;4;0
;ongeldige stembiljetten;;;64;3;0;1;2;1;0;2;9;5;3;0;4;0;4;4;0;1;3;0;3;3;1;3;1;1;1;2;1;0;1;0;2;0;0;3;0;0
