Verkiezing;;Gemeenteraad Midden-Delfland 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Midden-Delfland;;;;;;;;;;;;;;;;;;
Nummer;;1842;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Hoornbloem (14/3);Sporthal de Hofstede (14/3);De Dorpshoeve (14/3);De Hoornbloem (15/3);Sporthal de Hofstede (15/3);De Dorpshoeve (15/3);De Hoornbloem 1;De Hoornbloem 2;Dienstencentrum Kickerthoek;De Eénhoorn;Sporthal de Hofstede;Singelhof;Trefpunt;De Dorpshoeve 1;De Dorpshoeve 2;Dienstencentrum Korpershoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;2635 HD;3155 AL;2636 GM;2635 HD;3155 AL;2636 GM;2635 GM;2635 HD;2635 JM;2636 CM;3155 AL;3155 AL;3155 AM;2636 GM;2636 GM;2636 JA
;;9;Kardol-Westein, A.C.;41;0;1;1;1;6;2;0;2;0;0;18;6;4;0;0;0
;;10;Houtenbos, P.G.M.;24;1;3;0;0;4;0;0;0;0;1;2;7;4;2;0;0
;;11;van Oord, G.D.;9;0;0;3;0;0;2;0;2;0;0;0;0;0;0;1;1
;;12;Offeringa-Koemans, M.K.H.;33;0;4;1;0;2;0;0;0;0;0;3;6;6;11;0;0
;;13;Arkesteijn, H.M.;30;0;0;2;0;0;3;1;1;1;2;3;4;3;0;9;1
;;14;Heutink, M.E.;45;7;0;1;5;0;2;8;5;7;1;4;0;0;4;1;0
;;15;Smit, S.;47;7;0;1;8;0;0;14;8;2;1;0;1;2;0;3;0
3;VVD;;;1468;43;70;17;83;85;41;119;134;78;38;184;210;185;86;83;12
;;1;van der Eijk, J.;508;26;6;11;54;13;15;76;73;54;25;18;38;34;33;26;6
;;2;Gebben, A.J.;127;0;18;0;0;4;3;0;1;0;1;32;37;26;4;1;0
;;3;Moerman, J.J.C.;209;0;15;0;1;26;1;3;0;0;2;51;48;58;3;1;0
;;4;Kooij, S.W.;74;2;0;4;0;0;9;4;3;1;2;0;0;0;18;29;2
;;5;van der Marel, I.Y.;234;1;16;1;5;29;3;7;15;8;4;47;52;33;9;4;0
;;6;van der Ende, M.C.;138;13;1;0;15;1;5;24;35;11;3;6;3;0;8;13;0
;;7;Stolk, S.;51;0;5;0;0;4;0;0;0;0;0;10;14;17;1;0;0
;;8;Harteveld, C.J.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1
;;9;van Dooremaal, G.J.P.J.;11;0;0;0;2;0;2;1;0;0;0;0;1;0;0;2;3
;;10;van der Heijden, M.;12;0;0;1;2;0;0;1;0;0;0;0;0;0;5;3;0
;;11;de Vries, P.;5;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0
;;12;Renzen-van Leeuwen, W.;94;1;9;0;4;7;2;3;6;4;1;19;16;16;3;3;0
4;Mijn Partij;;;2434;103;25;89;182;61;155;261;270;215;93;159;124;134;264;262;37
;;1;Roeling, E.N.H.;512;27;1;23;41;12;41;56;57;59;19;27;28;24;37;50;10
;;2;Ruiterman, N.J.;1037;71;6;30;113;3;51;177;178;125;55;7;19;9;101;84;8
;;3;van Lier, F.J.;109;0;8;0;1;12;1;3;1;6;1;31;23;21;1;0;0
;;4;van der Spek, J.P.;150;0;0;12;3;4;19;3;2;1;4;1;2;1;50;38;10
;;5;van Oyen, P.T.C.;153;0;1;12;1;0;18;4;8;6;2;0;2;0;41;52;6
;;6;Ammerlaan, B.J.;210;1;7;1;1;22;1;0;0;2;0;75;35;62;0;3;0
;;7;Post, D.;37;0;0;6;3;3;5;0;1;1;2;2;0;0;8;6;0
;;8;van Lieshout, G.L.A.;106;2;2;3;9;4;4;8;6;6;3;15;14;16;6;7;1
;;9;Boks, J.W.L.;25;0;0;0;1;0;10;0;3;1;0;0;0;0;6;4;0
;;10;Arkesteijn, J.A.;31;2;0;0;6;0;1;4;10;2;3;1;1;0;1;0;0
;;11;Hilkhuijsen, J.J.M.;14;0;0;2;0;0;1;0;0;1;0;0;0;0;4;5;1
;;12;van Leeuwen, A.N.;7;0;0;0;0;0;0;2;0;2;2;0;0;0;0;1;0
;;13;Reissenweber, P.M.;7;0;0;0;0;0;2;1;0;0;0;0;0;0;2;2;0
;;14;Geense, M.M.;13;0;0;0;2;0;0;3;4;3;1;0;0;0;0;0;0
;;15;Bonte, E.J.;23;0;0;0;1;1;1;0;0;0;1;0;0;1;7;10;1
5;D66;;;1113;62;21;13;91;24;61;131;154;117;57;67;79;50;87;91;8
;;1;Vieira, R.E.;419;35;8;6;54;2;15;58;63;59;35;12;12;8;22;26;4
;;2;Scholtes, P.W.;79;0;5;0;1;11;0;2;2;1;1;16;17;20;3;0;0
;;3;Klijn, S.H.;136;3;2;6;3;0;32;3;5;2;0;2;1;1;36;39;1
;;4;van der Lans-Mastenbroek, L.C.;274;6;5;1;15;10;11;36;35;25;9;26;44;12;19;18;2
;;5;Koop, L.A.M.;25;3;0;0;1;0;1;4;7;2;3;0;0;0;2;1;1
;;6;Bekkers, S.C.;18;1;0;0;1;0;1;3;3;4;2;0;0;0;2;1;0
;;7;Middelraad, R.;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;8;van der Ham, J.C.T.;14;6;0;0;2;0;0;0;1;3;0;0;0;2;0;0;0
;;9;Marang, L.;88;5;0;0;13;0;1;18;30;13;5;0;0;1;0;2;0
;;10;Bos, E.J.;7;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0
;;11;de Ruiter, T.A.;6;0;0;0;0;0;0;2;0;2;1;0;0;1;0;0;0
;;12;van der Drift, P.A.M.;5;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0
;;13;van Leeuwen, I.E.;20;0;0;0;0;0;0;0;2;1;0;8;4;5;0;0;0
;;14;Oderwald-Ruijsbroek, M.;20;2;0;0;1;0;0;2;3;3;1;1;0;0;3;4;0
6;ChristenUnie;;;505;32;17;9;28;22;27;40;40;49;20;49;63;52;30;24;3
;;1;Ringeling, R.H.P.;195;19;7;3;15;6;11;20;18;22;8;18;18;13;9;8;0
;;2;de Bakker, M.;29;1;1;0;0;0;1;2;6;6;2;2;0;1;4;3;0
;;3;de Jong-Klein, M.G.;78;1;3;1;4;8;1;3;0;0;4;11;12;28;2;0;0
;;4;Mostert-Westra, F.;32;2;0;2;0;0;8;2;2;0;0;0;0;0;7;7;2
;;5;van Waardenberg, R.;17;0;0;0;8;2;0;0;0;0;0;1;5;0;0;1;0
;;6;Lamain, B.E.;49;8;2;1;0;0;0;6;7;12;6;1;0;0;3;2;1
;;7;Wagenaar, H.W.;13;0;0;0;0;1;2;0;1;0;0;1;4;1;3;0;0
;;8;van Emmerik-Abma, G.;10;0;0;2;0;0;4;1;0;0;0;0;0;1;1;1;0
;;9;Korpershoek, P.J.;31;0;2;0;0;4;0;0;0;0;0;6;13;4;0;2;0
;;10;Engelenburg, A.P.;9;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0
;;11;den Hertog, B.;20;0;2;0;0;0;0;0;2;0;0;5;8;3;0;0;0
;;12;van Til, H.;6;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0
;;13;van Leeuwen, C.J.;5;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0
