Verkiezing;;Gemeenteraad Sliedrecht 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sliedrecht;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0610;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Gemeentekantoor;Sportzaal De Sprong;Bibliotheek AanZet;Trimclubgebouw ABC;Sporthal De Stoep;Zorgcentrum Parkzicht;Tuinfluiterflat;Anne de Vriesschool;Sporthal de Basis;Sportzaal 't Crayenest;Sportzaal 't Crayenest;Muziekvereniging Crescendo;Sporthal De Valk;Sporthal De Stoep;Maranathakerk;Gemeentekantoor;Sporthal De Valk;Gemeentekantoor;Sporthal De Valk
Gebiednummer;;;;;1;2;4;6;10;11;12;13;16;20;21;22;23;24;26;27;302;324;402;424
Postcode;;;;;3361 HE;3361 HJ;3363 HE;3363 CK;3362 BV;3361 CH;3362 BB;3362 NE;3363 KH;3363 AW;3363 BJ;3363 BJ;3361 BM;3362 GH;3361 CH;3362 BK;3361 HJ;3362 GH;3361 HJ;3362 GH
;opgeroepenen;;;20285;1147;920;1207;560;1263;1622;1465;1216;736;934;1349;1847;551;1019;1485;1433;297;419;359;456
;geldige stempas;;;9896;810;380;497;1021;584;396;380;527;516;417;336;302;182;705;389;730;348;357;463;556
;geldig volmachtbewijs;;;1334;102;1;60;135;85;60;52;66;92;72;53;42;25;102;49;102;62;32;72;70
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11230;912;381;557;1156;669;456;432;593;608;489;389;344;207;807;438;832;410;389;535;626
;geldige stembiljetten;;;11187;909;380;555;1152;666;452;431;589;607;487;389;342;207;801;437;829;406;389;534;625
;blanco stembiljetten;;;21;1;1;1;0;1;4;0;4;0;1;0;2;0;4;0;0;1;0;1;0
;ongeldige stembiljetten;;;22;2;0;1;4;1;0;1;0;1;1;0;1;0;2;1;3;3;0;0;1
;aangetroffen stembiljetten;;;11230;912;381;557;1156;668;456;432;593;608;489;389;345;207;807;438;832;410;389;535;626
