Verkiezing;;Gemeenteraad Lisse 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lisse;;;;;;;;;;;;;;;;;;
Nummer;;0553;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Lisse;De Waterkanten (1);Floralis;De Waterkanten (2);Polderman BV;Hotel-Restaurant De Engel;De Beukenhof;'t Poelhuys 1;'t Poelhuys 2;'t Speelkwartier;De Poort;Buurthuis Salvatori;Gemeentehuis 14 maart;Gemeentehuis 15 maart;De Poort 14 maart;De Poort 15 maart
;;6;Tonnis, T.M.;10;0;1;2;0;1;2;0;1;2;1;0;0;0;0;0;0
;;7;van Riel, S.T.M.;4;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
;;8;Slaats, J.J.A.M.;9;3;0;0;0;3;0;1;0;0;1;0;0;0;0;0;1
;;9;van Roosmalen-Vroom, A.E.T.;10;0;1;2;1;1;2;0;0;0;2;0;0;0;1;0;0
;;10;Vroom, P.C.I.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;11;Wenneker, G.;5;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;de Roon, A.D.;13;0;0;0;0;4;1;4;0;0;0;1;1;2;0;0;0
;;13;van Overdam, J.;7;0;1;0;0;0;0;0;0;0;3;0;1;0;0;2;0
;;14;Verburg, C.A.;24;1;1;3;1;2;0;0;3;2;3;1;3;3;1;0;0
;;15;van der Laan, J.M.P.;89;5;13;9;4;9;9;5;6;4;5;6;3;2;4;1;4
4;VVD;;;1662;200;118;175;66;124;109;116;57;97;135;106;69;86;129;27;48
;;1;Tibboel, A.M.;859;113;53;82;34;55;52;61;27;49;64;46;31;64;78;22;28
;;2;van der Wiel, J.A.G.C.M.;283;16;24;41;9;22;28;16;10;12;33;23;12;9;19;1;8
;;3;Slootbeek, W.H.;64;7;7;12;3;3;2;9;2;2;2;4;4;1;5;0;1
;;4;List, M.;124;23;11;10;1;19;3;10;3;8;14;13;1;0;5;0;3
;;5;Horstmann, L.M.;158;15;13;14;7;15;17;6;8;18;10;11;8;3;6;3;4
;;6;Litan, J.H.M.;20;1;2;1;3;2;0;0;1;0;0;5;1;1;2;0;1
;;7;van Rijswijk, F.;14;0;2;1;0;1;1;5;0;2;1;0;1;0;0;0;0
;;8;Schalke, S.P.T.;17;5;1;2;0;1;0;2;0;0;3;0;1;1;1;0;0
;;9;Böfinger, S.;29;1;3;2;6;1;3;1;2;1;2;1;3;0;2;0;1
;;10;Austie, H.;94;19;2;10;3;5;3;6;4;5;6;3;7;7;11;1;2
5;SGP-ChristenUnie;;;1133;86;98;182;59;116;20;61;50;74;64;48;85;56;72;27;35
;;1;Scheurwater, V.;661;51;56;123;37;74;10;37;33;39;23;26;50;34;39;17;12
;;2;Hulsbergen-de Visser, M.;244;18;19;23;7;22;8;14;13;16;20;14;19;8;18;10;15
;;3;den Breejen, J.J.;60;11;4;13;8;5;0;1;2;5;3;2;2;0;4;0;0
;;4;Nuis, G.J.N.;35;1;5;3;0;4;0;2;0;2;4;1;3;2;5;0;3
;;5;Oldhoff, L.;8;0;0;1;0;0;1;0;1;0;0;0;0;4;1;0;0
;;6;van Minnen, J.N.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;7;Speksnijder, T.T.;12;1;0;3;1;0;0;0;1;0;0;0;1;1;1;0;3
;;8;van der Klauw, R.;18;1;0;1;0;1;0;2;0;2;5;1;1;3;1;0;0
;;9;Dubbeldam, G.W.;10;0;3;3;1;1;0;0;0;0;0;0;1;0;1;0;0
;;10;van der Wel, P.;3;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
;;11;bij de Vaate, J.B.;4;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;12;Walhout, A.J.;31;1;6;2;4;3;0;1;0;4;5;1;1;2;1;0;0
;;13;Wouters, C.P.;17;0;1;4;0;5;1;0;0;2;0;0;3;1;0;0;0
;;14;Spaargaren, J.C.;15;1;3;2;0;1;0;0;0;2;1;3;1;0;0;0;1
;;15;van Dijk, J.;4;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0
;;16;van Zanten, M.E.;9;0;0;2;1;0;0;2;0;0;3;0;1;0;0;0;0
6;Partij van de Arbeid / GROENLINKS;;;1493;66;114;144;57;151;74;82;100;104;152;108;72;71;113;37;48
;;1;van der Wiel, R.C.M.;627;29;46;59;20;66;29;35;50;50;60;37;28;30;52;19;17
;;2;de Weijert, R.S.;77;6;7;13;1;2;4;3;5;4;8;4;6;5;5;1;3
;;3;van der Beek, H.;65;2;3;8;4;13;1;6;0;1;5;5;7;5;4;0;1
;;4;Dockheer, L.E.;432;16;30;45;16;29;28;28;28;31;49;45;15;17;30;8;17
;;5;van der Vlugt, M.J.A.;29;3;4;2;0;5;3;1;0;2;2;2;0;0;3;1;1
;;6;van Bockel, M.G.;10;0;0;0;0;2;0;0;1;1;0;0;2;3;1;0;0
;;7;van Abswoude-Schoorl, J.M.;73;1;9;7;5;13;5;6;3;4;5;3;3;3;4;1;1
;;8;Dobbe, R.I.J.;23;2;2;3;1;3;0;0;4;1;2;0;0;0;4;1;0
;;9;Verdoes, G.;30;1;3;2;4;3;2;2;3;2;1;2;2;3;0;0;0
;;10;Hollinger, T.C.;17;2;2;0;1;2;0;0;1;0;0;2;4;1;1;1;0
;;11;Oskam, G.A.;14;1;1;1;1;4;0;0;0;0;4;1;0;0;0;0;1
;;12;van der Veek, A.B.C.;45;1;4;3;2;5;2;1;3;4;7;1;3;1;5;2;1
;;13;Mesman, A.G.M.;51;2;3;1;2;4;0;0;2;4;9;6;2;3;4;3;6
