Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Stationsplein;Stembureau Buurthuis Huis van de Wijk Oost;Stembureau Sportzaal Oost;Stembureau Sportzaal Zuid;Stembureau Bewonersvereniging Schiedam-Zuid;Stembureau Wijkcentrum De Erker;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Pronova College;Stembureau MAVO Schravenlant XL;Stembureau Wijkcentrum Dreesplein;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Recreatiezaal Beethovenflat;Stembureau Wijkcentrum De Brug;Stembureau Zwaluwlaan;Stembureau Verzetsheldenbuurt;Stembureau Mobiel Stembureau;Stembureau Bibliotheek Korenbeurs;Stembureau Kasteelweg;Stembureau Wijk- en Bewonersvereniging Tuindorp;Stembureau Drive-in;Stembureau Ontmoetingscentrum De Werf;Stembureau Hof in Zuid;Stembureau DSW Zorgverzekeraar;Stembureau HC Schiedam
Gebiednummer;;;;;101;109;110;115;116;117;118;124;128;201;209;210;215;216;217;218;224;228;301;303;304;305;306;307;308;309;310;311;312;314;315;316;317;319;320;321;322;324;325;326;327;328;330;331;332;333
Postcode;;;;;3112 DZ;;;;;;;;3125 BP;3112 DZ;;;;;;;;;3112 DZ;3112 HB;3112 LD;3112 VA;3114 GH;3114 NK;3117 PR;;;3118 BB;3118 LG;3119 CW;;;;3122 VL;3123 LA;;;;3111 CD;;3121 AM;3125 BP;3124 KE;3114 TM;3119 XT;3118 JD
;;8;van Steenis, S.R.;51;0;2;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;7;3;0;0;0;3;2;3;4;1;2;3;0;0;6;1;0;0;2;2;3;1;1;0;0;0;0;1
;;9;Noorda, S.S.;18;2;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;4;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;10;Elderkamp, J.I.;50;1;3;0;2;0;0;0;0;0;1;4;0;3;0;0;0;0;0;3;2;0;0;0;3;3;6;2;1;0;0;1;1;0;0;0;4;0;1;7;0;1;0;0;1;0;0
;;11;Bijl-Beck, M.K.L.;6;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Ebbens, E.H.;7;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;13;Bautz, H.F.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;14;Saddik, K.;50;0;2;0;0;0;1;0;0;0;1;2;0;1;0;0;0;0;0;8;3;4;0;0;1;1;7;1;2;0;1;1;0;2;0;0;1;0;1;2;0;1;1;0;6;0;0
;;15;van de Goolberg, M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;16;Oudhuis, P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;17;Lourens, J.R.A.;20;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;0;2;0;0;4;0;0
;;18;Kuin, A.J.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Houtkamp, M.J.C.;25;3;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;4;0;0;2;0;0;0;0;0;1;0;0;1;0;1;1;3;0;1;0;1;0;0;0;3;0;0;0
5;GROENLINKS;;;2832;78;66;19;40;8;22;22;13;9;133;108;26;31;27;27;23;28;3;236;154;88;36;24;65;69;226;59;109;20;113;62;62;130;40;32;148;79;40;150;29;21;15;32;52;26;32
;;1;Haan, Y.J.;931;23;21;4;19;2;15;12;4;5;44;34;8;15;7;7;7;13;1;83;28;25;7;9;19;21;74;20;25;1;27;23;19;57;17;13;59;24;17;48;11;7;10;16;14;9;7
;;2;Beek, K.;69;5;3;0;0;0;1;0;0;0;5;2;1;0;1;0;2;1;0;7;6;1;1;0;1;2;6;0;2;0;2;0;1;5;0;0;6;2;0;5;0;0;0;0;1;0;0
;;3;Voortman, B.;22;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;2;0;6;1;2;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0
;;4;Bakker, M.;817;21;24;6;8;4;2;5;5;3;35;26;6;8;10;6;4;7;2;71;53;24;11;8;23;25;73;19;17;5;15;11;18;38;7;11;50;26;15;52;10;7;0;8;19;12;7
;;5;Siljee, M.;74;3;0;0;2;0;2;3;1;0;3;4;1;1;2;1;2;1;0;4;3;2;2;0;2;0;5;0;1;0;3;1;3;7;0;1;3;7;0;3;0;0;0;0;1;0;0
;;6;Schoondermark, C.S.P.;228;8;3;2;2;1;0;0;0;1;5;23;1;2;1;5;3;1;0;18;15;13;4;2;5;2;29;6;5;1;5;1;4;1;4;2;12;2;0;17;1;3;3;1;7;2;5
;;7;Kiliçkaya, S.;319;9;1;2;2;1;0;0;1;0;22;5;6;2;4;5;0;1;0;22;20;11;4;0;0;7;9;6;49;10;51;14;9;5;5;1;4;7;0;5;3;1;0;0;4;0;11
;;8;Pol, A.;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1
;;9;Witjes, J.J.W.;33;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;1;5;1;0;7;2;0;1;0;0;2;3;0;0;0
;;10;Slomp, E.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Couvée-Kooyker, J.L.;45;3;1;0;2;0;0;0;0;0;5;4;1;0;0;0;0;0;0;4;4;0;1;0;1;0;4;0;0;0;2;1;1;2;0;0;0;1;0;3;2;0;0;2;1;0;0
;;12;Gloudi, E.M.;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;13;Hamers, E.;38;0;2;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;0;3;5;1;2;0;2;3;1;0;1;2;0;0;0;1;0;1;1;2;1;0;1;0;0;0;1;0;1
;;14;Donkers, J.S.;37;2;4;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;2;0;1;0;1;3;4;2;0;0;3;2;0;0;1;0;0;2;0;2;0;0;0;0;0;1;0
;;15;Strik, U.;28;1;4;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;3;4;0;1;1;0;0;0;0;0;1;0;0;4;0;0;1;0;1;0;0;2;0;0
;;16;Meijer, J.;17;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;2;3;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;17;van der Holst, F.B.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Sevenhuijsen, J.A.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Mantingh, A.M.;59;1;2;2;4;0;0;0;0;0;0;3;0;2;0;0;0;1;0;7;9;5;1;0;1;0;1;2;2;0;1;1;2;3;2;0;0;1;1;2;0;1;0;0;1;1;0
;;20;Karens, R.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0
;;21;van Dijk, S.Y.;55;2;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;8;5;3;2;1;2;1;5;1;1;0;1;2;0;1;1;2;0;1;2;6;0;0;0;0;0;1;0
;;22;Ooijevaar, J.W.;23;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;2;1;0;1;0;0;0;1;0;0;3;1;1;0;0;0;0;2;0;0;0;1;0;3;1;0;0;1;1;0;0
6;CDA;;;1710;45;52;11;57;23;14;20;52;4;54;60;15;61;29;29;29;25;4;63;24;18;6;11;35;30;66;29;48;23;50;42;36;111;55;48;85;69;43;30;44;48;5;52;35;7;13
;;1;Pegtel, J.;735;17;15;1;28;13;5;15;24;2;20;25;4;26;11;12;9;10;1;34;5;10;1;8;15;10;22;12;10;10;25;18;20;58;27;25;36;29;20;14;20;21;3;22;15;5;2
;;2;Tuncer, Y.;194;13;12;1;3;0;1;0;6;0;9;8;8;2;3;2;1;0;1;6;6;2;0;2;6;3;6;11;24;0;17;1;5;2;0;0;3;7;1;3;5;1;0;1;8;0;4
;;3;Hekman, A.;164;1;10;6;5;0;3;2;2;2;5;8;1;4;5;2;7;4;0;4;1;0;3;0;5;4;14;4;4;3;1;5;2;3;7;4;8;6;3;1;4;3;0;7;0;0;1
;;4;Ulusoy, N.;15;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;7;0;0;0;0;0;0;0;0;0
;;5;Houtman, L.C.;15;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;1;1;0;0;0;1;2;1;0;0;0;1;0;0;0;0;1;0;0;0
;;6;Kruithof, E.;147;5;3;0;4;6;1;0;2;0;5;6;0;5;2;3;5;3;1;3;4;0;2;1;4;3;8;1;2;2;0;4;2;10;5;2;11;1;2;7;6;9;0;3;3;0;1
;;7;Polak, R.W.;36;0;0;0;0;1;0;1;0;0;1;3;0;3;2;0;0;1;0;1;0;0;0;0;0;1;6;0;2;0;1;1;1;4;0;0;0;0;1;0;0;3;0;2;1;0;0
;;8;Sels, G.D.;25;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;7;1;1;1;0;0;1;1;0;0;1;0;0;0
;;9;Meijboom, W.J.;29;3;0;0;1;2;0;0;2;0;0;0;0;1;1;1;1;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;3;0;2;0;3;0;1;0;1;0;2;0;0;0
;;10;Pegtel-Zonneveld, K.S.M.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0
;;11;Blok, A.F.C.;19;0;0;0;2;0;1;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;4;1;0;2;0;0;0;0;0;0
;;12;van Schie, K.C.;93;3;2;2;0;1;2;1;8;0;1;2;0;3;0;6;2;0;0;1;2;2;0;0;1;0;1;0;0;2;1;1;0;9;2;5;13;2;3;0;2;4;0;5;2;1;1
;;13;Hofland, H.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;3;1;4;0;0;0;0;0;0;0;0
;;14;Flåten-Daskalakis, C.A.C.;24;1;0;0;0;0;0;1;2;0;2;1;0;0;2;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;2;0;1;4;0;1;0;0;1;0;0;0;0;0;0;1
;;15;Lepidis, A.G.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0
;;16;van Aaken, P.;114;0;8;0;3;0;0;0;3;0;6;0;2;6;3;2;0;3;0;3;2;3;0;0;2;2;4;0;1;2;3;5;4;5;2;2;7;6;2;1;3;5;2;6;2;1;3
;;17;van Ardenne-van der Hoeven, A.M.A.;67;1;1;0;8;0;1;0;3;0;3;5;0;3;0;0;1;2;0;4;1;1;0;0;2;3;3;0;2;2;0;0;0;2;3;4;0;2;5;0;1;1;0;0;3;0;0
7;Partij van de Arbeid (P.v.d.A.);;;2513;61;60;12;54;27;20;22;34;3;119;81;22;56;61;41;25;29;7;162;85;69;28;18;60;64;115;45;67;13;99;80;55;143;80;54;89;144;34;55;53;30;6;25;57;34;15
;;1;Zwang, P.M.E.;1422;32;28;2;35;14;14;15;25;3;63;40;9;42;41;25;20;16;6;75;28;28;14;10;32;30;74;29;27;5;66;49;30;84;48;36;59;97;19;25;31;12;4;16;41;15;8
;;2;Silva, J.;395;10;12;2;6;4;2;1;2;0;22;17;0;6;7;4;1;1;0;40;30;22;5;0;12;19;17;10;19;1;10;10;4;17;7;8;7;12;6;13;5;5;1;1;9;4;4
;;3;van Belle, D.;171;1;8;6;0;2;2;0;0;0;3;3;4;4;5;2;3;2;0;12;8;4;9;1;2;4;5;3;3;6;3;4;6;13;6;0;7;13;2;6;0;4;0;2;0;2;1
;;4;de Leeuw, W.E.;39;3;1;0;0;0;0;0;0;0;1;2;0;2;1;0;0;0;0;2;4;4;0;2;0;1;2;1;2;0;1;1;0;1;1;0;0;3;0;2;1;0;0;0;0;1;0
;;5;Boender, W.H.;50;3;0;0;0;0;2;0;0;0;0;1;0;0;0;6;1;0;1;5;2;0;0;0;0;4;1;1;0;0;1;1;2;5;1;0;3;1;1;1;1;0;0;3;1;2;0
;;6;Verbeek, A.;33;0;0;0;0;1;0;0;1;0;5;0;0;0;0;1;0;0;0;0;6;5;0;0;1;0;1;0;0;0;2;2;1;1;0;1;2;0;0;0;0;1;0;2;0;0;0
;;7;Antunes, S.G.;20;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;6;1;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0
;;8;Thomassen, B.J.W.;32;0;0;0;0;0;0;0;0;0;5;1;0;0;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;2;1;1;1;0;2;0;2;0;0;8;0;0;0;0;0;0
;;9;Zijdeveld, C.;91;2;4;0;6;3;0;3;3;0;7;3;2;0;2;1;0;2;0;4;1;1;0;2;3;0;2;0;0;0;3;7;2;4;8;3;5;1;0;0;1;3;0;0;2;1;0
;;10;Clausen, J.A.;67;1;1;0;1;2;0;0;1;0;1;1;4;0;0;0;0;1;0;5;1;0;0;0;2;0;5;0;2;0;3;0;1;6;2;2;1;7;1;4;1;1;1;0;1;6;2
;;11;Overzier, B.;21;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;2;0;0;2;0;2;0;0;0;2;1;2;0;0;0;0;0
;;12;Ubink, G.C.;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;van der Vliet, S.;26;3;0;1;0;1;0;0;0;0;5;1;2;0;0;0;0;3;0;0;0;1;0;0;4;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
;;14;Stam, M.X.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;15;Mooi, R.J.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Heukels, C.;15;0;0;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0
;;17;de Haan-Klaassen, J.;33;1;1;0;1;0;0;2;0;0;3;3;0;1;1;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;4;4;1;0;2;1;0;1;0;1;0;1;0;0;0
;;18;Jaggie, R.;15;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;1;2;0;0;0;0;0;2;0;0
;;19;Holmer, R.;8;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;20;Heskes, J.M.P.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;21;Groeneweg, P.;17;0;0;1;0;0;0;0;0;0;2;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;0;1;0;0;2;0;0;0;0;0;0
;;22;Badri, B.;27;1;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;2;3;0;0;0;1;0;0;3;0;0;2;2;2;1;0;0;1;0;0;1;0;0;0;0;1;0
8;PS Progressief Schiedam;;;1984;53;64;17;25;17;10;18;15;2;62;67;22;24;17;11;14;28;4;129;74;48;17;39;112;71;120;47;32;20;54;47;24;76;46;32;67;92;45;98;47;23;17;20;87;19;11
;;1;Maris, J.M.P.;843;28;23;9;11;7;1;9;6;0;25;36;10;11;8;5;6;9;0;58;29;21;12;18;56;36;53;14;13;9;20;8;11;30;24;16;30;39;18;31;20;6;8;10;34;13;2
;;2;Hamerslag, S.F.;278;6;12;3;3;6;5;0;4;1;3;11;3;3;1;5;0;3;2;18;8;2;1;8;22;7;15;3;3;1;11;14;3;9;8;4;9;10;8;15;6;2;1;1;16;2;0
;;3;Coenradie-Maris, I.A.W.M.;540;11;16;4;8;4;4;4;4;1;21;15;6;6;6;0;5;12;2;36;23;15;2;12;28;12;35;10;6;8;14;17;6;24;8;7;10;21;13;36;16;12;6;6;20;3;5
;;4;van Oorschot, D.;61;0;4;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;2;1;3;0;0;2;5;2;5;2;0;4;2;0;4;3;1;1;4;1;1;2;0;1;0;6;0;0
;;5;Liebregts, P.J.P.;171;4;5;0;1;0;0;2;1;0;10;3;2;3;1;1;2;3;0;11;8;3;1;1;2;4;9;11;7;0;4;3;4;6;2;2;15;12;3;12;3;2;0;0;5;1;2
;;6;Dhoen, P.R.;27;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;4;1;1;0;0;1;2;1;1;1;0;3;0;0;0;0;0;3;1;0;0;0;0;0;2;0;1
;;7;Derichs-van den Enden, C.;64;3;3;1;1;0;0;2;0;0;2;1;0;1;0;0;1;0;0;3;1;3;0;0;2;6;4;3;0;1;1;0;0;3;1;2;2;3;1;3;0;1;1;3;4;0;1
9;OuderenPartij Schiedam;;;2268;48;39;14;90;47;21;34;70;9;97;43;12;100;76;21;24;26;5;73;27;61;10;40;68;49;60;23;45;12;48;87;61;104;146;101;75;123;37;28;35;42;3;15;92;23;4
;;1;Reuderink, M.R.;1574;26;26;12;61;36;13;27;57;6;59;36;7;74;59;17;20;19;5;54;19;40;6;30;50;34;41;14;26;7;28;60;35;71;90;67;48;81;30;21;31;30;1;8;71;17;4
;;2;van Kraaij, P.D.R.;59;7;1;0;2;1;1;0;0;1;4;0;0;2;0;1;0;0;0;0;0;0;0;0;4;0;3;1;2;2;2;3;2;4;6;1;0;2;1;1;0;2;0;1;2;0;0
;;3;Rodenberg, M.M.;300;12;7;0;14;3;2;4;8;1;19;4;2;11;7;2;2;5;0;13;5;15;1;4;7;5;11;1;7;0;14;9;7;16;21;10;10;12;4;4;1;4;2;3;9;2;0
;;4;de Kaper, P.;75;0;2;0;3;1;0;0;0;0;0;0;0;2;0;1;0;0;0;1;1;0;0;1;2;1;2;1;0;0;0;3;3;4;1;14;10;13;1;0;0;4;0;1;3;0;0
;;5;Fijten, P.;29;0;0;0;2;0;0;0;1;0;3;1;0;1;0;0;0;1;0;0;0;3;2;2;2;0;1;1;0;1;0;1;2;0;0;0;0;1;0;1;0;0;0;0;2;1;0
;;6;Pilon, M.K.;27;0;0;0;0;5;2;1;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2;2;1;0;3;2;2;0;0;0;1;0;0;0;0;0
;;7;van den Berg, P.M.;101;3;0;1;3;0;2;1;2;1;3;0;1;5;2;0;0;0;0;1;1;0;0;2;0;1;2;2;7;1;1;3;6;6;22;4;3;7;1;1;2;0;0;2;2;0;0
;;8;de Jong, R.D.;35;0;0;0;2;1;0;0;2;0;2;0;1;0;3;0;0;0;0;2;0;2;0;0;0;4;0;1;1;0;0;4;2;2;1;1;0;1;0;0;1;0;0;0;0;2;0
;;9;Verweijmeren, M.;68;0;3;1;3;0;1;1;0;0;6;0;1;5;5;0;2;1;0;2;0;1;1;1;2;4;0;1;2;1;3;2;2;0;5;1;2;4;0;0;0;1;0;0;3;1;0
10;Lokaal Onafhankelijk Schiedam (L.O.S.);;;1504;47;31;12;15;21;10;11;19;3;36;38;17;22;24;12;18;13;3;108;42;34;4;16;68;43;73;47;32;10;38;32;48;103;51;31;49;84;28;28;34;33;15;8;60;18;15
;;1;Rotteveel-van der Ven, M.;1064;33;19;11;10;19;7;8;16;2;21;26;14;15;21;10;12;10;2;59;32;27;4;13;41;26;55;35;26;6;28;26;37;81;38;23;31;48;18;21;25;27;11;5;43;8;14
;;2;Meesters, J.H.J.;99;5;2;1;1;1;1;2;1;0;3;0;2;2;1;2;1;0;1;13;3;1;0;0;9;2;6;1;2;1;2;0;0;7;0;1;3;4;5;1;4;2;0;0;4;2;0
;;3;van der Zwan, D.E.;40;2;0;0;0;0;0;1;1;0;1;1;0;0;1;0;3;0;0;6;0;1;0;0;2;3;0;1;1;2;3;0;0;0;1;0;4;3;0;0;0;0;0;2;1;0;0
;;4;Mentink, B.H.;36;0;2;0;0;0;2;0;0;0;1;1;1;1;0;0;0;0;0;5;0;0;0;1;2;2;2;4;0;0;0;2;0;0;1;0;3;1;0;1;0;0;0;0;4;0;0
;;5;Villerius, A.J.;139;5;2;0;2;1;0;0;1;0;6;8;0;1;0;0;0;3;0;11;5;2;0;1;10;7;3;0;3;0;2;0;4;8;9;3;6;12;1;3;3;1;3;0;6;6;1
;;6;Triel, S.;46;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;8;1;2;0;1;1;2;1;2;0;1;1;0;5;1;1;2;2;3;2;0;1;1;0;0;1;2;0
;;7;van der Laan, N.J.;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;1;4;0;0;0;1;2;0;1;0;1;0;7;2;1;0;1;1;1;0;0;0
;;8;Meesters, J.J.M.;51;2;4;0;2;0;0;0;0;0;1;2;0;3;1;0;2;0;0;3;0;1;0;0;2;0;2;4;0;0;1;2;2;5;1;1;0;6;0;1;1;1;0;0;1;0;0
11;Sociaal Liberaal Verbond (S.L.V.);;;381;12;2;1;0;4;0;1;4;0;21;10;1;4;2;3;0;0;1;71;31;17;14;0;12;11;12;9;9;2;33;11;5;3;8;2;6;10;4;17;6;1;0;2;12;3;4
;;1;Silva, E.;250;5;2;0;0;2;0;1;0;0;14;6;0;4;0;3;0;0;0;52;22;15;11;0;8;9;7;5;4;1;15;7;2;2;5;2;5;5;2;15;3;1;0;0;12;2;1
;;2;Vleer, A.;78;5;0;1;0;2;0;0;3;0;3;2;0;0;1;0;0;0;0;3;3;2;2;0;4;2;2;4;5;1;15;1;1;1;2;0;1;4;1;1;3;0;0;1;0;1;1
;;3;Santos Oliveira, E.F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;van Aken, R.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;5;Djoenaedi, D.T.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Axel Dongen, J.D.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Vos, A.C.G.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8;Wittkamp, M.;14;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
;;9;Marcus, S.;9;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;Blanco (Janssen, M.);;;1833;23;34;9;8;11;12;12;10;6;64;61;24;17;15;32;22;12;11;87;52;56;17;34;66;56;103;58;19;8;43;48;42;162;20;35;93;110;35;46;35;42;23;27;102;13;18
;;1;Janssen, M.;850;9;17;7;3;5;5;4;5;3;23;30;14;11;6;15;14;6;4;40;23;17;11;15;24;21;40;31;12;2;20;22;27;70;10;9;39;58;25;23;18;23;7;17;51;9;5
;;2;Trouborst, J.;129;0;5;1;0;0;0;1;0;1;8;3;1;0;0;2;2;0;0;5;3;1;2;2;1;2;4;8;1;0;5;1;1;17;4;2;7;8;3;1;1;4;3;1;16;0;2
;;3;van der Stappen, R.J.;26;0;0;0;0;2;0;0;0;0;0;0;1;1;1;2;0;0;0;1;1;1;0;0;0;1;2;0;2;1;1;0;2;3;1;0;1;0;0;0;0;0;2;0;0;0;0
;;4;Offenberg, H.;109;0;0;0;0;0;0;0;1;0;1;5;1;0;1;1;0;0;5;6;5;4;0;3;7;13;6;4;0;2;2;3;1;7;0;0;8;1;0;1;4;0;3;4;10;0;0
;;5;Mannee, M.;64;0;1;0;4;0;5;0;0;0;8;0;0;0;0;2;2;0;0;5;1;1;0;1;1;1;1;2;0;0;0;3;0;9;0;0;1;3;2;0;1;3;4;0;3;0;0
