Verkiezing;;Gemeenteraad Alphen aan den Rijn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alphen aan den Rijn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis;Stembureau MBO Rijnland;Stembureau Opstandingskerk;Stembureau De Jozef;Stembureau Volle Evangelie Gemeente De Ark;Stembureau Nutsgebouw Zwammerdam;Stembureau Dorpshuis Aarlanderveen;Stembureau Clubgebouw Vreugdeoord;Stembureau Basisschool  De Rank;Stembureau Buurthuis De Wielewaal;Stembureau Goede Herderkerk;Stembureau Sporthal De Arena;Stembureau Gemiva loc. Castorstraat;Stembureau Sionskerk (2);Stembureau Haci Bayram Camii Moskee;Stembureau Ontmoetingscentrum Ouverture;Stembureau Sionskerk (1);Stembureau Zalencentrum De Bron (1);Stembureau Zalencentrum De Bron (2);Stembureau Bezoekerscentrum De Veenweiden;Stembureau Gymzaal Honingzwam;Stembureau Gymzaal Batenstein;Stembureau Basisschool De Mare;Stembureau Gymzaal Havixhorst;Stembureau Gymzaal Mandenvlechter;Stembureau Wooncentrum Poortwachter;Stembureau Avanti Wielervereniging;Stembureau Wijkcentrum Kerk en Zanen (1);Stembureau Maranathakerk (1);Stembureau De Lichtkring;Stembureau Wijkcentrum Kerk en Zanen (2);Stembureau Basisschool Het Baken;Stembureau Zwembad AquaRijn (2);Stembureau Speeltuinvereniging Kindervreugd;Stembureau Gymzaal Marsdiep;Stembureau Westerhove;Stembureau Woonboulevard daVinci;Stembureau Sportzaal De Oude Wereld;Stembureau Zwembad AquaRijn (1);Stembureau Gymzaal Klepperman;Stembureau Sportzaal De Vroonhoevelaan (2);Stembureau Hervormd Centrum De Regenboog;Stembureau Gebouw Prot. Gem. De Korenaar;Stembureau Dorpshuis De Som;Stembureau Sportzaal De Cirkel;Stembureau Dorpshuis De Juffrouw;Stembureau Ontmoetingskerk Koudekerk aan den Rijn;Stembureau Vrijetijdscentrum de Ridderhof (1);Stembureau Vrijetijdscentrum de Ridderhof (2);Stembureau Gymzaal Christinastraat;Stembureau School met de Bijbel;Stembureau Brandweerkazerne Boskoop;Stembureau Flora Theater;Stembureau Bethelkerk (1);Stembureau De Plataan;Stembureau De Stek;Stembureau H. Joannes de Doperkerk;Stembureau Gymnastieklokaal de Biezen;Stembureau Minigolfclub De Trekvogels;Stembureau Basisschool Samen Op Weg;Stembureau Sportzaal De Vroonhoevelaan (1);Stembureau Brandweerkazerne Havenstraat;Stembureau Theater Castellum;Stembureau Maranathakerk (2);Stembureau Sporthal De Landvliethal;Stembureau Ontmoetingscentrum De Brug;Stembureau Bethelkerk (2);Stembureau Tennisvereniging Boskoop;Stembureau Pleyn68;Stembureau Wijkcentrum Kaju Putih;Stembureau Archeon;Stembureau Wolters Kluwer;Stembureau Gymzaal Buitendorpstraat;Stembureau Gemeentehuis;Stembureau Opstandingskerk;Stembureau Buurthuis De Wielewaal;Stembureau Zalencentrum De Bron (1);Stembureau Wooncentrum Poortwachter;Stembureau Wijkcentrum Kerk en Zanen;Stembureau Brandweerkazerne Boskoop;Stembureau H. Joannes de Doperkerk;Stembureau Gemeentehuis;Stembureau Opstandingskerk;Stembureau Nutsgebouw Zwammerdam;Stembureau Dorpshuis Aarlanderveen;Stembureau Buurthuis De Wielewaal;Stembureau Zalencentrum De Bron (1);Stembureau Wooncentrum Poortwachter;Stembureau Wijkcentrum Kerk en Zanen;Stembureau Gebouw Prot. Gem. De Korenaar;Stembureau Sportzaal De Cirkel;Stembureau Vrijetijdscentrum de Ridderhof (2);Stembureau Gymzaal Christinastraat;Stembureau Brandweerkazerne Boskoop;Stembureau H. Joannes de Doperkerk;Stembureau Mobiel Stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;1401;1403;1410;1418;1426;1428;1452;1457;1501;1503;1506;1507;1510;1518;1526;1528;1543;1545;1549;1550;1552;1557;3000
Postcode;;;;;2405 SH;2405 EN;2404 BB;2405 BS;2405 AK;2471 AT;2445 AK;2405 XJ;2406 BB;2406 EP;2406 TV;2403 AS;2402 BV;2402 WC;2402 AT;2402 DX;2402 WC;2402 EP;2402 EP;2403 NC;2403 HN;2403 PH;2402 LG;2402 MZ;2401 JJ;2401 KZ;2408 TX;2408 NV;2406 AP;2408 TV;2408 NV;2401 GH;2403 RA;2405 VK;2401 XA;2404 GB;2408 BL;2408 NV;2403 RA;2401 GH;2408 ST;2391 BJ;2391 CB;2394 GJ;2394 GP;2391 CK;2396 HA;2396 WJ;2396 WJ;2731 EZ;2731 AC;2771 EP;2771 GB;2771 PC;2771 SX;2771 SV;2771 DE;2771 CT;2771 ZT;2404 AL;2408 ST;2405 BV;2405 DB;2406 AP;2391 AX;2771 GR;2771 PC;2771 TN;2394 AJ;2404 BX;2408 ZB;2408 ZE;2471 AW;2405 SH;2404 BB;2406 EP;2402 EP;2401 KZ;2408 NV;2771 EP;2771 DE;2405 SH;2404 BB;2471 AT;2445 AK;2406 EP;2402 EP;2401 KZ;2408 NV;2391 CB;2394 GP;2396 WJ;2731 EZ;2771 EP;2771 DE;
;opgeroepenen;;;90149;468;704;996;1228;1508;778;934;1113;1408;1550;1235;1684;1572;1445;1292;1539;1264;1207;1395;1320;1317;1030;1385;1623;1193;1263;1619;1399;1218;940;1478;1074;888;1625;1744;974;1073;1347;1236;1061;1163;950;1352;1558;1232;1563;1459;1459;1535;1348;1417;812;1300;1402;1434;1611;1009;1061;1399;1092;1132;1114;962;1197;971;684;1229;1216;523;941;1499;1353;1045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;43399;604;229;326;387;658;358;447;342;776;445;598;524;342;409;452;489;379;497;487;518;658;518;525;791;274;530;340;602;675;1004;619;417;365;491;616;391;602;615;450;601;406;678;605;662;681;689;348;693;457;685;641;393;678;415;637;749;342;534;580;312;392;244;261;577;348;202;406;448;266;368;731;386;270;380;104;120;495;241;503;247;102;571;192;113;78;157;645;250;862;327;374;353;183;396;199;72
;geldig volmachtbewijs;;;4649;69;40;27;34;72;50;77;53;86;35;59;67;40;52;61;57;59;58;1;46;69;55;50;0;21;67;45;79;68;137;87;50;42;51;81;31;65;91;39;0;1;106;75;48;81;82;49;74;58;95;101;38;95;44;66;83;34;71;91;29;43;27;25;62;60;15;47;50;34;25;98;36;29;30;12;11;44;20;49;26;12;74;21;10;9;11;66;29;1;42;23;30;20;37;26;3
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;48048;673;269;353;421;730;408;524;395;862;480;657;591;382;461;513;546;438;555;488;564;727;573;575;791;295;597;385;681;743;1141;706;467;407;542;697;422;667;706;489;601;407;784;680;710;762;771;397;767;515;780;742;431;773;459;703;832;376;605;671;341;435;271;286;639;408;217;453;498;300;393;829;422;299;410;116;131;539;261;552;273;114;645;213;123;87;168;711;279;863;369;397;383;203;433;225;75
;geldige stembiljetten;;;47784;670;269;350;420;727;405;522;393;854;475;657;582;380;460;511;543;436;549;484;562;724;567;573;787;291;595;383;673;740;1133;703;462;405;537;693;418;665;702;488;601;406;783;675;709;753;767;397;763;515;771;738;427;772;454;696;830;376;603;670;336;432;270;286;634;406;216;451;495;298;388;822;419;298;410;116;131;534;260;551;272;114;643;213;122;84;168;705;276;863;369;396;383;202;430;222;75
;blanco stembiljetten;;;175;2;0;3;0;3;0;1;2;6;4;0;6;2;1;1;2;2;4;3;1;2;3;2;3;1;2;2;4;2;7;1;5;1;4;2;4;2;3;1;0;1;1;4;1;3;1;0;1;0;5;0;3;0;2;6;2;0;2;1;5;3;0;0;2;0;1;1;3;2;4;6;1;0;0;0;0;3;0;1;1;0;1;0;1;3;0;3;1;0;0;0;0;1;2;3;0
;ongeldige stembiljetten;;;84;2;0;1;0;0;3;1;0;2;1;0;3;0;0;1;1;0;2;1;1;1;2;0;1;3;1;0;3;1;1;2;0;1;2;2;0;0;1;0;0;0;0;1;0;3;2;0;3;0;4;4;1;0;3;1;0;0;0;0;0;0;1;0;3;2;0;1;0;0;1;1;2;1;0;0;0;2;1;0;0;0;1;0;0;0;0;3;2;0;0;1;0;0;0;0;0
