Verkiezing;;Gemeenteraad Westland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Naaldwijk Gemeentehuis Verdilaan 1;Naaldwijk Gemeentehuis Verdilaan 2;Naaldwijk Gemeentekantoor Ln vd Glazen Stad;Naaldwijk Basisschool de Regenboog;Naaldwijk Bernadetteschool;Naaldwijk Brandweerkazerne;Naaldwijk De Oude Kerk;Naaldwijk Fusica voormalige dansschool;Naaldwijk Gymzaal de Boemerang;Naaldwijk Gymzaal Wollegras;Naaldwijk Ontmoetingskerk;Naaldwijk Partycentrum De Binnenhof;Naaldwijk Theaterloods;Naaldwijk Wijkcentrum Hooge Hasta;Honselersdijk Basisschool De Hoeksteen;Honselersdijk De Hunselaer;Honselersdijk SV Sosefhal;Honselersdijk Zalencentrum Hemelsblauw;Maasdijk Dorpskerk;Maasdijk Wijkcentrum Prinsenhof;'s-Gravenzande Bibliotheek;'s-Gravenzande ISW Gasthuislaan;'s-Gravenzande Noorderkerk;'s-Gravenzande Prins Willem-Alexanderschool;'s-Gravenzande Sportlokaal Oudeland;'s-Gravenzande voormalig Gemeentekantoor;'s-Gravenzande Westlandhal;'s-Gravenzande Wijkcentrum Larix;'s-Gravenzande Zalencentrum De Brug;'s-Gravenzande Zalencentrum De Kiem;'s-Gravenzande Zwembad Maesemunde;Heenweg CBS De Kameleon;Monster Ontmoetingscentrum de Haven;Monster de Noviteit;Monster Fata Morgana;Monster Sporthal de Wielepet;Monster Sportpark Polanen;Monster Verenigingsgebouw De Hoeksteen;Monster Het Westerhonk;Ter Heijde Dorpshuis Het Vrondel;Poeldijk Basisschool  De Nieuwe Weg;Poeldijk Basisschool Verburch-hof;Poeldijk de Veiling;Poeldijk Vrienden Partycentrum;Wateringen Hofboerderij;Wateringen Ontmoetingsplek Joop;Wateringen Ontmoetingsruimte De Vang;Wateringen Parochiezaal De Kolenkit;Wateringen Sportvereniging VELO;Wateringen St. Jozefbasisschool;Wateringen 't Knooppunt Scouting;Wateringen Wijkcentrum Terra Nova;Kwintsheul Basisschool Andreashof;Kwintsheul Dorpshuis Kastanjehof;De Lier Basisschool Prins Willem-Alexander;De Lier Bibliotheek / De Viermaster;De Lier De Achtsprong (ingang Berkenlaan);De Lier Partycentrum 't Centrum 1;De Lier Partycentrum 't Centrum 2;De Lier Scouting;De Lier Sportcentrum Vreeloo 1;De Lier Sportcentrum Vreeloo 2;De Lier Wijkcentrum 't Anker;Mobiel Bijzonder Stembureau Careyn;Mobiel Bijzonder Stembureau Pieter van Foreest;Naaldwijk Gemeentehuis Verdilaan 1 MA;Naaldwijk Gemeentehuis Verdilaan 1 DI;Honselersdijk Zalencentrum Hemelsblauw MA;Honselersdijk Zalencentrum Hemelsblauw DI;Maasdijk Dorpskerk MA;Maasdijk Dorpskerk DI;'s-Gravenzande Zalencentrum De Kiem MA;'s-Gravenzande Zalencentrum De Kiem DI;Heenweg CBS De Kameleon MA;Heenweg CBS De Kameleon DI;Monster Ontmoetingscentrum de Haven MA;Monster Ontmoetingscentrum de Haven DI;Ter Heijde Dorpshuis Het Vrondel MA;Ter Heijde Dorpshuis Het Vrondel DI;Poeldijk Vrienden Partycentrum MA;Poeldijk Vrienden Partycentrum DI;Wateringen Wijkcentrum Terra Nova MA;Wateringen Wijkcentrum Terra Nova DI;Kwintsheul Dorpshuis Kastanjehof MA;Kwintsheul Dorpshuis Kastanjehof DI;De Lier Partycentrum 't Centrum 1 MA;De Lier Partycentrum 't Centrum 1 DI
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;82;83;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122
Postcode;;;;;2671 VW;2671 VW;2672 TA;2672 DR;2673 BK;2671 JP;2671 GR;2671 GJ;2671 GB;2671 ZZ;2671 KH;2671 EG;2671 MJ;2672 HC;2675 XT;2675 XJ;2675 WN;2675 CL;2676 XM;2676 XE;2692 AG;2694 BE;2691 BK;2694 BW;2691 CC;2691 BE;2691 TM;2691 DE;2691 GC;2691 GC;2691 GH;2691 LR;2681 LB;2681 LD;2681 AR;2681 VN;2681 HN;2681 AB;2681 JB;2684 XE;2685 WB;2685 RS;2685 BB;2685 EK;2291 CP;2292 CG;2291 LC;2291 SZ;2291 EE;2292 AD;2291 GP;2291 VS;2295 PE;2295 LB;2678 TX;2678 BP;2678 TC;2678 CM;2678 CM;2678 PA;2678 LN;2678 LN;2678 GC;2291 BD;2691 CK;2671 VW;2671 VW;2675 CL;2675 CL;2676 XM;2676 XM;2691 GC;2691 GC;2691 LR;2691 LR;2681 LB;2681 LB;2684 XE;2684 XE;2685 EK;2685 EK;2291 VS;2291 VS;2295 LB;2295 LB;2678 CM;2678 CM
;opgeroepenen;;;89551;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1422;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;1421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;43652;676;504;569;881;931;677;251;71;296;906;530;752;263;325;308;513;216;948;712;495;1153;471;286;646;251;599;452;600;927;860;337;360;936;312;370;871;671;627;349;298;482;603;420;502;429;625;471;645;728;543;109;850;464;825;515;526;414;538;555;486;576;539;124;46;42;695;1011;225;388;208;319;680;1033;47;122;443;625;120;195;248;337;495;634;205;313;397;655
;geldig volmachtbewijs;;;5613;91;72;83;135;124;91;23;8;26;111;71;105;47;38;46;69;26;141;127;76;164;59;33;104;42;72;66;57;148;110;57;61;0;36;53;134;77;78;42;35;85;76;51;70;51;92;52;85;139;61;11;121;60;106;54;46;44;77;65;56;81;73;11;3;1;83;149;25;51;24;48;89;138;4;15;1;76;16;22;34;48;52;64;13;26;36;90
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;49265;767;576;652;1016;1055;768;274;79;322;1017;601;857;310;363;354;582;242;1089;839;571;1317;530;319;750;293;671;518;657;1075;970;394;421;936;348;423;1005;748;705;391;333;567;679;471;572;480;717;523;730;867;604;120;971;524;931;569;572;458;615;620;542;657;612;135;49;43;778;1160;250;439;232;367;769;1171;51;137;444;701;136;217;282;385;547;698;218;339;433;745
;geldige stembiljetten;;;49052;760;573;651;1013;1053;767;272;79;322;1017;600;852;310;360;350;580;236;1087;836;569;1315;530;314;749;293;670;518;655;1072;965;393;420;929;347;422;1000;747;704;391;331;565;677;467;564;478;711;517;726;865;600;120;967;522;928;563;569;455;609;616;541;654;611;135;49;42;772;1150;250;437;232;367;769;1167;51;136;444;697;136;216;281;383;541;695;216;338;429;742
;blanco stembiljetten;;;134;6;2;1;2;0;1;1;0;0;0;0;2;0;2;2;0;6;2;1;1;2;0;4;0;0;0;0;2;0;5;1;1;4;1;1;3;1;1;0;1;2;2;1;6;1;3;4;3;2;4;0;4;2;1;6;2;1;6;4;1;2;1;0;0;0;1;5;0;2;0;0;0;2;0;1;0;0;0;1;0;1;2;0;1;1;2;1
;ongeldige stembiljetten;;;77;1;1;0;1;1;0;1;0;0;0;1;3;0;1;2;2;0;0;2;1;0;1;1;1;0;1;0;1;3;0;0;0;3;0;0;2;0;0;0;1;1;0;3;1;1;3;2;1;0;0;0;0;0;2;1;1;1;0;0;0;1;0;0;0;1;3;5;0;0;0;0;0;2;0;0;0;3;0;0;1;1;4;3;1;0;2;2
