Verkiezing;;Gemeenteraad Goeree-Overflakkee 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goeree-Overflakkee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Oostdam;Dorpstienden;Eben Haëzer;Doopsgezinde Gemeente;De Rank;'t Haegse Huus;De Schakel;De Gooye;Ons Huis;Melishof;Het Diekhuus;Wijkcentrum;Jongeren Activiteiten Centrum (JAC);De Hoeksteen;Vita Nova;De Staver;Exoduskerk;Ons Dorpshuis;Trefpunt;'t Centrum;Bommelstee;'t Buurthuus;De Grutterswei (zaal A);De Grutterswei (zaal C);Dorpstienden (maandag);Dorpstienden (dinsdag);De Schakel (maandag);De Schakel (dinsdag);De Staver (maandag);De Staver (dinsdag);De Grutterswei (maandag);De Grutterswei (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;28;29;30;31;32;33;34;35
Postcode;;;;;3252 AV;3253 AS;3253 VJ;3253 AS;3251 AB;3251 CR;3247 AA;3247 XW;3249 AJ;3248 BE;3241 GA;3241 AA;3241 LH;3241 CR;3245 CP;3245 DL;3245 VB;3244 AL;3243 AP;3257 XM;3258 AW;3256 AH;3255 BS;3255 BS;;;;;;;;
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;5260;214;328;446;186;185;179;351;284;154;178;116;210;107;160;196;128;228;346;77;266;49;27;51;78;120;178;64;87;91;116;29;31
;;1;Herweijer, H.;2739;95;141;182;89;88;77;218;192;108;90;60;113;62;79;95;75;123;177;40;129;37;16;23;50;53;72;49;53;33;73;26;21
;;2;Grinwis, P.C.;523;54;64;83;52;18;18;20;6;13;19;9;10;3;6;4;14;4;19;1;7;1;0;3;1;32;46;1;7;3;5;0;0
;;3;Kieviet, P.;306;5;1;1;3;3;0;30;11;5;16;16;25;12;19;20;14;40;15;6;3;1;1;5;5;1;0;2;2;27;17;0;0
;;4;van der Tang, S.;146;2;1;5;3;0;1;3;2;2;1;0;1;1;1;3;1;3;13;2;88;1;4;1;1;0;1;0;0;1;2;0;2
;;5;Kasteleijn, A.;75;0;13;27;9;4;1;1;8;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;4;4;0;0;0;0;0;0
;;6;Grinwis, C.G.M.;123;8;28;44;3;1;4;1;2;0;2;0;0;0;1;1;0;2;0;0;2;0;0;0;0;7;15;0;0;2;0;0;0
;;7;de Geus, J.J.;145;0;2;3;1;0;3;4;11;4;7;5;13;2;13;18;7;16;6;1;0;0;0;0;1;0;1;2;2;16;7;0;0
;;8;Versluis, A.J.;134;3;29;34;6;0;0;3;2;0;0;2;6;5;1;2;0;5;2;1;0;2;0;1;0;9;17;0;3;1;0;0;0
;;9;Ista, A.;160;2;3;6;3;49;55;5;2;0;7;0;1;2;1;2;1;6;2;3;0;0;0;0;0;3;3;0;2;1;0;1;0
;;10;Braber, C.W.;37;2;0;0;0;1;0;0;4;0;1;3;1;0;0;7;1;2;3;1;8;0;0;0;3;0;0;0;0;0;0;0;0
;;11;Guijt, C.C.W.;95;3;3;2;2;1;0;4;3;3;0;2;3;0;1;4;0;7;42;3;1;0;0;2;0;0;2;2;1;1;3;0;0
;;12;Dam, A.;117;10;18;23;7;1;2;18;4;0;3;2;1;2;1;2;1;2;1;0;0;0;2;2;1;3;7;1;0;2;1;0;0
;;13;Markwat, D.A.;129;5;3;2;1;1;0;18;12;2;1;5;5;7;8;5;1;2;20;2;1;0;1;3;4;1;0;4;4;3;6;0;2
;;14;Kieviet, D.J.;47;0;1;0;0;0;0;4;0;0;2;0;3;2;14;6;4;2;3;1;0;1;2;0;0;0;0;0;2;0;0;0;0
;;15;Okker, C.;9;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Flikweert, W.C.;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Houweling, A.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;3;5;0;0;0;0;0;0;1;3
;;18;Huijser, W.;41;0;0;1;0;0;0;3;2;0;0;0;9;0;0;6;0;2;2;7;0;0;0;0;2;0;0;0;5;0;1;1;0
;;19;van Spronsen, J.M.;17;0;0;0;0;0;0;0;0;0;0;1;1;0;1;4;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Nipius, S.K.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Baan, M.B.;11;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;22;van Wijk, A.T.;6;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Klink, P.C.;15;0;0;0;0;2;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;24;van Harberden, J.W.;31;0;0;0;1;4;1;1;5;4;8;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0
;;25;de Jonge, M.J.;17;0;0;0;0;0;0;1;2;0;1;0;0;2;1;7;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
;;26;Soeteman, K.;36;18;2;4;2;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0
;;27;Anker, A.D.;7;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;28;van der Sluijs, D.A.;11;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;0;4;1;0;0;0;0;0;0;0;0
;;29;Slingerland, H.G.;40;2;10;15;0;2;1;0;2;0;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;Kieviet, P.;11;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;van Rossum, A.H.C.;6;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;32;Driece, L.W.;10;0;1;0;0;0;0;0;0;0;3;2;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;33;Tanis, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Hage, M.G.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Bok, M.C.;6;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Tanis, P.J.;10;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;37;de Haan, T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;den Hertog, P.;25;3;5;7;2;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
;;39;van Strien, D.N.;27;0;0;0;0;3;0;1;6;4;6;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0
;;40;van Gurp, A.T.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0
;;41;Bechthum, P.;12;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0
;;42;van der Grond, H.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Knöps, P.D.;19;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;13;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;44;Butijn, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van der Velde, W.K.;12;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van der Boom, A.J.;12;0;0;0;0;1;0;1;2;0;3;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;47;Nipius, K.J.;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van der Boom, M.;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;49;Breederveld, P.;10;0;1;1;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Dam, C.J.;27;0;0;0;0;0;0;1;1;0;1;2;9;4;2;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1
2;Vitale Kernen Goeree Overflakkee;;;5385;90;113;77;34;92;124;183;163;165;185;222;244;274;166;272;207;271;274;139;266;205;131;326;286;30;58;56;109;137;236;89;161
;;1;de Vos, J.;2582;37;36;30;16;38;61;76;83;72;100;125;146;136;96;166;131;194;130;42;130;67;50;107;102;13;15;18;56;92;140;21;56
;;2;Bruggeman, B.J.;401;6;3;3;1;2;3;6;5;6;8;12;6;8;6;4;7;7;27;5;12;14;4;87;59;4;0;7;4;3;18;22;42
;;3;van Alphen, A.;139;0;1;2;0;2;2;1;1;3;0;10;14;32;12;7;6;3;17;2;2;2;1;1;3;0;2;1;1;2;8;1;0
;;4;Heintjes, W.P.M.;204;0;2;1;1;2;2;5;3;2;4;8;11;5;8;11;1;7;14;5;8;25;16;12;17;0;1;2;0;3;12;2;14
;;5;van Alphen, C.Z.;400;8;16;3;3;15;10;8;7;8;22;31;16;30;15;31;11;20;27;15;10;12;7;6;9;1;6;4;15;12;16;1;5
;;6;Campfens-van den Ouden, J.;141;4;2;0;0;2;4;2;2;2;2;3;3;1;2;3;3;2;9;5;6;6;4;27;14;1;0;2;0;1;2;15;12
;;7;de Bruine, M.W.;121;1;1;1;1;1;1;3;2;3;2;6;10;14;4;8;9;9;5;0;3;2;1;1;0;2;0;1;0;9;20;1;0
;;8;van der Meer, H.;174;23;34;30;10;3;9;3;0;1;4;1;0;1;3;6;3;3;1;0;0;0;0;1;0;8;26;1;0;1;1;0;1
;;9;Spelt, R.E.D.;42;0;0;0;0;0;0;13;12;1;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;6;1;0;0;0
;;10;Schellevis, L.;18;0;1;0;0;0;0;0;1;0;0;0;0;2;0;1;1;1;1;0;0;1;0;0;0;1;0;0;2;5;1;0;0
;;11;de Graaff-van Lith, K. J.;75;4;2;1;1;26;27;0;0;0;0;1;1;0;0;0;1;0;1;2;0;0;0;0;0;0;5;0;1;0;2;0;0
;;12;Beijer, R.;159;0;0;0;0;0;0;3;1;0;0;2;3;4;1;3;3;3;3;7;5;8;30;40;20;0;0;0;0;1;0;11;11
;;13;Hainey, S.;112;0;0;0;0;1;0;0;0;2;0;1;6;4;2;7;1;3;3;43;5;8;0;2;11;0;0;1;6;2;0;2;2
;;14;van Rij, J.;20;0;0;0;0;0;0;0;1;1;0;1;0;8;2;2;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0
