Verkiezing;;Gemeenteraad Goeree-Overflakkee 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goeree-Overflakkee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Oostdam;Dorpstienden;Eben Haëzer;Doopsgezinde Gemeente;De Rank;'t Haegse Huus;De Schakel;De Gooye;Ons Huis;Melishof;Het Diekhuus;Wijkcentrum;Jongeren Activiteiten Centrum (JAC);De Hoeksteen;Vita Nova;De Staver;Exoduskerk;Ons Dorpshuis;Trefpunt;'t Centrum;Bommelstee;'t Buurthuus;De Grutterswei (zaal A);De Grutterswei (zaal C);Dorpstienden (maandag);Dorpstienden (dinsdag);De Schakel (maandag);De Schakel (dinsdag);De Staver (maandag);De Staver (dinsdag);De Grutterswei (maandag);De Grutterswei (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;28;29;30;31;32;33;34;35
Postcode;;;;;3252 AV;3253 AS;3253 VJ;3253 AS;3251 AB;3251 CR;3247 AA;3247 XW;3249 AJ;3248 BE;3241 GA;3241 AA;3241 LH;3241 CR;3245 CP;3245 DL;3245 VB;3244 AL;3243 AP;3257 XM;3258 AW;3256 AH;3255 BS;3255 BS;;;;;;;;
;;10;Mijnders-Breure, C.A.;100;0;0;0;0;0;0;2;3;1;0;2;1;2;3;3;1;5;4;63;1;0;2;1;0;0;0;1;0;4;1;0;0
;;11;Chipashvili-Laan, F.E.;36;1;1;3;0;0;0;2;0;3;0;1;0;2;0;1;0;1;1;0;2;0;0;8;8;0;0;0;0;0;1;0;1
;;12;Wegman, G.J.M.;31;0;1;2;1;1;0;2;1;0;0;2;3;1;1;1;2;7;0;0;0;1;0;1;1;0;0;0;0;0;3;0;0
;;13;van der Velde, J.C.J.;54;0;0;0;0;1;1;1;5;23;5;3;0;0;1;1;1;0;0;3;0;1;1;1;0;0;1;1;0;0;1;0;3
;;14;Pijl, A.;43;6;14;7;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;8;0;0;0;2;0;0
;;15;Houweling, A.J.;177;10;5;6;0;2;4;14;11;8;10;2;6;13;4;5;7;10;9;6;2;6;3;7;3;0;3;3;2;4;6;0;6
;;16;Westhoeve, J.W.;14;1;5;2;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;17;Westra, A.C.M.;32;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;2;1;0;1;3;0;7;3;0;0;0;0;3;1;3;1
;;18;van Leeuwen, E.;24;7;1;2;2;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
;;19;Timmer-Wolfert, D.;18;0;0;0;1;0;0;2;6;0;0;0;0;1;0;0;1;0;2;2;0;0;0;0;0;0;0;0;3;0;0;0;0
;;20;Sauren, R.F.J.M.;18;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;2;8;2;1;0;0;0;0;0;0;0;0;0
;;21;Reijnders, W.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Blaak-Looij, J.J.;14;0;3;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0
;;23;van Papeveld, R.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Toor-Groeneweg, K.C.;9;1;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;Houweling, J.A.;18;0;0;1;0;0;1;0;0;0;1;1;1;1;3;0;0;0;1;0;0;1;1;0;2;0;0;1;0;0;3;0;0
4;VVD;;;2252;156;142;36;31;51;45;87;75;56;81;97;71;83;119;112;57;88;91;69;90;62;62;61;61;45;67;26;29;63;82;19;38
;;1;Nijssen, P.J.;1320;48;71;21;12;35;25;47;41;18;59;70;41;59;81;77;35;60;54;27;57;22;27;42;46;20;41;19;18;46;64;9;28
;;2;Weydema, R.;131;0;3;0;0;0;2;4;1;3;2;6;11;3;8;12;10;14;8;1;10;3;5;3;3;3;0;2;3;6;5;0;0
;;3;Melissant-Makkus, C.;199;89;15;5;7;12;10;5;4;0;4;3;0;2;5;4;2;5;5;0;2;1;0;0;1;6;4;1;1;2;2;2;0
;;4;Vreugde, B.P.M.;29;0;0;0;0;0;1;0;1;1;0;3;4;4;0;2;5;0;1;2;1;0;0;0;0;0;0;0;0;3;1;0;0
;;5;de Kool, A.J.;41;0;4;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;6;2;20;1;0;0;1;0;0;0;1;2;0
;;6;Zwaga, N.F.;95;0;1;0;0;0;0;5;3;3;3;1;2;4;5;0;1;2;6;38;4;2;0;0;5;0;0;0;1;2;3;0;4
;;7;van Maurik, S.C.;36;0;0;0;0;0;0;2;6;0;0;7;2;3;6;1;0;1;0;1;1;0;1;2;0;0;0;0;0;1;0;1;1
;;8;Deelen, R.;23;0;0;0;0;0;1;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;9;de Jong, J.J.;33;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;26;1;1;0;0;0;0;0;0;1;0;0
;;10;Merkestein, M.;14;0;0;0;0;0;1;0;1;0;0;0;1;1;2;3;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;van der Ploeg, B.W.;22;0;0;0;0;0;2;10;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;12;Bron-Slis, R.J.A.;49;2;23;2;5;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;8;1;0;0;0;0;0
;;13;Polie, P.K.C.;46;2;18;5;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0
;;14;Stoop, I.H.M.;22;0;0;0;0;0;0;2;1;0;0;2;5;2;1;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Kastelein, A.J.;33;5;0;1;2;2;1;0;0;1;4;1;0;0;3;0;0;0;10;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;16;van Es-van der Heijden, H.W.M.;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Goedegebuure, M.K.R.;6;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Zwanenburg, H.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;19;Mulder, M.E.N.;10;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;20;Segers, R.A.P.;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;den Eerzamen, W.;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Vis, C.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van der Valk, M.G.;10;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;24;van Noordt Wieringa, E.J.F.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;4;4
;;25;Nelisse, R.M.L.;34;1;2;0;2;0;0;5;2;2;5;0;0;1;2;4;1;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;1
;;26;van Oorschot, J.J.M.;34;4;0;0;0;0;0;2;3;1;0;1;0;1;0;0;0;2;2;0;4;0;8;2;1;0;0;0;0;0;3;0;0
;;27;Rijerkerk-Andriesen, A.J.;13;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;28;Wissekerke, R.B.;13;1;0;1;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1966;83;64;35;22;88;121;68;65;38;79;61;86;64;39;77;58;60;89;51;107;57;35;96;106;23;27;26;34;57;54;48;48
;;1;Eijkenduijn, J.W.;534;16;11;8;4;11;22;24;24;15;23;22;33;23;8;36;24;22;31;18;22;14;15;8;9;4;3;7;13;30;25;9;0
;;2;'t Hoen, P.W.;702;30;17;9;4;18;12;16;18;8;25;23;21;29;13;19;26;17;35;19;32;25;14;69;69;7;10;3;12;11;19;32;40
;;3;Grinwis, C.;182;10;16;9;4;43;71;0;3;1;5;1;0;0;0;0;0;1;1;3;2;2;0;1;2;0;3;2;0;1;0;1;0
;;4;Bos, R.S.;34;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;28;2;0;0;0;0;0;0;0;0;0;0;0
;;5;Garst, S.H.P.;175;3;4;0;0;3;4;5;3;3;10;10;16;7;9;6;3;11;12;4;1;1;5;10;20;1;0;0;3;9;3;6;3
;;6;Padmos, J.;99;11;13;3;10;6;3;3;5;1;7;0;4;0;2;2;2;0;1;1;1;1;0;1;1;9;10;1;1;0;0;0;0
;;7;Keuker, P.;55;1;0;0;0;0;0;14;11;5;0;2;0;1;0;0;1;0;5;0;2;0;0;0;0;0;0;8;5;0;0;0;0
;;8;Vermeulen, J.A.H.O.;31;1;0;0;0;0;1;1;0;4;2;2;7;2;0;4;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1
;;9;Hooyman, W.I.M.;14;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;1;2;0;0;0;0;1;0;0;2
;;10;du Pree, M.;13;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;0;0;0;1;0;2;1;0;0;0;0;3;0;0;0
;;11;Trompper-van Kan, A.M.A.;13;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Boerboom, F.;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;1;0;0;0
;;13;van Seters, J.;27;5;1;0;0;6;8;0;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;14;Kickert-Schotting, D.A.;10;2;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;15;Hoving, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;16;Grootens, G.F.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;17;van der Slik, A.;14;0;0;0;0;1;0;1;0;0;1;0;1;0;0;2;0;0;0;2;0;1;0;3;0;0;0;0;0;0;1;0;1
;;18;Trompper, J.C.M.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Poortvliet, G.W.J.;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;4;5;0;0;1;0;0;0;0;0;1;0;0
;;20;Bakelaar, T.A.;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Hommes, G.;12;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0
;;22;Kleingeld, G.C.;9;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1
6;ChristenUnie;;;2093;125;61;58;52;68;39;139;114;55;37;80;81;47;81;114;48;92;102;63;134;65;19;61;41;27;45;26;54;33;77;16;39
;;1;Tuk, E.;904;59;37;38;36;46;26;40;23;30;19;29;35;20;37;54;22;40;36;29;48;21;6;17;13;18;29;8;22;8;34;6;18
;;2;van den Berg-Mostert, E.M.E.;464;22;14;8;6;7;6;71;68;9;8;24;25;11;16;14;7;12;16;9;9;13;6;8;6;5;3;15;24;7;12;2;1
;;3;Pipping, C.M.;84;3;0;0;1;0;0;2;2;0;1;3;3;0;0;1;1;2;0;1;1;1;0;23;13;0;0;0;2;4;2;4;14
;;4;van Heemst, J.P.C.;177;3;0;0;1;0;0;11;5;6;2;7;4;9;11;18;8;7;39;3;0;5;0;5;5;2;2;1;3;3;15;1;1
;;5;van Drongelen-van der Stoel, C.E.;93;0;0;1;0;1;1;3;1;0;1;0;1;1;0;0;1;3;1;3;46;13;6;0;1;0;1;0;0;0;4;1;3
;;6;Vennik, J.M.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0
;;7;Tanis-Keijzer, P.M.;54;23;4;4;0;6;4;0;3;1;2;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
;;8;van den Boogert, J.;57;0;0;0;0;1;0;3;1;2;0;8;2;1;9;9;5;13;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;9;Kievit-van der Velde, A.W.L.;22;0;1;1;0;0;1;5;3;3;1;0;0;0;0;1;0;1;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0
;;10;van Asperen, R.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;1;0;0;0;0;0;0;2;1
;;11;van de Werken, J.W.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;23;0;1;0;0;0;0;0;0;0;0;0;1
;;12;Meijerink-Breukink, H.;22;0;0;0;1;0;0;0;1;1;1;2;3;3;0;1;3;1;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0
;;13;Grinwis, T.K.;9;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;14;Wittekoek, A.J.;24;0;0;0;0;0;0;0;1;0;1;0;1;0;1;7;0;5;1;0;0;0;0;0;2;0;0;0;0;2;3;0;0
;;15;Akershoek, J.;9;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
;;16;Bestman, D.J.;11;0;0;0;0;0;0;2;3;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;17;van Gurp, J.;38;0;0;1;0;3;0;0;0;3;0;5;4;0;4;0;0;0;2;3;4;1;0;1;0;0;0;0;0;5;2;0;0
;;18;Sperling, C.A.;22;11;0;2;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;19;Scheermeijer, H.J.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Grinwis-Driesse, M.N.;7;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Priem, L.A.;3;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Meinster, J.A.;15;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0
;;23;Stribos, A.P.F.M.;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Robijn, P.;10;0;0;1;0;0;0;0;0;0;0;0;1;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;de Jong, G.;11;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
7;Partij vd Jongeren;;;506;24;13;9;8;21;16;26;19;11;25;17;15;30;16;21;20;12;26;18;37;22;13;20;17;3;5;6;11;5;10;7;3
;;1;van der Weide, F.M.L.;249;12;5;2;2;9;12;18;11;7;14;7;8;18;10;10;6;6;9;7;12;19;6;6;9;0;2;3;7;1;4;5;2
;;2;Poortvliet, J.C.;23;1;0;0;0;0;0;3;0;1;0;1;1;0;2;1;3;3;3;0;0;0;0;0;0;1;0;0;0;1;2;0;0
;;3;van Wilpen, I.A.;64;2;2;0;1;6;2;0;1;2;3;3;2;4;0;4;1;2;3;3;6;2;2;4;5;0;1;1;0;0;2;0;0
;;4;van Dijk, D.W.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;3;1;0;0;0;0;0;0;0;1
;;5;Krijgsman, W.;13;0;0;0;0;2;0;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0
;;6;van Dam, E.P.C.;29;7;6;7;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
;;7;van Dijk, G.G.;9;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Looij, J.P.A.;20;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0;0;0;0;0;0;0;0;0
;;9;Troost, V.;12;0;0;0;0;0;0;1;0;1;3;1;0;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;10;de Boed, A.J.A.;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;1;0
;;11;van de Geest, C.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;12;Troost-Wiegel, H.L.;10;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;13;van Nimwegen, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Narraina, F.A.D.;9;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0
;;15;de Visser, G.;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Pulleman, A.J.;11;2;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Zoon, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Dis, W.J.;7;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Lokhorst, J.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;20;van Weenen-Hartman, S.J.;17;0;0;0;0;1;0;0;0;0;3;1;0;1;0;2;0;0;6;0;0;0;1;0;0;1;1;0;0;0;0;0;0
8;D66;;;845;55;50;24;10;17;14;28;20;11;45;36;31;24;41;44;22;27;53;21;26;21;25;34;11;25;20;7;10;23;31;16;23
;;1;Verlegh, J.;452;33;15;8;7;8;7;14;9;3;24;18;20;15;20;22;10;15;42;15;13;6;9;25;8;10;5;4;7;13;19;11;17
;;2;de Haan, D.;93;8;4;1;1;1;3;0;2;3;0;8;3;3;14;4;4;4;2;2;4;0;6;1;0;1;0;0;0;5;3;3;3
;;3;van Biert, T.A.;20;0;0;2;0;0;0;0;0;0;1;1;1;1;1;0;2;1;0;1;0;1;1;0;1;0;2;0;0;0;3;0;1
;;4;de Geus, C.J.C.;123;6;27;12;1;5;3;1;1;0;3;0;2;3;1;8;3;6;1;1;6;3;2;2;0;13;9;0;0;0;1;2;1
;;5;Vervloet-Kant, J.C.E.;66;3;1;0;1;0;0;4;3;3;6;7;3;0;2;7;1;0;2;1;1;3;5;0;1;1;2;2;0;3;3;0;1
;;6;Harzing, M.;12;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;5;1;1;0;0;0;0;0;0;1;0;0
;;7;Kant, J.M.;7;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;8;van Woerden, J.V.;8;2;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;van Loon, D.J.;44;3;1;1;0;2;1;6;4;0;9;1;1;0;2;1;2;1;0;0;0;1;1;2;1;0;1;0;2;1;0;0;0
;;10;Parlevliet, J.;20;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;6;0;1;2;0;3;0;0;0;0;0;1;1;0;0
9;Groep Jan Zwerus;;;3186;126;104;55;45;132;110;121;142;70;147;85;132;141;68;99;94;108;125;122;125;146;205;137;116;29;57;42;62;63;84;33;61
;;1;Zwerus, G.J.;1793;79;65;41;37;75;61;81;102;47;103;38;70;74;30;45;50;55;81;69;64;66;42;90;61;19;42;30;40;29;50;20;37
;;2;Kom, T.A.J.;127;3;3;3;0;1;3;4;4;6;1;7;17;9;4;3;4;3;11;4;12;5;1;1;3;0;0;1;4;1;7;1;1
;;3;Wesdorp, M.G.J.;165;10;9;4;3;5;6;4;3;4;7;5;3;10;5;9;5;9;13;3;5;6;9;4;4;0;4;2;5;2;2;2;3
;;4;van den Nieuwendijk-Groenendijk, M.M.;186;3;7;2;3;5;5;2;4;3;5;11;9;9;12;23;10;17;8;7;1;4;4;3;4;0;0;0;1;7;14;0;3
;;5;Looyschelder, J.H.;51;0;2;0;0;0;2;1;1;0;3;3;5;6;0;1;6;5;2;2;2;0;2;3;2;0;0;0;0;3;0;0;0
;;6;Schaap, N.;80;0;0;1;0;2;1;1;3;1;2;3;2;2;0;0;4;2;3;32;4;1;3;3;3;0;0;2;1;1;1;2;0
;;7;Albrechts, J.C.R.G.;124;1;4;0;0;5;4;5;9;4;6;9;8;8;9;6;6;9;0;2;0;1;2;0;3;5;4;1;2;10;1;0;0
;;8;van Es, T.;112;18;3;1;0;7;4;12;8;3;7;3;3;11;2;1;2;4;2;2;1;0;0;5;0;2;0;3;5;0;3;0;0
;;9;Kom-Prins, I.A.R.;37;0;2;1;0;2;0;1;1;0;6;1;4;3;0;3;1;0;0;0;3;2;0;0;3;0;0;0;2;0;2;0;0
;;10;Dekker, R.H.J.;57;5;6;1;0;4;1;4;0;0;2;0;1;0;0;0;0;0;0;0;1;0;2;10;7;0;5;0;0;0;0;4;4
;;11;de Jonge, P.M.A.;35;0;0;0;0;1;0;0;0;0;0;1;1;3;6;3;2;2;0;0;0;3;5;0;1;0;0;0;0;5;0;0;2
;;12;Schop, R.;25;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;19;0;0;1;0;1;0;0;0;0;0;0
;;13;Legierse, A.W.;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;8;1;2;0;0;0;0;0;0;2;0
;;14;Koole, J.;29;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;17;2;1;0;0;0;0;0;0;1;0;2
;;15;van Dam, M.;18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Witvliet, C.M.;56;5;2;1;0;23;21;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;17;van der Vliet, D.H.;18;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;6;5;3;0;0;0;0;0;0;0;0
;;18;Heuker, H.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;19;van den Nieuwendijk, N.J.;27;1;1;0;0;1;0;0;1;0;1;4;2;0;0;1;1;1;1;1;0;0;1;1;3;0;0;2;2;1;1;0;0
;;20;de Jonge, J.M.M.;225;1;0;0;2;0;1;6;0;0;3;0;4;6;0;2;2;1;1;0;14;19;118;10;15;3;0;1;0;3;2;2;9
