Verkiezing;;Gemeenteraad Hillegom 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hillegom;;;;;;;;;;;;;;;;;;;
Nummer;;0534;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Villa Flora 1;Stembureau Bibliotheek Zuid-Kennemerland;Stembureau Verenigingsgebouw De Bestemming;Stembureau Speeltuin Weerestein;Stembureau Gymzaal Mesdaglaan (1);Stembureau Gymzaal Mesdaglaan (2);Stembureau Sportcentrum de Vosse;Stembureau Gymzaal Guido Gezellelaan (1);Stembureau Dienstencentrum Elsbroek;Stembureau Squash Hillegom;Stembureau ProGym;Stembureau Villa Flora 2;Stembureau Gymzaal Guido Gezellelaan (2);Stembureau Villa Flora (1) 14 maart;Stembureau Villa Flora (1) 15 maart;Stembureau Bibliotheek Zuid Kennermerland 14 maart;Stembureau Bibliotheek Zuid Kennermerland 15 maart
;;8;Boonstra, D.A.;236;18;14;6;13;10;3;19;26;15;4;32;23;12;8;14;9;10
;;9;Rippner, J.M.R.;69;6;3;6;14;2;1;1;8;8;2;1;6;2;2;3;1;3
;;10;de Wit, M.T.B.M.;56;5;1;1;8;0;0;0;3;3;5;0;9;5;8;6;1;1
;;11;Huizing, S.E.;70;5;2;6;5;0;2;2;4;6;3;5;3;3;6;9;1;8
;;12;Evers, I.C.J.A.;321;53;10;10;23;9;6;21;24;23;22;25;26;14;20;24;2;9
;;13;de Haas-Selhorst, M. J. B. M.;71;4;2;2;9;2;2;3;7;7;2;9;4;9;2;5;2;0
2;CDA;;;938;70;59;51;81;35;14;46;62;85;50;61;64;48;82;73;24;33
;;1;Hoekstra, C.J.;571;43;33;33;51;24;8;21;37;53;41;38;37;25;44;48;12;23
;;2;Langeveld, C.H.;167;11;8;10;12;3;3;19;8;14;6;8;10;9;17;12;10;7
;;3;Zwaan, J.;13;0;2;0;0;1;1;0;2;2;0;0;0;2;0;0;2;1
;;4;Kunst - Reekers, A.;35;4;3;3;1;1;0;3;0;2;1;2;1;1;11;2;0;0
;;5;Vrijburg, F.R.;21;1;0;0;2;0;0;0;4;0;0;4;2;6;0;2;0;0
;;6;Vink, B.;17;1;2;0;2;1;0;0;1;2;1;0;3;2;1;1;0;0
;;7;Bols, A.;10;0;1;0;1;4;0;0;1;1;0;0;2;0;0;0;0;0
;;8;de Boer - van Deursen, L.M.;14;1;0;2;0;0;1;0;5;1;0;0;1;2;1;0;0;0
;;9;Ruigrok - Schoorl, A.M.;13;3;2;0;2;0;0;0;0;5;0;0;1;0;0;0;0;0
;;10;Koek, S.W.;12;0;2;0;1;1;1;0;2;0;0;0;1;1;0;1;0;2
;;11;Diepeveen - Bossema, C.;20;1;5;1;2;0;0;0;2;1;0;5;1;0;1;1;0;0
;;12;Schoonderbeek, A.L.;13;1;0;1;3;0;0;1;0;1;0;1;3;0;0;2;0;0
;;13;Hornsveld, J.;8;0;1;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0
;;14;van Dalen, G.J.;18;3;0;0;2;0;0;0;0;3;0;3;2;0;2;3;0;0
;;15;Selles - Basford, H.M.;6;1;0;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0
;;16;de Bock, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Bloeiend Hillegom;;;1678;126;98;68;113;60;51;80;116;145;121;138;133;93;68;148;48;72
;;1;Heemskerk-Rekké, A.;892;68;50;43;62;32;22;46;50;85;69;69;62;42;43;84;22;43
;;2;Dijkshoorn, M.A.;62;6;6;1;5;4;4;5;5;4;1;3;5;0;2;6;1;4
;;3;Scholtens, K.W.;173;13;11;6;7;3;0;11;14;8;11;15;17;14;5;18;8;12
;;4;Mense, B.J.P.;58;5;2;1;5;4;2;5;3;2;2;4;6;8;2;5;1;1
;;5;Janssen, R.H.;43;1;1;2;4;3;1;1;3;3;2;2;2;2;4;8;3;1
;;6;Vonk, R.G.;17;0;3;0;1;1;0;1;3;3;1;0;0;0;1;0;3;0
;;7;Woltjer, J.;18;1;2;0;1;0;0;3;0;0;0;5;3;0;0;1;2;0
;;8;Janssen, S.C.M.;13;2;0;0;0;0;0;0;2;0;1;5;1;0;0;1;0;1
;;9;Heemskerk - van der Slot, J.G.M.;64;2;0;1;7;2;0;1;2;5;11;6;10;0;4;10;1;2
;;10;Couzijn, J.M.C.;48;1;2;2;1;5;10;2;2;10;3;3;2;1;2;2;0;0
;;11;Damen, P.T.;41;3;7;2;2;0;1;1;3;0;13;0;4;2;0;1;1;1
;;12;Vledder, B.J.;110;10;6;2;8;3;5;3;13;16;1;4;7;15;3;5;4;5
;;13;Vledder, J.;54;3;4;0;1;0;0;1;10;5;0;11;5;4;0;6;2;2
;;14;van der Knijff, S.A.J.;36;5;2;3;7;2;1;0;2;1;3;2;5;3;0;0;0;0
;;15;van 't Pad Bosch, H.L.L.P.C.;49;6;2;5;2;1;5;0;4;3;3;9;4;2;2;1;0;0
4;VVD;;;860;76;49;26;46;16;4;62;58;80;105;88;63;37;52;64;13;21
;;1;Pijnacker, L.M.J.;385;31;12;9;19;9;2;25;27;47;38;48;31;18;25;29;7;8
;;2;Buijck, I.B.;61;9;5;4;3;0;0;7;5;2;6;7;4;0;3;2;1;3
;;3;Bommel, J.;29;4;0;0;4;1;0;1;1;0;8;1;3;2;1;1;2;0
;;4;Warmerdam, D.J.G.;74;7;9;1;3;1;0;8;6;9;4;5;7;5;3;5;1;0
;;5;Pesschier, E.G.;51;2;5;0;3;3;0;3;8;2;4;5;4;1;2;7;0;2
;;6;Bijwaard, W.;18;0;0;4;2;0;0;3;0;2;1;2;1;0;3;0;0;0
;;7;van der Geest, H.W.C.;38;1;2;2;2;1;0;2;2;8;9;4;0;0;1;3;0;1
;;8;Ringelberg, J.A.;12;3;2;0;0;0;1;0;0;0;0;2;1;1;2;0;0;0
;;9;de Groot, S.J.F.M.;6;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;10;Grech, P.;8;0;3;0;0;0;0;0;0;1;0;1;0;0;2;0;0;1
;;11;van der Riet, F.T.;18;2;3;0;0;0;0;0;0;0;1;1;0;1;10;0;0;0
;;12;Teeven, F.;160;17;8;4;10;1;1;11;9;7;34;12;12;9;0;17;2;6
5;D66;;;1130;98;77;52;76;37;22;75;82;98;42;87;101;52;44;119;35;33
;;1;Semrek, R.I.;556;44;50;16;34;23;9;32;45;55;22;49;45;24;18;56;14;20
;;2;Bijl, S.;44;6;0;2;3;0;1;0;5;3;0;3;2;4;1;7;4;3
;;3;Out, J.M.;136;11;10;10;4;5;1;3;8;9;2;12;11;12;11;20;4;3
;;4;Hulst, P.J.;16;0;1;0;3;0;1;0;0;0;0;2;4;0;1;3;1;0
;;5;Griffioen, M.W.;39;6;0;2;0;2;0;4;2;2;0;2;7;0;3;4;0;5
;;6;van der Lans-van de Pas, I.;214;17;11;12;25;5;8;17;15;15;12;11;24;9;6;23;4;0
;;7;Lokhorst, M.J.A.;10;1;2;0;4;0;0;1;0;0;0;0;0;0;0;2;0;0
;;8;Willemse, M.;9;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0
;;9;van Schoonacker-de Groot, A.J.W.;19;1;0;3;1;0;0;3;0;5;1;1;3;0;0;1;0;0
;;10;van Wageningen, G.;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0
;;11;Boschma, S.;8;1;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;1
;;12;Out, F.J.W.;27;4;0;1;1;0;2;3;1;3;0;0;2;1;4;2;2;1
;;13;Snuif, A.E.;47;5;3;6;1;1;0;6;4;4;5;5;3;1;0;1;2;0
6;GROENLINKS;;;811;66;65;54;60;41;14;55;38;62;35;59;58;27;45;72;26;34
;;1;de Hoog, H.;639;53;51;41;49;25;12;44;33;52;28;49;46;21;36;49;20;30
;;2;Meijer, B.H.;29;3;3;1;1;4;0;4;0;3;1;1;0;0;0;8;0;0
;;3;Damo, R.M.;64;7;5;5;6;5;0;2;3;4;2;5;4;2;4;7;3;0
;;4;van Eeuwijk, K.;21;3;1;1;2;2;1;0;1;1;0;2;3;1;1;1;1;0
;;5;van der Veldt, W.M.J.A.C.;32;0;2;5;0;2;0;3;0;0;4;0;3;3;3;4;1;2
;;6;van Egmond, D.;26;0;3;1;2;3;1;2;1;2;0;2;2;0;1;3;1;2
7;Hart voor Hillegom;;;483;42;21;42;39;18;13;26;30;38;35;31;26;36;21;38;15;12
;;1;Cornet, C.J.;269;27;10;29;20;7;5;17;19;17;10;19;16;24;13;22;7;7
;;2;Vrijhoef, A.H.T.;21;2;2;1;2;1;1;0;1;4;3;0;0;1;0;1;1;1
;;3;Cornet, J.S.R.;70;5;8;5;5;1;3;2;6;8;1;6;5;4;4;5;1;1
;;4;Bijwaard, D.S.;63;6;1;4;9;3;3;6;2;5;4;1;1;4;2;5;5;2
;;5;van der Voorn, F.A.;20;1;0;1;0;5;0;0;0;2;2;3;3;0;0;1;1;1
;;6;Bakx, W.M.;40;1;0;2;3;1;1;1;2;2;15;2;1;3;2;4;0;0
