Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis 1;Protestantse kerk “De Hoeksteen”;Sporthal de Lijster;Sportpark 't Slot;Nieuwe Westerkerk;Kringloop Rataplan;CAPSLOC;St. Paulus’ Bekering;Gymzaal Aleoeten;Sportpark Couwenhoek;"Kerkelijk Centrum ""De Oosterkerk"" 1";Tent naast De Horizon Koggerwaard;"Kerkelijk Centrum ""De Oosterkerk"" 2";Buurtcentrum De Trefhoek;Recreatiecentrum De Serre;Het Kinderlab;Sportzaal Schollevaar;Ontmoetingsruimte De Vogeltuinen;Stichting Claypot Community Centre Foundation;Serviceflat Bermensteyn;Wijkcentrum Schollevaar 1;Wijkcentrum Schollevaar 2;Ontmoetingskerk;Kerkgebouw  De Voorhof;Schenkelkerk;Serviceflat Schinckelhove;Buurthuis de Wel;Gymzaal Dorus Rijkersrede;Wijkcentrum De Harp;Gymzaal Berliozstraat;Moriakerk;Lomans Totaalinstallateur;Gemeentehuis 2;Huis van de Wijk Fascinatio;Mobiel stembureau;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;101;108;113;118;122;127;129;134;201;208;213;218;222;227;229;234
Postcode;;;;;2903 AR;2903 AJ;2902 JD;2902 BG;2902 CT;2903 TE;2903 ER;2903 GM;2904 VA;2904 XZ;2905 NP;2904 SC;2905 NP;2905 TW;2905 XT;2907 WD;2907 GG;2908 CC;2908 BG;2907 GH;2907 BD;2907 BD;2907 TK;2907 LA;2906 LA;2906 AA;2906 VK;2901 CL;2901 CN;2901 GA;2901 AJ;2909 VC;2903 AR;2909 VA;;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA
;;8;Vrouenraets, B.J.;22;0;3;0;1;0;2;0;0;1;0;0;0;0;0;0;0;3;1;0;1;0;1;0;0;1;0;0;1;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;Thenu, J.D.;54;0;0;1;0;1;5;0;0;0;2;4;2;1;7;1;1;0;1;0;1;2;2;0;0;1;0;3;3;2;1;0;1;2;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;3;0
;;10;van der Klauw-Cornet, A.S.;68;2;0;2;3;0;2;2;1;4;3;0;5;4;1;3;1;4;0;1;0;0;0;0;0;1;0;0;1;4;2;2;0;3;2;0;2;1;4;0;1;1;0;0;0;0;2;0;2;0;2;0
;;11;de Winter, A.E.C.M.;42;0;1;2;3;0;0;0;1;2;0;2;0;0;0;0;1;1;4;0;0;5;3;1;1;1;0;0;1;2;2;1;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
;;12;van den Brule, H.;5;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Roodenrijs, R.H.J.A.;12;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0
;;14;Nanne, J.T.;19;0;1;3;1;0;0;0;0;1;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Holkamp, P.G.;24;1;0;2;0;0;1;0;0;2;0;0;1;1;0;1;0;0;0;0;0;1;2;0;0;0;1;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0
4;Staatkundig Gereformeerde Partij (SGP);;;1992;41;80;82;58;126;62;66;73;32;24;19;30;10;14;20;24;8;13;3;13;11;19;16;120;172;133;41;32;15;34;168;11;58;2;20;72;19;17;3;3;15;24;3;76;37;21;6;6;14;17;9
;;1;van Buuren, M.W.;1250;23;58;44;35;77;44;45;38;16;11;16;22;9;11;16;15;6;10;3;12;10;13;10;84;76;79;28;26;7;17;103;4;43;1;14;56;7;12;0;2;8;19;2;49;22;19;3;5;9;8;3
;;2;Weijers, P.M.D.;113;3;4;2;3;7;1;5;3;10;5;0;1;0;0;0;4;0;0;0;0;0;3;1;1;3;4;3;1;2;4;13;1;4;0;1;4;1;1;0;0;1;3;0;3;5;2;0;0;1;1;2
;;3;Oudshoorn, B.H.W.;73;1;1;3;3;2;2;0;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;3;1;0;0;3;15;2;1;0;0;1;2;0;0;1;4;2;1;2;3;0;0;0;0;1;0
;;4;Kok, R.;63;1;0;3;2;6;2;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;7;10;9;0;1;2;1;4;0;1;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;5;de Leeuw, J.;106;2;2;2;1;4;6;7;7;0;4;0;0;0;0;1;0;1;0;0;0;0;0;3;10;28;5;3;1;0;0;4;0;3;0;1;3;0;2;0;0;1;0;0;2;1;0;1;0;0;0;1
;;6;Veenema, G.M.;33;1;2;0;0;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;2;0;0;0;5;0;0;0;0;2;1;0;1;0;0;0;0;1;4;0;1;0;1;0;0
;;7;Verhoef, H.T.;35;4;1;1;1;1;1;3;2;2;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;3;1;0;1;0;1;1;0
;;8;van Kooten, J.;19;0;0;1;2;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Voorden, A.M.;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Groenendijk, W.;14;0;0;1;3;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;11;Mulder, P.S.;16;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Schumacher, W.M.;10;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Benard, A.J.;9;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;14;Offerman, A.;16;0;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Wingerden, J.A.G.;20;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;5;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;16;van Hengel, J.W.P.;8;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Ruiter, P.B.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Damsteeg, J.W.A.J.;15;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;19;Vermeulen, J.L.;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;20;van Dieren, P.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Koelewijn, C.S.;29;1;6;5;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;4;0;0;0;0;2;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1
;;22;Bax, A.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Terlouw, A.;28;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Vuik, J.;12;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;25;Nederlof, W.;36;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;11;7;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0
;;26;Zuiddam, M.R.;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Luijk, A.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Groenendijk, W.H.;7;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;de Jonge, L.J.A.;32;0;1;0;4;7;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0
;;30;Weggeman, A.;18;0;1;2;0;2;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1435;39;14;24;41;40;44;25;14;41;28;17;38;15;38;39;31;36;62;13;38;25;43;19;17;24;31;45;16;10;50;39;23;37;50;0;50;15;22;23;23;23;21;2;50;7;30;29;19;14;28;13
;;1;Geissler, S.;613;18;4;8;22;23;18;14;6;18;9;10;19;8;18;24;9;14;21;4;26;12;17;7;11;7;20;15;9;4;15;22;7;16;2;0;22;5;10;8;10;16;6;1;24;6;12;13;2;5;14;2
;;2;Weemhoff, C.W.J.;304;8;3;4;6;5;9;5;3;9;10;5;12;4;7;4;8;5;20;2;5;6;9;4;4;4;3;13;3;4;11;8;2;8;4;0;15;1;8;8;7;2;10;0;7;0;6;5;5;4;7;2
;;3;Tieman, W.;102;6;0;2;3;2;1;1;3;6;1;0;3;1;1;1;4;1;2;0;1;0;5;1;1;2;2;5;1;1;6;2;0;3;1;0;5;1;4;1;1;1;2;0;5;0;5;2;2;3;1;0
;;4;Monteiro da Veiga, I.H.;170;3;3;5;2;5;7;1;0;3;4;1;2;2;2;3;6;7;4;4;0;2;7;2;1;3;3;4;0;1;9;6;4;3;27;0;2;6;0;6;0;3;0;1;1;1;0;4;5;1;0;4
;;5;Raaijen, A.V.A.;27;2;2;1;3;0;0;0;0;1;0;0;0;0;2;0;0;1;4;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0
;;6;Assele-Beukelman, M.M.;18;0;0;1;0;1;1;0;0;1;0;0;1;0;2;0;0;2;1;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;7;Bouwers, N.S.;23;0;0;0;0;0;2;2;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;2;1;0;0;0;5
;;8;Groenewegen, D.;22;1;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;6;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0
;;9;Raghoenath, C.A.S.;132;0;1;3;3;3;4;2;2;3;3;0;0;0;6;2;4;5;4;3;3;3;3;4;0;5;2;0;3;0;6;0;6;7;15;0;3;1;0;0;0;0;0;0;8;0;4;4;1;1;5;0
;;10;van Rosmalen, J.H.M.;24;1;1;0;1;0;1;0;0;0;0;1;0;0;0;3;0;0;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2;1;0;0;1;0;1;0;1;0;0;0
6;SP (Socialistische Partij);;;1071;41;21;15;28;33;32;25;14;17;20;18;21;11;41;32;59;20;31;11;24;17;31;12;6;34;13;44;8;11;35;38;7;38;11;0;29;6;16;24;21;12;6;2;28;8;12;28;20;17;16;7
;;1;Vlot, M.W.;550;26;15;5;13;19;18;9;6;14;10;11;8;3;20;18;29;7;16;5;9;13;15;5;3;16;9;19;5;4;15;26;3;19;3;0;13;1;9;16;7;8;5;1;17;7;5;15;13;6;8;3
;;2;Breepoel, J.F.;29;0;0;0;0;0;2;1;0;0;2;0;1;0;0;2;0;1;2;0;0;0;1;1;0;0;1;3;0;1;0;3;0;1;0;0;0;1;0;1;0;1;0;0;3;0;1;0;0;0;0;0
;;3;Slob, A.;274;8;4;2;12;9;6;12;2;0;7;4;10;7;12;4;18;6;8;3;7;2;7;2;2;12;2;12;1;5;8;8;3;4;1;0;7;1;2;5;10;0;1;1;5;0;5;11;4;4;5;3
;;4;Spee, C.A.J.M.;56;1;0;1;1;0;1;0;0;1;1;0;2;1;0;4;3;1;2;1;2;1;1;1;0;3;1;5;0;0;3;0;0;2;2;0;4;1;1;0;1;2;0;0;0;0;1;1;0;3;1;0
;;5;Rosa, S.G.;56;5;0;1;2;3;1;1;4;0;0;0;0;0;2;0;5;1;1;1;1;0;1;0;1;2;0;4;0;1;1;0;0;7;2;0;1;0;2;0;2;0;0;0;2;1;0;0;0;0;1;0
;;6;Gayadin, A.;58;0;0;4;0;1;2;2;0;0;0;1;0;0;5;4;2;3;2;1;3;0;3;3;0;0;0;0;2;0;7;0;0;5;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;1
;;7;Prins, C.B.;30;1;0;2;0;0;2;0;1;2;0;2;0;0;1;0;2;1;0;0;0;1;2;0;0;1;0;1;0;0;0;1;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;4;0;0
;;8;Touburg, R.H.;6;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Philipsen, W.F.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0
7;CDA;;;1214;29;40;13;40;26;27;18;9;33;18;25;57;23;19;24;40;24;29;8;18;11;22;15;25;38;21;31;20;22;70;46;21;24;21;0;37;13;22;8;7;15;20;3;49;9;37;22;20;17;22;6
;;1;den Engelsman, J.;743;22;32;9;22;18;21;14;7;20;10;16;35;13;8;8;23;18;21;6;16;7;10;8;16;25;12;23;10;14;32;26;8;18;7;0;22;9;13;6;4;7;9;0;38;6;22;15;13;8;15;1
;;2;Harinck, E.;76;2;2;0;8;3;1;0;0;1;2;2;0;0;0;2;1;1;0;1;0;2;1;1;1;4;1;1;1;0;8;6;1;1;2;0;4;0;0;0;0;2;0;1;6;0;0;2;2;1;1;1
;;3;Badloe, D.;167;3;2;2;3;5;2;2;0;2;2;1;12;6;3;8;2;4;5;1;1;1;3;1;1;0;3;0;6;6;21;3;10;2;11;0;5;1;1;2;2;1;4;2;1;0;0;3;2;4;2;3
;;4;Benard, A.;60;0;1;0;4;0;2;0;0;4;0;0;5;0;0;0;2;0;0;0;0;0;1;2;0;1;1;1;2;1;5;9;2;0;0;0;0;0;0;0;0;1;6;0;2;0;3;0;1;0;4;0
;;5;Curvers, E.P.P.;32;1;0;0;0;0;0;0;0;0;0;2;0;2;5;1;5;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;8;0;0;1;0;0
;;6;Brink, N.W.A.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;7;de Kievit, F.H.;28;0;0;0;0;0;0;0;1;0;1;1;3;1;0;0;1;0;0;0;0;0;1;0;2;0;1;1;0;1;0;1;0;0;0;0;0;2;4;0;1;1;0;0;0;2;0;2;0;0;0;1
;;8;Vos, H.;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Schellens, A.M.;4;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Geise, B.J.M.;37;1;0;0;0;0;1;1;0;2;0;2;0;1;0;0;3;0;0;0;0;1;3;0;4;0;3;1;0;0;2;0;0;0;1;0;2;1;1;0;0;2;0;0;0;1;0;0;1;3;0;0
;;11;van Buren, N.H.;43;0;3;2;2;0;0;0;1;4;1;1;1;0;1;2;2;1;1;0;0;0;2;2;0;0;0;3;1;0;1;0;0;1;0;0;4;0;0;0;0;1;1;0;2;0;3;0;0;0;0;0
8;ChristenUnie;;;1257;27;50;16;51;39;32;15;36;34;14;17;29;15;19;19;38;9;36;30;25;16;30;24;38;48;25;36;24;23;45;68;15;14;14;2;41;4;16;10;9;15;18;2;45;17;11;11;18;31;31;5
;;1;Groenendijk-de Vries, H.A.;814;16;36;13;28;28;15;13;20;21;6;12;17;10;11;14;25;3;21;16;16;11;15;10;19;29;18;22;20;16;33;47;13;12;9;1;31;3;14;7;8;7;12;1;28;12;10;9;10;17;25;4
;;2;Eilander, P.;138;1;10;1;13;4;8;1;5;3;0;0;5;3;2;1;1;0;6;5;0;2;3;5;2;7;3;4;0;0;6;9;1;1;2;0;5;0;0;0;0;2;0;0;7;1;0;0;1;6;1;1
;;3;Visscher, J.;35;2;1;0;0;0;0;0;0;0;1;0;1;0;1;0;2;2;2;2;3;1;0;0;6;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0
;;4;van den Brink, A.;11;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Dijkema, J.;16;3;1;0;1;0;2;0;1;0;0;0;1;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;6;Verweij, P.J.;5;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Heerens, P.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;de Ruig-van der Laan, G.;34;1;0;0;1;1;1;0;4;2;0;0;1;0;1;1;2;0;1;0;2;0;1;0;1;1;0;1;0;1;1;2;0;1;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;2;1;0
;;9;Evenhuis-Noorman, C.E.;36;0;0;0;4;0;0;0;0;0;2;0;1;0;0;0;3;1;0;0;0;0;0;1;5;1;0;0;3;2;1;2;0;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;3;0;2;0
;;10;van den Berg-Bette, H.;27;1;0;0;2;1;0;0;0;1;0;0;0;1;2;1;0;1;0;3;1;1;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0
;;11;van den Berg, R.N.;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0
;;12;de Graaf, J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Bette, J.;14;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
;;14;van Eersel, R.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Grauss, M.K.A.;15;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;16;Reinders, M.;28;0;1;0;2;0;3;1;2;1;5;0;2;0;0;0;0;1;0;0;0;0;1;2;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
;;17;Schoemaker, J.W.R.;29;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;5;3;2;0;0;0;3;1;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;1;2;0;0
;;18;Mars, K.;13;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;1;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;van Tienhoven, M.;9;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;van Winden, J.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Blokland, J.;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
9;GROENLINKS;;;1469;30;38;30;42;20;30;17;15;44;34;40;48;15;38;36;58;47;51;14;32;29;51;19;22;21;25;63;9;20;95;33;20;33;33;1;41;3;22;16;17;18;18;4;43;13;24;17;26;18;25;11
;;1;Aktaş, M.;816;19;20;12;19;11;15;9;7;23;21;21;22;7;26;14;37;32;27;11;17;20;29;14;14;10;15;29;7;12;55;19;12;20;19;0;22;2;14;10;10;13;10;2;24;4;12;9;14;9;11;5
;;2;Snijders, J.M.;98;2;3;0;5;7;3;5;2;1;1;1;0;0;2;1;4;2;9;1;0;0;5;0;1;4;1;5;0;1;11;2;0;0;1;0;3;0;2;0;0;2;3;0;1;1;3;0;1;0;2;0
;;3;Qutbyar, S.;186;4;4;6;9;0;4;1;1;5;2;4;6;3;5;9;8;4;4;0;5;0;5;1;4;2;4;12;0;3;9;1;5;4;8;0;5;0;3;2;1;2;1;0;3;0;1;6;6;5;5;4
;;4;Roos, S.F.I.;228;4;5;8;5;0;6;0;3;8;2;7;8;5;3;7;4;6;8;0;6;2;9;2;2;5;5;12;1;3;18;7;3;6;5;0;6;1;1;1;5;0;3;2;9;4;3;2;5;3;6;2
;;5;Hartog, E.;25;0;1;0;1;0;1;0;0;3;2;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0
;;6;van Vliet, G.M.;47;1;2;4;1;2;0;0;0;0;5;4;0;0;2;0;1;0;0;0;2;2;2;1;1;0;0;4;0;0;1;2;0;0;0;0;3;0;1;1;0;1;0;0;2;0;2;0;0;0;0;0
;;7;Raadsen, E.C.;13;0;0;0;0;0;0;2;0;1;1;0;0;0;0;2;1;0;0;0;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Schep, T.R.;56;0;3;0;2;0;1;0;2;3;0;3;6;0;0;3;2;3;3;2;0;4;1;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;1;1;1;0;0;0;2;4;2;0;0;1;1;0
10;Belang van Nederland (BVNL);;;947;19;20;23;53;30;24;21;16;18;29;29;54;4;28;19;34;24;22;20;24;26;32;14;14;13;16;24;23;23;54;22;20;12;18;0;8;3;14;3;2;4;8;0;27;3;16;4;9;5;10;9
;;1;Šormaz, T.;590;15;14;12;26;16;15;7;12;10;14;22;30;4;20;8;26;21;15;15;15;15;21;6;4;6;10;14;19;9;31;18;15;10;15;0;7;2;8;2;1;2;7;0;11;3;13;3;6;2;6;7
;;2;Groenendijk, P.J.;156;2;3;2;7;9;4;3;2;3;2;6;12;0;6;5;5;1;3;3;5;4;6;3;3;4;4;4;4;2;7;2;1;2;2;0;0;1;3;0;1;2;1;0;8;0;1;1;3;1;3;0
;;3;Frieser, J.;35;1;1;0;1;0;0;4;0;1;5;0;7;0;1;0;1;0;0;0;0;0;0;1;3;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
