Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis 1;Protestantse kerk “De Hoeksteen”;Sporthal de Lijster;Sportpark 't Slot;Nieuwe Westerkerk;Kringloop Rataplan;CAPSLOC;St. Paulus’ Bekering;Gymzaal Aleoeten;Sportpark Couwenhoek;"Kerkelijk Centrum ""De Oosterkerk"" 1";Tent naast De Horizon Koggerwaard;"Kerkelijk Centrum ""De Oosterkerk"" 2";Buurtcentrum De Trefhoek;Recreatiecentrum De Serre;Het Kinderlab;Sportzaal Schollevaar;Ontmoetingsruimte De Vogeltuinen;Stichting Claypot Community Centre Foundation;Serviceflat Bermensteyn;Wijkcentrum Schollevaar 1;Wijkcentrum Schollevaar 2;Ontmoetingskerk;Kerkgebouw  De Voorhof;Schenkelkerk;Serviceflat Schinckelhove;Buurthuis de Wel;Gymzaal Dorus Rijkersrede;Wijkcentrum De Harp;Gymzaal Berliozstraat;Moriakerk;Lomans Totaalinstallateur;Gemeentehuis 2;Huis van de Wijk Fascinatio;Mobiel stembureau;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;101;108;113;118;122;127;129;134;201;208;213;218;222;227;229;234
Postcode;;;;;2903 AR;2903 AJ;2902 JD;2902 BG;2902 CT;2903 TE;2903 ER;2903 GM;2904 VA;2904 XZ;2905 NP;2904 SC;2905 NP;2905 TW;2905 XT;2907 WD;2907 GG;2908 CC;2908 BG;2907 GH;2907 BD;2907 BD;2907 TK;2907 LA;2906 LA;2906 AA;2906 VK;2901 CL;2901 CN;2901 GA;2901 AJ;2909 VC;2903 AR;2909 VA;;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA
;;9;Brasser, J.C.;31;2;0;0;0;0;1;4;0;1;1;0;5;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;2;0;5;0;0;0
;;10;Scholsz, R.C.;31;0;0;0;0;3;0;0;0;0;1;1;3;0;1;0;0;1;0;1;0;0;2;0;3;0;1;0;0;0;2;3;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;4;1;0;0
;;11;Versprille, K.G.;13;0;0;0;1;0;1;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;van de Wetering, D.;14;0;0;0;0;0;1;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;13;Selhorst, J.H.F;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van der Vorm, A.;30;0;0;1;0;0;2;1;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;10;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;15;Tobé, H.W.J.;5;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;16;Goudberg, H.G.H.;16;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;3;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;van Seters, B.;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;18;van Nauta Lemke, J.C.L.;31;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;2;4;7;0;1;2;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;2;0
